Date,GARWALLROP
2012-01-02,44.75
2012-01-03,45.7
2012-01-04,46.0
2012-01-05,45.65
2012-01-06,46.15
2012-01-07,46.0
2012-01-09,47.8
2012-01-10,49.45
2012-01-11,53.9
2012-01-12,51.85
2012-01-13,51.35
2012-01-16,50.45
2012-01-17,51.9
2012-01-18,52.5
2012-01-19,51.9
2012-01-20,51.9
2012-01-23,51.15
2012-01-24,51.75
2012-01-25,51.7
2012-01-27,52.25
2012-01-30,51.85
2012-01-31,53.0
2012-02-01,53.45
2012-02-02,53.05
2012-02-03,52.95
2012-02-06,51.9
2012-02-07,51.8
2012-02-08,50.35
2012-02-09,51.0
2012-02-10,50.4
2012-02-13,51.35
2012-02-14,52.4
2012-02-15,53.35
2012-02-16,53.1
2012-02-17,53.45
2012-02-21,53.05
2012-02-22,51.15
2012-02-23,50.85
2012-02-24,50.7
2012-02-27,49.85
2012-02-28,50.5
2012-02-29,51.1
2012-03-01,50.95
2012-03-02,51.05
2012-03-03,50.65
2012-03-05,50.3
2012-03-06,50.0
2012-03-07,49.5
2012-03-09,49.55
2012-03-12,50.0
2012-03-13,50.0
2012-03-14,49.65
2012-03-15,49.65
2012-03-16,49.15
2012-03-19,48.7
2012-03-20,48.3
2012-03-21,48.65
2012-03-22,49.55
2012-03-23,49.2
2012-03-26,49.15
2012-03-27,48.35
2012-03-28,49.0
2012-03-29,48.25
2012-03-30,48.1
2012-04-02,49.15
2012-04-03,49.95
2012-04-04,49.35
2012-04-09,49.4
2012-04-10,49.2
2012-04-11,48.85
2012-04-12,49.8
2012-04-13,49.0
2012-04-16,50.35
2012-04-17,49.55
2012-04-18,49.9
2012-04-19,50.25
2012-04-20,50.0
2012-04-23,49.65
2012-04-24,49.35
2012-04-25,48.8
2012-04-26,48.55
2012-04-27,48.55
2012-04-28,48.05
2012-04-30,48.95
2012-05-02,48.95
2012-05-03,48.75
2012-05-04,46.9
2012-05-07,47.35
2012-05-08,47.15
2012-05-09,46.7
2012-05-10,47.45
2012-05-11,47.0
2012-05-14,48.1
2012-05-15,46.95
2012-05-16,46.75
2012-05-17,46.6
2012-05-18,46.5
2012-05-21,47.1
2012-05-22,46.85
2012-05-23,46.6
2012-05-24,48.0
2012-05-25,47.95
2012-05-28,49.55
2012-05-29,49.35
2012-05-30,50.05
2012-05-31,49.25
2012-06-01,49.2
2012-06-04,47.8
2012-06-05,48.1
2012-06-06,48.85
2012-06-07,48.7
2012-06-08,49.25
2012-06-11,49.9
2012-06-12,50.4
2012-06-13,49.8
2012-06-14,49.6
2012-06-15,49.3
2012-06-18,49.6
2012-06-19,50.1
2012-06-20,49.55
2012-06-21,50.3
2012-06-22,50.0
2012-06-25,50.45
2012-06-26,50.0
2012-06-27,50.65
2012-06-28,50.75
2012-06-29,50.4
2012-07-02,50.45
2012-07-03,52.55
2012-07-04,53.45
2012-07-05,54.95
2012-07-06,54.0
2012-07-09,53.1
2012-07-09,53.1
2012-07-10,53.25
2012-07-11,54.0
2012-07-12,52.55
2012-07-13,52.65
2012-07-16,52.7
2012-07-17,52.65
2012-07-18,52.55
2012-07-19,52.25
2012-07-20,52.2
2012-07-23,51.8
2012-07-24,51.85
2012-07-25,51.0
2012-07-26,50.1
2012-07-27,49.25
2012-07-30,49.3
2012-07-31,49.25
2012-08-01,49.45
2012-08-02,49.25
2012-08-03,49.7
2012-08-06,50.9
2012-08-07,50.5
2012-08-08,50.5
2012-08-09,49.65
2012-08-10,49.65
2012-08-13,49.55
2012-08-14,50.9
2012-08-16,48.5
2012-08-17,48.05
2012-08-21,48.6
2012-08-22,48.75
2012-08-23,49.35
2012-08-24,50.25
2012-08-27,50.0
2012-08-28,49.0
2012-08-29,48.8
2012-08-30,49.15
2012-08-31,49.05
2012-09-03,49.85
2012-09-04,50.0
2012-09-05,50.5
2012-09-06,50.4
2012-09-07,50.7
2012-09-08,51.05
2012-09-10,51.65
2012-09-11,51.9
2012-09-12,52.3
2012-09-13,52.8
2012-09-14,53.6
2012-09-17,53.4
2012-09-18,53.15
2012-09-20,50.05
2012-09-21,49.85
2012-09-24,49.85
2012-09-25,49.85
2012-09-26,49.3
2012-09-27,49.5
2012-09-28,49.25
2012-10-01,49.5
2012-10-03,51.45
2012-10-04,51.2
2012-10-05,51.0
2012-10-08,51.0
2012-10-09,51.15
2012-10-10,50.85
2012-10-11,50.9
2012-10-12,50.7
2012-10-15,51.0
2012-10-16,50.5
2012-10-17,50.55
2012-10-18,51.1
2012-10-19,52.3
2012-10-22,52.8
2012-10-23,53.05
2012-10-25,52.9
2012-10-26,52.15
2012-10-29,51.5
2012-10-30,51.65
2012-10-31,51.0
2012-11-01,51.35
2012-11-02,52.0
2012-11-05,51.45
2012-11-06,51.45
2012-11-07,51.05
2012-11-08,51.05
2012-11-09,50.35
2012-11-12,50.25
2012-11-13,50.7
2012-11-15,50.2
2012-11-16,50.75
2012-11-19,50.25
2012-11-20,50.15
2012-11-21,50.4
2012-11-22,50.5
2012-11-23,50.5
2012-11-26,50.4
2012-11-27,50.8
2012-11-29,50.5
2012-11-30,50.95
2012-12-03,51.3
2012-12-04,51.45
2012-12-05,51.85
2012-12-06,51.2
2012-12-07,51.5
2012-12-10,51.65
2012-12-11,52.05
2012-12-12,52.05
2012-12-13,52.3
2012-12-14,51.9
2012-12-17,51.0
2012-12-18,50.75
2012-12-19,51.0
2012-12-20,50.55
2012-12-21,50.0
2012-12-24,50.9
2012-12-26,50.25
2012-12-27,50.05
2012-12-28,50.7
2012-12-31,50.4
