Date,WENDT
2012-01-02,1356.25
2012-01-03,1369.85
2012-01-04,1371.15
2012-01-05,1392.25
2012-01-06,1385.25
2012-01-07,1395.15
2012-01-09,1514.75
2012-01-10,1624.5
2012-01-11,1717.0
2012-01-12,1650.55
2012-01-13,1641.0
2012-01-16,1652.25
2012-01-17,1626.5
2012-01-18,1650.0
2012-01-19,1707.6
2012-01-20,1689.15
2012-01-23,1607.45
2012-01-24,1589.35
2012-01-25,1600.0
2012-01-27,1585.5
2012-01-30,1586.1
2012-01-31,1595.0
2012-02-01,1598.5
2012-02-02,1581.0
2012-02-03,1600.0
2012-02-06,1596.5
2012-02-07,1599.8
2012-02-08,1596.3
2012-02-09,1600.2
2012-02-10,1601.0
2012-02-13,1613.4
2012-02-14,1638.05
2012-02-15,1630.8
2012-02-16,1639.95
2012-02-17,1650.0
2012-02-21,1653.85
2012-02-22,1617.25
2012-02-23,1650.0
2012-02-24,1694.4
2012-02-27,1623.3
2012-02-28,1771.65
2012-02-29,1725.35
2012-03-01,1744.8
2012-03-02,1708.5
2012-03-03,1742.9
2012-03-05,1817.8
2012-03-06,1800.9
2012-03-07,1762.75
2012-03-09,1711.15
2012-03-12,1699.9
2012-03-13,1714.9
2012-03-14,1700.0
2012-03-15,1705.0
2012-03-16,1710.0
2012-03-19,1686.65
2012-03-20,1685.6
2012-03-21,1718.25
2012-03-22,1686.15
2012-03-23,1688.75
2012-03-26,1677.4
2012-03-27,1654.55
2012-03-28,1650.2
2012-03-29,1658.95
2012-03-30,1642.95
2012-04-02,1649.15
2012-04-03,1679.45
2012-04-04,1650.0
2012-04-09,1650.05
2012-04-10,1702.1
2012-04-11,1687.0
2012-04-12,1862.25
2012-04-13,1883.25
2012-04-16,1865.3
2012-04-17,1872.9
2012-04-18,1859.3
2012-04-19,1877.25
2012-04-20,1882.85
2012-04-23,1884.55
2012-04-24,1884.85
2012-04-25,1859.8
2012-04-26,1831.0
2012-04-27,1826.8
2012-04-28,1826.0
2012-04-30,1870.0
2012-05-02,1944.5
2012-05-03,1876.85
2012-05-04,1780.35
2012-05-07,1793.45
2012-05-08,1774.0
2012-05-09,1858.6
2012-05-10,1844.45
2012-05-11,1800.95
2012-05-14,1764.3
2012-05-15,1751.8
2012-05-16,1781.75
2012-05-17,1787.25
2012-05-18,1869.15
2012-05-21,1851.25
2012-05-22,1842.0
2012-05-23,1816.5
2012-05-24,1791.3
2012-05-25,1800.1
2012-05-28,1800.0
2012-05-29,1806.9
2012-05-30,1796.0
2012-05-31,1813.95
2012-06-01,1759.4
2012-06-04,1763.4
2012-06-05,1734.7
2012-06-06,1738.85
2012-06-07,1757.85
2012-06-08,1743.25
2012-06-11,1750.0
2012-06-12,1726.45
2012-06-13,1826.05
2012-06-14,1802.35
2012-06-15,1801.0
2012-06-18,1832.25
2012-06-19,1795.0
2012-06-20,1829.85
2012-06-21,1817.1
2012-06-22,1860.5
2012-06-25,1881.75
2012-06-26,1837.65
2012-06-27,1850.0
2012-06-28,1804.25
2012-06-29,1864.25
2012-07-02,1873.4
2012-07-03,1846.25
2012-07-04,1851.05
2012-07-05,1847.3
2012-07-06,1840.0
2012-07-09,1838.65
2012-07-10,1822.05
2012-07-11,1815.9
2012-07-12,1793.85
2012-07-13,1762.35
2012-07-16,1738.95
2012-07-17,1686.65
2012-07-18,1723.65
2012-07-19,1696.35
2012-07-20,1654.95
2012-07-23,1640.0
2012-07-24,1664.0
2012-07-25,1651.0
2012-07-26,1631.0
2012-07-27,1662.45
2012-07-30,1670.0
2012-07-31,1649.6
2012-08-01,1665.0
2012-08-02,1697.5
2012-08-03,1693.9
2012-08-06,1698.7
2012-08-07,1717.1
2012-08-08,1705.0
2012-08-09,1673.0
2012-08-10,1666.4
2012-08-13,1712.0
2012-08-14,1663.35
2012-08-16,1763.5
2012-08-17,1759.15
2012-08-21,1765.0
2012-08-22,1767.3
2012-08-23,1757.05
