Date,BARTRONICS
2012-01-02,23.85
2012-01-03,25.3
2012-01-04,25.7
2012-01-05,25.8
2012-01-06,26.6
2012-01-07,29.55
2012-01-09,29.75
2012-01-10,31.05
2012-01-11,31.85
2012-01-12,32.1
2012-01-13,32.3
2012-01-16,32.4
2012-01-17,32.2
2012-01-18,30.85
2012-01-19,30.85
2012-01-20,31.45
2012-01-23,32.4
2012-01-24,32.3
2012-01-25,32.55
2012-01-27,33.8
2012-01-30,38.5
2012-01-31,36.6
2012-02-01,37.85
2012-02-02,37.95
2012-02-03,38.65
2012-02-06,39.85
2012-02-07,39.5
2012-02-08,41.45
2012-02-09,42.65
2012-02-10,42.0
2012-02-13,41.8
2012-02-14,40.9
2012-02-15,41.85
2012-02-16,43.7
2012-02-17,44.1
2012-02-21,45.55
2012-02-22,42.6
2012-02-23,41.75
2012-02-24,40.0
2012-02-27,37.3
2012-02-28,38.85
2012-02-29,39.6
2012-03-01,39.65
2012-03-02,39.85
2012-03-03,39.8
2012-03-05,38.15
2012-03-06,37.2
2012-03-07,37.05
2012-03-09,37.65
2012-03-12,38.45
2012-03-13,38.65
2012-03-14,39.75
2012-03-15,38.3
2012-03-16,37.55
2012-03-19,36.9
2012-03-20,36.45
2012-03-21,37.15
2012-03-22,36.8
2012-03-23,37.05
2012-03-26,36.3
2012-03-27,35.05
2012-03-28,34.1
2012-03-29,34.0
2012-03-30,35.3
2012-04-02,36.25
2012-04-03,36.6
2012-04-04,37.5
2012-04-09,36.45
2012-04-10,36.2
2012-04-11,35.7
2012-04-12,35.7
2012-04-13,35.35
2012-04-16,35.1
2012-04-17,35.1
2012-04-18,36.05
2012-04-19,36.95
2012-04-20,36.45
2012-04-23,39.5
2012-04-24,37.25
2012-04-25,36.8
2012-04-26,35.85
2012-04-27,35.5
2012-04-28,35.55
2012-04-30,35.8
2012-05-02,35.7
2012-05-03,35.0
2012-05-04,33.85
2012-05-07,33.55
2012-05-08,31.5
2012-05-09,31.0
2012-05-10,30.8
2012-05-11,25.55
2012-05-14,26.35
2012-05-15,25.3
2012-05-16,24.25
2012-05-17,24.1
2012-05-18,23.95
2012-05-21,24.65
2012-05-22,24.45
2012-05-23,24.15
2012-05-24,24.05
2012-05-25,24.15
2012-05-28,24.45
2012-05-29,24.9
2012-05-30,24.25
2012-05-31,24.25
2012-06-01,23.95
2012-06-04,23.55
2012-06-05,23.8
2012-06-06,24.7
2012-06-07,24.7
2012-06-08,24.6
2012-06-11,24.8
2012-06-12,24.6
2012-06-13,26.3
2012-06-14,25.8
2012-06-15,25.35
2012-06-18,25.35
2012-06-19,24.85
2012-06-20,24.9
2012-06-21,24.8
2012-06-22,24.7
2012-06-25,25.3
2012-06-26,24.95
2012-06-27,24.95
2012-06-28,25.65
2012-06-29,27.35
2012-07-02,27.25
2012-07-03,28.0
2012-07-04,28.6
2012-07-05,29.2
2012-07-06,28.65
2012-07-09,27.85
2012-07-09,27.85
2012-07-10,28.45
2012-07-11,28.05
2012-07-12,27.85
2012-07-13,27.2
2012-07-16,28.05
2012-07-17,27.15
2012-07-18,27.2
2012-07-19,27.25
2012-07-20,26.6
2012-07-23,25.85
2012-07-24,25.4
2012-07-25,24.95
2012-07-26,24.35
2012-07-27,23.9
2012-07-30,24.3
2012-07-31,24.2
2012-08-01,24.8
2012-08-02,24.9
2012-08-03,27.55
2012-08-06,28.75
2012-08-07,28.6
2012-08-08,27.35
2012-08-09,26.9
2012-08-10,25.25
2012-08-13,24.1
2012-08-14,24.1
2012-08-16,23.85
2012-08-17,24.35
2012-08-21,24.1
2012-08-22,24.1
2012-08-23,23.9
2012-08-24,22.95
2012-08-27,22.35
2012-08-28,21.9
2012-08-29,21.8
2012-08-30,21.9
2012-08-31,21.55
2012-09-03,21.55
2012-09-04,21.45
2012-09-05,21.7
2012-09-06,22.45
2012-09-07,22.9
2012-09-08,23.25
2012-09-10,22.8
2012-09-11,22.5
2012-09-12,23.15
2012-09-13,23.05
2012-09-14,22.95
2012-09-17,23.4
2012-09-18,23.7
2012-09-20,23.2
2012-09-21,24.0
2012-09-24,24.6
2012-09-25,24.4
2012-09-26,24.15
2012-09-27,24.05
2012-09-28,25.3
2012-10-01,25.9
2012-10-03,25.55
2012-10-04,26.05
2012-10-05,25.3
2012-10-08,25.45
2012-10-09,25.25
2012-10-10,24.55
2012-10-11,24.7
2012-10-12,24.45
2012-10-15,24.2
2012-10-16,24.15
2012-10-17,23.9
2012-10-18,24.35
2012-10-19,23.9
2012-10-22,23.65
2012-10-23,23.75
2012-10-25,23.35
2012-10-26,23.2
2012-10-29,25.8
2012-10-30,23.95
2012-10-31,23.95
2012-11-01,24.55
2012-11-02,24.25
2012-11-05,24.1
2012-11-06,23.7
2012-11-07,24.3
2012-11-08,24.4
2012-11-09,23.85
2012-11-12,23.9
2012-11-13,23.8
2012-11-15,23.75
2012-11-16,23.55
2012-11-19,25.15
2012-11-20,24.25
2012-11-21,24.05
2012-11-22,24.25
2012-11-23,24.1
2012-11-26,22.85
2012-11-27,23.2
2012-11-29,22.9
2012-11-30,22.55
2012-12-03,22.45
2012-12-04,22.65
2012-12-05,23.15
2012-12-06,23.05
2012-12-07,23.2
2012-12-10,23.05
2012-12-11,27.5
2012-12-12,26.5
2012-12-13,26.45
2012-12-14,26.0
2012-12-17,26.55
2012-12-18,26.1
2012-12-19,27.4
2012-12-20,26.45
2012-12-21,25.6
2012-12-24,25.45
2012-12-26,25.4
2012-12-27,26.2
2012-12-28,25.7
2012-12-31,25.75
