Date,KRBL
2012-01-02,14.15
2012-01-03,14.85
2012-01-04,15.05
2012-01-05,14.95
2012-01-06,14.75
2012-01-07,14.85
2012-01-09,15.75
2012-01-10,16.15
2012-01-11,16.65
2012-01-12,16.9
2012-01-13,17.1
2012-01-16,16.65
2012-01-17,16.75
2012-01-18,16.2
2012-01-19,16.8
2012-01-20,17.6
2012-01-23,18.35
2012-01-24,17.9
2012-01-25,17.9
2012-01-27,17.8
2012-01-30,17.05
2012-01-31,17.5
2012-02-01,18.65
2012-02-02,18.3
2012-02-03,18.45
2012-02-06,19.25
2012-02-07,20.15
2012-02-08,20.7
2012-02-09,20.1
2012-02-10,19.95
2012-02-13,19.45
2012-02-14,19.2
2012-02-15,19.5
2012-02-16,19.5
2012-02-17,20.35
2012-02-21,20.35
2012-02-22,19.1
2012-02-23,19.55
2012-02-24,19.25
2012-02-27,18.9
2012-02-28,19.05
2012-02-29,20.4
2012-03-01,19.85
2012-03-02,19.7
2012-03-03,19.9
2012-03-05,19.25
2012-03-06,18.55
2012-03-07,18.3
2012-03-09,18.65
2012-03-12,18.65
2012-03-13,18.6
2012-03-14,18.9
2012-03-15,18.55
2012-03-16,18.4
2012-03-19,18.15
2012-03-20,18.1
2012-03-21,18.75
2012-03-22,18.0
2012-03-23,18.1
2012-03-26,18.0
2012-03-27,17.65
2012-03-28,17.2
2012-03-29,17.3
2012-03-30,17.5
2012-04-02,18.15
2012-04-03,18.35
2012-04-04,18.05
2012-04-09,19.25
2012-04-10,20.65
2012-04-11,20.4
2012-04-12,20.5
2012-04-13,19.85
2012-04-16,19.8
2012-04-17,20.05
2012-04-18,20.6
2012-04-19,20.75
2012-04-20,20.4
2012-04-23,19.75
2012-04-24,21.0
2012-04-25,20.15
2012-04-26,20.05
2012-04-27,19.85
2012-04-28,19.85
2012-04-30,19.9
2012-05-02,20.0
2012-05-03,20.1
2012-05-04,18.65
2012-05-07,19.65
2012-05-08,19.85
2012-05-09,19.85
2012-05-10,19.85
2012-05-11,19.7
2012-05-14,19.85
2012-05-15,19.75
2012-05-16,19.6
2012-05-17,19.55
2012-05-18,20.1
2012-05-21,20.0
2012-05-22,20.0
2012-05-23,20.0
2012-05-24,19.95
2012-05-25,19.85
2012-05-28,19.85
2012-05-29,19.8
2012-05-30,19.75
2012-05-31,19.6
2012-06-01,19.5
2012-06-04,19.15
2012-06-05,19.3
2012-06-06,19.3
2012-06-07,19.25
2012-06-08,19.3
2012-06-11,19.4
2012-06-12,19.25
2012-06-13,19.35
2012-06-14,19.1
2012-06-15,18.85
2012-06-18,18.7
2012-06-19,18.6
2012-06-20,18.7
2012-06-21,18.85
2012-06-22,19.05
2012-06-25,19.15
2012-06-26,19.1
2012-06-27,19.0
2012-06-28,19.3
2012-06-29,19.8
2012-07-02,21.3
2012-07-03,20.85
2012-07-04,20.8
2012-07-05,22.4
2012-07-06,21.75
2012-07-09,21.1
2012-07-09,21.1
2012-07-10,21.1
2012-07-11,21.1
2012-07-12,21.05
2012-07-13,22.25
2012-07-16,21.55
2012-07-17,21.75
2012-07-18,22.05
2012-07-19,22.1
2012-07-20,22.1
2012-07-23,22.05
2012-07-24,22.1
2012-07-25,22.0
2012-07-26,21.7
2012-07-27,21.35
2012-07-30,21.1
2012-07-31,21.5
2012-08-01,21.9
2012-08-02,23.35
2012-08-03,22.85
2012-08-06,23.15
2012-08-07,23.7
2012-08-08,22.95
2012-08-09,22.55
2012-08-10,23.0
2012-08-13,23.05
2012-08-14,23.9
2012-08-16,23.75
2012-08-17,22.2
2012-08-21,23.1
2012-08-22,23.0
2012-08-23,22.95
2012-08-24,23.05
2012-08-27,22.45
2012-08-28,22.25
2012-08-29,22.15
2012-08-30,22.05
2012-08-31,21.95
2012-09-03,22.35
2012-09-04,22.35
2012-09-05,22.55
2012-09-06,22.3
2012-09-07,22.35
2012-09-08,22.5
2012-09-10,22.75
2012-09-11,23.25
2012-09-12,23.25
2012-09-13,23.15
2012-09-14,22.7
2012-09-17,22.75
2012-09-18,23.15
2012-09-20,23.1
2012-09-21,23.4
2012-09-24,24.05
2012-09-25,23.6
2012-09-26,23.4
2012-09-27,23.4
2012-09-28,24.7
2012-10-01,25.75
2012-10-03,25.75
2012-10-04,26.6
2012-10-05,26.85
2012-10-08,26.6
2012-10-09,26.55
2012-10-10,25.95
2012-10-11,27.25
2012-10-12,27.65
2012-10-15,27.8
2012-10-16,27.1
2012-10-17,26.65
2012-10-18,26.6
2012-10-19,25.85
2012-10-22,25.85
2012-10-23,25.9
2012-10-25,25.8
2012-10-26,25.3
2012-10-29,25.2
2012-10-30,25.2
2012-10-31,25.45
2012-11-01,26.0
2012-11-02,25.95
2012-11-05,26.05
2012-11-06,26.5
2012-11-07,26.6
2012-11-08,26.55
2012-11-09,25.95
2012-11-12,25.6
2012-11-13,26.0
2012-11-15,26.15
2012-11-16,25.6
2012-11-19,25.55
2012-11-20,26.1
2012-11-21,25.85
2012-11-22,25.75
2012-11-23,25.55
2012-11-26,25.95
2012-11-27,25.8
2012-11-29,25.95
2012-11-30,26.85
2012-12-03,27.35
2012-12-04,27.15
2012-12-05,27.35
2012-12-06,27.1
2012-12-07,27.1
2012-12-10,26.9
2012-12-11,26.35
2012-12-12,26.2
2012-12-13,26.15
2012-12-14,26.15
2012-12-17,26.05
2012-12-18,26.25
2012-12-19,26.85
2012-12-20,26.65
2012-12-21,26.5
2012-12-24,26.95
2012-12-26,26.55
2012-12-27,26.45
2012-12-28,26.35
2012-12-31,26.5
