Date,GOKUL
2012-01-02,78.55
2012-01-03,79.25
2012-01-04,78.9
2012-01-05,77.1
2012-01-06,79.5
2012-01-07,76.75
2012-01-09,78.15
2012-01-10,79.05
2012-01-11,81.95
2012-01-12,84.05
2012-01-13,84.05
2012-01-16,84.0
2012-01-17,82.25
2012-01-18,82.05
2012-01-19,81.3
2012-01-20,81.0
2012-01-23,81.65
2012-01-24,80.1
2012-01-25,79.2
2012-01-27,79.45
2012-01-30,78.5
2012-01-31,79.9
2012-02-01,80.4
2012-02-02,82.6
2012-02-03,85.05
2012-02-06,85.75
2012-02-07,86.15
2012-02-08,84.65
2012-02-09,83.7
2012-02-10,83.8
2012-02-13,86.0
2012-02-14,85.2
2012-02-15,82.7
2012-02-16,82.6
2012-02-17,83.4
2012-02-21,82.9
2012-02-22,83.6
2012-02-23,81.3
2012-02-24,80.95
2012-02-27,80.0
2012-02-28,77.3
2012-02-29,79.9
2012-03-01,77.4
2012-03-02,79.0
2012-03-03,79.7
2012-03-05,76.0
2012-03-06,76.95
2012-03-07,75.55
2012-03-09,78.0
2012-03-12,80.8
2012-03-13,80.8
2012-03-14,78.3
2012-03-15,77.55
2012-03-16,77.6
2012-03-19,77.9
2012-03-20,77.1
2012-03-21,76.5
2012-03-22,74.8
2012-03-23,75.55
2012-03-26,75.1
2012-03-27,76.35
2012-03-28,79.0
2012-03-29,76.65
2012-03-30,77.9
2012-04-02,77.75
2012-04-03,76.5
2012-04-04,76.15
2012-04-09,75.65
2012-04-10,75.5
2012-04-11,87.55
2012-04-12,82.15
2012-04-13,83.0
2012-04-16,83.45
2012-04-17,83.0
2012-04-18,83.3
2012-04-19,80.65
2012-04-20,79.1
2012-04-23,77.35
2012-04-24,75.6
2012-04-25,76.25
2012-04-26,76.55
2012-04-27,79.15
2012-04-28,80.3
2012-04-30,80.5
2012-05-02,81.0
2012-05-03,78.7
2012-05-04,83.3
2012-05-07,81.85
2012-05-08,79.35
2012-05-09,76.8
2012-05-10,76.55
2012-05-11,84.3
2012-05-14,90.0
2012-05-15,90.0
2012-05-16,87.75
2012-05-17,85.65
2012-05-18,81.9
2012-05-21,92.7
2012-05-22,92.45
2012-05-23,90.35
2012-05-24,88.85
2012-05-25,86.7
2012-05-28,86.3
2012-05-29,83.75
2012-05-30,85.35
2012-05-31,74.1
2012-06-01,75.5
2012-06-04,77.05
2012-06-05,79.5
2012-06-06,79.95
2012-06-07,77.85
2012-06-08,76.95
2012-06-11,77.0
2012-06-12,78.0
2012-06-13,79.35
2012-06-14,77.7
2012-06-15,79.65
2012-06-18,76.5
2012-06-19,75.2
2012-06-20,75.4
2012-06-21,76.0
2012-06-22,74.45
2012-06-25,74.2
2012-06-26,73.05
2012-06-27,73.25
2012-06-28,74.6
2012-06-29,76.0
2012-07-02,76.35
2012-07-03,76.9
2012-07-04,76.3
2012-07-05,76.95
2012-07-06,75.85
2012-07-09,76.2
2012-07-09,76.2
2012-07-10,75.95
2012-07-11,76.05
2012-07-12,75.95
2012-07-13,80.85
2012-07-16,84.1
2012-07-17,81.1
2012-07-18,80.5
2012-07-19,81.9
2012-07-20,81.4
2012-07-23,78.7
2012-07-24,78.0
2012-07-25,76.5
2012-07-26,61.25
2012-07-27,49.65
2012-07-30,51.55
2012-07-31,47.55
2012-08-01,49.1
2012-08-02,47.55
2012-08-03,48.05
2012-08-06,46.45
2012-08-07,46.85
2012-08-08,46.2
2012-08-09,45.65
2012-08-10,44.9
2012-08-13,48.1
2012-08-14,49.95
2012-08-16,50.05
2012-08-17,49.2
2012-08-21,48.7
2012-08-22,49.5
2012-08-23,51.55
2012-08-24,50.8
2012-08-27,50.2
2012-08-28,49.0
2012-08-29,46.7
2012-08-30,46.65
2012-08-31,45.3
2012-09-03,44.85
2012-09-04,44.0
2012-09-05,43.0
2012-09-06,42.9
2012-09-07,43.1
2012-09-08,43.0
2012-09-10,44.55
2012-09-11,43.75
2012-09-12,44.65
2012-09-13,42.25
2012-09-14,40.85
2012-09-17,41.9
2012-09-18,41.05
2012-09-20,39.35
2012-09-21,40.8
2012-09-24,40.85
2012-09-25,42.8
2012-09-26,44.4
2012-09-27,44.05
2012-09-28,43.35
2012-10-01,46.65
2012-10-03,50.0
2012-10-04,49.3
2012-10-05,47.65
2012-10-08,48.25
2012-10-09,45.75
2012-10-10,46.6
2012-10-11,49.0
2012-10-12,50.4
2012-10-15,49.55
2012-10-16,47.75
2012-10-17,47.2
2012-10-18,46.25
2012-10-19,45.75
2012-10-22,46.45
2012-10-23,47.95
2012-10-25,46.3
2012-10-26,44.8
2012-10-29,46.05
2012-10-30,44.75
2012-10-31,43.35
2012-11-01,42.75
2012-11-02,42.1
2012-11-05,40.9
2012-11-06,41.35
2012-11-07,42.95
2012-11-08,42.9
2012-11-09,42.7
2012-11-12,43.0
2012-11-13,41.45
2012-11-15,41.0
2012-11-16,40.65
2012-11-19,39.1
2012-11-20,39.45
2012-11-21,38.5
2012-11-22,38.65
2012-11-23,37.7
2012-11-26,43.2
2012-11-27,41.2
2012-11-29,40.1
2012-11-30,41.35
2012-12-03,41.55
2012-12-04,41.75
2012-12-05,40.3
2012-12-06,40.4
2012-12-07,41.5
2012-12-10,40.8
2012-12-11,39.85
2012-12-12,47.8
2012-12-13,44.25
2012-12-14,45.9
2012-12-17,44.2
2012-12-18,43.85
2012-12-19,42.85
2012-12-20,47.4
2012-12-21,44.2
2012-12-24,42.8
2012-12-26,41.9
2012-12-27,42.4
2012-12-28,45.95
2012-12-31,46.15
