Date,STEL
2012-01-02,10.65
2012-01-03,11.15
2012-01-04,11.45
2012-01-05,11.45
2012-01-06,11.6
2012-01-09,12.1
2012-01-10,12.5
2012-01-11,12.85
2012-01-12,12.9
2012-01-13,12.5
2012-01-16,12.25
2012-01-17,12.7
2012-01-18,12.55
2012-01-19,13.0
2012-01-20,13.6
2012-01-23,13.7
2012-01-24,13.55
2012-01-25,13.25
2012-01-27,12.7
2012-01-30,12.5
2012-01-31,13.0
2012-02-01,13.0
2012-02-02,12.4
2012-02-03,12.5
2012-02-06,12.7
2012-02-07,12.25
2012-02-08,12.85
2012-02-09,12.6
2012-02-10,12.85
2012-02-13,13.45
2012-02-14,14.0
2012-02-15,13.7
2012-02-16,13.4
2012-02-17,13.45
2012-02-21,13.05
2012-02-22,12.45
2012-02-23,11.9
2012-02-24,12.35
2012-02-27,12.65
2012-02-28,13.25
2012-02-29,13.65
2012-03-01,13.65
2012-03-02,13.0
2012-03-03,13.45
2012-03-05,13.2
2012-03-06,12.75
2012-03-07,13.6
2012-03-09,14.4
2012-03-12,13.55
2012-03-13,13.7
2012-03-14,13.7
2012-03-15,13.05
2012-03-16,13.45
2012-03-19,13.15
2012-03-20,13.65
2012-03-21,13.5
2012-03-22,13.05
2012-03-23,12.5
2012-03-26,13.7
2012-03-27,13.2
2012-03-28,12.85
2012-03-29,12.6
2012-03-30,12.75
2012-04-02,12.9
2012-04-03,13.7
2012-04-04,13.05
2012-04-09,12.65
2012-04-10,12.45
2012-04-11,12.4
2012-04-12,12.25
2012-04-13,12.75
2012-04-16,11.75
2012-04-17,12.05
2012-04-18,13.2
2012-04-19,12.75
2012-04-20,12.5
2012-04-23,12.1
2012-04-24,11.9
2012-04-25,12.0
2012-04-26,11.75
2012-04-27,11.6
2012-04-28,12.6
2012-04-30,11.45
2012-05-02,11.55
2012-05-03,11.25
2012-05-04,12.35
2012-05-07,13.55
2012-05-08,14.0
2012-05-09,13.15
2012-05-10,12.25
2012-05-11,12.55
2012-05-14,12.0
2012-05-15,12.5
2012-05-16,12.55
2012-05-17,11.95
2012-05-18,12.0
2012-05-21,12.05
2012-05-22,11.7
2012-05-23,12.85
2012-05-24,12.3
2012-05-25,14.7
2012-05-28,13.4
2012-05-29,13.5
2012-05-30,13.35
2012-05-31,13.15
2012-06-01,13.35
2012-06-04,13.0
2012-06-05,13.05
2012-06-06,13.2
2012-06-07,12.75
2012-06-08,12.55
2012-06-11,12.6
2012-06-12,12.95
2012-06-13,12.6
2012-06-14,12.75
2012-06-15,13.25
2012-06-18,13.1
2012-06-19,12.8
2012-06-20,13.8
2012-06-21,13.45
2012-06-22,14.0
2012-06-25,14.1
2012-06-26,13.9
2012-06-27,14.05
2012-06-28,13.25
2012-06-29,14.0
2012-07-02,13.65
2012-07-03,14.0
2012-07-04,14.0
2012-07-05,14.3
2012-07-06,14.3
2012-07-09,14.55
2012-07-10,14.35
2012-07-11,13.95
2012-07-12,13.8
2012-07-13,14.05
2012-07-16,14.9
2012-07-17,14.4
2012-07-18,14.0
2012-07-19,14.2
2012-07-20,14.05
2012-07-23,14.15
2012-07-24,14.25
2012-07-25,14.15
2012-07-26,14.5
2012-07-27,15.3
2012-07-30,14.9
2012-07-31,14.9
2012-08-01,14.95
2012-08-02,14.4
2012-08-03,14.85
2012-08-06,14.3
2012-08-07,14.55
2012-08-08,14.15
2012-08-09,13.9
2012-08-10,14.15
2012-08-13,14.0
2012-08-14,14.1
2012-08-16,14.55
2012-08-17,13.85
2012-08-21,14.35
2012-08-22,14.05
2012-08-23,13.55
2012-08-24,13.4
2012-08-27,13.75
2012-08-28,13.4
2012-08-29,13.2
2012-08-30,13.0
2012-08-31,13.85
2012-09-03,13.1
2012-09-04,13.0
2012-09-05,13.05
2012-09-06,13.25
2012-09-07,13.35
2012-09-08,12.75
2012-09-10,13.6
2012-09-11,13.0
2012-09-12,13.05
2012-09-13,13.4
2012-09-14,13.25
2012-09-17,13.5
2012-09-18,13.8
2012-09-20,13.8
2012-09-21,13.85
2012-09-24,13.55
2012-09-25,14.75
2012-09-26,14.2
2012-09-27,13.95
2012-09-28,14.6
2012-10-01,14.8
2012-10-03,14.85
2012-10-04,15.9
2012-10-05,15.15
2012-10-08,14.5
2012-10-09,14.4
2012-10-10,14.05
2012-10-11,14.0
2012-10-12,14.0
2012-10-15,14.0
2012-10-16,13.95
2012-10-17,13.55
2012-10-18,13.55
2012-10-19,13.3
2012-10-22,13.05
2012-10-23,13.05
2012-10-25,13.0
2012-10-26,12.9
2012-10-29,12.55
2012-10-30,13.05
2012-10-31,12.7
2012-11-01,12.7
2012-11-02,13.1
2012-11-05,12.65
2012-11-06,12.65
2012-11-07,12.65
2012-11-08,12.95
2012-11-09,12.6
2012-11-12,13.45
2012-11-13,13.6
2012-11-15,13.4
2012-11-16,13.1
2012-11-19,13.45
2012-11-20,13.1
2012-11-21,12.8
2012-11-22,12.7
2012-11-23,12.15
2012-11-26,12.6
2012-11-27,12.55
2012-11-29,12.65
2012-11-30,13.35
2012-12-03,12.55
2012-12-04,12.1
2012-12-05,12.5
2012-12-06,12.8
2012-12-07,12.95
2012-12-10,12.8
2012-12-11,12.95
2012-12-12,12.55
2012-12-13,12.55
2012-12-14,12.95
2012-12-17,12.35
2012-12-18,12.85
2012-12-19,12.65
2012-12-20,12.35
2012-12-21,12.35
2012-12-24,12.75
2012-12-26,12.8
2012-12-27,12.6
2012-12-28,12.95
2012-12-31,13.0
