Date,INVENTURE
2012-01-02,150.25
2012-01-03,150.2
2012-01-04,149.1
2012-01-05,148.05
2012-01-06,149.25
2012-01-07,149.0
2012-01-09,149.0
2012-01-10,149.15
2012-01-11,150.1
2012-01-12,156.25
2012-01-13,155.55
2012-01-16,156.05
2012-01-17,153.35
2012-01-18,152.45
2012-01-19,153.7
2012-01-20,160.65
2012-01-23,160.0
2012-01-24,191.8
2012-01-25,191.2
2012-01-27,193.5
2012-01-30,191.65
2012-01-31,210.6
2012-02-01,205.05
2012-02-02,204.6
2012-02-03,203.15
2012-02-06,203.35
2012-02-07,226.55
2012-02-08,223.25
2012-02-09,222.6
2012-02-10,219.05
2012-02-13,215.9
2012-02-14,215.1
2012-02-15,239.15
2012-02-16,232.2
2012-02-17,232.2
2012-02-21,253.3
2012-02-22,253.45
2012-02-23,245.35
2012-02-24,237.3
2012-02-27,239.9
2012-02-28,239.1
2012-02-29,239.25
2012-03-01,237.45
2012-03-02,233.55
2012-03-03,230.9
2012-03-05,235.45
2012-03-06,233.5
2012-03-07,232.85
2012-03-09,234.2
2012-03-12,233.9
2012-03-13,234.25
2012-03-14,230.1
2012-03-15,227.1
2012-03-16,228.4
2012-03-19,227.6
2012-03-20,219.5
2012-03-21,221.0
2012-03-22,219.75
2012-03-23,230.0
2012-03-26,229.6
2012-03-27,261.65
2012-03-28,282.45
2012-03-29,278.55
2012-03-30,294.05
2012-04-02,315.5
2012-04-03,311.4
2012-04-04,295.5
2012-04-09,286.9
2012-04-10,282.75
2012-04-11,323.8
2012-04-12,292.75
2012-04-13,270.15
2012-04-16,273.2
2012-04-17,250.35
2012-04-18,228.95
2012-04-19,225.75
2012-04-20,222.1
2012-04-23,215.35
2012-04-24,222.85
2012-04-25,206.75
2012-04-26,207.75
2012-04-27,208.4
2012-04-28,207.1
2012-04-30,207.4
2012-05-02,207.95
2012-05-03,205.85
2012-05-04,202.3
2012-05-07,208.0
2012-05-08,218.15
2012-05-09,231.45
2012-05-10,228.15
2012-05-11,215.3
2012-05-14,230.3
2012-05-15,233.8
2012-05-16,222.35
2012-05-17,221.2
2012-05-18,216.8
2012-05-21,202.05
2012-05-22,47.55
2012-05-23,44.45
2012-05-24,44.75
2012-05-25,43.85
2012-05-28,47.15
2012-05-29,51.9
2012-05-30,51.45
2012-05-31,50.3
2012-06-01,50.05
2012-06-04,54.2
2012-06-05,53.55
2012-06-06,56.95
2012-06-07,56.6
2012-06-08,58.1
2012-06-11,57.25
2012-06-12,58.85
2012-06-13,60.85
2012-06-14,59.3
2012-06-15,58.7
2012-06-18,57.85
2012-06-19,57.15
2012-06-20,56.2
2012-06-21,60.2
2012-06-22,60.35
2012-06-25,63.9
2012-06-26,64.65
2012-06-27,64.1
2012-06-28,63.85
2012-06-29,67.35
2012-07-02,68.35
2012-07-03,62.55
2012-07-04,60.8
2012-07-05,58.1
2012-07-06,55.35
2012-07-09,55.25
2012-07-09,55.25
2012-07-10,51.35
2012-07-11,49.25
2012-07-12,46.75
2012-07-13,37.4
2012-07-16,36.95
2012-07-17,34.9
2012-07-18,35.55
2012-07-19,32.0
2012-07-20,29.95
2012-07-23,28.6
2012-07-24,27.2
2012-07-25,25.85
2012-07-26,24.6
2012-07-27,25.8
2012-07-30,24.65
2012-07-31,23.45
2012-08-01,22.3
2012-08-02,21.2
2012-08-03,20.15
2012-08-06,19.15
2012-08-07,18.2
2012-08-08,17.3
2012-08-09,16.45
2012-08-10,15.65
2012-08-13,14.9
2012-08-14,14.2
2012-08-16,14.85
2012-08-17,15.55
2012-08-21,16.3
2012-08-22,17.1
2012-08-23,16.75
2012-08-24,15.95
2012-08-27,15.2
2012-08-28,14.7
2012-08-29,14.3
2012-08-30,15.0
2012-08-31,15.2
2012-09-03,14.6
2012-09-04,14.3
2012-09-05,13.9
2012-09-06,14.15
2012-09-07,14.25
2012-09-08,14.35
2012-09-10,14.1
2012-09-11,14.25
2012-09-12,14.25
2012-09-13,14.15
2012-09-14,14.05
2012-09-17,14.4
2012-09-18,14.55
2012-09-20,15.15
2012-09-21,15.45
2012-09-24,15.35
2012-09-25,15.3
2012-09-26,14.85
2012-09-27,14.0
2012-09-28,15.4
2012-10-01,15.85
2012-10-03,15.5
2012-10-04,16.0
2012-10-05,15.9
2012-10-08,16.45
2012-10-09,16.15
2012-10-10,15.55
2012-10-11,16.1
2012-10-12,15.9
2012-10-15,15.6
2012-10-16,15.4
2012-10-17,15.1
2012-10-18,15.05
2012-10-19,14.65
2012-10-22,14.45
2012-10-23,14.55
2012-10-25,14.2
2012-10-26,14.3
2012-10-29,13.95
2012-10-30,14.1
2012-10-31,13.9
2012-11-01,13.7
2012-11-02,14.05
2012-11-05,13.85
2012-11-06,13.7
2012-11-07,13.9
2012-11-08,14.0
2012-11-09,13.5
2012-11-12,13.6
2012-11-13,15.35
2012-11-15,14.95
2012-11-16,14.05
2012-11-19,14.25
2012-11-20,14.3
2012-11-21,13.95
2012-11-22,13.85
2012-11-23,13.65
2012-11-26,13.85
2012-11-27,13.65
2012-11-29,13.8
2012-11-30,13.95
2012-12-03,14.05
2012-12-04,14.4
2012-12-05,14.35
2012-12-06,14.9
2012-12-07,14.7
2012-12-10,14.8
2012-12-11,14.05
2012-12-12,13.65
2012-12-13,13.8
2012-12-14,13.9
2012-12-17,14.2
2012-12-18,14.1
2012-12-19,14.05
2012-12-20,14.0
2012-12-21,13.8
2012-12-24,13.8
2012-12-26,13.7
2012-12-27,13.95
2012-12-28,13.6
2012-12-31,13.9
