Date,VLSFINANCE
2012-01-02,9.95
2012-01-03,10.25
2012-01-04,10.15
2012-01-05,10.2
2012-01-06,10.2
2012-01-09,10.6
2012-01-10,11.45
2012-01-11,11.9
2012-01-12,11.9
2012-01-13,12.0
2012-01-16,12.25
2012-01-17,12.35
2012-01-18,12.45
2012-01-19,12.65
2012-01-20,12.45
2012-01-23,12.15
2012-01-24,12.4
2012-01-25,12.65
2012-01-27,12.65
2012-01-30,12.5
2012-01-31,12.65
2012-02-01,12.75
2012-02-02,13.55
2012-02-03,14.6
2012-02-06,16.85
2012-02-07,15.45
2012-02-08,15.9
2012-02-09,15.2
2012-02-10,14.55
2012-02-13,14.65
2012-02-14,14.1
2012-02-15,14.3
2012-02-16,14.4
2012-02-17,14.35
2012-02-21,14.65
2012-02-22,15.3
2012-02-23,15.25
2012-02-24,15.05
2012-02-27,16.1
2012-02-28,17.8
2012-02-29,19.4
2012-03-01,21.25
2012-03-02,21.4
2012-03-03,19.9
2012-03-05,17.95
2012-03-06,17.9
2012-03-07,17.7
2012-03-09,16.0
2012-03-12,15.2
2012-03-13,15.3
2012-03-14,16.05
2012-03-15,15.25
2012-03-16,14.75
2012-03-19,14.6
2012-03-20,14.5
2012-03-21,14.85
2012-03-22,14.2
2012-03-23,13.9
2012-03-26,13.25
2012-03-27,12.65
2012-03-28,12.05
2012-03-29,12.65
2012-03-30,13.25
2012-04-02,13.9
2012-04-03,14.55
2012-04-04,15.05
2012-04-09,14.35
2012-04-10,13.9
2012-04-11,14.55
2012-04-12,14.35
2012-04-13,14.05
2012-04-16,13.95
2012-04-17,14.4
2012-04-18,14.25
2012-04-19,13.6
2012-04-20,14.0
2012-04-23,13.55
2012-04-24,13.55
2012-04-25,13.0
2012-04-26,13.3
2012-04-27,13.3
2012-04-28,13.05
2012-04-30,13.05
2012-05-02,13.1
2012-05-03,13.1
2012-05-04,13.05
2012-05-07,12.9
2012-05-08,12.95
2012-05-09,12.9
2012-05-10,13.1
2012-05-11,12.95
2012-05-14,12.85
2012-05-15,13.0
2012-05-16,12.55
2012-05-17,12.4
2012-05-18,11.8
2012-05-21,12.3
2012-05-22,12.35
2012-05-23,12.35
2012-05-24,12.15
2012-05-25,12.3
2012-05-28,12.7
2012-05-29,12.55
2012-05-30,12.45
2012-05-31,12.15
2012-06-01,12.0
2012-06-04,11.8
2012-06-05,12.05
2012-06-06,12.0
2012-06-07,12.1
2012-06-08,12.05
2012-06-11,13.2
2012-06-12,14.25
2012-06-13,15.35
2012-06-14,14.6
2012-06-15,13.9
2012-06-18,13.25
2012-06-19,12.65
2012-06-20,12.5
2012-06-21,12.85
2012-06-22,13.05
2012-06-25,12.8
2012-06-26,12.7
2012-06-27,13.2
2012-06-28,13.0
2012-06-29,13.05
2012-07-02,13.0
2012-07-03,13.2
2012-07-04,13.15
2012-07-05,13.55
2012-07-06,13.35
2012-07-09,13.15
2012-07-10,13.2
2012-07-11,13.0
2012-07-12,12.95
2012-07-13,12.85
2012-07-16,12.75
2012-07-17,13.9
2012-07-18,12.95
2012-07-19,12.85
2012-07-20,12.65
2012-07-23,12.55
2012-07-24,12.85
2012-07-25,12.5
2012-07-26,12.15
2012-07-27,11.85
2012-07-30,12.0
2012-07-31,11.8
2012-08-01,12.15
2012-08-02,12.1
2012-08-03,12.0
2012-08-06,12.15
2012-08-07,12.25
2012-08-08,12.05
2012-08-09,11.85
2012-08-10,11.75
2012-08-13,11.9
2012-08-14,12.0
2012-08-16,12.05
2012-08-17,13.25
2012-08-21,13.0
2012-08-22,12.35
2012-08-23,12.3
2012-08-24,12.15
2012-08-27,12.3
2012-08-28,12.2
2012-08-29,12.25
2012-08-30,12.2
2012-08-31,12.1
2012-09-03,12.1
2012-09-04,12.1
2012-09-05,12.3
2012-09-06,12.3
2012-09-07,12.35
2012-09-08,12.4
2012-09-10,12.25
2012-09-11,12.5
2012-09-12,13.55
2012-09-13,13.05
2012-09-14,12.7
2012-09-17,12.65
2012-09-18,12.85
2012-09-20,12.7
2012-09-21,13.05
2012-09-24,13.4
2012-09-25,13.05
2012-09-26,13.05
2012-09-27,13.2
2012-09-28,13.4
2012-10-01,13.5
2012-10-03,14.5
2012-10-04,14.55
2012-10-05,14.25
2012-10-08,13.75
2012-10-09,13.8
2012-10-10,13.65
2012-10-11,13.45
2012-10-12,13.5
2012-10-15,13.3
2012-10-16,13.25
2012-10-17,13.1
2012-10-18,13.5
2012-10-19,13.2
2012-10-22,13.05
2012-10-23,13.15
2012-10-25,13.05
2012-10-26,13.1
2012-10-29,13.35
2012-10-30,13.4
2012-10-31,13.25
2012-11-01,14.05
2012-11-02,14.45
2012-11-05,14.55
2012-11-06,14.2
2012-11-07,14.15
2012-11-08,14.65
2012-11-09,14.35
2012-11-12,13.95
2012-11-13,14.3
2012-11-15,14.0
2012-11-16,13.75
2012-11-19,13.4
2012-11-20,13.0
2012-11-21,13.0
2012-11-22,12.85
2012-11-23,12.8
2012-11-26,12.85
2012-11-27,13.3
2012-11-29,12.9
2012-11-30,13.45
2012-12-03,13.65
2012-12-04,13.8
2012-12-05,13.95
2012-12-06,14.0
2012-12-07,13.85
2012-12-10,13.65
2012-12-11,13.45
2012-12-12,13.6
2012-12-13,13.5
2012-12-14,13.35
2012-12-17,13.1
2012-12-18,13.3
2012-12-19,15.9
2012-12-20,15.15
2012-12-21,14.1
2012-12-24,14.6
2012-12-26,14.55
2012-12-27,14.7
2012-12-28,14.45
2012-12-31,14.35
