Date,TANTIACONS
2012-01-02,38.1
2012-01-03,38.5
2012-01-04,38.3
2012-01-05,41.75
2012-01-06,40.15
2012-01-07,38.95
2012-01-09,41.45
2012-01-10,42.65
2012-01-11,43.55
2012-01-12,42.4
2012-01-13,43.95
2012-01-16,44.5
2012-01-17,44.5
2012-01-18,44.9
2012-01-19,43.2
2012-01-20,44.05
2012-01-23,45.1
2012-01-24,46.65
2012-01-25,46.05
2012-01-27,47.1
2012-01-30,47.0
2012-01-31,45.6
2012-02-01,45.55
2012-02-02,45.75
2012-02-03,51.25
2012-02-06,50.65
2012-02-07,49.9
2012-02-08,49.3
2012-02-09,50.65
2012-02-10,49.8
2012-02-13,51.7
2012-02-14,49.1
2012-02-15,50.1
2012-02-16,50.95
2012-02-17,50.85
2012-02-21,49.35
2012-02-22,47.6
2012-02-23,48.9
2012-02-24,46.75
2012-02-27,44.2
2012-02-28,44.9
2012-02-29,44.6
2012-03-01,43.85
2012-03-02,44.6
2012-03-03,45.0
2012-03-05,44.35
2012-03-06,42.6
2012-03-07,43.4
2012-03-09,45.8
2012-03-12,44.5
2012-03-13,44.95
2012-03-14,44.45
2012-03-15,43.65
2012-03-16,43.9
2012-03-19,45.15
2012-03-20,42.3
2012-03-21,43.0
2012-03-22,41.25
2012-03-23,41.4
2012-03-26,39.95
2012-03-27,39.05
2012-03-28,39.25
2012-03-29,40.6
2012-03-30,40.15
2012-04-02,40.8
2012-04-03,42.35
2012-04-04,43.8
2012-04-09,44.1
2012-04-10,44.0
2012-04-11,43.65
2012-04-12,43.0
2012-04-13,43.5
2012-04-16,41.6
2012-04-17,41.7
2012-04-18,42.1
2012-04-19,42.35
2012-04-20,41.9
2012-04-23,41.1
2012-04-24,42.0
2012-04-25,43.4
2012-04-26,44.4
2012-04-27,45.85
2012-04-28,46.8
2012-04-30,47.45
2012-05-02,48.75
2012-05-03,49.0
2012-05-04,49.2
2012-05-07,49.25
2012-05-08,49.45
2012-05-09,49.85
2012-05-10,50.7
2012-05-11,50.8
2012-05-14,49.0
2012-05-15,48.75
2012-05-16,47.65
2012-05-17,48.75
2012-05-18,46.6
2012-05-21,47.95
2012-05-22,49.65
2012-05-23,47.5
2012-05-24,49.45
2012-05-25,50.75
2012-05-28,51.6
2012-05-29,52.55
2012-05-30,52.65
2012-05-31,52.95
2012-06-01,52.75
2012-06-04,51.05
2012-06-05,52.7
2012-06-06,54.3
2012-06-07,54.35
2012-06-08,54.35
2012-06-11,55.55
2012-06-12,55.3
2012-06-13,56.4
2012-06-14,55.5
2012-06-15,54.05
2012-06-18,52.55
2012-06-19,51.75
2012-06-20,52.2
2012-06-21,51.6
2012-06-22,53.55
2012-06-25,53.85
2012-06-26,54.45
2012-06-27,54.8
2012-06-28,55.6
2012-06-29,56.85
2012-07-02,59.3
2012-07-03,60.45
2012-07-04,58.75
2012-07-05,58.6
2012-07-06,59.25
2012-07-09,60.45
2012-07-10,60.0
2012-07-11,57.55
2012-07-12,57.1
2012-07-13,57.8
2012-07-16,59.15
2012-07-17,55.3
2012-07-18,55.35
2012-07-19,55.7
2012-07-20,52.65
2012-07-23,52.6
2012-07-24,53.1
2012-07-25,53.9
2012-07-26,54.7
2012-07-27,53.55
2012-07-30,52.1
2012-07-31,53.4
2012-08-01,55.55
2012-08-02,57.25
2012-08-03,57.85
2012-08-06,58.8
2012-08-07,60.15
2012-08-08,59.85
2012-08-09,59.95
2012-08-10,56.3
2012-08-13,53.55
2012-08-14,55.1
2012-08-16,56.7
2012-08-17,56.95
2012-08-21,57.5
2012-08-22,58.15
2012-08-23,58.75
2012-08-24,59.35
2012-08-27,59.4
2012-08-28,57.5
2012-08-29,53.6
2012-08-30,54.5
2012-08-31,54.55
2012-09-03,53.25
2012-09-04,53.1
2012-09-05,54.35
2012-09-06,55.1
2012-09-07,56.75
2012-09-08,57.6
2012-09-10,59.15
2012-09-11,60.65
2012-09-12,61.55
2012-09-13,60.3
2012-09-14,58.75
2012-09-17,58.4
2012-09-18,54.85
2012-09-20,55.35
2012-09-21,58.35
2012-09-24,59.8
2012-09-25,60.3
2012-09-26,59.75
2012-09-27,59.3
2012-09-28,56.6
2012-10-01,55.55
2012-10-03,56.45
2012-10-04,56.7
2012-10-05,55.7
2012-10-08,56.65
2012-10-09,57.6
2012-10-10,55.3
2012-10-11,56.15
2012-10-12,55.5
2012-10-15,56.3
2012-10-16,56.7
2012-10-17,53.95
2012-10-18,54.25
2012-10-19,54.05
2012-10-22,54.3
2012-10-23,55.85
2012-10-25,56.25
2012-10-26,56.45
2012-10-29,56.35
2012-10-30,56.1
2012-10-31,56.9
2012-11-01,53.7
2012-11-02,53.5
2012-11-05,53.8
2012-11-06,54.45
2012-11-07,52.3
2012-11-08,52.65
2012-11-09,53.2
2012-11-12,51.7
2012-11-13,49.35
2012-11-15,50.45
2012-11-16,50.2
2012-11-19,50.5
2012-11-20,48.1
2012-11-21,48.95
2012-11-22,46.75
2012-11-23,48.1
2012-11-26,47.25
2012-11-27,47.85
2012-11-29,49.0
2012-11-30,50.75
2012-12-03,52.15
2012-12-04,53.2
2012-12-05,54.2
2012-12-06,53.5
2012-12-07,53.5
2012-12-10,54.25
2012-12-11,51.25
2012-12-12,49.65
2012-12-13,49.1
2012-12-14,50.25
2012-12-17,50.55
2012-12-18,47.6
2012-12-19,48.65
2012-12-20,47.45
2012-12-21,48.0
2012-12-24,48.7
2012-12-26,48.2
2012-12-27,48.4
2012-12-28,46.85
2012-12-31,46.25
