Date,GEOJITFSL
2012-01-02,15.15
2012-01-03,15.55
2012-01-04,15.65
2012-01-05,15.55
2012-01-06,15.55
2012-01-07,15.65
2012-01-09,16.2
2012-01-10,16.95
2012-01-11,17.25
2012-01-12,16.7
2012-01-13,16.8
2012-01-16,16.45
2012-01-17,16.6
2012-01-18,17.15
2012-01-19,17.25
2012-01-20,17.25
2012-01-23,17.3
2012-01-24,18.05
2012-01-25,17.9
2012-01-27,18.1
2012-01-30,17.95
2012-01-31,18.3
2012-02-01,18.55
2012-02-02,18.7
2012-02-03,18.85
2012-02-06,19.65
2012-02-07,19.6
2012-02-08,19.3
2012-02-09,19.6
2012-02-10,19.9
2012-02-13,19.9
2012-02-14,19.7
2012-02-15,20.55
2012-02-16,20.7
2012-02-17,21.45
2012-02-21,22.65
2012-02-22,22.15
2012-02-23,21.15
2012-02-24,20.6
2012-02-27,19.7
2012-02-28,21.55
2012-02-29,20.9
2012-03-01,20.55
2012-03-02,20.75
2012-03-03,20.85
2012-03-05,20.45
2012-03-06,19.6
2012-03-07,20.15
2012-03-09,20.7
2012-03-12,20.25
2012-03-13,20.5
2012-03-14,20.35
2012-03-15,20.1
2012-03-16,20.3
2012-03-19,20.15
2012-03-20,20.15
2012-03-21,20.35
2012-03-22,19.9
2012-03-23,19.65
2012-03-26,19.3
2012-03-27,19.3
2012-03-28,19.15
2012-03-29,18.6
2012-03-30,19.05
2012-04-02,19.5
2012-04-03,19.3
2012-04-04,19.2
2012-04-09,18.75
2012-04-10,18.6
2012-04-11,18.9
2012-04-12,19.0
2012-04-13,18.8
2012-04-16,18.65
2012-04-17,18.5
2012-04-18,18.75
2012-04-19,18.4
2012-04-20,17.95
2012-04-23,17.85
2012-04-24,18.05
2012-04-25,17.85
2012-04-26,17.65
2012-04-27,17.7
2012-04-28,17.8
2012-04-30,17.55
2012-05-02,17.6
2012-05-03,17.2
2012-05-04,17.1
2012-05-07,17.3
2012-05-08,16.7
2012-05-09,15.6
2012-05-10,16.0
2012-05-11,16.1
2012-05-14,16.15
2012-05-15,16.2
2012-05-16,16.15
2012-05-17,16.05
2012-05-18,16.05
2012-05-21,16.15
2012-05-22,16.25
2012-05-23,16.1
2012-05-24,16.75
2012-05-25,16.45
2012-05-28,16.45
2012-05-29,16.95
2012-05-30,16.6
2012-05-31,16.55
2012-06-01,17.1
2012-06-04,16.8
2012-06-05,17.1
2012-06-06,17.2
2012-06-07,16.95
2012-06-08,17.5
2012-06-11,18.3
2012-06-12,18.6
2012-06-13,18.65
2012-06-14,18.15
2012-06-15,18.2
2012-06-18,18.65
2012-06-19,18.75
2012-06-20,19.0
2012-06-21,19.25
2012-06-22,19.75
2012-06-25,19.55
2012-06-26,19.5
2012-06-27,19.5
2012-06-28,19.55
2012-06-29,19.65
2012-07-02,19.9
2012-07-03,19.85
2012-07-04,21.4
2012-07-05,21.9
2012-07-06,21.3
2012-07-09,20.45
2012-07-09,20.45
2012-07-10,20.55
2012-07-11,20.3
2012-07-12,20.05
2012-07-13,20.8
2012-07-16,19.95
2012-07-17,20.4
2012-07-18,20.75
2012-07-19,21.25
2012-07-20,20.9
2012-07-23,20.45
2012-07-24,20.4
2012-07-25,20.0
2012-07-26,20.1
2012-07-27,20.0
2012-07-30,20.25
2012-07-31,20.15
2012-08-01,20.05
2012-08-02,20.3
2012-08-03,20.0
2012-08-06,20.05
2012-08-07,20.1
2012-08-08,19.8
2012-08-09,19.65
2012-08-10,19.5
2012-08-13,19.25
2012-08-14,19.15
2012-08-16,19.0
2012-08-17,18.9
2012-08-21,18.8
2012-08-22,18.65
2012-08-23,18.4
2012-08-24,18.4
2012-08-27,18.25
2012-08-28,18.0
2012-08-29,17.7
2012-08-30,18.0
2012-08-31,17.7
2012-09-03,18.0
2012-09-04,20.0
2012-09-05,18.4
2012-09-06,18.45
2012-09-07,18.55
2012-09-08,18.75
2012-09-10,19.0
2012-09-11,19.15
2012-09-12,19.0
2012-09-13,19.45
2012-09-14,19.35
2012-09-17,21.5
2012-09-18,21.95
2012-09-20,20.8
2012-09-21,21.1
2012-09-24,21.75
2012-09-25,21.6
2012-09-26,21.35
2012-09-27,21.5
2012-09-28,21.85
2012-10-01,22.1
2012-10-03,23.3
2012-10-04,23.85
2012-10-05,23.5
2012-10-08,23.25
2012-10-09,23.5
2012-10-10,23.45
2012-10-11,23.4
2012-10-12,23.45
2012-10-15,22.8
2012-10-16,23.6
2012-10-17,23.0
2012-10-18,22.95
2012-10-19,23.25
2012-10-22,23.15
2012-10-23,23.25
2012-10-25,23.1
2012-10-26,22.65
2012-10-29,22.05
2012-10-30,21.95
2012-10-31,21.7
2012-11-01,21.9
2012-11-02,22.0
2012-11-05,21.9
2012-11-06,21.85
2012-11-07,22.05
2012-11-08,21.7
2012-11-09,21.55
2012-11-12,21.95
2012-11-13,22.1
2012-11-15,23.9
2012-11-16,24.45
2012-11-19,24.0
2012-11-20,23.6
2012-11-21,23.35
2012-11-22,23.8
2012-11-23,23.9
2012-11-26,24.15
2012-11-27,24.45
2012-11-29,24.45
2012-11-30,24.65
2012-12-03,25.5
2012-12-04,25.25
2012-12-05,26.15
2012-12-06,26.25
2012-12-07,25.9
2012-12-10,25.75
2012-12-11,26.65
2012-12-12,27.9
2012-12-13,27.35
2012-12-14,26.75
2012-12-17,26.45
2012-12-18,26.3
2012-12-19,26.6
2012-12-20,26.1
2012-12-21,25.2
2012-12-24,25.2
2012-12-26,25.2
2012-12-27,24.7
2012-12-28,24.7
2012-12-31,24.7
