Date,ULTRACEMCO
2012-01-02,1154.0
2012-01-03,1175.65
2012-01-04,1141.9
2012-01-05,1150.1
2012-01-06,1150.6
2012-01-07,1142.2
2012-01-09,1151.75
2012-01-10,1164.95
2012-01-11,1137.75
2012-01-12,1146.9
2012-01-13,1164.45
2012-01-16,1159.35
2012-01-17,1179.7
2012-01-18,1182.55
2012-01-19,1199.75
2012-01-20,1213.75
2012-01-23,1218.45
2012-01-24,1217.85
2012-01-25,1239.7
2012-01-27,1229.8
2012-01-30,1190.05
2012-01-31,1214.75
2012-02-01,1239.15
2012-02-02,1263.25
2012-02-03,1275.8
2012-02-06,1363.75
2012-02-07,1360.7
2012-02-08,1387.05
2012-02-09,1400.65
2012-02-10,1382.85
2012-02-13,1396.5
2012-02-14,1408.55
2012-02-15,1439.25
2012-02-16,1472.3
2012-02-17,1476.3
2012-02-21,1480.4
2012-02-22,1480.55
2012-02-23,1446.0
2012-02-24,1402.4
2012-02-27,1399.05
2012-02-28,1404.95
2012-02-29,1406.4
2012-03-01,1416.85
2012-03-02,1424.55
2012-03-03,1401.85
2012-03-05,1390.25
2012-03-06,1405.6
2012-03-07,1422.7
2012-03-09,1472.7
2012-03-12,1476.05
2012-03-13,1500.5
2012-03-14,1508.2
2012-03-15,1483.1
2012-03-16,1480.3
2012-03-19,1481.9
2012-03-20,1508.4
2012-03-21,1529.75
2012-03-22,1497.25
2012-03-23,1515.0
2012-03-26,1491.0
2012-03-27,1494.6
2012-03-28,1480.8
2012-03-29,1495.15
2012-03-30,1514.55
2012-04-02,1495.0
2012-04-03,1512.3
2012-04-04,1514.15
2012-04-09,1503.0
2012-04-10,1500.05
2012-04-11,1482.6
2012-04-12,1475.3
2012-04-13,1475.35
2012-04-16,1441.05
2012-04-17,1460.7
2012-04-18,1480.0
2012-04-19,1469.3
2012-04-20,1463.0
2012-04-23,1466.75
2012-04-24,1415.85
2012-04-25,1413.0
2012-04-26,1429.2
2012-04-27,1418.8
2012-04-28,1410.35
2012-04-30,1424.9
2012-05-02,1422.7
2012-05-03,1416.2
2012-05-04,1364.85
2012-05-07,1413.2
2012-05-08,1404.6
2012-05-09,1373.5
2012-05-10,1392.9
2012-05-11,1368.7
2012-05-14,1375.5
2012-05-15,1399.6
2012-05-16,1401.85
2012-05-17,1410.8
2012-05-18,1406.75
2012-05-21,1410.8
2012-05-22,1380.95
2012-05-23,1369.5
2012-05-24,1373.2
2012-05-25,1384.0
2012-05-28,1386.1
2012-05-29,1380.9
2012-05-30,1382.25
2012-05-31,1423.85
2012-06-01,1466.2
2012-06-04,1405.75
2012-06-05,1382.85
2012-06-06,1396.8
2012-06-07,1385.85
2012-06-08,1399.2
2012-06-11,1384.95
2012-06-12,1409.9
2012-06-13,1423.2
2012-06-14,1429.25
2012-06-15,1449.75
2012-06-18,1441.35
2012-06-19,1445.4
2012-06-20,1429.55
2012-06-21,1465.9
2012-06-22,1456.15
2012-06-25,1473.75
2012-06-26,1479.75
2012-06-27,1463.4
2012-06-28,1516.0
2012-06-29,1516.5
2012-07-02,1514.85
2012-07-03,1536.85
2012-07-04,1536.95
2012-07-05,1543.25
2012-07-06,1544.9
2012-07-09,1561.2
2012-07-10,1563.05
2012-07-11,1585.95
2012-07-12,1569.8
2012-07-13,1572.1
2012-07-16,1571.5
2012-07-17,1564.55
2012-07-18,1565.5
2012-07-19,1573.0
2012-07-20,1566.6
2012-07-23,1596.8
2012-07-24,1614.5
2012-07-25,1617.3
2012-07-26,1615.3
2012-07-27,1631.1
2012-07-30,1638.75
2012-07-31,1639.6
2012-08-01,1639.1
2012-08-02,1639.95
2012-08-03,1637.65
2012-08-06,1637.8
2012-08-07,1639.05
2012-08-08,1641.55
2012-08-09,1655.45
2012-08-10,1675.65
2012-08-13,1711.4
2012-08-14,1711.9
2012-08-16,1721.1
2012-08-17,1732.35
2012-08-21,1718.9
2012-08-22,1735.6
2012-08-23,1726.45
2012-08-24,1723.55
2012-08-27,1751.35
2012-08-28,1734.45
2012-08-29,1717.3
2012-08-30,1712.55
2012-08-31,1693.9
2012-09-03,1665.7
2012-09-04,1670.1
2012-09-05,1675.05
2012-09-06,1691.2
2012-09-07,1736.25
2012-09-08,1741.0
2012-09-10,1755.05
2012-09-11,1756.05
2012-09-12,1761.55
2012-09-13,1718.3
2012-09-14,1754.45
2012-09-17,1763.4
2012-09-18,1804.95
2012-09-20,1837.6
2012-09-21,1837.6
2012-09-24,1832.25
2012-09-25,1836.3
2012-09-26,1885.0
2012-09-27,1950.85
2012-09-28,1967.85
2012-10-01,2014.55
2012-10-03,2010.3
2012-10-04,1982.05
