Date,KIRIINDUS
2012-01-02,59.45
2012-01-03,65.4
2012-01-04,71.9
2012-01-05,75.5
2012-01-06,79.25
2012-01-07,83.2
2012-01-09,87.3
2012-01-10,91.6
2012-01-11,87.05
2012-01-12,82.7
2012-01-13,78.8
2012-01-16,82.7
2012-01-17,84.2
2012-01-18,80.0
2012-01-19,80.1
2012-01-20,81.15
2012-01-23,80.95
2012-01-24,82.65
2012-01-25,81.35
2012-01-27,83.4
2012-01-30,80.0
2012-01-31,79.85
2012-02-01,83.8
2012-02-02,87.95
2012-02-03,91.3
2012-02-06,90.15
2012-02-07,88.75
2012-02-08,89.65
2012-02-09,89.55
2012-02-10,87.6
2012-02-13,90.45
2012-02-14,92.3
2012-02-15,94.8
2012-02-16,99.2
2012-02-17,102.5
2012-02-21,102.0
2012-02-22,97.25
2012-02-23,92.8
2012-02-24,92.15
2012-02-27,87.55
2012-02-28,85.65
2012-02-29,87.95
2012-03-01,90.1
2012-03-02,93.75
2012-03-03,89.3
2012-03-05,90.65
2012-03-06,90.95
2012-03-07,88.75
2012-03-09,87.95
2012-03-12,89.35
2012-03-13,91.0
2012-03-14,91.35
2012-03-15,92.0
2012-03-16,93.0
2012-03-19,92.2
2012-03-20,91.95
2012-03-21,96.55
2012-03-22,95.55
2012-03-23,96.15
2012-03-26,90.45
2012-03-27,92.95
2012-03-28,92.85
2012-03-29,92.45
2012-03-30,93.15
2012-04-02,94.05
2012-04-03,99.95
2012-04-04,97.95
2012-04-09,95.75
2012-04-10,95.45
2012-04-11,92.85
2012-04-12,90.35
2012-04-13,86.45
2012-04-16,86.1
2012-04-17,84.45
2012-04-18,84.9
2012-04-19,84.2
2012-04-20,84.05
2012-04-23,80.1
2012-04-24,74.65
2012-04-25,71.15
2012-04-26,69.95
2012-04-27,66.5
2012-04-28,67.1
2012-04-30,64.05
2012-05-02,63.15
2012-05-03,60.2
2012-05-04,57.2
2012-05-07,55.15
2012-05-08,53.7
2012-05-09,52.1
2012-05-10,49.75
2012-05-11,47.3
2012-05-14,44.95
2012-05-15,42.75
2012-05-16,40.65
2012-05-17,38.65
2012-05-18,36.75
2012-05-21,38.45
2012-05-22,39.75
2012-05-23,39.05
2012-05-24,38.75
2012-05-25,38.4
2012-05-28,39.7
2012-05-29,39.1
2012-05-30,37.15
2012-05-31,35.3
2012-06-01,33.55
2012-06-04,31.9
2012-06-05,30.35
2012-06-06,28.85
2012-06-07,27.45
2012-06-08,27.15
2012-06-11,28.2
2012-06-12,29.6
2012-06-13,31.05
2012-06-14,29.55
2012-06-15,28.5
2012-06-18,27.8
2012-06-19,26.8
2012-06-20,26.8
2012-06-21,26.8
2012-06-22,26.5
2012-06-25,25.95
2012-06-26,24.8
2012-06-27,24.5
2012-06-28,23.95
2012-06-29,23.95
2012-07-02,23.6
2012-07-03,22.45
2012-07-04,21.35
2012-07-05,22.4
2012-07-06,23.5
2012-07-09,24.65
2012-07-09,24.65
2012-07-10,25.85
2012-07-11,26.35
2012-07-12,26.65
2012-07-13,27.75
2012-07-16,29.1
2012-07-17,30.55
2012-07-18,31.35
2012-07-19,30.2
2012-07-20,28.75
2012-07-23,27.35
2012-07-24,26.15
2012-07-25,25.2
2012-07-26,24.85
2012-07-27,23.9
2012-07-30,24.8
2012-07-31,24.05
2012-08-01,25.25
2012-08-02,26.5
2012-08-03,27.7
2012-08-06,26.55
2012-08-07,25.8
2012-08-08,26.1
2012-08-09,25.5
2012-08-10,24.8
2012-08-13,25.6
2012-08-14,25.65
2012-08-16,25.05
2012-08-17,24.8
2012-08-21,24.2
2012-08-22,23.65
2012-08-23,23.4
2012-08-24,23.3
2012-08-27,22.85
2012-08-28,21.85
2012-08-29,21.8
2012-08-30,20.9
2012-08-31,20.9
2012-09-03,21.35
2012-09-04,21.65
2012-09-05,20.95
2012-09-06,21.0
2012-09-07,23.1
2012-09-08,25.35
2012-09-10,25.45
2012-09-11,23.15
2012-09-12,22.95
2012-09-13,23.65
2012-09-14,23.5
2012-09-17,22.75
2012-09-18,23.05
2012-09-20,23.0
2012-09-21,22.4
2012-09-24,22.05
2012-09-25,21.4
2012-09-26,21.4
2012-09-27,23.5
2012-09-28,23.85
2012-10-01,23.9
2012-10-03,24.7
2012-10-04,23.95
2012-10-05,24.0
2012-10-08,24.05
2012-10-09,24.3
2012-10-10,23.8
2012-10-11,23.85
2012-10-12,24.15
2012-10-15,24.05
2012-10-16,24.35
2012-10-17,24.65
2012-10-18,24.75
2012-10-19,24.05
2012-10-22,23.55
2012-10-23,23.3
2012-10-25,23.35
2012-10-26,23.15
2012-10-29,22.6
2012-10-30,22.1
2012-10-31,22.2
2012-11-01,22.4
2012-11-02,22.75
2012-11-05,24.0
2012-11-06,23.85
2012-11-07,23.65
2012-11-08,23.5
2012-11-09,23.0
2012-11-12,22.65
2012-11-13,22.8
2012-11-15,21.7
2012-11-16,21.6
2012-11-19,21.05
2012-11-20,21.25
2012-11-21,21.15
2012-11-22,21.1
2012-11-23,20.85
2012-11-26,19.25
2012-11-27,15.95
2012-11-29,12.8
2012-11-30,11.55
2012-12-03,12.0
2012-12-04,12.0
2012-12-05,11.95
2012-12-06,12.1
2012-12-07,11.85
2012-12-10,12.0
2012-12-11,11.9
2012-12-12,11.7
2012-12-13,11.85
2012-12-14,11.65
2012-12-17,12.35
2012-12-18,12.0
2012-12-19,12.0
2012-12-20,11.8
2012-12-21,11.65
2012-12-24,11.65
2012-12-26,11.3
2012-12-27,11.35
2012-12-28,11.45
2012-12-31,12.55
