Date,PLASTIBLEN
2012-01-02,150.0
2012-01-03,151.2
2012-01-04,146.45
2012-01-05,149.9
2012-01-06,150.0
2012-01-07,151.55
2012-01-09,152.0
2012-01-10,159.65
2012-01-11,158.0
2012-01-12,160.2
2012-01-13,162.5
2012-01-16,164.5
2012-01-17,166.25
2012-01-18,165.0
2012-01-19,165.0
2012-01-20,160.0
2012-01-23,161.0
2012-01-24,160.0
2012-01-25,159.95
2012-01-27,160.5
2012-01-30,158.75
2012-01-31,161.0
2012-02-01,162.2
2012-02-02,160.7
2012-02-03,159.3
2012-02-06,156.75
2012-02-07,157.45
2012-02-08,157.15
2012-02-09,158.1
2012-02-10,158.15
2012-02-13,157.45
2012-02-14,159.1
2012-02-15,160.15
2012-02-16,162.25
2012-02-17,174.8
2012-02-21,178.95
2012-02-22,175.95
2012-02-23,178.35
2012-02-24,179.3
2012-02-27,171.6
2012-02-28,171.6
2012-02-29,87.35
2012-03-01,87.95
2012-03-02,87.4
2012-03-03,84.65
2012-03-05,81.6
2012-03-06,80.9
2012-03-07,79.5
2012-03-09,79.6
2012-03-12,79.8
2012-03-13,79.95
2012-03-14,79.25
2012-03-15,80.8
2012-03-16,78.1
2012-03-19,77.15
2012-03-20,77.0
2012-03-21,77.9
2012-03-22,77.0
2012-03-23,75.85
2012-03-26,74.7
2012-03-27,74.2
2012-03-28,73.8
2012-03-29,73.9
2012-03-30,74.0
2012-04-02,74.0
2012-04-03,75.1
2012-04-04,76.95
2012-04-09,75.75
2012-04-10,76.05
2012-04-11,76.25
2012-04-12,76.0
2012-04-13,76.3
2012-04-16,76.0
2012-04-17,77.0
2012-04-18,78.8
2012-04-19,79.25
2012-04-20,76.9
2012-04-23,77.0
2012-04-24,77.0
2012-04-25,78.0
2012-04-26,76.8
2012-04-27,75.95
2012-04-30,77.95
2012-05-02,77.1
2012-05-03,76.0
2012-05-04,72.5
2012-05-07,75.7
2012-05-08,74.5
2012-05-09,74.95
2012-05-10,73.0
2012-05-11,73.0
2012-05-14,74.0
2012-05-15,74.75
2012-05-16,72.3
2012-05-17,72.6
2012-05-18,74.9
2012-05-21,74.0
2012-05-22,74.0
2012-05-23,73.0
2012-05-24,73.9
2012-05-25,71.55
2012-05-28,73.95
2012-05-29,74.0
2012-05-30,74.0
2012-05-31,72.35
2012-06-01,72.95
2012-06-04,73.15
2012-06-05,72.75
2012-06-06,72.55
2012-06-07,73.0
2012-06-08,73.65
2012-06-11,76.25
2012-06-12,75.4
2012-06-13,75.0
2012-06-14,75.15
2012-06-15,74.35
2012-06-18,72.4
2012-06-19,72.7
2012-06-20,74.0
2012-06-21,75.45
2012-06-22,74.5
2012-06-25,76.0
2012-06-26,75.0
2012-06-27,75.0
2012-06-28,76.85
2012-06-29,74.85
2012-07-02,75.15
2012-07-03,75.0
2012-07-04,75.8
2012-07-05,77.1
2012-07-06,79.75
2012-07-09,77.7
2012-07-09,77.7
2012-07-10,76.25
2012-07-11,77.0
2012-07-12,75.95
2012-07-13,75.25
2012-07-16,76.0
2012-07-17,73.45
2012-07-18,74.75
2012-07-19,74.5
2012-07-20,74.75
2012-07-23,74.5
2012-07-24,74.6
2012-07-25,73.7
2012-07-26,74.55
2012-07-27,74.3
2012-07-30,74.25
2012-07-31,75.9
2012-08-01,74.0
2012-08-02,74.0
2012-08-03,74.0
2012-08-06,74.5
2012-08-07,78.85
2012-08-08,78.55
2012-08-09,78.0
2012-08-10,76.4
2012-08-13,77.9
2012-08-14,79.35
2012-08-16,79.3
2012-08-17,78.65
2012-08-21,78.0
2012-08-22,76.9
2012-08-23,76.5
2012-08-24,77.0
2012-08-27,76.1
2012-08-28,71.85
2012-08-29,72.0
2012-08-30,71.05
2012-08-31,71.65
2012-09-03,72.0
2012-09-04,72.0
2012-09-05,74.1
2012-09-06,72.1
2012-09-07,74.0
2012-09-08,74.55
2012-09-10,75.0
2012-09-11,75.55
2012-09-12,75.0
2012-09-13,75.0
2012-09-14,76.0
2012-09-17,76.05
2012-09-18,76.15
2012-09-20,76.1
2012-09-21,76.0
2012-09-24,76.0
2012-09-25,76.25
2012-09-26,75.75
2012-09-27,76.8
2012-09-28,76.1
2012-10-01,76.75
2012-10-03,79.95
2012-10-04,83.75
2012-10-05,83.8
2012-10-08,81.1
2012-10-09,82.5
2012-10-10,80.9
2012-10-11,81.95
2012-10-12,80.1
2012-10-15,79.5
2012-10-16,82.9
2012-10-17,80.2
2012-10-18,80.85
2012-10-19,80.5
2012-10-22,80.9
2012-10-23,82.55
2012-10-25,80.95
2012-10-26,81.0
2012-10-29,79.15
2012-10-30,78.95
2012-10-31,81.5
2012-11-01,79.55
2012-11-02,80.0
2012-11-05,76.2
2012-11-06,74.75
2012-11-07,77.2
2012-11-08,79.5
2012-11-09,77.85
2012-11-12,76.85
2012-11-13,79.8
2012-11-15,77.0
2012-11-16,79.95
2012-11-19,79.1
2012-11-20,79.0
2012-11-21,79.2
2012-11-22,80.0
2012-11-23,78.0
2012-11-26,77.5
2012-11-27,77.0
2012-11-29,79.95
2012-11-30,78.65
2012-12-03,79.0
2012-12-04,77.4
2012-12-05,77.6
2012-12-06,80.25
2012-12-07,79.85
2012-12-10,79.8
2012-12-11,80.15
2012-12-12,82.2
2012-12-13,80.1
2012-12-14,78.6
2012-12-17,79.9
2012-12-18,80.65
2012-12-19,80.0
2012-12-20,80.75
2012-12-21,79.8
2012-12-24,79.5
2012-12-26,78.45
2012-12-27,79.1
2012-12-28,78.2
2012-12-31,79.2
