Date,RAIN
2012-01-02,30.25
2012-01-03,31.7
2012-01-04,30.75
2012-01-05,30.7
2012-01-06,30.8
2012-01-07,31.0
2012-01-09,31.7
2012-01-10,31.95
2012-01-11,31.65
2012-01-12,31.65
2012-01-13,32.0
2012-01-16,31.55
2012-01-17,31.55
2012-01-18,31.6
2012-01-19,31.6
2012-01-20,31.65
2012-01-23,32.1
2012-01-24,32.2
2012-01-25,34.35
2012-01-27,33.6
2012-01-30,33.2
2012-01-31,33.5
2012-02-01,33.4
2012-02-02,33.1
2012-02-03,32.9
2012-02-06,33.05
2012-02-07,33.05
2012-02-08,33.05
2012-02-09,34.0
2012-02-10,34.05
2012-02-13,34.8
2012-02-14,35.7
2012-02-15,36.5
2012-02-16,38.1
2012-02-17,40.0
2012-02-21,38.05
2012-02-22,37.25
2012-02-23,37.3
2012-02-24,39.45
2012-02-27,38.1
2012-02-28,38.45
2012-02-29,38.45
2012-03-01,37.55
2012-03-02,38.95
2012-03-03,38.9
2012-03-05,38.25
2012-03-06,38.0
2012-03-07,37.65
2012-03-09,38.85
2012-03-12,38.05
2012-03-13,39.25
2012-03-14,39.1
2012-03-15,39.2
2012-03-16,38.3
2012-03-19,38.6
2012-03-20,39.05
2012-03-21,38.95
2012-03-22,38.4
2012-03-23,37.95
2012-03-26,38.05
2012-03-27,38.4
2012-03-28,38.5
2012-03-29,38.05
2012-03-30,38.0
2012-04-02,37.7
2012-04-03,38.05
2012-04-04,40.1
2012-04-09,39.45
2012-04-10,39.25
2012-04-11,39.05
2012-04-12,39.3
2012-04-13,39.9
2012-04-16,38.8
2012-04-17,38.25
2012-04-18,38.05
2012-04-19,37.35
2012-04-20,38.05
2012-04-23,37.25
2012-04-24,36.6
2012-04-25,36.9
2012-04-26,38.8
2012-04-27,39.05
2012-04-28,39.0
2012-04-30,39.7
2012-05-02,38.85
2012-05-03,38.8
2012-05-04,38.4
2012-05-07,38.75
2012-05-08,38.85
2012-05-09,38.1
2012-05-10,37.9
2012-05-11,37.05
2012-05-14,37.25
2012-05-15,36.5
2012-05-16,35.9
2012-05-17,35.9
2012-05-18,35.9
2012-05-21,36.0
2012-05-22,36.0
2012-05-23,35.95
2012-05-24,36.25
2012-05-25,35.85
2012-05-28,36.35
2012-05-29,36.65
2012-05-30,37.0
2012-05-31,37.0
2012-06-01,37.2
2012-06-04,37.05
2012-06-05,37.1
2012-06-06,37.4
2012-06-07,37.85
2012-06-08,37.4
2012-06-11,37.25
2012-06-12,37.25
2012-06-13,37.2
2012-06-14,36.8
2012-06-15,36.75
2012-06-18,36.6
2012-06-19,36.65
2012-06-20,36.65
2012-06-21,37.0
2012-06-22,36.75
2012-06-25,36.65
2012-06-26,35.75
2012-06-27,33.7
2012-06-28,33.3
2012-06-29,34.55
2012-07-02,34.8
2012-07-03,34.95
2012-07-04,33.85
2012-07-05,35.1
2012-07-06,34.95
2012-07-09,34.25
2012-07-10,34.25
2012-07-11,34.55
2012-07-12,34.15
2012-07-13,34.45
2012-07-16,33.95
2012-07-17,33.95
2012-07-18,33.55
2012-07-19,33.8
2012-07-20,33.55
2012-07-23,32.95
2012-07-24,33.05
2012-07-25,33.55
2012-07-26,33.45
2012-07-27,31.8
2012-07-30,32.35
2012-07-31,34.0
2012-08-01,34.7
2012-08-02,34.75
2012-08-03,35.95
2012-08-06,35.2
2012-08-07,35.5
2012-08-08,35.75
2012-08-09,35.95
2012-08-10,36.45
2012-08-13,37.9
2012-08-14,38.65
2012-08-16,37.65
2012-08-17,37.15
2012-08-21,37.45
2012-08-22,39.0
2012-08-23,38.0
2012-08-24,37.6
2012-08-27,36.35
2012-08-28,37.0
2012-08-29,36.7
2012-08-30,36.7
2012-08-31,36.8
2012-09-03,36.85
2012-09-04,37.05
2012-09-05,36.75
2012-09-06,36.55
2012-09-07,37.25
2012-09-08,37.0
2012-09-10,37.1
2012-09-11,37.15
2012-09-12,37.25
2012-09-13,37.3
2012-09-14,38.05
2012-09-17,37.2
2012-09-18,37.3
2012-09-20,37.8
2012-09-21,38.5
2012-09-24,38.65
2012-09-25,38.3
2012-09-26,39.05
2012-09-27,40.0
2012-09-28,41.2
2012-10-01,43.7
2012-10-03,46.2
2012-10-04,46.7
2012-10-05,45.35
2012-10-08,44.75
2012-10-09,44.05
2012-10-10,42.9
2012-10-11,42.95
2012-10-12,41.9
2012-10-15,43.65
2012-10-16,43.9
2012-10-17,42.95
2012-10-18,43.0
2012-10-19,43.35
2012-10-22,41.15
2012-10-23,39.3
2012-10-25,39.15
2012-10-26,38.1
2012-10-29,38.95
2012-10-30,39.45
2012-10-31,38.8
2012-11-01,40.1
2012-11-02,39.6
2012-11-05,39.0
2012-11-06,38.8
2012-11-07,38.8
2012-11-08,38.35
2012-11-09,37.5
2012-11-12,37.5
2012-11-13,38.25
2012-11-15,38.25
2012-11-16,37.5
2012-11-19,36.9
2012-11-20,36.3
2012-11-21,35.35
2012-11-22,35.9
2012-11-23,36.45
2012-11-26,36.7
2012-11-27,36.95
2012-11-29,36.45
2012-11-30,36.65
2012-12-03,36.35
2012-12-04,36.55
2012-12-05,37.05
2012-12-06,37.45
2012-12-07,38.35
2012-12-10,38.5
2012-12-11,38.4
2012-12-12,38.25
2012-12-13,37.85
2012-12-14,37.2
2012-12-17,36.95
2012-12-18,37.1
2012-12-19,37.6
2012-12-20,38.0
2012-12-21,36.75
2012-12-24,38.05
2012-12-26,38.9
2012-12-27,39.05
2012-12-28,39.3
2012-12-31,39.6
