Date,DENABANK
2012-01-02,48.85
2012-01-03,52.3
2012-01-04,52.7
2012-01-05,52.95
2012-01-06,52.8
2012-01-07,52.95
2012-01-09,54.15
2012-01-10,57.4
2012-01-11,57.65
2012-01-12,59.1
2012-01-13,59.8
2012-01-16,60.05
2012-01-17,61.2
2012-01-18,58.55
2012-01-19,59.6
2012-01-20,60.8
2012-01-23,61.8
2012-01-24,66.0
2012-01-25,66.8
2012-01-27,67.65
2012-01-30,65.55
2012-01-31,67.9
2012-02-01,68.8
2012-02-02,71.45
2012-02-03,73.45
2012-02-06,79.85
2012-02-07,78.6
2012-02-08,80.6
2012-02-09,85.45
2012-02-10,89.4
2012-02-13,89.85
2012-02-14,91.25
2012-02-15,92.75
2012-02-16,96.2
2012-02-17,94.25
2012-02-21,96.0
2012-02-22,88.5
2012-02-23,89.5
2012-02-24,87.05
2012-02-27,79.6
2012-02-28,87.0
2012-02-29,88.65
2012-03-01,89.3
2012-03-02,91.6
2012-03-03,91.15
2012-03-05,88.1
2012-03-06,85.5
2012-03-07,85.2
2012-03-09,90.1
2012-03-12,93.95
2012-03-13,94.2
2012-03-14,95.05
2012-03-15,92.15
2012-03-16,89.2
2012-03-19,86.95
2012-03-20,89.5
2012-03-21,92.8
2012-03-22,89.35
2012-03-23,90.55
2012-03-26,89.0
2012-03-27,89.35
2012-03-28,87.7
2012-03-29,86.45
2012-03-30,90.05
2012-04-02,91.35
2012-04-03,93.2
2012-04-04,92.05
2012-04-09,89.9
2012-04-10,94.7
2012-04-11,97.05
2012-04-12,100.05
2012-04-13,96.5
2012-04-16,101.35
2012-04-17,100.35
2012-04-18,99.2
2012-04-19,99.0
2012-04-20,96.8
2012-04-23,93.1
2012-04-24,93.9
2012-04-25,92.05
2012-04-26,90.75
2012-04-27,89.9
2012-04-28,91.15
2012-04-30,93.15
2012-05-02,95.15
2012-05-03,91.9
2012-05-04,86.55
2012-05-07,89.85
2012-05-08,85.2
2012-05-09,84.65
2012-05-10,84.35
2012-05-11,84.6
2012-05-14,81.6
2012-05-15,84.3
2012-05-16,83.55
2012-05-17,83.45
2012-05-18,84.3
2012-05-21,86.3
2012-05-22,84.3
2012-05-23,83.8
2012-05-24,85.1
2012-05-25,85.75
2012-05-28,87.55
2012-05-29,88.4
2012-05-30,86.65
2012-05-31,92.0
2012-06-01,88.05
2012-06-04,93.0
2012-06-05,92.8
2012-06-06,95.85
2012-06-07,95.9
2012-06-08,97.7
2012-06-11,98.25
2012-06-12,101.2
2012-06-13,100.05
2012-06-14,96.35
2012-06-15,99.35
2012-06-18,95.0
2012-06-19,96.35
2012-06-20,96.5
2012-06-21,97.05
2012-06-22,96.65
2012-06-25,95.25
2012-06-26,95.65
2012-06-27,96.25
2012-06-28,96.4
2012-06-29,98.75
2012-07-02,99.25
2012-07-03,98.7
2012-07-04,98.55
2012-07-05,101.8
2012-07-06,102.35
2012-07-09,99.85
2012-07-09,99.85
2012-07-10,101.45
2012-07-11,100.8
2012-07-12,101.0
2012-07-13,102.6
2012-07-16,101.35
2012-07-17,100.4
2012-07-18,101.25
2012-07-19,100.6
2012-07-20,99.45
2012-07-23,95.5
2012-07-24,96.5
2012-07-25,95.6
2012-07-26,91.1
2012-07-27,87.2
2012-07-30,91.6
2012-07-31,92.15
2012-08-01,92.7
2012-08-02,91.6
2012-08-03,91.2
2012-08-06,91.3
2012-08-07,91.75
2012-08-08,90.25
2012-08-09,89.05
2012-08-10,88.4
2012-08-13,87.75
2012-08-14,90.8
2012-08-16,91.75
2012-08-17,90.65
2012-08-21,90.4
2012-08-22,90.0
2012-08-23,90.1
2012-08-24,89.35
2012-08-27,86.9
2012-08-28,86.55
2012-08-29,85.95
2012-08-30,86.05
2012-08-31,87.2
2012-09-03,87.1
2012-09-04,88.3
2012-09-05,86.0
2012-09-06,85.95
2012-09-07,87.55
2012-09-08,88.45
2012-09-10,90.25
2012-09-11,90.7
2012-09-12,91.7
2012-09-13,93.45
2012-09-14,95.85
2012-09-17,99.05
2012-09-18,102.45
2012-09-20,102.95
2012-09-21,104.0
2012-09-24,102.95
2012-09-25,103.5
2012-09-26,102.65
2012-09-27,106.15
2012-09-28,106.1
2012-10-01,108.95
2012-10-03,108.85
2012-10-04,109.45
2012-10-05,107.85
2012-10-08,105.8
2012-10-09,104.9
2012-10-10,102.85
2012-10-11,107.55
2012-10-12,106.55
2012-10-15,109.2
2012-10-16,106.85
2012-10-17,106.8
2012-10-18,111.55
2012-10-19,110.55
2012-10-22,110.2
2012-10-23,109.0
2012-10-25,109.6
2012-10-26,106.45
2012-10-29,107.5
2012-10-30,105.5
2012-10-31,106.25
2012-11-01,106.6
2012-11-02,110.5
2012-11-05,109.3
2012-11-06,110.9
2012-11-07,113.9
2012-11-08,114.55
2012-11-09,111.75
2012-11-12,113.35
2012-11-13,112.3
2012-11-15,112.7
2012-11-16,108.2
2012-11-19,106.8
2012-11-20,103.65
2012-11-21,105.1
2012-11-22,105.0
2012-11-23,104.35
2012-11-26,104.6
2012-11-27,107.4
2012-11-29,108.7
2012-11-30,111.1
2012-12-03,113.3
2012-12-04,112.7
2012-12-05,114.6
2012-12-06,116.4
2012-12-07,116.65
2012-12-10,121.5
2012-12-11,116.9
2012-12-12,118.25
2012-12-13,114.1
2012-12-14,118.5
2012-12-17,118.3
2012-12-18,119.55
2012-12-19,117.7
2012-12-20,116.95
2012-12-21,113.2
2012-12-24,112.85
2012-12-26,114.85
2012-12-27,114.75
2012-12-28,114.9
2012-12-31,114.75
