Date,GOLDINFRA
2012-01-02,9.1
2012-01-03,9.25
2012-01-04,9.55
2012-01-05,9.15
2012-01-06,9.8
2012-01-07,9.6
2012-01-09,9.8
2012-01-10,10.0
2012-01-11,10.65
2012-01-12,10.75
2012-01-13,11.3
2012-01-16,12.85
2012-01-17,13.6
2012-01-18,12.65
2012-01-19,13.15
2012-01-20,13.1
2012-01-23,13.65
2012-01-24,13.75
2012-01-25,13.75
2012-01-27,14.35
2012-01-30,14.1
2012-01-31,14.35
2012-02-01,14.5
2012-02-02,14.25
2012-02-03,14.15
2012-02-06,13.95
2012-02-07,14.05
2012-02-08,14.1
2012-02-09,14.0
2012-02-10,14.25
2012-02-13,14.15
2012-02-14,14.35
2012-02-15,14.35
2012-02-16,14.5
2012-02-17,14.55
2012-02-21,14.5
2012-02-22,14.25
2012-02-23,14.2
2012-02-24,13.65
2012-02-27,13.3
2012-02-28,13.15
2012-02-29,13.05
2012-03-01,13.25
2012-03-02,13.05
2012-03-03,13.4
2012-03-05,12.8
2012-03-06,12.8
2012-03-07,13.0
2012-03-09,12.15
2012-03-12,12.7
2012-03-13,12.4
2012-03-14,12.75
2012-03-15,13.05
2012-03-16,13.05
2012-03-19,13.75
2012-03-20,13.7
2012-03-21,13.2
2012-03-22,13.35
2012-03-23,12.0
2012-03-26,10.9
2012-03-27,10.1
2012-03-28,10.05
2012-03-29,10.15
2012-03-30,10.65
2012-04-02,10.95
2012-04-03,10.85
2012-04-04,11.0
2012-04-09,10.55
2012-04-10,10.5
2012-04-11,11.4
2012-04-12,10.8
2012-04-13,10.7
2012-04-16,10.55
2012-04-17,10.6
2012-04-18,10.8
2012-04-19,10.65
2012-04-20,10.65
2012-04-23,10.8
2012-04-24,10.9
2012-04-25,10.95
2012-04-26,10.35
2012-04-27,10.3
2012-04-30,10.25
2012-05-02,10.25
2012-05-03,10.4
2012-05-04,10.2
2012-05-07,10.25
2012-05-08,10.25
2012-05-09,10.35
2012-05-10,10.35
2012-05-11,10.35
2012-05-14,10.15
2012-05-15,10.6
2012-05-16,10.1
2012-05-17,10.25
2012-05-18,10.1
2012-05-21,10.6
2012-05-22,10.2
2012-05-23,10.0
2012-05-24,10.3
2012-05-25,10.15
2012-05-28,10.55
2012-05-29,10.45
2012-05-30,10.35
2012-05-31,10.2
2012-06-01,10.15
2012-06-04,10.1
2012-06-05,10.5
2012-06-06,10.5
2012-06-07,10.7
2012-06-08,10.4
2012-06-11,10.4
2012-06-12,10.35
2012-06-13,10.8
2012-06-14,10.6
2012-06-18,11.0
2012-06-19,10.55
2012-06-20,10.45
2012-06-21,10.7
2012-06-22,10.95
2012-06-25,10.6
2012-06-26,10.75
2012-06-27,10.6
2012-06-28,10.5
2012-06-29,10.55
2012-07-02,10.75
2012-07-03,10.9
2012-07-04,10.95
2012-07-05,11.2
2012-07-06,10.65
2012-07-09,11.15
2012-07-09,11.15
2012-07-10,11.3
2012-07-11,11.4
2012-07-12,11.0
2012-07-13,11.45
2012-07-16,11.5
2012-07-17,11.1
2012-07-18,11.65
2012-07-19,11.25
2012-07-20,11.9
2012-07-23,11.8
2012-07-24,12.3
2012-07-25,13.25
2012-07-26,12.15
2012-07-27,12.05
2012-07-30,11.15
2012-07-31,11.05
2012-08-01,11.1
2012-08-02,11.1
2012-08-03,11.1
2012-08-06,11.55
2012-08-07,11.9
2012-08-08,11.85
2012-08-09,12.35
2012-08-10,12.05
2012-08-13,11.95
2012-08-14,11.25
2012-08-16,11.1
2012-08-17,12.15
2012-08-21,13.6
2012-08-22,13.65
2012-08-23,14.05
2012-08-24,14.0
2012-08-27,14.0
2012-08-28,14.05
2012-08-29,14.0
2012-08-30,14.6
2012-08-31,14.3
2012-09-03,14.65
2012-09-04,14.55
2012-09-05,14.7
2012-09-06,15.1
2012-09-07,15.25
2012-09-08,15.6
2012-09-10,16.0
2012-09-11,16.25
2012-09-12,16.9
2012-09-13,16.95
2012-09-14,16.2
2012-09-17,15.45
2012-09-18,15.55
2012-09-20,16.25
2012-09-21,16.55
2012-09-24,17.0
2012-09-25,17.0
2012-09-26,17.0
2012-09-27,17.0
2012-09-28,17.15
2012-10-01,17.3
2012-10-03,17.2
2012-10-04,17.2
2012-10-05,16.6
2012-10-08,16.25
2012-10-09,16.35
2012-10-10,15.95
2012-10-11,15.7
2012-10-12,15.75
2012-10-15,15.75
2012-10-16,15.55
2012-10-17,15.35
2012-10-18,15.25
2012-10-19,15.1
2012-10-22,15.95
2012-10-23,15.45
2012-10-25,15.15
2012-10-26,15.0
2012-10-29,15.0
2012-10-30,15.0
2012-10-31,15.0
2012-11-01,15.15
2012-11-02,15.1
2012-11-05,14.85
2012-11-06,15.0
2012-11-07,14.9
2012-11-08,15.0
2012-11-09,14.6
2012-11-12,14.5
2012-11-13,14.5
2012-11-15,14.5
2012-11-16,14.45
2012-11-19,14.6
2012-11-20,14.35
2012-11-21,14.5
2012-11-22,14.35
2012-11-23,14.15
2012-11-26,14.1
2012-11-27,14.45
2012-11-29,14.15
2012-11-30,14.25
2012-12-03,13.8
2012-12-04,13.6
2012-12-05,13.45
2012-12-06,13.75
2012-12-07,13.3
2012-12-10,13.3
2012-12-11,13.05
2012-12-12,12.65
2012-12-13,12.6
2012-12-14,12.05
2012-12-17,12.5
2012-12-18,12.4
2012-12-19,13.2
2012-12-20,12.55
2012-12-21,12.7
2012-12-24,12.65
2012-12-26,12.4
2012-12-27,12.0
2012-12-28,11.85
2012-12-31,11.8
