Date,INDORAMA
2012-01-02,25.95
2012-01-03,26.0
2012-01-04,26.65
2012-01-05,26.8
2012-01-06,26.1
2012-01-07,26.1
2012-01-09,27.55
2012-01-10,28.35
2012-01-11,29.15
2012-01-12,30.2
2012-01-13,28.75
2012-01-16,28.35
2012-01-17,29.0
2012-01-18,27.75
2012-01-19,27.75
2012-01-20,29.8
2012-01-23,29.3
2012-01-24,29.35
2012-01-25,32.85
2012-01-27,34.5
2012-01-30,33.5
2012-01-31,34.5
2012-02-01,34.0
2012-02-02,34.45
2012-02-03,33.65
2012-02-06,32.8
2012-02-07,32.35
2012-02-08,32.65
2012-02-09,32.15
2012-02-10,32.4
2012-02-13,32.55
2012-02-14,32.25
2012-02-15,32.15
2012-02-16,32.4
2012-02-17,32.4
2012-02-21,33.65
2012-02-22,32.25
2012-02-23,30.7
2012-02-24,29.1
2012-02-27,29.1
2012-02-28,29.85
2012-02-29,29.25
2012-03-01,29.4
2012-03-02,29.35
2012-03-03,29.0
2012-03-05,29.9
2012-03-06,28.6
2012-03-07,26.5
2012-03-09,26.65
2012-03-12,26.8
2012-03-13,26.95
2012-03-14,26.9
2012-03-15,26.3
2012-03-16,26.05
2012-03-19,25.95
2012-03-20,25.65
2012-03-21,25.65
2012-03-22,24.85
2012-03-23,24.7
2012-03-26,24.05
2012-03-27,23.8
2012-03-28,22.55
2012-03-29,22.85
2012-03-30,23.4
2012-04-02,25.25
2012-04-03,25.2
2012-04-04,26.1
2012-04-09,26.7
2012-04-10,26.35
2012-04-11,24.75
2012-04-12,25.8
2012-04-13,26.1
2012-04-16,26.25
2012-04-17,25.45
2012-04-18,25.05
2012-04-19,24.75
2012-04-20,24.75
2012-04-23,23.95
2012-04-24,24.2
2012-04-25,25.2
2012-04-26,25.35
2012-04-27,25.2
2012-04-28,25.6
2012-04-30,28.15
2012-05-02,28.75
2012-05-03,27.35
2012-05-04,25.95
2012-05-07,25.55
2012-05-08,25.3
2012-05-09,24.9
2012-05-10,24.55
2012-05-11,24.55
2012-05-14,23.9
2012-05-15,23.6
2012-05-16,22.95
2012-05-17,23.35
2012-05-18,23.05
2012-05-21,22.9
2012-05-22,22.8
2012-05-23,22.55
2012-05-24,23.25
2012-05-25,23.1
2012-05-28,23.5
2012-05-29,23.55
2012-05-30,23.5
2012-05-31,23.2
2012-06-01,23.0
2012-06-04,22.65
2012-06-05,22.6
2012-06-06,23.0
2012-06-07,23.2
2012-06-08,22.75
2012-06-11,23.55
2012-06-12,23.15
2012-06-13,22.6
2012-06-14,22.4
2012-06-15,22.2
2012-06-18,21.75
2012-06-19,21.6
2012-06-20,21.55
2012-06-21,22.1
2012-06-22,22.4
2012-06-25,22.75
2012-06-26,22.5
2012-06-27,22.75
2012-06-28,22.7
2012-06-29,22.95
2012-07-02,22.9
2012-07-03,22.9
2012-07-04,24.15
2012-07-05,25.25
2012-07-06,24.4
2012-07-09,24.1
2012-07-09,24.1
2012-07-10,24.3
2012-07-11,24.3
2012-07-12,23.6
2012-07-13,23.55
2012-07-16,23.85
2012-07-17,24.1
2012-07-18,24.1
2012-07-19,23.7
2012-07-20,23.55
2012-07-23,23.0
2012-07-24,23.4
2012-07-25,22.5
2012-07-26,22.35
2012-07-27,22.0
2012-07-30,21.85
2012-07-31,21.6
2012-08-01,21.6
2012-08-02,22.55
2012-08-03,22.75
2012-08-06,23.3
2012-08-07,22.35
2012-08-08,22.0
2012-08-09,22.45
2012-08-10,22.0
2012-08-13,21.9
2012-08-14,21.45
2012-08-16,20.95
2012-08-17,20.8
2012-08-21,20.55
2012-08-22,20.5
2012-08-23,20.9
2012-08-24,20.35
2012-08-27,20.0
2012-08-28,19.8
2012-08-29,20.25
2012-08-30,20.3
2012-08-31,20.1
2012-09-03,20.4
2012-09-04,20.4
2012-09-05,19.65
2012-09-06,19.55
2012-09-07,20.2
2012-09-08,20.55
2012-09-10,19.9
2012-09-11,19.9
2012-09-12,19.9
2012-09-13,20.05
2012-09-14,20.4
2012-09-17,19.95
2012-09-18,20.6
2012-09-20,20.1
2012-09-21,20.35
2012-09-24,22.5
2012-09-25,22.95
2012-09-26,23.15
2012-09-27,22.95
2012-09-28,22.8
2012-10-01,22.5
2012-10-03,22.5
2012-10-04,23.25
2012-10-05,22.4
2012-10-08,22.35
2012-10-09,22.35
2012-10-10,21.85
2012-10-11,21.65
2012-10-12,21.45
2012-10-15,21.35
2012-10-16,22.1
2012-10-17,26.5
2012-10-18,25.9
2012-10-19,25.7
2012-10-22,26.25
2012-10-23,26.2
2012-10-25,25.35
2012-10-26,24.8
2012-10-29,24.2
2012-10-30,23.95
2012-10-31,24.85
2012-11-01,26.55
2012-11-02,26.65
2012-11-05,27.0
2012-11-06,27.3
2012-11-07,26.7
2012-11-08,27.25
2012-11-09,26.55
2012-11-12,27.05
2012-11-13,26.9
2012-11-15,26.35
2012-11-16,26.0
2012-11-19,25.8
2012-11-20,25.1
2012-11-21,24.65
2012-11-22,24.35
2012-11-23,24.9
2012-11-26,24.6
2012-11-27,24.4
2012-11-29,24.6
2012-11-30,25.05
2012-12-03,25.2
2012-12-04,24.85
2012-12-05,24.8
2012-12-06,24.5
2012-12-07,24.6
2012-12-10,25.05
2012-12-11,24.55
2012-12-12,24.1
2012-12-13,23.55
2012-12-14,23.0
2012-12-17,23.1
2012-12-18,23.65
2012-12-19,24.75
2012-12-20,24.3
2012-12-21,23.5
2012-12-24,23.85
2012-12-26,23.65
2012-12-27,24.45
2012-12-28,26.2
2012-12-31,25.95
