Date,DHARSUGAR
2012-01-02,20.05
2012-01-03,20.25
2012-01-04,20.05
2012-01-05,20.3
2012-01-06,20.35
2012-01-07,20.85
2012-01-09,22.9
2012-01-10,24.45
2012-01-11,24.45
2012-01-12,26.0
2012-01-13,25.3
2012-01-16,25.25
2012-01-17,25.8
2012-01-18,25.5
2012-01-19,25.4
2012-01-20,24.9
2012-01-23,25.1
2012-01-24,26.15
2012-01-25,26.5
2012-01-27,28.3
2012-01-30,29.35
2012-01-31,30.6
2012-02-01,32.1
2012-02-02,31.9
2012-02-03,33.25
2012-02-06,33.5
2012-02-07,33.15
2012-02-08,33.95
2012-02-09,34.0
2012-02-10,31.6
2012-02-13,29.6
2012-02-14,29.3
2012-02-15,29.4
2012-02-16,28.95
2012-02-17,28.25
2012-02-21,28.65
2012-02-22,27.5
2012-02-23,26.75
2012-02-24,25.5
2012-02-27,25.8
2012-02-28,27.35
2012-02-29,28.3
2012-03-01,28.45
2012-03-02,28.5
2012-03-03,27.95
2012-03-05,28.0
2012-03-06,27.1
2012-03-07,26.55
2012-03-09,28.1
2012-03-12,27.4
2012-03-13,28.0
2012-03-14,28.7
2012-03-15,27.35
2012-03-16,29.0
2012-03-19,28.65
2012-03-20,27.2
2012-03-21,27.4
2012-03-22,26.5
2012-03-23,26.5
2012-03-26,25.35
2012-03-27,25.85
2012-03-28,25.15
2012-03-29,25.0
2012-03-30,25.25
2012-04-02,25.5
2012-04-03,26.1
2012-04-04,25.9
2012-04-09,25.1
2012-04-10,25.55
2012-04-11,25.55
2012-04-12,25.0
2012-04-13,25.5
2012-04-16,26.0
2012-04-17,26.6
2012-04-18,26.35
2012-04-19,25.55
2012-04-20,25.3
2012-04-23,25.0
2012-04-24,25.6
2012-04-25,24.8
2012-04-26,24.9
2012-04-27,24.25
2012-04-28,24.05
2012-04-30,25.55
2012-05-02,25.75
2012-05-03,26.9
2012-05-04,26.45
2012-05-07,25.5
2012-05-08,25.5
2012-05-09,26.05
2012-05-10,26.0
2012-05-11,26.5
2012-05-14,26.6
2012-05-15,27.0
2012-05-16,27.0
2012-05-17,26.8
2012-05-18,27.0
2012-05-21,27.15
2012-05-22,26.65
2012-05-23,25.8
2012-05-24,25.6
2012-05-25,25.25
2012-05-28,25.75
2012-05-29,25.95
2012-05-30,25.1
2012-05-31,24.75
2012-06-01,24.7
2012-06-04,23.8
2012-06-05,24.5
2012-06-06,24.15
2012-06-07,24.95
2012-06-08,24.95
2012-06-11,24.6
2012-06-12,24.95
2012-06-13,24.35
2012-06-14,24.35
2012-06-15,24.6
2012-06-18,24.85
2012-06-19,23.45
2012-06-20,23.8
2012-06-21,24.45
2012-06-22,24.9
2012-06-25,24.85
2012-06-26,25.85
2012-06-27,25.0
2012-06-28,27.0
2012-06-29,27.5
2012-07-02,28.65
2012-07-03,28.6
2012-07-04,28.7
2012-07-05,28.85
2012-07-06,29.95
2012-07-09,30.35
2012-07-09,30.35
2012-07-10,30.85
2012-07-11,30.5
2012-07-12,31.4
2012-07-13,32.0
2012-07-16,33.3
2012-07-17,35.05
2012-07-18,33.0
2012-07-19,33.5
2012-07-20,34.9
2012-07-23,35.95
2012-07-24,37.0
2012-07-25,37.3
2012-07-26,36.8
2012-07-27,35.1
2012-07-30,35.75
2012-07-31,35.9
2012-08-01,37.8
2012-08-02,38.7
2012-08-03,39.85
2012-08-06,43.05
2012-08-07,42.2
2012-08-08,40.85
2012-08-09,40.15
2012-08-10,41.25
2012-08-13,43.5
2012-08-14,41.2
2012-08-16,40.45
2012-08-17,41.5
2012-08-21,40.5
2012-08-22,39.8
2012-08-23,39.9
2012-08-24,39.6
2012-08-27,39.1
2012-08-28,38.1
2012-08-29,39.85
2012-08-30,38.5
2012-08-31,39.65
2012-09-03,39.05
2012-09-04,40.5
2012-09-05,40.2
2012-09-06,39.5
2012-09-07,39.1
2012-09-10,38.35
2012-09-11,38.6
2012-09-12,38.65
2012-09-13,38.1
2012-09-14,37.35
2012-09-17,35.65
2012-09-18,36.75
2012-09-20,39.45
2012-09-21,42.45
2012-09-24,45.9
2012-09-25,43.7
2012-09-26,42.1
2012-09-27,42.6
2012-09-28,43.15
2012-10-01,43.1
2012-10-03,41.8
2012-10-04,44.3
2012-10-05,45.4
2012-10-08,44.7
2012-10-09,45.1
2012-10-10,46.7
2012-10-11,48.15
2012-10-12,47.35
2012-10-15,47.8
2012-10-16,47.15
2012-10-17,47.2
2012-10-18,45.85
2012-10-19,45.6
2012-10-22,45.9
2012-10-23,48.05
2012-10-25,47.5
2012-10-26,48.15
2012-10-29,46.9
2012-10-30,46.15
2012-10-31,44.8
2012-11-01,44.25
2012-11-02,44.1
2012-11-05,46.1
2012-11-06,46.15
2012-11-07,46.15
2012-11-08,45.15
2012-11-09,45.35
2012-11-12,40.0
2012-11-13,41.6
2012-11-15,40.0
2012-11-16,39.55
2012-11-19,38.15
2012-11-20,38.35
2012-11-21,38.4
2012-11-22,38.0
2012-11-23,41.3
2012-11-26,40.6
2012-11-27,40.3
2012-11-29,44.35
2012-11-30,45.3
2012-12-03,44.8
2012-12-04,44.35
2012-12-05,43.55
2012-12-06,43.6
2012-12-07,43.9
2012-12-10,44.95
2012-12-11,45.65
2012-12-12,44.8
2012-12-13,46.3
2012-12-14,46.0
2012-12-17,45.55
2012-12-18,45.9
2012-12-19,45.4
2012-12-20,44.8
2012-12-21,41.6
2012-12-24,40.2
2012-12-26,40.35
2012-12-27,40.45
2012-12-28,41.0
2012-12-31,41.6
