Date,KALPATPOWR
2012-01-02,92.45
2012-01-03,93.05
2012-01-04,91.9
2012-01-05,94.05
2012-01-06,92.55
2012-01-07,93.65
2012-01-09,93.4
2012-01-10,95.2
2012-01-11,99.4
2012-01-12,104.3
2012-01-13,107.65
2012-01-16,103.35
2012-01-17,106.05
2012-01-18,109.8
2012-01-19,108.1
2012-01-20,106.9
2012-01-23,106.95
2012-01-24,106.9
2012-01-25,108.6
2012-01-27,106.95
2012-01-30,101.9
2012-01-31,103.35
2012-02-01,106.1
2012-02-02,109.35
2012-02-03,109.3
2012-02-06,111.35
2012-02-07,107.0
2012-02-08,109.95
2012-02-09,108.6
2012-02-10,107.7
2012-02-13,109.8
2012-02-14,112.75
2012-02-15,122.4
2012-02-16,125.4
2012-02-17,123.45
2012-02-21,123.65
2012-02-22,115.65
2012-02-23,108.65
2012-02-24,107.25
2012-02-27,103.95
2012-02-28,106.2
2012-02-29,110.05
2012-03-01,107.55
2012-03-02,105.95
2012-03-03,105.85
2012-03-05,101.85
2012-03-06,102.6
2012-03-07,101.5
2012-03-09,104.65
2012-03-12,108.75
2012-03-13,113.7
2012-03-14,114.35
2012-03-15,112.85
2012-03-16,113.0
2012-03-19,105.2
2012-03-20,106.05
2012-03-21,109.15
2012-03-22,105.45
2012-03-23,106.1
2012-03-26,103.65
2012-03-27,103.7
2012-03-28,102.95
2012-03-29,105.1
2012-03-30,108.4
2012-04-02,109.25
2012-04-03,107.8
2012-04-04,107.9
2012-04-09,106.35
2012-04-10,104.4
2012-04-11,103.55
2012-04-12,103.65
2012-04-13,102.65
2012-04-16,103.05
2012-04-17,103.2
2012-04-18,103.05
2012-04-19,102.7
2012-04-20,103.1
2012-04-23,100.05
2012-04-24,100.75
2012-04-25,102.2
2012-04-26,99.25
2012-04-27,99.55
2012-04-28,100.4
2012-04-30,100.05
2012-05-02,97.25
2012-05-03,97.1
2012-05-04,95.6
2012-05-07,95.95
2012-05-08,94.05
2012-05-09,92.45
2012-05-10,90.65
2012-05-11,90.3
2012-05-14,89.4
2012-05-15,88.5
2012-05-16,84.5
2012-05-17,81.65
2012-05-18,81.45
2012-05-21,84.7
2012-05-22,81.05
2012-05-23,79.7
2012-05-24,80.5
2012-05-25,83.2
2012-05-28,84.95
2012-05-29,84.2
2012-05-30,82.85
2012-05-31,82.35
2012-06-01,80.7
2012-06-04,78.5
2012-06-05,79.25
2012-06-06,80.45
2012-06-07,80.7
2012-06-08,80.0
2012-06-11,80.25
2012-06-12,80.9
2012-06-13,80.9
2012-06-14,78.85
2012-06-15,78.75
2012-06-18,76.8
2012-06-19,76.3
2012-06-20,77.75
2012-06-21,78.3
2012-06-22,79.2
2012-06-25,78.65
2012-06-26,78.75
2012-06-27,79.65
2012-06-28,82.4
2012-06-29,83.0
2012-07-02,82.55
2012-07-03,82.0
2012-07-04,81.95
2012-07-05,85.1
2012-07-06,82.45
2012-07-09,80.35
2012-07-09,80.35
2012-07-10,81.95
2012-07-11,81.45
2012-07-12,80.4
2012-07-13,78.85
2012-07-16,78.85
2012-07-17,78.0
2012-07-18,79.2
2012-07-19,79.45
2012-07-20,78.3
2012-07-23,77.7
2012-07-24,77.05
2012-07-25,75.1
2012-07-26,73.45
2012-07-27,70.35
2012-07-30,70.05
2012-07-31,69.35
2012-08-01,68.85
2012-08-02,68.95
2012-08-03,69.3
2012-08-06,69.8
2012-08-07,70.3
2012-08-08,70.5
2012-08-09,69.45
2012-08-10,69.15
2012-08-13,69.05
2012-08-14,71.35
2012-08-16,73.45
2012-08-17,74.55
2012-08-21,73.7
2012-08-22,70.5
2012-08-23,71.15
2012-08-24,69.6
2012-08-27,68.05
2012-08-28,65.9
2012-08-29,65.15
2012-08-30,65.3
2012-08-31,64.6
2012-09-03,65.25
2012-09-04,66.2
2012-09-05,64.95
2012-09-06,64.55
2012-09-07,66.25
2012-09-08,67.0
2012-09-10,68.5
2012-09-11,70.25
2012-09-12,70.75
2012-09-13,69.4
2012-09-14,73.4
2012-09-17,76.65
2012-09-18,78.85
2012-09-20,78.35
2012-09-21,82.95
2012-09-24,88.65
2012-09-25,88.2
2012-09-26,85.4
2012-09-27,85.25
2012-09-28,87.7
2012-10-01,85.3
2012-10-03,87.2
2012-10-04,88.9
2012-10-05,88.6
2012-10-08,89.65
2012-10-09,91.35
2012-10-10,87.2
2012-10-11,87.4
2012-10-12,86.2
2012-10-15,86.7
2012-10-16,88.0
2012-10-17,92.8
2012-10-18,96.35
2012-10-19,93.15
2012-10-22,92.85
2012-10-23,91.65
2012-10-25,90.85
2012-10-26,90.0
2012-10-29,89.6
2012-10-30,87.55
2012-10-31,88.0
2012-11-01,82.8
2012-11-02,82.35
2012-11-05,80.75
2012-11-06,83.0
2012-11-07,83.4
2012-11-08,82.55
2012-11-09,82.95
2012-11-12,84.75
2012-11-13,83.7
2012-11-15,84.95
2012-11-16,83.25
2012-11-19,83.35
2012-11-20,85.0
2012-11-21,83.0
2012-11-22,81.05
2012-11-23,80.9
2012-11-26,80.35
2012-11-27,80.55
2012-11-29,81.65
2012-11-30,83.15
2012-12-03,83.45
2012-12-04,84.4
2012-12-05,86.0
2012-12-06,88.15
2012-12-07,88.95
2012-12-10,88.3
2012-12-11,88.1
2012-12-12,87.55
2012-12-13,86.35
2012-12-14,88.7
2012-12-17,87.7
2012-12-18,88.25
2012-12-19,90.75
2012-12-20,91.15
2012-12-21,87.45
2012-12-24,88.6
2012-12-26,90.2
2012-12-27,92.0
2012-12-28,92.15
2012-12-31,94.2
