Date,BGLOBAL
2012-01-02,7.35
2012-01-03,7.55
2012-01-04,7.75
2012-01-05,7.7
2012-01-06,7.45
2012-01-07,7.5
2012-01-09,7.5
2012-01-10,7.6
2012-01-11,7.95
2012-01-12,8.15
2012-01-13,8.55
2012-01-16,8.95
2012-01-17,9.3
2012-01-18,8.85
2012-01-19,8.5
2012-01-20,8.4
2012-01-23,8.1
2012-01-24,7.9
2012-01-25,7.8
2012-01-27,8.15
2012-01-30,8.3
2012-01-31,8.35
2012-02-01,8.15
2012-02-02,8.55
2012-02-03,8.9
2012-02-06,9.3
2012-02-07,9.45
2012-02-08,9.0
2012-02-09,8.85
2012-02-10,9.15
2012-02-13,9.55
2012-02-14,9.65
2012-02-15,9.95
2012-02-16,9.55
2012-02-17,9.1
2012-02-21,9.1
2012-02-22,8.85
2012-02-23,9.1
2012-02-24,8.85
2012-02-27,8.45
2012-02-28,8.75
2012-02-29,8.7
2012-03-01,8.65
2012-03-02,8.9
2012-03-03,9.2
2012-03-05,8.75
2012-03-06,8.6
2012-03-07,8.2
2012-03-09,8.25
2012-03-12,8.15
2012-03-13,8.45
2012-03-14,8.1
2012-03-15,8.15
2012-03-16,8.3
2012-03-19,7.9
2012-03-20,7.8
2012-03-21,7.8
2012-03-22,7.65
2012-03-23,7.3
2012-03-26,6.95
2012-03-27,6.95
2012-03-28,6.65
2012-03-29,7.05
2012-03-30,6.7
2012-04-02,7.3
2012-04-03,7.85
2012-04-04,7.8
2012-04-09,7.6
2012-04-10,7.6
2012-04-11,7.6
2012-04-12,7.85
2012-04-13,7.75
2012-04-16,7.45
2012-04-17,7.3
2012-04-18,7.4
2012-04-19,7.35
2012-04-20,7.6
2012-04-23,7.55
2012-04-24,7.65
2012-04-25,7.45
2012-04-26,7.4
2012-04-27,7.25
2012-04-28,7.15
2012-04-30,6.95
2012-05-02,7.0
2012-05-03,6.9
2012-05-04,6.55
2012-05-07,6.9
2012-05-08,6.6
2012-05-09,6.45
2012-05-10,6.5
2012-05-11,6.55
2012-05-14,6.2
2012-05-15,6.25
2012-05-16,6.0
2012-05-17,6.35
2012-05-18,6.25
2012-05-21,6.2
2012-05-22,6.3
2012-05-23,6.05
2012-05-24,6.6
2012-05-25,6.55
2012-05-28,6.35
2012-05-29,6.3
2012-05-30,6.1
2012-05-31,6.05
2012-06-01,5.85
2012-06-04,5.55
2012-06-05,5.65
2012-06-06,5.65
2012-06-07,5.45
2012-06-08,5.55
2012-06-11,6.05
2012-06-12,6.2
2012-06-13,6.55
2012-06-14,7.75
2012-06-15,7.15
2012-06-18,6.45
2012-06-19,6.1
2012-06-20,6.4
2012-06-21,6.65
2012-06-22,6.35
2012-06-25,6.4
2012-06-26,6.5
2012-06-27,6.35
2012-06-28,6.4
2012-06-29,6.65
2012-07-02,6.6
2012-07-03,6.65
2012-07-04,6.65
2012-07-05,6.95
2012-07-06,6.9
2012-07-09,7.0
2012-07-09,7.0
2012-07-10,6.9
2012-07-11,6.7
2012-07-12,6.65
2012-07-13,6.65
2012-07-16,6.85
2012-07-17,6.55
2012-07-18,6.7
2012-07-19,6.35
2012-07-20,6.3
2012-07-23,6.2
2012-07-24,6.15
2012-07-25,6.15
2012-07-26,6.05
2012-07-27,6.0
2012-07-30,6.0
2012-07-31,6.1
2012-08-01,6.0
2012-08-02,6.0
2012-08-03,6.3
2012-08-06,6.05
2012-08-07,5.9
2012-08-08,5.95
2012-08-09,5.9
2012-08-10,5.65
2012-08-13,5.6
2012-08-14,5.9
2012-08-16,6.0
2012-08-17,5.7
2012-08-21,5.7
2012-08-22,5.95
2012-08-23,5.65
2012-08-24,5.7
2012-08-27,5.45
2012-08-28,5.4
2012-08-29,5.55
2012-08-30,5.25
2012-08-31,5.3
2012-09-03,5.55
2012-09-04,5.3
2012-09-05,5.3
2012-09-06,5.5
2012-09-07,5.5
2012-09-08,5.8
2012-09-10,5.8
2012-09-11,5.5
2012-09-12,5.6
2012-09-13,5.55
2012-09-14,5.45
2012-09-17,5.4
2012-09-18,5.6
2012-09-20,5.75
2012-09-21,5.8
2012-09-24,5.65
2012-09-25,6.4
2012-09-26,7.6
2012-09-27,7.6
2012-09-28,7.5
2012-10-01,8.5
2012-10-03,9.25
2012-10-04,8.8
2012-10-05,8.5
2012-10-08,8.05
2012-10-09,8.2
2012-10-10,8.0
2012-10-11,7.8
2012-10-12,7.6
2012-10-15,7.45
2012-10-16,7.55
2012-10-17,7.2
2012-10-18,7.2
2012-10-19,7.15
2012-10-22,7.45
2012-10-23,7.0
2012-10-25,6.75
2012-10-26,6.65
2012-10-29,6.75
2012-10-30,6.6
2012-10-31,6.35
2012-11-01,6.3
2012-11-02,6.5
2012-11-05,6.8
2012-11-06,6.85
2012-11-07,6.8
2012-11-08,6.7
2012-11-09,6.55
2012-11-12,6.75
2012-11-13,6.75
2012-11-15,6.65
2012-11-16,6.45
2012-11-19,6.3
2012-11-20,6.05
2012-11-21,6.0
2012-11-22,6.0
2012-11-23,6.05
2012-11-26,6.0
2012-11-27,6.05
2012-11-29,5.9
2012-11-30,5.8
2012-12-03,5.85
2012-12-04,6.05
2012-12-05,5.95
2012-12-06,5.9
2012-12-07,6.0
2012-12-10,5.9
2012-12-11,6.0
2012-12-12,6.25
2012-12-13,6.25
2012-12-14,6.25
2012-12-17,5.95
2012-12-18,5.7
2012-12-19,5.75
2012-12-20,6.0
2012-12-21,5.95
2012-12-24,5.9
2012-12-26,5.9
2012-12-27,6.15
2012-12-28,5.95
2012-12-31,6.1
