Date,JYOTISTRUC
2012-01-02,39.0
2012-01-03,39.95
2012-01-04,41.3
2012-01-05,42.55
2012-01-06,42.0
2012-01-07,42.8
2012-01-09,43.1
2012-01-10,44.35
2012-01-11,45.15
2012-01-12,46.55
2012-01-13,47.7
2012-01-16,47.05
2012-01-17,48.15
2012-01-18,47.85
2012-01-19,49.75
2012-01-20,49.35
2012-01-23,48.5
2012-01-24,49.0
2012-01-25,49.65
2012-01-27,50.05
2012-01-30,46.25
2012-01-31,46.75
2012-02-01,47.7
2012-02-02,48.25
2012-02-03,48.5
2012-02-06,49.65
2012-02-07,52.55
2012-02-08,53.2
2012-02-09,54.75
2012-02-10,54.8
2012-02-13,54.1
2012-02-14,53.05
2012-02-15,54.95
2012-02-16,55.9
2012-02-17,55.8
2012-02-21,55.1
2012-02-22,52.15
2012-02-23,50.3
2012-02-24,49.35
2012-02-27,45.75
2012-02-28,47.7
2012-02-29,47.45
2012-03-01,46.1
2012-03-02,48.15
2012-03-03,48.15
2012-03-05,46.45
2012-03-06,44.6
2012-03-07,44.0
2012-03-09,45.1
2012-03-12,45.85
2012-03-13,48.0
2012-03-14,47.65
2012-03-15,46.35
2012-03-16,45.15
2012-03-19,43.45
2012-03-20,41.6
2012-03-21,40.95
2012-03-22,40.75
2012-03-23,40.8
2012-03-26,40.1
2012-03-27,39.3
2012-03-28,38.35
2012-03-29,37.45
2012-03-30,38.8
2012-04-02,42.8
2012-04-03,43.15
2012-04-04,43.6
2012-04-09,42.9
2012-04-10,45.75
2012-04-11,45.1
2012-04-12,46.1
2012-04-13,45.1
2012-04-16,45.6
2012-04-17,45.9
2012-04-18,45.7
2012-04-19,45.1
2012-04-20,45.25
2012-04-23,44.55
2012-04-24,45.35
2012-04-25,44.95
2012-04-26,45.05
2012-04-27,44.65
2012-04-28,45.1
2012-04-30,44.35
2012-05-02,44.95
2012-05-03,43.3
2012-05-04,41.5
2012-05-07,41.25
2012-05-08,40.45
2012-05-09,39.35
2012-05-10,38.9
2012-05-11,39.0
2012-05-14,38.9
2012-05-15,38.85
2012-05-16,37.95
2012-05-17,38.0
2012-05-18,37.95
2012-05-21,38.15
2012-05-22,38.1
2012-05-23,37.5
2012-05-24,38.0
2012-05-25,37.85
2012-05-28,39.95
2012-05-29,39.15
2012-05-30,38.4
2012-05-31,38.7
2012-06-01,38.4
2012-06-04,38.95
2012-06-05,39.15
2012-06-06,41.4
2012-06-07,41.65
2012-06-08,41.0
2012-06-11,40.95
2012-06-12,40.65
2012-06-13,39.5
2012-06-14,38.75
2012-06-15,39.2
2012-06-18,39.15
2012-06-19,38.65
2012-06-20,38.55
2012-06-21,38.85
2012-06-22,38.75
2012-06-25,38.85
2012-06-26,39.15
2012-06-27,39.25
2012-06-28,38.75
2012-06-29,40.0
2012-07-02,40.65
2012-07-03,41.0
2012-07-04,43.25
2012-07-05,45.05
2012-07-06,44.25
2012-07-09,43.8
2012-07-09,43.8
2012-07-10,43.95
2012-07-11,42.9
2012-07-12,42.85
2012-07-13,42.75
2012-07-16,41.6
2012-07-17,40.55
2012-07-18,40.15
2012-07-19,41.75
2012-07-20,41.15
2012-07-23,40.05
2012-07-24,39.7
2012-07-25,38.95
2012-07-26,37.75
2012-07-27,36.5
2012-07-30,37.8
2012-07-31,37.05
2012-08-01,38.15
2012-08-02,37.8
2012-08-03,37.45
2012-08-06,38.9
2012-08-07,39.9
2012-08-08,39.0
2012-08-09,38.55
2012-08-10,38.05
2012-08-13,38.55
2012-08-14,38.9
2012-08-16,38.65
2012-08-17,38.75
2012-08-21,38.35
2012-08-22,38.9
2012-08-23,38.0
2012-08-24,40.05
2012-08-27,38.85
2012-08-28,38.55
2012-08-29,37.95
2012-08-30,37.7
2012-08-31,37.1
2012-09-03,37.15
2012-09-04,37.4
2012-09-05,37.9
2012-09-06,37.1
2012-09-07,37.1
2012-09-08,37.2
2012-09-10,37.0
2012-09-11,37.0
2012-09-12,38.1
2012-09-13,36.95
2012-09-14,36.7
2012-09-17,37.1
2012-09-18,40.3
2012-09-20,43.3
2012-09-21,47.55
2012-09-24,48.25
2012-09-25,48.6
2012-09-26,46.5
2012-09-27,46.75
2012-09-28,46.95
2012-10-01,47.55
2012-10-03,50.05
2012-10-04,51.1
2012-10-05,50.3
2012-10-08,48.5
2012-10-09,48.55
2012-10-10,48.1
2012-10-11,48.45
2012-10-12,47.8
2012-10-15,46.7
2012-10-16,45.8
2012-10-17,44.95
2012-10-18,49.25
2012-10-19,47.75
2012-10-22,47.4
2012-10-23,46.6
2012-10-25,46.55
2012-10-26,47.3
2012-10-29,46.95
2012-10-30,45.9
2012-10-31,43.85
2012-11-01,44.5
2012-11-02,44.85
2012-11-05,43.3
2012-11-06,43.3
2012-11-07,44.2
2012-11-08,44.5
2012-11-09,43.65
2012-11-12,43.1
2012-11-13,43.5
2012-11-15,43.35
2012-11-16,44.75
2012-11-19,45.05
2012-11-20,44.65
2012-11-21,44.75
2012-11-22,44.5
2012-11-23,43.9
2012-11-26,43.1
2012-11-27,43.85
2012-11-29,46.35
2012-11-30,47.55
2012-12-03,48.05
2012-12-04,47.8
2012-12-05,48.05
2012-12-06,47.6
2012-12-07,48.65
2012-12-10,48.4
2012-12-11,47.2
2012-12-12,46.55
2012-12-13,44.9
2012-12-14,44.85
2012-12-17,44.7
2012-12-18,45.0
2012-12-19,45.4
2012-12-20,46.2
2012-12-21,44.65
2012-12-24,44.15
2012-12-26,44.2
2012-12-27,44.15
2012-12-28,44.35
2012-12-31,45.05
