Date,GDL
2012-01-02,128.75
2012-01-03,129.9
2012-01-04,129.45
2012-01-05,128.5
2012-01-06,128.4
2012-01-07,128.85
2012-01-09,130.9
2012-01-10,131.8
2012-01-11,130.15
2012-01-12,129.15
2012-01-13,131.1
2012-01-16,130.45
2012-01-17,132.95
2012-01-18,131.75
2012-01-19,131.85
2012-01-20,133.65
2012-01-23,130.75
2012-01-24,130.05
2012-01-25,130.55
2012-01-27,131.6
2012-01-30,127.9
2012-01-31,129.9
2012-02-01,130.8
2012-02-02,137.25
2012-02-03,138.05
2012-02-06,136.65
2012-02-07,135.15
2012-02-08,135.4
2012-02-09,137.15
2012-02-10,138.3
2012-02-13,138.5
2012-02-14,140.8
2012-02-15,143.85
2012-02-16,143.75
2012-02-17,144.8
2012-02-21,146.95
2012-02-22,143.5
2012-02-23,146.95
2012-02-24,149.5
2012-02-27,149.5
2012-02-28,149.85
2012-02-29,151.85
2012-03-01,153.3
2012-03-02,152.05
2012-03-03,150.9
2012-03-05,149.0
2012-03-06,147.7
2012-03-07,149.15
2012-03-09,154.25
2012-03-12,150.55
2012-03-13,151.1
2012-03-14,151.1
2012-03-15,152.25
2012-03-16,153.7
2012-03-19,148.85
2012-03-20,150.1
2012-03-21,149.9
2012-03-22,149.6
2012-03-23,152.05
2012-03-26,148.5
2012-03-27,151.1
2012-03-28,148.0
2012-03-29,151.8
2012-03-30,153.85
2012-04-02,153.05
2012-04-03,154.0
2012-04-04,152.45
2012-04-09,152.05
2012-04-10,151.75
2012-04-11,150.55
2012-04-12,149.5
2012-04-13,147.05
2012-04-16,147.95
2012-04-17,147.05
2012-04-18,148.9
2012-04-19,151.35
2012-04-20,149.95
2012-04-23,149.1
2012-04-24,147.7
2012-04-25,150.0
2012-04-26,149.5
2012-04-27,150.75
2012-04-28,149.05
2012-04-30,151.2
2012-05-02,152.0
2012-05-03,150.55
2012-05-04,151.95
2012-05-07,152.1
2012-05-08,151.55
2012-05-09,149.9
2012-05-10,151.1
2012-05-11,150.2
2012-05-14,147.7
2012-05-15,150.15
2012-05-16,146.25
2012-05-17,148.15
2012-05-18,146.55
2012-05-21,147.75
2012-05-22,146.0
2012-05-23,145.05
2012-05-24,144.4
2012-05-25,143.35
2012-05-28,143.0
2012-05-29,145.75
2012-05-30,146.45
2012-05-31,141.5
2012-06-01,140.35
2012-06-04,137.25
2012-06-05,132.2
2012-06-06,130.95
2012-06-07,134.85
2012-06-08,137.2
2012-06-11,137.9
2012-06-12,136.0
2012-06-13,136.45
2012-06-14,134.3
2012-06-15,135.0
2012-06-18,134.1
2012-06-19,132.7
2012-06-20,129.95
2012-06-21,132.45
2012-06-22,132.65
2012-06-25,129.85
2012-06-26,126.2
2012-06-27,131.45
2012-06-28,135.1
2012-06-29,137.05
2012-07-02,140.1
2012-07-03,140.75
2012-07-04,142.8
2012-07-05,145.35
2012-07-06,147.8
2012-07-09,145.7
2012-07-09,145.7
2012-07-10,146.05
2012-07-11,143.4
2012-07-12,142.15
2012-07-13,140.7
2012-07-16,143.65
2012-07-17,145.05
2012-07-18,144.0
2012-07-19,146.35
2012-07-20,144.7
2012-07-23,141.7
2012-07-24,142.6
2012-07-25,141.55
2012-07-26,139.65
2012-07-27,139.85
2012-07-30,140.95
2012-07-31,141.9
2012-08-01,140.05
2012-08-02,139.5
2012-08-03,140.9
2012-08-06,139.95
2012-08-07,139.1
2012-08-08,137.55
2012-08-09,135.8
2012-08-10,135.5
2012-08-13,135.5
2012-08-14,137.6
2012-08-16,136.15
2012-08-17,135.5
2012-08-21,134.95
2012-08-22,135.3
2012-08-23,134.45
2012-08-24,132.3
2012-08-27,135.35
2012-08-28,136.05
2012-08-29,134.3
2012-08-30,137.25
2012-08-31,136.1
2012-09-03,136.55
2012-09-04,137.85
2012-09-05,136.65
2012-09-06,136.25
2012-09-07,136.3
2012-09-08,136.4
2012-09-10,139.65
2012-09-11,139.65
2012-09-12,140.6
2012-09-13,142.55
2012-09-14,141.85
2012-09-17,142.4
2012-09-18,138.7
2012-09-20,136.6
2012-09-21,138.7
2012-09-24,141.35
2012-09-25,143.1
2012-09-26,143.85
2012-09-27,146.0
2012-09-28,145.95
2012-10-01,145.85
2012-10-03,141.9
2012-10-04,145.8
2012-10-05,145.95
2012-10-08,142.95
2012-10-09,145.7
2012-10-10,143.6
2012-10-11,142.05
2012-10-12,141.95
2012-10-15,140.8
2012-10-16,139.75
2012-10-17,139.45
2012-10-18,139.0
2012-10-19,138.3
2012-10-22,136.95
2012-10-23,138.7
2012-10-25,141.9
2012-10-26,141.15
2012-10-29,140.85
2012-10-30,139.45
2012-10-31,143.05
2012-11-01,140.5
2012-11-02,139.8
2012-11-05,138.6
2012-11-06,139.0
2012-11-07,141.1
2012-11-08,139.15
2012-11-09,138.1
2012-11-12,138.6
2012-11-13,142.1
2012-11-15,138.45
2012-11-16,138.75
2012-11-19,130.6
2012-11-20,127.75
2012-11-21,127.55
2012-11-22,129.65
2012-11-23,127.3
2012-11-26,129.8
2012-11-27,129.55
2012-11-29,127.75
2012-11-30,133.7
2012-12-03,131.65
2012-12-04,131.5
2012-12-05,131.05
2012-12-06,132.9
2012-12-07,132.6
2012-12-10,132.45
2012-12-11,130.5
2012-12-12,129.35
2012-12-13,128.9
2012-12-14,130.85
2012-12-17,133.95
2012-12-18,138.0
2012-12-19,140.7
2012-12-20,136.55
2012-12-21,141.45
2012-12-24,136.1
2012-12-26,136.2
2012-12-27,135.1
2012-12-28,138.75
2012-12-31,140.1
