Date,SITASHREE
2012-01-02,5.65
2012-01-03,5.65
2012-01-04,6.0
2012-01-05,5.85
2012-01-06,5.9
2012-01-07,5.8
2012-01-09,6.1
2012-01-10,6.3
2012-01-11,6.35
2012-01-12,6.4
2012-01-13,6.1
2012-01-16,6.2
2012-01-17,6.35
2012-01-18,6.25
2012-01-19,6.25
2012-01-20,6.15
2012-01-23,6.1
2012-01-24,6.0
2012-01-25,6.25
2012-01-27,6.15
2012-01-30,6.25
2012-01-31,6.25
2012-02-01,6.2
2012-02-02,6.4
2012-02-03,6.2
2012-02-06,6.35
2012-02-07,6.35
2012-02-08,6.2
2012-02-09,6.4
2012-02-10,6.25
2012-02-13,6.4
2012-02-14,6.25
2012-02-15,6.5
2012-02-16,6.35
2012-02-17,6.45
2012-02-21,6.3
2012-02-22,6.25
2012-02-23,6.2
2012-02-24,6.1
2012-02-27,5.85
2012-02-28,6.1
2012-02-29,5.95
2012-03-01,5.85
2012-03-02,5.8
2012-03-03,5.85
2012-03-05,5.7
2012-03-06,5.75
2012-03-07,5.7
2012-03-09,5.9
2012-03-12,5.9
2012-03-13,5.9
2012-03-14,5.85
2012-03-15,5.8
2012-03-16,5.8
2012-03-19,5.75
2012-03-20,5.75
2012-03-21,5.9
2012-03-22,5.7
2012-03-23,5.65
2012-03-26,5.7
2012-03-27,5.55
2012-03-28,5.4
2012-03-29,5.35
2012-03-30,5.5
2012-04-02,5.75
2012-04-03,5.6
2012-04-04,5.8
2012-04-09,5.65
2012-04-10,5.55
2012-04-11,5.6
2012-04-12,6.1
2012-04-13,5.75
2012-04-16,5.85
2012-04-17,5.85
2012-04-18,5.7
2012-04-19,5.65
2012-04-20,5.75
2012-04-23,5.8
2012-04-24,5.75
2012-04-25,5.65
2012-04-26,5.7
2012-04-27,5.55
2012-04-28,6.15
2012-04-30,5.65
2012-05-02,5.6
2012-05-03,5.6
2012-05-04,5.35
2012-05-07,5.45
2012-05-08,5.4
2012-05-09,5.3
2012-05-10,5.3
2012-05-11,5.25
2012-05-14,5.0
2012-05-15,5.1
2012-05-17,4.95
2012-05-18,4.8
2012-05-21,4.95
2012-05-22,5.2
2012-05-23,5.0
2012-05-24,5.0
2012-05-25,4.95
2012-05-28,5.15
2012-05-29,5.1
2012-05-30,5.05
2012-05-31,4.8
2012-06-01,4.85
2012-06-04,5.0
2012-06-05,4.85
2012-06-06,5.0
2012-06-07,4.9
2012-06-08,4.95
2012-06-11,4.85
2012-06-12,4.9
2012-06-13,5.05
2012-06-14,5.1
2012-06-15,4.9
2012-06-18,4.7
2012-06-19,4.8
2012-06-20,4.75
2012-06-21,4.65
2012-06-22,4.7
2012-06-25,4.85
2012-06-26,4.85
2012-06-27,4.9
2012-06-28,4.8
2012-06-29,4.85
2012-07-02,4.9
2012-07-03,4.95
2012-07-04,4.95
2012-07-05,5.15
2012-07-06,4.9
2012-07-09,4.85
2012-07-10,5.3
2012-07-11,5.45
2012-07-12,5.5
2012-07-13,5.8
2012-07-16,6.5
2012-07-17,6.65
2012-07-18,6.55
2012-07-19,6.45
2012-07-20,6.5
2012-07-23,6.25
2012-07-24,6.25
2012-07-25,6.05
2012-07-26,5.95
2012-07-27,5.65
2012-07-30,5.9
2012-07-31,5.8
2012-08-01,6.25
2012-08-02,6.2
2012-08-03,6.2
2012-08-06,6.25
2012-08-07,6.2
2012-08-08,5.95
2012-08-09,6.1
2012-08-10,5.8
2012-08-13,6.0
2012-08-14,6.05
2012-08-16,5.8
2012-08-17,5.85
2012-08-21,5.7
2012-08-22,5.8
2012-08-23,5.85
2012-08-24,6.0
2012-08-27,5.25
2012-08-28,5.35
2012-08-29,5.4
2012-08-30,5.15
2012-08-31,5.1
2012-09-03,5.3
2012-09-04,5.2
2012-09-05,5.35
2012-09-06,5.1
2012-09-07,5.4
2012-09-08,5.95
2012-09-10,5.4
2012-09-11,5.65
2012-09-12,5.7
2012-09-13,5.6
2012-09-14,5.5
2012-09-17,5.55
2012-09-18,5.55
2012-09-20,5.8
2012-09-21,5.75
2012-09-24,5.55
2012-09-25,5.55
2012-09-26,6.0
2012-09-27,5.85
2012-09-28,6.0
2012-10-01,5.8
2012-10-03,5.8
2012-10-04,6.0
2012-10-05,6.0
2012-10-08,6.1
2012-10-09,5.8
2012-10-10,5.65
2012-10-11,5.45
2012-10-12,5.35
2012-10-15,6.05
2012-10-16,6.4
2012-10-17,5.95
2012-10-18,5.75
2012-10-19,5.5
2012-10-22,5.4
2012-10-23,5.45
2012-10-25,5.4
2012-10-26,5.3
2012-10-29,5.3
2012-10-30,5.2
2012-10-31,5.55
2012-11-01,5.5
2012-11-02,5.7
2012-11-05,5.35
2012-11-06,5.3
2012-11-07,5.55
2012-11-08,5.55
2012-11-09,5.55
2012-11-12,5.5
2012-11-13,5.75
2012-11-15,5.45
2012-11-16,5.4
2012-11-19,5.3
2012-11-20,6.3
2012-11-21,5.65
2012-11-22,5.9
2012-11-23,5.7
2012-11-26,5.6
2012-11-27,5.55
2012-11-29,5.85
2012-11-30,6.95
2012-12-03,8.3
2012-12-04,8.2
2012-12-05,8.05
2012-12-06,8.35
2012-12-07,8.1
2012-12-10,8.15
2012-12-11,8.0
2012-12-12,8.3
2012-12-13,8.0
2012-12-14,7.95
2012-12-17,7.75
2012-12-18,7.9
2012-12-19,7.65
2012-12-20,7.55
2012-12-21,7.35
2012-12-24,7.3
2012-12-26,7.1
2012-12-27,7.0
2012-12-28,6.9
2012-12-31,7.15
