Date,TVSELECT
2012-01-02,17.3
2012-01-03,18.65
2012-01-04,17.9
2012-01-05,17.75
2012-01-06,18.0
2012-01-07,18.65
2012-01-09,18.1
2012-01-10,18.4
2012-01-11,18.75
2012-01-12,18.95
2012-01-13,18.95
2012-01-16,19.25
2012-01-17,19.6
2012-01-18,19.55
2012-01-19,19.55
2012-01-20,19.25
2012-01-23,18.95
2012-01-24,18.95
2012-01-25,18.7
2012-01-27,19.45
2012-01-30,18.75
2012-01-31,18.75
2012-02-01,19.35
2012-02-02,19.95
2012-02-03,19.6
2012-02-06,19.1
2012-02-07,18.1
2012-02-08,18.4
2012-02-09,18.95
2012-02-10,18.85
2012-02-13,19.0
2012-02-14,19.3
2012-02-15,19.45
2012-02-16,19.55
2012-02-17,19.55
2012-02-21,19.15
2012-02-22,19.05
2012-02-23,19.15
2012-02-24,18.9
2012-02-27,18.35
2012-02-28,18.8
2012-02-29,18.65
2012-03-01,18.7
2012-03-02,18.55
2012-03-03,18.7
2012-03-05,18.5
2012-03-06,18.45
2012-03-07,18.05
2012-03-09,18.35
2012-03-12,18.7
2012-03-13,18.5
2012-03-14,18.5
2012-03-15,18.0
2012-03-16,18.45
2012-03-19,17.65
2012-03-20,17.95
2012-03-21,17.4
2012-03-22,17.65
2012-03-23,17.4
2012-03-26,17.15
2012-03-27,17.3
2012-03-28,16.6
2012-03-29,16.4
2012-03-30,16.6
2012-04-02,17.1
2012-04-03,17.0
2012-04-04,17.2
2012-04-09,17.25
2012-04-10,16.95
2012-04-11,17.0
2012-04-12,17.25
2012-04-13,16.7
2012-04-16,17.0
2012-04-17,17.85
2012-04-18,18.3
2012-04-19,17.8
2012-04-20,18.15
2012-04-23,17.3
2012-04-24,17.5
2012-04-25,17.7
2012-04-26,17.5
2012-04-27,16.95
2012-04-28,17.75
2012-04-30,16.7
2012-05-02,17.2
2012-05-03,17.0
2012-05-04,17.55
2012-05-07,17.75
2012-05-08,18.15
2012-05-09,17.4
2012-05-10,17.8
2012-05-11,17.6
2012-05-14,17.3
2012-05-15,17.3
2012-05-16,17.5
2012-05-17,17.2
2012-05-18,17.1
2012-05-21,17.0
2012-05-22,17.1
2012-05-23,17.5
2012-05-24,17.7
2012-05-25,17.55
2012-05-28,17.95
2012-05-29,17.9
2012-05-30,17.15
2012-05-31,17.1
2012-06-01,17.05
2012-06-04,17.6
2012-06-05,16.5
2012-06-06,16.95
2012-06-07,17.1
2012-06-08,16.95
2012-06-11,17.0
2012-06-12,16.8
2012-06-13,16.95
2012-06-14,16.75
2012-06-15,16.3
2012-06-18,16.5
2012-06-19,16.2
2012-06-20,16.2
2012-06-21,16.45
2012-06-22,16.45
2012-06-25,16.25
2012-06-26,16.1
2012-06-27,16.45
2012-06-28,16.7
2012-06-29,16.95
2012-07-02,16.85
2012-07-03,16.85
2012-07-04,17.05
2012-07-05,17.85
2012-07-06,18.1
2012-07-09,17.6
2012-07-10,17.85
2012-07-11,17.4
2012-07-12,17.35
2012-07-13,17.15
2012-07-16,17.05
2012-07-17,16.45
2012-07-18,16.2
2012-07-19,16.9
2012-07-20,16.75
2012-07-23,17.1
2012-07-24,16.6
2012-07-25,16.75
2012-07-26,16.25
2012-07-27,16.25
2012-07-30,16.8
2012-07-31,16.65
2012-08-01,16.9
2012-08-02,16.75
2012-08-03,16.85
2012-08-06,16.7
2012-08-07,16.85
2012-08-08,17.0
2012-08-09,16.5
2012-08-10,16.4
2012-08-13,16.45
2012-08-14,16.55
2012-08-16,16.5
2012-08-17,16.5
2012-08-21,16.5
2012-08-22,16.4
2012-08-23,16.25
2012-08-24,16.2
2012-08-27,16.2
2012-08-28,16.25
2012-08-29,15.75
2012-08-30,16.0
2012-08-31,15.55
2012-09-03,15.15
2012-09-04,15.5
2012-09-05,15.05
2012-09-06,15.45
2012-09-07,15.6
2012-09-08,15.45
2012-09-10,15.4
2012-09-11,15.25
2012-09-12,15.55
2012-09-13,15.6
2012-09-14,15.35
2012-09-17,15.65
2012-09-18,15.4
2012-09-20,15.55
2012-09-21,15.5
2012-09-24,15.5
2012-09-25,15.45
2012-09-26,15.1
2012-09-27,15.55
2012-09-28,15.5
2012-10-01,15.8
2012-10-03,16.1
2012-10-04,16.25
2012-10-05,16.05
2012-10-08,16.0
2012-10-09,16.25
2012-10-10,16.0
2012-10-11,16.25
2012-10-12,16.0
2012-10-15,17.35
2012-10-16,16.5
2012-10-17,16.25
2012-10-18,16.2
2012-10-19,16.6
2012-10-22,16.35
2012-10-23,16.5
2012-10-25,16.5
2012-10-26,16.25
2012-10-29,16.25
2012-10-30,16.15
2012-10-31,16.05
2012-11-01,16.15
2012-11-02,16.2
2012-11-05,16.05
2012-11-06,16.15
2012-11-07,15.25
2012-11-08,15.05
2012-11-09,15.3
2012-11-12,15.1
2012-11-13,15.65
2012-11-15,15.75
2012-11-16,15.45
2012-11-19,15.1
2012-11-20,15.1
2012-11-21,15.3
2012-11-22,15.4
2012-11-23,15.1
2012-11-26,15.25
2012-11-27,15.25
2012-11-29,15.2
2012-11-30,15.6
2012-12-03,15.65
2012-12-04,15.45
2012-12-05,15.5
2012-12-06,15.35
2012-12-07,15.6
2012-12-10,15.65
2012-12-11,15.55
2012-12-12,15.75
2012-12-13,15.45
2012-12-14,15.7
2012-12-17,15.5
2012-12-18,15.7
2012-12-19,18.8
2012-12-20,22.55
2012-12-21,20.75
2012-12-24,19.85
2012-12-26,19.0
2012-12-27,18.6
2012-12-28,17.55
2012-12-31,17.5
