Date,ABGSHIP
2012-01-02,392.5
2012-01-03,389.45
2012-01-04,391.05
2012-01-05,393.05
2012-01-06,392.7
2012-01-07,397.55
2012-01-09,393.15
2012-01-10,392.85
2012-01-11,390.85
2012-01-12,389.05
2012-01-13,393.3
2012-01-16,394.9
2012-01-17,406.2
2012-01-18,400.6
2012-01-19,402.95
2012-01-20,400.7
2012-01-23,395.75
2012-01-24,404.65
2012-01-25,398.45
2012-01-27,393.65
2012-01-30,387.65
2012-01-31,387.85
2012-02-01,417.85
2012-02-02,419.45
2012-02-03,427.8
2012-02-06,415.75
2012-02-07,409.05
2012-02-08,412.45
2012-02-09,413.4
2012-02-10,414.0
2012-02-13,417.8
2012-02-14,422.2
2012-02-15,427.45
2012-02-16,441.75
2012-02-17,433.75
2012-02-21,424.0
2012-02-22,419.65
2012-02-23,413.7
2012-02-24,420.0
2012-02-27,405.8
2012-02-28,408.8
2012-02-29,409.95
2012-03-01,410.3
2012-03-02,403.2
2012-03-03,406.85
2012-03-05,402.45
2012-03-06,399.25
2012-03-07,395.45
2012-03-09,407.95
2012-03-12,407.55
2012-03-13,409.45
2012-03-14,416.65
2012-03-15,412.8
2012-03-16,400.8
2012-03-19,393.4
2012-03-20,392.9
2012-03-21,390.75
2012-03-22,391.1
2012-03-23,391.95
2012-03-26,388.6
2012-03-27,390.0
2012-03-28,386.75
2012-03-29,376.0
2012-03-30,380.95
2012-04-02,387.95
2012-04-03,395.15
2012-04-04,392.7
2012-04-09,389.0
2012-04-10,393.95
2012-04-11,392.9
2012-04-12,389.4
2012-04-13,387.3
2012-04-16,392.6
2012-04-17,395.2
2012-04-18,394.45
2012-04-19,400.3
2012-04-20,396.55
2012-04-23,394.65
2012-04-24,393.8
2012-04-25,395.65
2012-04-26,381.95
2012-04-27,379.7
2012-04-28,383.9
2012-04-30,380.3
2012-05-02,379.35
2012-05-03,384.2
2012-05-04,379.75
2012-05-07,378.15
2012-05-08,372.25
2012-05-09,367.5
2012-05-10,369.65
2012-05-11,378.4
2012-05-14,379.4
2012-05-15,373.7
2012-05-16,371.4
2012-05-17,373.4
2012-05-18,374.5
2012-05-21,370.5
2012-05-22,389.7
2012-05-23,391.45
2012-05-24,392.05
2012-05-25,389.6
2012-05-28,389.95
2012-05-29,388.4
2012-05-30,386.3
2012-05-31,379.2
2012-06-01,378.2
2012-06-04,379.6
2012-06-05,379.45
2012-06-06,382.3
2012-06-07,379.0
2012-06-08,378.1
2012-06-11,377.25
2012-06-12,379.1
2012-06-13,377.9
2012-06-14,374.75
2012-06-15,374.75
2012-06-18,369.45
2012-06-19,381.0
2012-06-20,378.6
2012-06-21,380.95
2012-06-22,377.95
2012-06-25,376.5
2012-06-26,373.1
2012-06-27,364.35
2012-06-28,379.65
2012-06-29,378.2
2012-07-02,379.65
2012-07-03,378.75
2012-07-04,375.0
2012-07-05,373.75
2012-07-06,371.6
2012-07-09,370.15
2012-07-09,370.15
2012-07-10,371.5
2012-07-11,368.65
2012-07-12,367.25
2012-07-13,366.55
2012-07-16,369.1
2012-07-17,366.8
2012-07-18,365.5
2012-07-19,367.05
2012-07-20,369.5
2012-07-23,358.1
2012-07-24,365.1
2012-07-25,370.2
2012-07-26,367.4
2012-07-27,368.3
2012-07-30,370.05
2012-07-31,373.0
2012-08-01,374.8
2012-08-02,366.15
2012-08-03,366.95
2012-08-06,364.05
2012-08-07,359.6
2012-08-08,359.8
2012-08-09,357.4
2012-08-10,358.7
2012-08-13,357.95
2012-08-14,356.05
2012-08-16,356.7
2012-08-17,358.35
2012-08-21,360.5
2012-08-22,375.75
2012-08-23,371.05
2012-08-24,359.35
2012-08-27,353.85
2012-08-28,350.4
2012-08-29,351.55
2012-08-30,342.25
2012-08-31,340.8
2012-09-03,343.65
2012-09-04,340.35
2012-09-05,343.7
2012-09-06,340.05
2012-09-07,341.65
2012-09-08,339.35
2012-09-10,338.55
2012-09-11,337.35
2012-09-12,335.85
2012-09-13,336.35
2012-09-14,337.9
2012-09-17,338.4
2012-09-18,337.9
2012-09-20,337.95
2012-09-21,350.15
2012-09-24,379.15
2012-09-25,388.3
2012-09-26,377.75
2012-09-27,374.3
2012-09-28,375.55
2012-10-01,374.35
2012-10-03,382.4
2012-10-04,378.3
2012-10-05,378.75
2012-10-08,378.5
2012-10-09,379.5
2012-10-10,376.45
2012-10-11,377.45
2012-10-12,376.25
2012-10-15,372.3
2012-10-16,370.85
2012-10-17,364.6
2012-10-18,360.8
2012-10-19,375.85
2012-10-22,371.15
2012-10-23,378.15
2012-10-25,377.1
2012-10-26,377.35
2012-10-29,374.95
2012-10-30,373.95
2012-10-31,374.25
2012-11-01,373.6
2012-11-02,373.0
2012-11-05,373.55
2012-11-06,375.3
2012-11-07,392.4
2012-11-08,399.45
2012-11-09,397.55
2012-11-12,394.2
2012-11-13,393.75
2012-11-15,391.45
2012-11-16,393.15
2012-11-19,390.7
2012-11-20,389.25
2012-11-21,389.55
2012-11-22,388.05
2012-11-23,388.45
2012-11-26,385.15
2012-11-27,385.6
2012-11-29,381.55
2012-11-30,382.1
2012-12-03,375.25
2012-12-04,376.15
2012-12-05,372.85
2012-12-06,373.05
2012-12-07,371.35
2012-12-10,372.85
2012-12-11,370.55
2012-12-12,378.4
2012-12-13,368.55
2012-12-14,374.15
2012-12-17,371.45
2012-12-18,368.95
2012-12-19,371.2
2012-12-20,369.6
2012-12-21,364.2
2012-12-24,362.55
2012-12-26,373.35
2012-12-27,368.0
2012-12-28,361.9
2012-12-31,360.65
