Date,ANDHRSUGAR
2012-01-02,106.2
2012-01-03,107.15
2012-01-04,108.75
2012-01-05,108.15
2012-01-06,108.0
2012-01-07,108.3
2012-01-09,115.5
2012-01-10,115.2
2012-01-11,114.2
2012-01-12,120.35
2012-01-13,116.2
2012-01-16,119.35
2012-01-17,120.2
2012-01-18,118.55
2012-01-19,120.7
2012-01-20,121.95
2012-01-23,123.0
2012-01-24,122.65
2012-01-25,126.3
2012-01-27,130.45
2012-01-30,131.4
2012-01-31,132.35
2012-02-01,133.45
2012-02-02,130.15
2012-02-03,128.45
2012-02-06,130.85
2012-02-07,130.5
2012-02-08,132.4
2012-02-09,132.3
2012-02-10,131.65
2012-02-13,132.2
2012-02-14,133.45
2012-02-15,132.6
2012-02-16,133.5
2012-02-17,133.95
2012-02-21,143.8
2012-02-22,139.35
2012-02-23,137.7
2012-02-24,135.3
2012-02-27,131.55
2012-02-28,133.15
2012-02-29,132.6
2012-03-01,135.25
2012-03-02,133.95
2012-03-03,135.3
2012-03-05,134.55
2012-03-06,132.05
2012-03-07,132.9
2012-03-09,132.6
2012-03-12,131.25
2012-03-13,133.9
2012-03-14,134.1
2012-03-15,131.95
2012-03-16,130.1
2012-03-19,130.05
2012-03-20,128.65
2012-03-21,128.75
2012-03-22,129.15
2012-03-23,128.65
2012-03-26,130.3
2012-03-27,130.25
2012-03-28,132.05
2012-03-29,131.45
2012-03-30,131.6
2012-04-02,136.1
2012-04-03,135.3
2012-04-04,135.5
2012-04-09,134.2
2012-04-10,135.8
2012-04-11,133.2
2012-04-12,135.05
2012-04-13,135.3
2012-04-16,133.4
2012-04-17,135.4
2012-04-18,134.85
2012-04-19,134.1
2012-04-20,136.8
2012-04-23,140.5
2012-04-24,139.5
2012-04-25,139.65
2012-04-26,139.3
2012-04-27,138.95
2012-04-28,141.9
2012-04-30,143.35
2012-05-02,141.55
2012-05-03,142.2
2012-05-04,138.0
2012-05-07,134.7
2012-05-08,135.05
2012-05-09,133.3
2012-05-10,132.2
2012-05-11,130.25
2012-05-14,126.85
2012-05-15,131.0
2012-05-16,128.1
2012-05-17,129.75
2012-05-18,129.15
2012-05-21,131.75
2012-05-22,129.5
2012-05-23,127.0
2012-05-24,127.9
2012-05-25,130.6
2012-05-28,132.8
2012-05-29,135.15
2012-05-30,135.3
2012-05-31,132.75
2012-06-01,132.35
2012-06-04,130.2
2012-06-05,130.5
2012-06-06,133.95
2012-06-07,134.15
2012-06-08,135.8
2012-06-11,137.45
2012-06-12,136.65
2012-06-13,137.7
2012-06-14,135.15
2012-06-15,138.2
2012-06-18,136.6
2012-06-19,136.4
2012-06-20,137.6
2012-06-21,136.05
2012-06-22,136.65
2012-06-25,136.1
2012-06-26,136.6
2012-06-27,136.9
2012-06-28,136.0
2012-06-29,138.0
2012-07-02,137.8
2012-07-03,137.95
2012-07-04,138.0
2012-07-05,140.15
2012-07-06,140.0
2012-07-09,138.35
2012-07-09,138.35
2012-07-10,140.85
2012-07-11,141.0
2012-07-12,139.75
2012-07-13,141.6
2012-07-16,148.35
2012-07-17,149.6
2012-07-18,150.75
2012-07-19,152.7
2012-07-20,151.8
2012-07-23,151.45
2012-07-24,157.95
2012-07-25,157.2
2012-07-26,153.4
2012-07-27,150.55
2012-07-30,147.2
2012-07-31,142.0
2012-08-01,141.6
2012-08-02,141.85
2012-08-03,148.7
2012-08-06,153.1
2012-08-07,153.1
2012-08-08,150.35
2012-08-09,151.0
2012-08-10,151.05
2012-08-13,149.9
2012-08-14,149.3
2012-08-16,148.95
2012-08-17,148.9
2012-08-21,151.45
2012-08-22,152.95
2012-08-23,153.0
2012-08-24,151.2
2012-08-27,149.65
2012-08-28,148.7
2012-08-29,150.8
2012-08-30,150.75
2012-08-31,149.15
2012-09-03,148.8
2012-09-04,150.65
2012-09-05,152.15
2012-09-06,152.1
2012-09-07,152.8
2012-09-08,153.35
2012-09-10,154.9
2012-09-11,156.9
2012-09-12,156.6
2012-09-13,155.65
2012-09-14,147.4
2012-09-17,142.9
2012-09-18,146.65
2012-09-20,147.6
2012-09-21,147.5
2012-09-24,148.2
2012-09-25,147.35
2012-09-26,144.45
2012-09-27,145.65
2012-09-28,145.15
2012-10-01,145.95
2012-10-03,146.45
2012-10-04,146.2
2012-10-05,144.25
2012-10-08,146.4
2012-10-09,148.1
2012-10-10,147.05
2012-10-11,149.3
2012-10-12,151.35
2012-10-15,150.45
2012-10-16,149.5
2012-10-17,146.9
2012-10-18,147.15
2012-10-19,146.55
2012-10-22,147.6
2012-10-23,145.55
2012-10-25,145.7
2012-10-26,143.9
2012-10-29,145.0
2012-10-30,145.85
2012-10-31,146.6
2012-11-01,150.25
2012-11-02,151.15
2012-11-05,147.15
2012-11-06,145.85
2012-11-07,146.3
2012-11-08,145.2
2012-11-09,145.2
2012-11-12,143.55
2012-11-13,145.45
2012-11-15,145.3
2012-11-16,142.6
2012-11-19,143.55
2012-11-20,140.0
2012-11-21,138.75
2012-11-22,143.0
2012-11-23,145.0
2012-11-26,145.65
2012-11-27,146.05
2012-11-29,145.55
2012-11-30,145.65
2012-12-03,145.25
2012-12-04,145.2
2012-12-05,146.3
2012-12-06,146.2
2012-12-07,145.25
2012-12-10,144.45
2012-12-11,143.9
2012-12-12,143.5
2012-12-13,142.1
2012-12-14,142.05
2012-12-17,138.8
2012-12-18,140.8
2012-12-19,139.55
2012-12-20,139.75
2012-12-21,139.5
2012-12-24,139.8
2012-12-26,139.85
2012-12-27,139.05
2012-12-28,143.15
2012-12-31,144.05
