Date,PAGEIND
2012-01-02,2400.15
2012-01-03,2429.25
2012-01-04,2424.2
2012-01-05,2417.85
2012-01-06,2393.2
2012-01-07,2428.05
2012-01-09,2410.85
2012-01-10,2409.75
2012-01-11,2464.9
2012-01-12,2418.3
2012-01-13,2450.75
2012-01-16,2450.2
2012-01-17,2528.0
2012-01-18,2496.45
2012-01-19,2504.9
2012-01-20,2525.9
2012-01-23,2498.65
2012-01-24,2516.6
2012-01-25,2481.6
2012-01-27,2503.0
2012-01-30,2462.0
2012-01-31,2464.45
2012-02-01,2543.05
2012-02-02,2593.05
2012-02-03,2575.95
2012-02-06,2883.75
2012-02-07,2789.75
2012-02-08,2887.35
2012-02-09,2670.05
2012-02-10,2680.05
2012-02-13,2651.95
2012-02-14,2666.7
2012-02-15,2667.9
2012-02-16,2575.4
2012-02-17,2460.9
2012-02-21,2518.55
2012-02-22,2495.9
2012-02-23,2478.9
2012-02-24,2458.55
2012-02-27,2449.45
2012-02-28,2473.95
2012-02-29,2507.35
2012-03-01,2589.3
2012-03-02,2585.35
2012-03-03,2590.05
2012-03-05,2617.5
2012-03-06,2624.45
2012-03-07,2598.85
2012-03-09,2580.55
2012-03-12,2597.8
2012-03-13,2607.55
2012-03-14,2575.7
2012-03-15,2584.65
2012-03-16,2581.4
2012-03-19,2585.45
2012-03-20,2605.8
2012-03-21,2654.85
2012-03-22,2661.45
2012-03-23,2688.55
2012-03-26,2600.3
2012-03-27,2605.45
2012-03-28,2638.85
2012-03-29,2680.75
2012-03-30,2698.15
2012-04-02,2700.7
2012-04-03,2742.2
2012-04-04,2691.0
2012-04-09,2650.0
2012-04-10,2670.9
2012-04-11,2688.8
2012-04-12,2718.6
2012-04-13,2748.7
2012-04-16,2761.55
2012-04-17,2804.05
2012-04-18,2892.65
2012-04-19,3104.2
2012-04-20,3137.7
2012-04-23,3146.55
2012-04-24,3150.3
2012-04-25,3111.3
2012-04-26,3110.7
2012-04-27,3157.15
2012-04-28,3141.5
2012-04-30,3128.2
2012-05-02,3146.0
2012-05-03,3057.8
2012-05-04,3029.5
2012-05-07,2920.2
2012-05-08,2907.45
2012-05-09,2913.3
2012-05-10,2942.35
2012-05-11,3076.45
2012-05-14,2929.45
2012-05-15,3049.6
2012-05-16,3055.1
2012-05-17,3075.65
2012-05-18,3010.85
2012-05-21,3029.9
2012-05-22,3053.6
2012-05-23,3036.3
2012-05-24,3028.5
2012-05-25,3088.9
2012-05-28,3114.65
2012-05-29,3176.9
2012-05-30,2976.55
2012-05-31,3091.2
2012-06-01,3035.95
2012-06-04,2942.05
2012-06-05,2978.9
2012-06-06,2965.75
2012-06-07,3005.0
2012-06-08,2987.65
2012-06-11,2959.0
2012-06-12,2888.95
2012-06-13,2908.8
2012-06-14,2904.65
2012-06-15,2892.35
2012-06-18,2865.6
2012-06-19,2807.1
2012-06-20,2842.45
2012-06-21,2870.0
2012-06-22,2867.45
2012-06-25,2881.65
2012-06-26,2846.45
2012-06-27,2863.8
2012-06-28,2861.45
2012-06-29,2885.15
2012-07-02,2892.3
2012-07-03,2973.35
2012-07-04,3001.6
2012-07-05,3012.9
2012-07-06,2977.0
2012-07-09,2933.55
2012-07-09,2933.55
2012-07-10,2943.25
2012-07-11,2922.9
2012-07-12,2897.8
2012-07-13,2883.95
2012-07-16,2884.45
2012-07-17,2879.4
2012-07-18,2899.8
2012-07-19,2865.45
2012-07-20,2881.9
2012-07-23,2867.5
2012-07-24,2852.2
2012-07-25,2851.25
2012-07-26,2850.2
2012-07-27,2918.05
2012-07-30,2937.35
2012-07-31,2948.5
2012-08-01,2999.05
2012-08-02,3116.3
2012-08-03,3068.35
2012-08-06,3020.8
2012-08-07,3056.4
2012-08-08,3066.35
2012-08-09,3122.3
2012-08-10,3071.45
2012-08-13,3125.85
2012-08-14,3126.85
2012-08-16,3179.95
2012-08-17,3150.55
2012-08-21,3195.6
2012-08-22,3199.25
2012-08-23,3102.0
2012-08-24,2994.25
2012-08-27,3099.15
2012-08-28,3079.55
2012-08-29,3038.0
2012-08-30,3049.75
2012-08-31,3007.1
2012-09-03,3028.7
2012-09-04,3042.4
2012-09-05,3008.2
2012-09-06,3030.85
2012-09-07,3010.55
2012-09-08,3037.0
2012-09-10,3140.05
2012-09-11,3141.55
2012-09-12,3190.65
2012-09-13,3281.7
2012-09-14,3384.95
2012-09-17,3361.35
2012-09-18,3321.1
2012-09-20,3314.9
2012-09-21,3281.0
2012-09-24,3147.75
2012-09-25,3205.7
2012-09-26,3235.4
2012-09-27,3199.55
2012-09-28,3179.65
2012-10-01,3176.3
2012-10-03,3216.85
2012-10-04,3310.2
2012-10-05,3379.85
2012-10-08,3328.55
2012-10-09,3392.05
2012-10-10,3414.25
2012-10-11,3405.05
2012-10-12,3461.75
2012-10-15,3422.05
2012-10-16,3462.5
2012-10-17,3446.55
2012-10-18,3422.45
2012-10-19,3361.4
2012-10-22,3322.6
2012-10-23,3331.9
2012-10-25,3354.15
2012-10-26,3319.75
2012-10-29,3355.85
2012-10-30,3302.1
2012-10-31,3352.65
2012-11-01,3326.4
2012-11-02,3322.35
2012-11-05,3332.55
2012-11-06,3332.75
2012-11-07,3332.3
2012-11-08,3447.35
2012-11-09,3327.1
2012-11-12,3255.3
2012-11-13,3324.65
2012-11-15,3315.25
2012-11-16,3350.0
2012-11-19,3339.6
2012-11-20,3339.2
2012-11-21,3338.5
2012-11-22,3341.45
2012-11-23,3342.75
2012-11-26,3347.3
2012-11-27,3319.3
2012-11-29,3346.05
2012-11-30,3351.6
2012-12-03,3536.8
2012-12-04,3506.45
2012-12-05,3476.5
2012-12-06,3474.7
2012-12-07,3428.85
2012-12-10,3483.45
2012-12-11,3449.25
2012-12-12,3445.45
2012-12-13,3408.25
2012-12-14,3435.6
2012-12-17,3410.95
2012-12-18,3399.5
2012-12-19,3357.45
2012-12-20,3346.1
2012-12-21,3308.55
2012-12-24,3308.15
2012-12-26,3321.45
2012-12-27,3359.75
2012-12-28,3431.65
2012-12-31,3424.35
