Date,RTNPOWER
2012-01-02,8.75
2012-01-03,9.0
2012-01-04,9.2
2012-01-05,9.3
2012-01-06,9.45
2012-01-07,9.45
2012-01-09,9.7
2012-01-10,10.35
2012-01-11,11.25
2012-01-12,13.1
2012-01-13,13.15
2012-01-16,13.15
2012-01-17,13.2
2012-01-18,12.55
2012-01-19,13.35
2012-01-20,13.1
2012-01-23,12.7
2012-01-24,12.7
2012-01-25,12.0
2012-01-27,11.95
2012-01-30,11.5
2012-01-31,11.25
2012-02-01,12.1
2012-02-02,12.85
2012-02-03,12.95
2012-02-06,12.65
2012-02-07,12.6
2012-02-08,12.2
2012-02-09,12.6
2012-02-10,12.95
2012-02-13,13.1
2012-02-14,13.85
2012-02-15,16.45
2012-02-16,18.7
2012-02-17,18.9
2012-02-21,19.35
2012-02-22,17.5
2012-02-23,16.75
2012-02-24,17.25
2012-02-27,15.6
2012-02-28,16.4
2012-02-29,16.7
2012-03-01,16.9
2012-03-02,18.5
2012-03-03,20.15
2012-03-05,19.15
2012-03-06,18.2
2012-03-07,17.8
2012-03-09,18.55
2012-03-12,18.45
2012-03-13,18.4
2012-03-14,19.3
2012-03-15,19.0
2012-03-16,18.1
2012-03-19,17.2
2012-03-20,17.6
2012-03-21,18.25
2012-03-22,17.35
2012-03-23,16.95
2012-03-26,16.15
2012-03-27,15.35
2012-03-28,15.7
2012-03-29,15.1
2012-03-30,15.8
2012-04-02,16.55
2012-04-03,16.55
2012-04-04,16.95
2012-04-09,16.3
2012-04-10,16.1
2012-04-11,15.75
2012-04-12,15.8
2012-04-13,15.5
2012-04-16,15.45
2012-04-17,15.5
2012-04-18,15.65
2012-04-19,15.4
2012-04-20,15.3
2012-04-23,14.65
2012-04-24,14.7
2012-04-25,14.2
2012-04-26,13.95
2012-04-27,13.85
2012-04-28,14.2
2012-04-30,13.85
2012-05-02,13.75
2012-05-03,13.4
2012-05-04,13.15
2012-05-07,13.1
2012-05-08,12.6
2012-05-09,12.3
2012-05-10,12.25
2012-05-11,11.55
2012-05-14,10.7
2012-05-15,11.75
2012-05-16,12.45
2012-05-17,12.2
2012-05-18,12.35
2012-05-21,12.1
2012-05-22,11.6
2012-05-23,11.55
2012-05-24,11.6
2012-05-25,11.85
2012-05-28,12.1
2012-05-29,12.2
2012-05-30,12.1
2012-05-31,12.9
2012-06-01,12.05
2012-06-04,12.25
2012-06-05,12.1
2012-06-06,12.55
2012-06-07,12.55
2012-06-08,12.55
2012-06-11,12.45
2012-06-12,12.3
2012-06-13,12.2
2012-06-14,12.45
2012-06-15,12.55
2012-06-18,12.25
2012-06-19,12.25
2012-06-20,12.35
2012-06-21,12.45
2012-06-22,13.65
2012-06-25,13.6
2012-06-26,14.0
2012-06-27,14.0
2012-06-28,13.75
2012-06-29,14.2
2012-07-02,14.6
2012-07-03,14.8
2012-07-04,14.85
2012-07-05,15.15
2012-07-06,14.85
2012-07-09,14.6
2012-07-09,14.6
2012-07-10,14.85
2012-07-11,14.5
2012-07-12,14.3
2012-07-13,14.1
2012-07-16,13.8
2012-07-17,13.4
2012-07-18,13.6
2012-07-19,13.9
2012-07-20,13.5
2012-07-23,13.2
2012-07-24,13.25
2012-07-25,12.6
2012-07-26,12.25
2012-07-27,11.7
2012-07-30,13.2
2012-07-31,12.8
2012-08-01,13.45
2012-08-02,13.55
2012-08-03,13.25
2012-08-06,13.35
2012-08-07,13.5
2012-08-08,13.0
2012-08-09,12.7
2012-08-10,12.0
2012-08-13,12.0
2012-08-14,11.65
2012-08-16,11.6
2012-08-17,11.8
2012-08-21,11.85
2012-08-22,11.8
2012-08-23,11.55
2012-08-24,11.55
2012-08-27,11.05
2012-08-28,10.85
2012-08-29,10.65
2012-08-30,10.0
2012-08-31,9.9
2012-09-03,10.25
2012-09-04,10.55
2012-09-05,11.55
2012-09-06,11.15
2012-09-07,11.15
2012-09-08,11.25
2012-09-10,10.95
2012-09-11,10.9
2012-09-12,11.05
2012-09-13,11.1
2012-09-14,11.35
2012-09-17,11.7
2012-09-18,12.45
2012-09-20,12.25
2012-09-21,13.15
2012-09-24,14.0
2012-09-25,14.1
2012-09-26,13.55
2012-09-27,13.65
2012-09-28,13.45
2012-10-01,13.55
2012-10-03,13.65
2012-10-04,13.95
2012-10-05,13.7
2012-10-08,13.4
2012-10-09,13.35
2012-10-10,12.2
2012-10-11,12.5
2012-10-12,12.65
2012-10-15,12.45
2012-10-16,12.15
2012-10-17,12.25
2012-10-18,13.0
2012-10-19,12.5
2012-10-22,12.55
2012-10-23,12.7
2012-10-25,12.85
2012-10-26,12.55
2012-10-29,12.45
2012-10-30,12.0
2012-10-31,11.95
2012-11-01,12.15
2012-11-02,12.05
2012-11-05,11.75
2012-11-06,11.75
2012-11-07,11.9
2012-11-08,11.85
2012-11-09,11.75
2012-11-12,11.8
2012-11-13,12.05
2012-11-15,12.05
2012-11-16,11.7
2012-11-19,11.5
2012-11-20,11.25
2012-11-21,11.3
2012-11-22,11.25
2012-11-23,11.2
2012-11-26,11.1
2012-11-27,11.75
2012-11-29,12.2
2012-11-30,12.55
2012-12-03,14.25
2012-12-04,13.75
2012-12-05,14.2
2012-12-06,14.15
2012-12-07,14.1
2012-12-10,14.0
2012-12-11,13.75
2012-12-12,13.4
2012-12-13,12.95
2012-12-14,13.85
2012-12-17,13.6
2012-12-18,14.9
2012-12-19,14.9
2012-12-20,14.35
2012-12-21,14.1
2012-12-24,13.95
2012-12-26,14.6
2012-12-27,14.8
2012-12-28,14.55
2012-12-31,14.5
