Date,JPINFRATEC
2012-01-02,37.55
2012-01-03,38.4
2012-01-04,38.45
2012-01-05,37.9
2012-01-06,38.5
2012-01-07,38.7
2012-01-09,38.95
2012-01-10,39.8
2012-01-11,39.85
2012-01-12,39.75
2012-01-13,41.55
2012-01-16,40.1
2012-01-17,40.85
2012-01-18,40.1
2012-01-19,41.15
2012-01-20,42.3
2012-01-23,42.25
2012-01-24,42.75
2012-01-25,42.9
2012-01-27,43.6
2012-01-30,42.5
2012-01-31,43.0
2012-02-01,44.2
2012-02-02,44.4
2012-02-03,45.55
2012-02-06,46.7
2012-02-07,45.95
2012-02-08,47.0
2012-02-09,47.05
2012-02-10,46.1
2012-02-13,46.3
2012-02-14,47.65
2012-02-15,49.2
2012-02-16,50.15
2012-02-17,50.3
2012-02-21,50.35
2012-02-22,48.0
2012-02-23,46.8
2012-02-24,45.7
2012-02-27,41.95
2012-02-28,43.6
2012-02-29,44.5
2012-03-01,44.55
2012-03-02,46.0
2012-03-03,45.85
2012-03-05,43.75
2012-03-06,42.75
2012-03-07,43.6
2012-03-09,44.95
2012-03-12,47.75
2012-03-13,49.55
2012-03-14,50.85
2012-03-15,49.75
2012-03-16,48.9
2012-03-19,50.35
2012-03-20,51.15
2012-03-21,50.9
2012-03-22,48.4
2012-03-23,48.6
2012-03-26,47.85
2012-03-27,48.45
2012-03-28,45.9
2012-03-29,47.55
2012-03-30,50.55
2012-04-02,51.45
2012-04-03,51.9
2012-04-04,51.1
2012-04-09,48.45
2012-04-10,49.0
2012-04-11,48.6
2012-04-12,48.95
2012-04-13,48.6
2012-04-16,48.4
2012-04-17,49.15
2012-04-18,49.35
2012-04-19,49.3
2012-04-20,48.6
2012-04-23,46.05
2012-04-24,46.5
2012-04-25,45.75
2012-04-26,45.2
2012-04-27,45.65
2012-04-28,45.95
2012-04-30,46.25
2012-05-02,45.7
2012-05-03,45.25
2012-05-04,44.25
2012-05-07,45.05
2012-05-08,44.2
2012-05-09,43.65
2012-05-10,43.75
2012-05-11,43.7
2012-05-14,43.55
2012-05-15,43.55
2012-05-16,42.9
2012-05-17,44.15
2012-05-18,44.8
2012-05-21,44.15
2012-05-22,44.3
2012-05-23,43.15
2012-05-24,42.65
2012-05-25,44.3
2012-05-28,44.3
2012-05-29,44.05
2012-05-30,44.35
2012-05-31,43.7
2012-06-01,42.75
2012-06-04,42.45
2012-06-05,45.75
2012-06-06,46.55
2012-06-07,46.15
2012-06-08,46.0
2012-06-11,45.75
2012-06-12,46.05
2012-06-13,47.85
2012-06-14,46.3
2012-06-15,46.8
2012-06-18,46.0
2012-06-19,45.8
2012-06-20,45.95
2012-06-21,48.85
2012-06-22,49.1
2012-06-25,50.95
2012-06-26,52.5
2012-06-27,52.45
2012-06-28,52.7
2012-06-29,53.15
2012-07-02,54.05
2012-07-03,54.85
2012-07-04,55.05
2012-07-05,55.6
2012-07-06,54.9
2012-07-09,55.9
2012-07-09,55.9
2012-07-10,56.95
2012-07-11,59.2
2012-07-12,59.35
2012-07-13,59.2
2012-07-16,56.25
2012-07-17,52.9
2012-07-18,55.25
2012-07-19,54.9
2012-07-20,57.45
2012-07-23,57.85
2012-07-24,55.8
2012-07-25,54.85
2012-07-26,52.85
2012-07-27,52.3
2012-07-30,51.7
2012-07-31,53.45
2012-08-01,53.95
2012-08-02,54.65
2012-08-03,54.9
2012-08-06,54.5
2012-08-07,54.2
2012-08-08,55.8
2012-08-09,53.8
2012-08-10,49.95
2012-08-13,48.6
2012-08-14,48.65
2012-08-16,48.45
2012-08-17,46.7
2012-08-21,48.1
2012-08-22,49.1
2012-08-23,49.4
2012-08-24,47.05
2012-08-27,45.05
2012-08-28,43.3
2012-08-29,42.1
2012-08-30,43.05
2012-08-31,42.75
2012-09-03,43.35
2012-09-04,44.1
2012-09-05,43.6
2012-09-06,43.85
2012-09-07,46.55
2012-09-08,46.15
2012-09-10,45.9
2012-09-11,47.0
2012-09-12,47.4
2012-09-13,47.25
2012-09-14,48.25
2012-09-17,48.65
2012-09-18,49.1
2012-09-20,47.85
2012-09-21,52.75
2012-09-24,52.55
2012-09-25,53.3
2012-09-26,52.7
2012-09-27,53.75
2012-09-28,51.8
2012-10-01,52.8
2012-10-03,52.7
2012-10-04,52.75
2012-10-05,51.65
2012-10-08,51.5
2012-10-09,51.3
2012-10-10,49.6
2012-10-11,51.85
2012-10-12,52.15
2012-10-15,51.3
2012-10-16,50.15
2012-10-17,49.95
2012-10-18,51.35
2012-10-19,50.35
2012-10-22,49.95
2012-10-23,50.2
2012-10-25,51.0
2012-10-26,50.65
2012-10-29,48.55
2012-10-30,47.4
2012-10-31,47.75
2012-11-01,48.4
2012-11-02,48.3
2012-11-05,48.7
2012-11-06,48.5
2012-11-07,49.3
2012-11-08,50.0
2012-11-09,49.05
2012-11-12,48.25
2012-11-13,48.15
2012-11-15,47.4
2012-11-16,46.55
2012-11-19,45.3
2012-11-20,44.6
2012-11-21,44.3
2012-11-22,45.3
2012-11-23,45.6
2012-11-26,44.6
2012-11-27,46.1
2012-11-29,47.0
2012-11-30,46.95
2012-12-03,48.0
2012-12-04,47.85
2012-12-05,47.9
2012-12-06,50.15
2012-12-07,51.35
2012-12-10,50.75
2012-12-11,51.6
2012-12-12,50.4
2012-12-13,49.5
2012-12-14,51.6
2012-12-17,51.75
2012-12-18,51.05
2012-12-19,52.45
2012-12-20,53.1
2012-12-21,52.15
2012-12-24,52.6
2012-12-26,52.65
2012-12-27,51.55
2012-12-28,52.05
2012-12-31,51.4
