Date,NUCLEUS
2012-01-02,61.1
2012-01-03,62.4
2012-01-04,63.35
2012-01-05,62.95
2012-01-06,63.25
2012-01-07,62.7
2012-01-09,63.35
2012-01-10,65.35
2012-01-11,66.7
2012-01-12,69.25
2012-01-13,72.3
2012-01-16,70.05
2012-01-17,70.8
2012-01-18,68.9
2012-01-19,68.95
2012-01-20,69.95
2012-01-23,71.4
2012-01-24,71.1
2012-01-25,71.55
2012-01-27,73.25
2012-01-30,70.0
2012-01-31,71.45
2012-02-01,72.6
2012-02-02,72.1
2012-02-03,72.0
2012-02-06,72.0
2012-02-07,71.15
2012-02-08,70.9
2012-02-09,69.5
2012-02-10,69.05
2012-02-13,70.25
2012-02-14,72.65
2012-02-15,75.9
2012-02-16,74.95
2012-02-17,70.3
2012-02-21,72.35
2012-02-22,73.25
2012-02-23,72.4
2012-02-24,69.85
2012-02-27,67.1
2012-02-28,69.45
2012-02-29,68.85
2012-03-01,68.45
2012-03-02,68.95
2012-03-03,68.75
2012-03-05,68.05
2012-03-06,66.25
2012-03-07,67.75
2012-03-09,68.3
2012-03-12,67.55
2012-03-13,67.65
2012-03-14,67.35
2012-03-15,66.25
2012-03-16,65.3
2012-03-19,64.8
2012-03-20,65.3
2012-03-21,66.15
2012-03-22,64.6
2012-03-23,64.3
2012-03-26,63.6
2012-03-27,62.8
2012-03-28,61.45
2012-03-29,61.35
2012-03-30,61.85
2012-04-02,64.1
2012-04-03,64.3
2012-04-04,64.45
2012-04-09,63.95
2012-04-10,63.85
2012-04-11,64.05
2012-04-12,65.7
2012-04-13,65.0
2012-04-16,64.95
2012-04-17,65.2
2012-04-18,64.1
2012-04-19,65.15
2012-04-20,66.3
2012-04-23,66.2
2012-04-24,66.65
2012-04-25,66.35
2012-04-26,65.65
2012-04-27,64.5
2012-04-28,64.75
2012-04-30,66.7
2012-05-02,67.15
2012-05-03,66.4
2012-05-04,65.7
2012-05-07,65.6
2012-05-08,65.55
2012-05-09,64.75
2012-05-10,64.15
2012-05-11,63.65
2012-05-14,63.95
2012-05-15,63.9
2012-05-16,63.9
2012-05-17,63.75
2012-05-18,63.95
2012-05-21,64.7
2012-05-22,64.0
2012-05-23,64.7
2012-05-24,63.75
2012-05-25,64.15
2012-05-28,63.6
2012-05-29,63.2
2012-05-30,62.55
2012-05-31,62.75
2012-06-01,61.5
2012-06-04,61.0
2012-06-05,60.75
2012-06-06,61.9
2012-06-07,62.25
2012-06-08,61.25
2012-06-11,61.75
2012-06-12,61.7
2012-06-13,62.45
2012-06-14,61.75
2012-06-15,63.65
2012-06-18,63.1
2012-06-19,64.05
2012-06-20,66.0
2012-06-21,67.05
2012-06-22,64.6
2012-06-25,64.9
2012-06-26,65.2
2012-06-27,65.05
2012-06-28,67.95
2012-06-29,70.25
2012-07-02,70.1
2012-07-03,69.3
2012-07-04,69.8
2012-07-05,70.15
2012-07-06,69.95
2012-07-09,68.7
2012-07-09,68.7
2012-07-10,68.95
2012-07-11,67.85
2012-07-12,66.55
2012-07-13,66.7
2012-07-16,67.0
2012-07-17,65.25
2012-07-18,65.75
2012-07-19,65.85
2012-07-20,66.45
2012-07-23,69.85
2012-07-24,69.1
2012-07-25,66.1
2012-07-26,63.95
2012-07-27,61.3
2012-07-30,62.3
2012-07-31,64.9
2012-08-01,67.2
2012-08-02,66.9
2012-08-03,66.95
2012-08-06,70.5
2012-08-07,69.9
2012-08-08,68.15
2012-08-09,67.75
2012-08-10,67.6
2012-08-13,66.95
2012-08-14,68.25
2012-08-16,71.8
2012-08-17,79.75
2012-08-21,81.6
2012-08-22,81.15
2012-08-23,80.45
2012-08-24,76.1
2012-08-27,73.05
2012-08-28,70.25
2012-08-29,70.45
2012-08-30,70.65
2012-08-31,70.45
2012-09-03,71.55
2012-09-04,78.75
2012-09-05,75.0
2012-09-06,78.5
2012-09-07,78.8
2012-09-08,78.0
2012-09-10,87.4
2012-09-11,88.85
2012-09-12,87.55
2012-09-13,89.55
2012-09-14,86.25
2012-09-17,82.05
2012-09-18,85.15
2012-09-20,85.0
2012-09-21,85.0
2012-09-24,83.65
2012-09-25,83.8
2012-09-26,83.55
2012-09-27,85.0
2012-09-28,86.85
2012-10-01,90.45
2012-10-03,94.1
2012-10-04,90.8
2012-10-05,89.25
2012-10-08,88.1
2012-10-09,90.4
2012-10-10,88.15
2012-10-11,89.0
2012-10-12,88.25
2012-10-15,88.75
2012-10-16,89.8
2012-10-17,89.45
2012-10-18,89.1
2012-10-19,87.75
2012-10-22,85.75
2012-10-23,83.3
2012-10-25,78.35
2012-10-26,74.2
2012-10-29,73.9
2012-10-30,72.65
2012-10-31,73.0
2012-11-01,73.55
2012-11-02,75.2
2012-11-05,74.6
2012-11-06,74.8
2012-11-07,75.65
2012-11-08,75.4
2012-11-09,73.7
2012-11-12,73.0
2012-11-13,73.75
2012-11-15,73.0
2012-11-16,74.2
2012-11-19,72.75
2012-11-20,72.85
2012-11-21,73.3
2012-11-22,73.8
2012-11-23,74.35
2012-11-26,74.45
2012-11-27,76.8
2012-11-29,76.05
2012-11-30,75.2
2012-12-03,76.3
2012-12-04,75.1
2012-12-05,75.2
2012-12-06,73.85
2012-12-07,73.5
2012-12-10,72.5
2012-12-11,71.55
2012-12-12,71.7
2012-12-13,71.05
2012-12-14,70.7
2012-12-17,70.9
2012-12-18,73.3
2012-12-19,73.0
2012-12-20,71.5
2012-12-21,70.7
2012-12-24,70.3
2012-12-26,70.0
2012-12-27,69.2
2012-12-28,68.7
2012-12-31,69.55
