Date,MINDTREE
2012-01-02,390.4
2012-01-03,402.15
2012-01-04,400.9
2012-01-05,418.85
2012-01-06,429.5
2012-01-07,422.3
2012-01-09,420.75
2012-01-10,425.3
2012-01-11,431.5
2012-01-12,423.45
2012-01-13,436.55
2012-01-16,430.5
2012-01-17,441.45
2012-01-18,449.1
2012-01-19,442.95
2012-01-20,445.05
2012-01-23,443.65
2012-01-24,437.8
2012-01-25,437.0
2012-01-27,443.9
2012-01-30,427.4
2012-01-31,430.7
2012-02-01,434.55
2012-02-02,448.05
2012-02-03,450.05
2012-02-06,453.95
2012-02-07,452.65
2012-02-08,453.9
2012-02-09,454.65
2012-02-10,455.05
2012-02-13,449.9
2012-02-14,445.05
2012-02-15,455.2
2012-02-16,473.45
2012-02-17,471.4
2012-02-21,469.6
2012-02-22,454.25
2012-02-23,450.25
2012-02-24,450.55
2012-02-27,447.4
2012-02-28,444.1
2012-02-29,464.4
2012-03-01,455.65
2012-03-02,453.75
2012-03-03,450.0
2012-03-05,446.95
2012-03-06,445.15
2012-03-07,448.5
2012-03-09,451.0
2012-03-12,457.5
2012-03-13,466.55
2012-03-14,488.9
2012-03-15,469.7
2012-03-16,456.45
2012-03-19,471.9
2012-03-20,473.4
2012-03-21,479.8
2012-03-22,474.9
2012-03-23,483.1
2012-03-26,484.6
2012-03-27,487.55
2012-03-28,484.8
2012-03-29,481.7
2012-03-30,489.3
2012-04-02,496.65
2012-04-03,500.05
2012-04-04,503.15
2012-04-09,506.0
2012-04-10,503.6
2012-04-11,492.05
2012-04-12,496.8
2012-04-13,492.9
2012-04-16,488.7
2012-04-17,529.7
2012-04-18,528.1
2012-04-19,534.15
2012-04-20,545.3
2012-04-23,544.2
2012-04-24,546.15
2012-04-25,549.45
2012-04-26,557.35
2012-04-27,579.35
2012-04-28,570.45
2012-04-30,589.6
2012-05-02,601.3
2012-05-03,583.95
2012-05-04,580.9
2012-05-07,597.15
2012-05-08,581.65
2012-05-09,581.85
2012-05-10,583.75
2012-05-11,580.15
2012-05-14,603.1
2012-05-15,614.55
2012-05-16,606.3
2012-05-17,620.75
2012-05-18,608.3
2012-05-21,609.7
2012-05-22,610.85
2012-05-23,607.45
2012-05-24,606.65
2012-05-25,619.45
2012-05-28,618.6
2012-05-29,620.0
2012-05-30,624.7
2012-05-31,630.2
2012-06-01,628.8
2012-06-04,619.0
2012-06-05,628.7
2012-06-06,635.7
2012-06-07,610.05
2012-06-08,613.8
2012-06-11,617.95
2012-06-12,624.0
2012-06-13,625.65
2012-06-14,625.7
2012-06-15,613.7
2012-06-18,604.6
2012-06-19,614.45
2012-06-20,615.8
2012-06-21,608.85
2012-06-22,605.0
2012-06-25,610.4
2012-06-26,617.65
2012-06-27,635.4
2012-06-28,640.9
2012-06-29,644.8
2012-07-02,673.15
2012-07-03,703.55
2012-07-04,700.0
2012-07-05,695.35
2012-07-06,661.65
2012-07-09,659.15
2012-07-09,659.15
2012-07-10,664.6
2012-07-11,654.6
2012-07-12,636.3
2012-07-13,657.05
2012-07-16,641.35
2012-07-17,649.45
2012-07-18,645.85
2012-07-19,644.2
2012-07-20,662.9
2012-07-23,654.55
2012-07-24,655.55
2012-07-25,648.9
2012-07-26,624.95
2012-07-27,621.8
2012-07-30,628.15
2012-07-31,631.2
2012-08-01,641.45
2012-08-02,641.55
2012-08-03,633.05
2012-08-06,635.7
2012-08-07,637.75
2012-08-08,630.45
2012-08-09,629.2
2012-08-10,628.5
2012-08-13,623.3
2012-08-14,644.05
2012-08-16,649.65
2012-08-17,645.45
2012-08-21,650.15
2012-08-22,672.9
2012-08-23,679.95
2012-08-24,699.3
2012-08-27,673.15
2012-08-28,653.4
2012-08-29,650.1
2012-08-30,660.5
2012-08-31,658.95
2012-09-03,665.6
2012-09-04,665.3
2012-09-05,677.45
2012-09-06,698.8
2012-09-07,698.85
2012-09-08,718.65
2012-09-10,712.3
2012-09-11,722.15
2012-09-12,747.45
2012-09-13,744.05
2012-09-14,723.7
2012-09-17,695.7
2012-09-18,687.65
2012-09-20,696.9
2012-09-21,689.35
2012-09-24,687.35
2012-09-25,678.5
2012-09-26,666.9
2012-09-27,662.35
2012-09-28,661.65
2012-10-01,666.25
2012-10-03,660.05
2012-10-04,647.6
2012-10-05,649.05
2012-10-08,657.7
2012-10-09,660.9
2012-10-10,671.0
2012-10-11,660.75
2012-10-12,668.45
2012-10-15,681.6
2012-10-16,677.75
2012-10-17,646.95
2012-10-18,659.95
2012-10-19,653.6
2012-10-22,672.1
2012-10-23,664.85
2012-10-25,659.6
2012-10-26,657.65
2012-10-29,662.4
2012-10-30,660.05
2012-10-31,659.25
2012-11-01,652.65
2012-11-02,656.1
2012-11-05,655.55
2012-11-06,673.45
2012-11-07,687.9
2012-11-08,678.55
2012-11-09,678.55
2012-11-12,670.25
2012-11-13,694.9
2012-11-15,678.0
2012-11-16,670.75
2012-11-19,660.95
2012-11-20,662.35
2012-11-21,663.6
2012-11-22,660.3
2012-11-23,665.25
2012-11-26,672.35
2012-11-27,690.45
2012-11-29,693.75
2012-11-30,720.4
2012-12-03,719.1
2012-12-04,709.7
2012-12-05,695.25
2012-12-06,686.0
2012-12-07,679.15
2012-12-10,671.6
2012-12-11,685.25
2012-12-12,710.4
2012-12-13,699.3
2012-12-14,693.65
2012-12-17,706.75
2012-12-18,705.0
2012-12-19,707.7
2012-12-20,703.8
2012-12-21,714.55
2012-12-24,706.85
2012-12-26,704.5
2012-12-27,696.05
2012-12-28,691.8
2012-12-31,682.85
