Date,RUCHISOYA
2012-01-02,93.95
2012-01-03,94.75
2012-01-04,93.45
2012-01-05,93.65
2012-01-06,93.85
2012-01-07,94.15
2012-01-09,92.8
2012-01-10,92.85
2012-01-11,93.75
2012-01-12,92.55
2012-01-13,93.0
2012-01-16,93.65
2012-01-17,93.55
2012-01-18,93.15
2012-01-19,93.9
2012-01-20,92.95
2012-01-23,88.4
2012-01-24,88.75
2012-01-25,93.3
2012-01-27,93.5
2012-01-30,91.7
2012-01-31,94.55
2012-02-01,95.05
2012-02-02,94.6
2012-02-03,94.0
2012-02-06,93.5
2012-02-07,97.8
2012-02-08,99.3
2012-02-09,98.45
2012-02-10,98.05
2012-02-13,97.5
2012-02-14,98.3
2012-02-15,99.4
2012-02-16,99.1
2012-02-17,100.15
2012-02-21,97.05
2012-02-22,93.9
2012-02-23,95.5
2012-02-24,92.6
2012-02-27,90.75
2012-02-28,92.5
2012-02-29,92.6
2012-03-01,92.9
2012-03-02,93.2
2012-03-03,93.1
2012-03-05,92.3
2012-03-06,92.25
2012-03-07,93.25
2012-03-09,93.5
2012-03-12,92.5
2012-03-13,92.5
2012-03-14,95.5
2012-03-15,94.45
2012-03-16,93.95
2012-03-19,92.95
2012-03-20,94.05
2012-03-21,94.3
2012-03-22,94.0
2012-03-23,93.45
2012-03-26,91.25
2012-03-27,93.2
2012-03-28,93.35
2012-03-29,89.55
2012-03-30,91.25
2012-04-02,92.3
2012-04-03,94.05
2012-04-04,94.7
2012-04-09,92.0
2012-04-10,92.6
2012-04-11,92.0
2012-04-12,91.55
2012-04-13,92.9
2012-04-16,91.95
2012-04-17,91.55
2012-04-18,90.55
2012-04-19,90.9
2012-04-20,90.2
2012-04-23,88.0
2012-04-24,86.35
2012-04-25,83.6
2012-04-26,83.8
2012-04-27,87.4
2012-04-28,86.35
2012-04-30,88.6
2012-05-02,88.5
2012-05-03,88.55
2012-05-04,91.45
2012-05-07,93.05
2012-05-08,93.9
2012-05-09,93.9
2012-05-10,92.8
2012-05-11,92.8
2012-05-14,92.85
2012-05-15,92.8
2012-05-16,92.8
2012-05-17,93.45
2012-05-18,93.2
2012-05-21,92.55
2012-05-22,91.9
2012-05-23,90.15
2012-05-24,91.65
2012-05-25,91.55
2012-05-28,92.1
2012-05-29,93.6
2012-05-30,91.3
2012-05-31,94.4
2012-06-01,91.35
2012-06-04,92.8
2012-06-05,92.15
2012-06-06,92.8
2012-06-07,93.55
2012-06-08,92.9
2012-06-11,92.95
2012-06-12,94.1
2012-06-13,93.75
2012-06-14,93.2
2012-06-15,93.0
2012-06-18,91.95
2012-06-19,91.85
2012-06-20,92.7
2012-06-21,91.75
2012-06-22,91.45
2012-06-25,92.2
2012-06-26,91.5
2012-06-27,91.45
2012-06-28,88.0
2012-06-29,89.2
2012-07-02,89.1
2012-07-03,89.85
2012-07-04,89.9
2012-07-05,90.0
2012-07-06,89.65
2012-07-09,89.3
2012-07-10,88.65
2012-07-11,89.7
2012-07-12,89.7
2012-07-13,90.0
2012-07-16,89.35
2012-07-17,88.65
2012-07-18,88.35
2012-07-19,88.1
2012-07-20,87.6
2012-07-23,85.45
2012-07-24,85.05
2012-07-25,81.8
2012-07-26,84.35
2012-07-27,84.15
2012-07-30,84.6
2012-07-31,85.05
2012-08-01,84.8
2012-08-02,86.2
2012-08-03,87.5
2012-08-06,86.5
2012-08-07,86.3
2012-08-08,86.2
2012-08-09,86.05
2012-08-10,85.9
2012-08-13,85.85
2012-08-14,85.35
2012-08-16,85.05
2012-08-17,84.9
2012-08-21,85.15
2012-08-22,84.65
2012-08-23,84.5
2012-08-24,84.3
2012-08-27,83.45
2012-08-28,84.15
2012-08-29,83.85
2012-08-30,83.5
2012-08-31,83.55
2012-09-03,83.55
2012-09-04,83.55
2012-09-05,83.3
2012-09-06,83.0
2012-09-07,83.05
2012-09-08,83.35
2012-09-10,82.3
2012-09-11,81.85
2012-09-12,82.2
2012-09-13,80.7
2012-09-14,81.75
2012-09-17,81.95
2012-09-18,81.7
2012-09-20,80.95
2012-09-21,77.45
2012-09-24,69.85
2012-09-25,73.7
2012-09-26,74.25
2012-09-27,78.65
2012-09-28,74.55
2012-10-01,75.3
2012-10-03,73.85
2012-10-04,73.3
2012-10-05,72.0
2012-10-08,71.15
2012-10-09,71.0
2012-10-10,70.25
2012-10-11,69.4
2012-10-12,69.05
2012-10-15,69.25
2012-10-16,68.95
2012-10-17,68.3
2012-10-18,68.5
2012-10-19,68.85
2012-10-22,67.65
2012-10-23,67.8
2012-10-25,69.15
2012-10-26,67.75
2012-10-29,67.55
2012-10-30,66.85
2012-10-31,66.45
2012-11-01,66.55
2012-11-02,66.8
2012-11-05,66.2
2012-11-06,66.75
2012-11-07,66.4
2012-11-08,65.7
2012-11-09,64.7
2012-11-12,65.55
2012-11-13,66.85
2012-11-15,64.85
2012-11-16,64.15
2012-11-19,62.75
2012-11-20,60.45
2012-11-21,60.95
2012-11-22,61.2
2012-11-23,61.0
2012-11-26,60.85
2012-11-27,60.05
2012-11-29,61.4
2012-11-30,61.65
2012-12-03,63.1
2012-12-04,70.15
2012-12-05,70.7
2012-12-06,68.45
2012-12-07,70.35
2012-12-10,69.2
2012-12-11,68.0
2012-12-12,65.9
2012-12-13,66.65
2012-12-14,66.2
2012-12-17,66.3
2012-12-18,66.2
2012-12-19,66.25
2012-12-20,65.85
2012-12-21,63.25
2012-12-24,63.95
2012-12-26,66.55
2012-12-27,65.65
2012-12-28,64.15
2012-12-31,64.45
