Date,EMCO
2012-01-02,28.45
2012-01-03,29.4
2012-01-04,28.95
2012-01-05,28.05
2012-01-06,27.55
2012-01-07,28.05
2012-01-09,28.0
2012-01-10,28.8
2012-01-11,30.7
2012-01-12,31.1
2012-01-13,33.45
2012-01-16,33.9
2012-01-17,33.9
2012-01-18,32.4
2012-01-19,32.7
2012-01-20,34.25
2012-01-23,34.75
2012-01-24,34.55
2012-01-25,34.6
2012-01-27,35.8
2012-01-30,33.4
2012-01-31,33.2
2012-02-01,34.05
2012-02-02,33.95
2012-02-03,32.45
2012-02-06,31.8
2012-02-07,34.25
2012-02-08,35.75
2012-02-09,35.85
2012-02-10,35.2
2012-02-13,34.7
2012-02-14,34.85
2012-02-15,35.7
2012-02-16,36.55
2012-02-17,39.3
2012-02-21,41.65
2012-02-22,38.05
2012-02-23,38.55
2012-02-24,37.45
2012-02-27,33.85
2012-02-28,34.95
2012-02-29,35.95
2012-03-01,35.05
2012-03-02,35.3
2012-03-03,35.2
2012-03-05,34.15
2012-03-06,33.65
2012-03-07,32.4
2012-03-09,32.75
2012-03-12,33.15
2012-03-13,34.2
2012-03-14,34.4
2012-03-15,33.35
2012-03-16,32.7
2012-03-19,31.7
2012-03-20,31.75
2012-03-21,32.1
2012-03-22,31.15
2012-03-23,30.8
2012-03-26,29.95
2012-03-27,29.4
2012-03-28,29.2
2012-03-29,28.9
2012-03-30,29.45
2012-04-02,31.05
2012-04-03,31.5
2012-04-04,32.5
2012-04-09,31.0
2012-04-10,31.0
2012-04-11,30.8
2012-04-12,30.85
2012-04-13,30.4
2012-04-16,30.4
2012-04-17,30.8
2012-04-18,31.4
2012-04-19,31.2
2012-04-20,30.45
2012-04-23,29.9
2012-04-24,29.6
2012-04-25,29.05
2012-04-26,28.75
2012-04-27,28.65
2012-04-28,28.65
2012-04-30,28.85
2012-05-02,29.35
2012-05-03,29.8
2012-05-04,28.2
2012-05-07,28.3
2012-05-08,28.1
2012-05-09,27.55
2012-05-10,27.5
2012-05-11,27.2
2012-05-14,26.25
2012-05-15,26.3
2012-05-16,27.45
2012-05-17,26.9
2012-05-18,26.9
2012-05-21,26.35
2012-05-22,26.1
2012-05-23,26.75
2012-05-24,26.6
2012-05-25,26.9
2012-05-28,27.0
2012-05-29,27.0
2012-05-30,26.45
2012-05-31,26.0
2012-06-01,25.75
2012-06-04,26.5
2012-06-05,26.2
2012-06-06,26.7
2012-06-07,27.2
2012-06-08,27.25
2012-06-11,27.6
2012-06-12,27.05
2012-06-13,27.55
2012-06-14,26.75
2012-06-15,26.7
2012-06-18,26.9
2012-06-19,26.7
2012-06-20,27.1
2012-06-21,27.55
2012-06-22,27.3
2012-06-25,27.15
2012-06-26,27.0
2012-06-27,27.0
2012-06-28,28.15
2012-06-29,28.55
2012-07-02,29.95
2012-07-03,30.6
2012-07-04,30.8
2012-07-05,31.25
2012-07-06,31.15
2012-07-09,33.3
2012-07-09,33.3
2012-07-10,35.0
2012-07-11,33.5
2012-07-12,32.0
2012-07-13,31.2
2012-07-16,30.95
2012-07-17,30.15
2012-07-18,30.3
2012-07-19,30.2
2012-07-20,30.1
2012-07-23,29.4
2012-07-24,29.3
2012-07-25,28.8
2012-07-26,28.55
2012-07-27,28.05
2012-07-30,28.25
2012-07-31,28.55
2012-08-01,28.7
2012-08-02,28.85
2012-08-03,28.7
2012-08-06,28.95
2012-08-07,29.1
2012-08-08,28.6
2012-08-09,28.6
2012-08-10,28.55
2012-08-13,28.1
2012-08-14,28.15
2012-08-16,27.5
2012-08-17,27.45
2012-08-21,27.4
2012-08-22,27.8
2012-08-23,27.25
2012-08-24,26.9
2012-08-27,26.55
2012-08-28,25.9
2012-08-29,25.85
2012-08-30,25.55
2012-08-31,25.1
2012-09-03,25.25
2012-09-04,25.35
2012-09-05,25.15
2012-09-06,24.95
2012-09-07,25.9
2012-09-08,26.0
2012-09-10,29.15
2012-09-11,29.7
2012-09-12,28.6
2012-09-13,28.5
2012-09-14,28.1
2012-09-17,28.05
2012-09-18,28.6
2012-09-20,29.25
2012-09-21,29.2
2012-09-24,30.35
2012-09-25,30.2
2012-09-26,30.15
2012-09-27,29.55
2012-09-28,29.2
2012-10-01,28.75
2012-10-03,29.05
2012-10-04,29.8
2012-10-05,28.95
2012-10-08,29.0
2012-10-09,29.25
2012-10-10,28.75
2012-10-11,28.9
2012-10-12,29.15
2012-10-15,29.85
2012-10-16,29.15
2012-10-17,28.6
2012-10-18,28.35
2012-10-19,28.45
2012-10-22,29.2
2012-10-23,29.85
2012-10-25,30.2
2012-10-26,30.7
2012-10-29,29.6
2012-10-30,28.9
2012-10-31,29.05
2012-11-01,29.35
2012-11-02,29.2
2012-11-05,28.95
2012-11-06,28.65
2012-11-07,30.35
2012-11-08,32.9
2012-11-09,32.1
2012-11-12,31.15
2012-11-13,30.75
2012-11-15,30.15
2012-11-16,29.85
2012-11-19,29.15
2012-11-20,28.65
2012-11-21,29.3
2012-11-22,28.95
2012-11-23,28.8
2012-11-26,28.55
2012-11-27,28.8
2012-11-29,29.05
2012-11-30,29.35
2012-12-03,29.4
2012-12-04,29.4
2012-12-05,30.0
2012-12-06,30.35
2012-12-07,30.25
2012-12-10,29.75
2012-12-11,29.35
2012-12-12,29.45
2012-12-13,29.15
2012-12-14,28.75
2012-12-17,28.7
2012-12-18,28.95
2012-12-19,29.2
2012-12-20,29.1
2012-12-21,28.55
2012-12-24,28.6
2012-12-26,28.7
2012-12-27,28.4
2012-12-28,30.1
2012-12-31,30.45
