Date,ORISSAMINE
2012-01-02,34938.1
2012-01-03,35655.9
2012-01-04,33924.75
2012-01-05,34335.15
2012-01-06,34453.15
2012-01-07,34497.55
2012-01-09,35572.4
2012-01-10,35974.9
2012-01-11,36204.45
2012-01-12,35722.95
2012-01-13,35510.55
2012-01-16,35411.5
2012-01-17,37074.95
2012-01-18,35959.55
2012-01-19,36136.85
2012-01-20,35308.2
2012-01-23,35005.05
2012-01-24,34896.05
2012-01-25,35552.15
2012-01-27,36059.5
2012-01-30,35250.45
2012-01-31,35570.3
2012-02-01,40053.6
2012-02-02,40512.7
2012-02-03,40388.0
2012-02-06,40264.3
2012-02-07,41828.0
2012-02-08,42078.1
2012-02-09,42492.8
2012-02-10,43138.25
2012-02-13,41106.95
2012-02-14,41818.4
2012-02-15,42170.85
2012-02-16,43492.05
2012-02-17,42540.1
2012-02-21,42209.7
2012-02-22,40446.3
2012-02-23,40132.3
2012-02-24,39604.05
2012-02-27,36350.3
2012-02-28,38109.95
2012-02-29,38204.9
2012-03-01,38196.6
2012-03-02,37850.35
2012-03-03,38080.65
2012-03-05,37458.25
2012-03-06,36862.4
2012-03-07,36945.55
2012-03-09,36829.25
2012-03-12,36771.65
2012-03-13,36883.75
2012-03-14,37054.4
2012-03-15,36446.9
2012-03-16,36153.75
2012-03-19,35487.4
2012-03-20,35049.1
2012-03-21,35673.55
2012-03-22,35543.0
2012-03-23,35991.35
2012-03-26,35597.55
2012-03-27,34850.25
2012-03-28,33436.5
2012-03-29,34219.0
2012-03-30,34162.25
2012-04-02,35288.15
2012-04-03,35537.4
2012-04-04,35023.3
2012-04-09,34947.05
2012-04-10,34811.6
2012-04-11,35048.15
2012-04-12,36313.25
2012-04-13,35195.7
2012-04-16,33282.55
2012-04-17,34058.65
2012-04-18,34346.3
2012-04-19,34111.75
2012-04-20,33503.75
2012-04-23,32808.9
2012-04-24,33002.05
2012-04-25,31983.25
2012-04-26,31793.25
2012-04-27,32325.95
2012-04-28,33911.35
2012-04-30,33405.35
2012-05-02,33151.6
2012-05-03,32838.85
2012-05-04,31364.05
2012-05-07,30951.4
2012-05-08,30033.5
2012-05-09,29543.75
2012-05-10,29134.4
2012-05-11,28739.3
2012-05-14,28771.4
2012-05-15,28598.7
2012-05-16,27853.4
