Date,MMFL
2012-01-02,81.9
2012-01-03,84.0
2012-01-04,83.5
2012-01-05,84.15
2012-01-06,87.3
2012-01-07,86.4
2012-01-09,94.1
2012-01-10,96.5
2012-01-11,94.85
2012-01-12,99.0
2012-01-13,98.0
2012-01-16,95.45
2012-01-17,97.85
2012-01-18,97.7
2012-01-19,96.05
2012-01-20,96.95
2012-01-23,96.3
2012-01-24,97.05
2012-01-25,100.75
2012-01-27,101.7
2012-01-30,100.0
2012-01-31,99.4
2012-02-01,101.9
2012-02-02,101.35
2012-02-03,99.65
2012-02-06,100.4
2012-02-07,101.6
2012-02-08,107.4
2012-02-09,105.65
2012-02-10,109.1
2012-02-13,108.3
2012-02-14,106.2
2012-02-15,105.25
2012-02-16,107.15
2012-02-17,106.6
2012-02-21,104.55
2012-02-22,103.25
2012-02-23,99.95
2012-02-24,100.0
2012-02-27,95.75
2012-02-28,92.85
2012-02-29,93.45
2012-03-01,92.8
2012-03-02,93.1
2012-03-03,91.75
2012-03-05,91.75
2012-03-06,92.7
2012-03-07,92.25
2012-03-09,93.0
2012-03-12,92.4
2012-03-13,93.0
2012-03-14,93.9
2012-03-15,93.35
2012-03-16,92.05
2012-03-19,90.6
2012-03-20,93.9
2012-03-21,96.2
2012-03-22,96.3
2012-03-23,95.9
2012-03-26,90.45
2012-03-27,90.1
2012-03-28,92.25
2012-03-29,91.85
2012-03-30,92.45
2012-04-02,92.35
2012-04-03,92.0
2012-04-04,91.1
2012-04-09,91.55
2012-04-10,90.6
2012-04-11,90.6
2012-04-12,90.65
2012-04-13,90.05
2012-04-16,90.75
2012-04-17,94.0
2012-04-18,96.4
2012-04-19,95.85
2012-04-20,95.5
2012-04-23,95.9
2012-04-24,93.0
2012-04-25,95.0
2012-04-26,95.5
2012-04-27,95.0
2012-04-30,96.55
2012-05-02,97.0
2012-05-03,98.45
2012-05-04,94.0
2012-05-07,94.85
2012-05-08,93.3
2012-05-09,96.0
2012-05-10,94.1
2012-05-11,95.0
2012-05-14,96.85
2012-05-15,93.0
2012-05-16,92.45
2012-05-17,92.05
2012-05-18,92.2
2012-05-21,92.7
2012-05-22,92.1
2012-05-23,91.95
2012-05-24,90.95
2012-05-25,92.0
2012-05-28,92.0
2012-05-29,91.8
2012-05-30,89.65
2012-05-31,89.7
2012-06-01,86.5
2012-06-04,86.0
2012-06-05,89.0
2012-06-06,86.45
2012-06-07,88.0
2012-06-08,86.65
2012-06-11,87.0
2012-06-12,88.65
2012-06-13,89.9
2012-06-14,91.65
2012-06-15,89.0
2012-06-18,85.95
2012-06-19,86.85
2012-06-20,87.7
2012-06-21,87.6
2012-06-22,87.0
2012-06-25,86.6
2012-06-26,89.95
2012-06-27,88.45
2012-06-28,89.7
2012-06-29,88.35
2012-07-02,88.25
2012-07-03,90.9
2012-07-04,92.9
2012-07-05,93.15
2012-07-06,92.0
2012-07-09,92.45
2012-07-09,92.45
2012-07-10,91.8
2012-07-11,90.45
2012-07-12,89.65
2012-07-13,90.5
2012-07-16,90.8
2012-07-17,89.3
2012-07-18,91.0
2012-07-19,91.45
2012-07-20,90.2
2012-07-23,91.8
2012-07-24,90.0
2012-07-25,89.25
2012-07-26,90.3
2012-07-27,88.4
2012-07-30,88.8
2012-07-31,87.0
2012-08-01,90.0
2012-08-02,88.2
2012-08-03,93.0
2012-08-06,90.55
2012-08-07,89.0
2012-08-08,89.05
2012-08-09,89.0
2012-08-10,89.55
2012-08-13,89.65
2012-08-14,87.7
2012-08-16,87.8
2012-08-17,88.7
2012-08-21,87.6
2012-08-22,88.0
2012-08-23,86.3
2012-08-24,86.5
2012-08-27,88.3
2012-08-28,85.8
2012-08-29,86.5
2012-08-30,85.3
2012-08-31,85.5
2012-09-03,87.0
2012-09-04,86.0
2012-09-05,85.5
2012-09-06,84.7
2012-09-07,85.0
2012-09-10,85.5
2012-09-11,86.8
2012-09-12,87.35
2012-09-13,88.4
2012-09-14,88.0
2012-09-17,94.6
2012-09-18,93.6
2012-09-20,93.0
2012-09-21,96.8
2012-09-24,96.75
2012-09-25,97.0
2012-09-26,97.0
2012-09-27,98.1
2012-09-28,95.1
2012-10-01,95.75
2012-10-03,95.15
2012-10-04,112.45
2012-10-05,104.6
2012-10-08,100.25
2012-10-09,102.55
2012-10-10,100.4
2012-10-11,100.45
2012-10-12,100.0
2012-10-15,101.4
2012-10-16,105.8
2012-10-17,103.3
2012-10-18,101.9
2012-10-19,103.0
2012-10-22,104.0
2012-10-23,103.3
2012-10-25,102.2
2012-10-26,107.45
2012-10-29,102.2
2012-10-30,101.7
2012-10-31,100.0
2012-11-01,100.0
2012-11-02,100.0
2012-11-05,100.85
2012-11-06,101.75
2012-11-07,102.5
2012-11-08,100.3
2012-11-09,99.4
2012-11-12,98.65
2012-11-13,97.65
2012-11-15,98.85
2012-11-16,102.1
2012-11-19,100.3
2012-11-20,101.55
2012-11-21,101.6
2012-11-22,102.3
2012-11-23,102.9
2012-11-26,108.7
2012-11-27,105.05
2012-11-29,104.15
2012-11-30,103.05
2012-12-03,103.0
2012-12-04,102.75
2012-12-05,105.15
2012-12-06,105.0
2012-12-07,106.6
2012-12-10,105.0
2012-12-11,101.45
2012-12-12,102.75
2012-12-13,103.0
2012-12-14,104.45
2012-12-17,102.9
2012-12-18,102.0
2012-12-19,104.0
2012-12-20,104.95
2012-12-21,102.0
2012-12-24,101.05
2012-12-26,109.65
2012-12-27,104.25
2012-12-28,103.7
2012-12-31,103.0
