Date,PETRONET
2012-01-02,155.7
2012-01-03,158.4
2012-01-04,156.95
2012-01-05,160.4
2012-01-06,160.0
2012-01-07,160.05
2012-01-09,159.25
2012-01-10,162.75
2012-01-11,161.6
2012-01-12,164.85
2012-01-13,156.55
2012-01-16,156.35
2012-01-17,157.55
2012-01-18,156.05
2012-01-19,157.65
2012-01-20,157.55
2012-01-23,159.75
2012-01-24,159.85
2012-01-25,163.95
2012-01-27,163.75
2012-01-30,161.1
2012-01-31,164.7
2012-02-01,164.5
2012-02-02,167.6
2012-02-03,165.0
2012-02-06,164.8
2012-02-07,164.95
2012-02-08,169.05
2012-02-09,171.3
2012-02-10,166.85
2012-02-13,165.65
2012-02-14,166.2
2012-02-15,167.9
2012-02-16,167.15
2012-02-17,174.85
2012-02-21,171.65
2012-02-22,164.15
2012-02-23,161.25
2012-02-24,161.4
2012-02-27,161.85
2012-02-28,167.45
2012-02-29,168.6
2012-03-01,166.05
2012-03-02,165.0
2012-03-03,165.25
2012-03-05,162.2
2012-03-06,161.8
2012-03-07,162.25
2012-03-09,165.2
2012-03-12,164.8
2012-03-13,162.6
2012-03-14,163.15
2012-03-15,163.25
2012-03-16,162.45
2012-03-19,162.1
2012-03-20,161.95
2012-03-21,161.55
2012-03-22,161.85
2012-03-23,163.75
2012-03-26,161.2
2012-03-27,161.9
2012-03-28,163.7
2012-03-29,166.7
2012-03-30,168.05
2012-04-02,173.4
2012-04-03,171.4
2012-04-04,172.25
2012-04-09,164.8
2012-04-10,159.75
2012-04-11,157.05
2012-04-12,157.9
2012-04-13,161.0
2012-04-16,163.15
2012-04-17,162.0
2012-04-18,161.45
2012-04-19,158.85
2012-04-20,152.9
2012-04-23,147.7
2012-04-24,146.8
2012-04-25,139.3
2012-04-26,137.65
2012-04-27,139.35
2012-04-28,140.3
2012-04-30,138.55
2012-05-02,134.75
2012-05-03,131.0
2012-05-04,132.75
2012-05-07,135.4
2012-05-08,141.7
2012-05-09,137.5
2012-05-10,138.85
2012-05-11,138.95
2012-05-14,133.9
2012-05-15,132.45
2012-05-16,130.95
2012-05-17,126.0
2012-05-18,124.35
2012-05-21,129.35
2012-05-22,132.0
2012-05-23,128.4
2012-05-24,131.7
2012-05-25,129.95
2012-05-28,131.4
2012-05-29,128.95
2012-05-30,128.2
2012-05-31,127.9
2012-06-01,138.75
2012-06-04,130.4
2012-06-05,131.9
2012-06-06,135.55
2012-06-07,133.5
2012-06-08,135.6
2012-06-11,134.3
2012-06-12,132.9
2012-06-13,135.75
2012-06-14,132.05
2012-06-15,131.55
2012-06-18,131.75
2012-06-19,128.8
2012-06-20,129.7
2012-06-21,136.25
2012-06-22,138.45
2012-06-25,139.55
2012-06-26,140.2
2012-06-27,141.5
2012-06-28,144.5
2012-06-29,143.1
2012-07-02,144.0
2012-07-03,146.3
2012-07-04,148.55
2012-07-05,148.85
2012-07-06,146.15
2012-07-09,143.8
2012-07-09,143.8
2012-07-10,146.25
2012-07-11,146.05
2012-07-12,146.6
2012-07-13,147.95
2012-07-16,147.0
2012-07-17,145.95
2012-07-18,146.5
2012-07-19,147.7
2012-07-20,147.65
2012-07-23,144.25
2012-07-24,142.95
2012-07-25,142.0
2012-07-26,141.15
2012-07-27,141.75
2012-07-30,147.05
2012-07-31,146.4
2012-08-01,145.5
2012-08-02,146.0
2012-08-03,146.1
2012-08-06,148.8
2012-08-07,149.15
2012-08-08,148.25
2012-08-09,148.3
2012-08-10,151.0
2012-08-13,151.6
2012-08-14,154.1
2012-08-16,151.15
2012-08-17,150.75
2012-08-21,150.05
2012-08-22,150.9
2012-08-23,151.05
2012-08-24,151.85
2012-08-27,150.2
2012-08-28,153.35
2012-08-29,151.15
2012-08-30,150.05
2012-08-31,152.2
2012-09-03,157.05
2012-09-04,158.45
2012-09-05,158.0
2012-09-06,156.6
2012-09-07,158.45
2012-09-08,158.05
2012-09-10,161.85
2012-09-11,161.8
2012-09-12,166.45
2012-09-13,168.45
2012-09-14,165.85
2012-09-17,166.4
2012-09-18,167.6
2012-09-20,167.35
2012-09-21,165.1
2012-09-24,161.5
2012-09-25,162.15
2012-09-26,161.2
2012-09-27,157.35
2012-09-28,157.95
2012-10-01,160.85
2012-10-03,161.5
2012-10-04,161.5
2012-10-05,159.5
2012-10-08,161.45
2012-10-09,163.4
2012-10-10,162.55
2012-10-11,161.15
2012-10-12,163.05
2012-10-15,163.95
2012-10-16,163.65
2012-10-17,163.3
2012-10-18,167.15
2012-10-19,169.35
2012-10-22,165.5
2012-10-23,164.2
2012-10-25,165.45
2012-10-26,166.3
2012-10-29,165.6
2012-10-30,166.2
2012-10-31,168.2
2012-11-01,166.8
2012-11-02,172.05
2012-11-05,172.0
2012-11-06,170.65
2012-11-07,170.85
2012-11-08,168.45
2012-11-09,166.0
2012-11-12,166.45
2012-11-13,166.4
2012-11-15,160.4
2012-11-16,158.5
2012-11-19,160.4
2012-11-20,159.95
2012-11-21,157.5
2012-11-22,156.1
2012-11-23,155.05
2012-11-26,156.55
2012-11-27,160.6
2012-11-29,159.15
2012-11-30,162.45
2012-12-03,163.35
2012-12-04,161.65
2012-12-05,160.15
2012-12-06,161.3
2012-12-07,162.8
2012-12-10,161.9
2012-12-11,161.05
2012-12-12,163.6
2012-12-13,161.65
2012-12-14,160.3
2012-12-17,159.45
2012-12-18,161.9
2012-12-19,161.75
2012-12-20,162.15
2012-12-21,161.1
2012-12-24,158.95
2012-12-26,159.85
2012-12-27,158.9
2012-12-28,159.15
2012-12-31,157.15
