Date,INEOSSTYRO
2012-01-02,585.1
2012-01-03,588.0
2012-01-04,590.35
2012-01-05,592.3
2012-01-06,591.65
2012-01-07,591.3
2012-01-09,592.9
2012-01-10,598.35
2012-01-11,598.1
2012-01-12,598.0
2012-01-13,598.25
2012-01-16,598.4
2012-01-17,598.45
2012-01-18,598.35
2012-01-19,598.55
2012-01-20,600.35
2012-01-23,604.25
2012-01-24,604.0
2012-01-25,601.35
2012-01-27,601.5
2012-01-30,601.0
2012-01-31,601.3
2012-02-01,601.5
2012-02-02,601.15
2012-02-03,595.15
2012-02-06,601.55
2012-02-07,596.45
2012-02-08,596.9
2012-02-09,601.65
2012-02-10,618.35
2012-02-13,640.45
2012-02-14,631.75
2012-02-15,617.85
2012-02-16,614.1
2012-02-17,613.1
2012-02-21,612.0
2012-02-22,603.65
2012-02-23,607.25
2012-02-24,642.35
2012-02-27,647.8
2012-02-28,684.3
2012-02-29,687.5
2012-03-01,680.4
2012-03-02,683.4
2012-03-03,715.85
2012-03-05,734.75
2012-03-06,747.2
2012-03-07,734.8
2012-03-09,728.25
2012-03-12,746.8
2012-03-13,744.75
2012-03-14,750.9
2012-03-15,751.1
2012-03-16,749.15
2012-03-19,742.4
2012-03-20,746.25
2012-03-21,759.85
2012-03-22,735.8
2012-03-23,747.3
2012-03-26,740.7
2012-03-27,740.85
2012-03-28,740.8
2012-03-29,739.05
2012-03-30,761.5
2012-04-02,763.3
2012-04-03,765.2
2012-04-04,751.9
2012-04-09,760.4
2012-04-10,763.25
2012-04-11,774.65
2012-04-12,798.6
2012-04-13,785.3
2012-04-16,843.45
2012-04-17,831.35
2012-04-18,831.2
2012-04-19,830.2
2012-04-20,826.35
2012-04-23,804.45
2012-04-24,791.65
2012-04-25,785.75
2012-04-26,760.4
2012-04-27,715.6
2012-04-28,723.4
2012-04-30,731.4
2012-05-02,723.2
2012-05-03,712.55
2012-05-04,704.55
2012-05-07,730.6
2012-05-08,701.2
2012-05-09,720.95
2012-05-10,717.65
2012-05-11,697.7
2012-05-14,700.65
2012-05-15,698.05
2012-05-16,684.65
2012-05-17,714.8
2012-05-18,742.85
2012-05-21,765.95
2012-05-22,754.25
2012-05-23,759.55
2012-05-24,752.75
2012-05-25,750.85
2012-05-28,752.3
2012-05-29,742.0
2012-05-30,717.05
2012-05-31,721.5
2012-06-01,730.5
2012-06-04,725.05
2012-06-05,737.25
2012-06-06,736.45
2012-06-07,732.3
2012-06-08,750.25
2012-06-11,764.95
2012-06-12,750.65
2012-06-13,720.45
2012-06-14,721.8
2012-06-15,710.25
2012-06-18,710.15
2012-06-19,714.1
2012-06-20,716.0
2012-06-21,715.75
2012-06-22,715.05
2012-06-25,720.2
2012-06-26,715.1
2012-06-27,717.1
2012-06-28,704.85
2012-06-29,736.8
2012-07-02,731.35
2012-07-03,722.5
2012-07-04,734.3
2012-07-05,727.2
2012-07-06,720.15
2012-07-09,728.2
2012-07-10,725.15
2012-07-11,720.35
2012-07-12,712.75
2012-07-13,712.2
2012-07-16,708.05
2012-07-17,709.75
2012-07-18,690.0
2012-07-19,694.3
2012-07-20,692.95
2012-07-23,686.1
2012-07-24,677.05
2012-07-25,675.4
2012-07-26,679.0
2012-07-27,687.95
2012-07-30,666.75
2012-07-31,645.45
2012-08-01,654.4
2012-08-02,674.05
2012-08-03,652.5
2012-08-06,676.75
2012-08-07,670.0
2012-08-08,679.0
2012-08-09,670.35
2012-08-10,672.7
2012-08-13,675.0
2012-08-14,674.5
2012-08-16,670.0
2012-08-17,670.65
2012-08-21,670.4
2012-08-22,669.95
2012-08-23,666.0
2012-08-24,667.05
2012-08-27,670.0
2012-08-28,651.3
2012-08-29,645.15
2012-08-30,648.15
2012-08-31,646.05
2012-09-03,644.0
2012-09-04,635.1
2012-09-05,604.65
2012-09-06,606.0
2012-09-07,610.05
2012-09-08,610.0
2012-09-10,607.6
2012-09-11,620.65
2012-09-12,616.5
2012-09-13,607.0
2012-09-14,624.0
2012-09-17,614.75
2012-09-18,633.5
2012-09-20,627.9
2012-09-21,626.3
2012-09-24,631.0
2012-09-25,633.5
2012-09-26,629.7
2012-09-27,630.0
2012-09-28,632.1
2012-10-01,630.15
2012-10-03,636.75
2012-10-04,659.85
2012-10-05,650.0
2012-10-08,649.25
2012-10-09,668.2
2012-10-10,659.1
2012-10-11,648.3
2012-10-12,649.15
2012-10-15,649.85
2012-10-16,632.65
2012-10-17,626.0
2012-10-18,639.6
2012-10-19,627.5
2012-10-22,628.85
2012-10-23,629.0
2012-10-25,630.45
2012-10-26,620.85
2012-10-29,664.55
2012-10-30,648.85
2012-10-31,650.85
2012-11-01,655.75
2012-11-02,649.6
2012-11-05,649.0
2012-11-06,645.0
2012-11-07,647.35
2012-11-08,650.0
2012-11-09,649.85
2012-11-12,640.3
2012-11-13,647.1
2012-11-15,650.0
2012-11-16,649.15
2012-11-19,650.0
2012-11-20,646.1
2012-11-21,631.65
2012-11-22,652.35
2012-11-23,670.05
2012-11-26,679.65
2012-11-27,677.1
2012-11-29,676.0
2012-11-30,697.9
2012-12-03,694.15
2012-12-04,701.65
2012-12-05,698.7
2012-12-06,702.3
2012-12-07,701.3
2012-12-10,741.65
2012-12-11,749.15
2012-12-12,755.2
2012-12-13,732.65
2012-12-14,731.65
2012-12-17,747.25
2012-12-18,749.6
2012-12-19,750.05
2012-12-20,739.75
2012-12-21,746.45
2012-12-24,746.5
2012-12-26,752.35
2012-12-27,753.1
2012-12-28,742.5
2012-12-31,740.0
