Date,SHILPI
2012-01-02,9.6
2012-01-03,10.05
2012-01-04,9.95
2012-01-05,10.4
2012-01-06,10.5
2012-01-07,10.8
2012-01-09,11.0
2012-01-10,11.55
2012-01-11,11.9
2012-01-12,11.95
2012-01-13,12.15
2012-01-16,12.35
2012-01-17,12.35
2012-01-18,11.95
2012-01-19,11.8
2012-01-20,11.8
2012-01-23,11.8
2012-01-24,11.65
2012-01-25,11.75
2012-01-27,12.55
2012-01-30,12.25
2012-01-31,12.55
2012-02-01,12.7
2012-02-02,12.7
2012-02-03,12.6
2012-02-06,13.0
2012-02-07,13.15
2012-02-08,14.95
2012-02-09,17.05
2012-02-10,18.15
2012-02-13,16.45
2012-02-14,15.8
2012-02-15,15.8
2012-02-16,15.35
2012-02-17,15.95
2012-02-21,15.7
2012-02-22,15.05
2012-02-23,14.9
2012-02-24,14.35
2012-02-27,13.65
2012-02-28,14.15
2012-02-29,14.2
2012-03-01,14.5
2012-03-02,14.75
2012-03-03,14.9
2012-03-05,14.5
2012-03-06,14.25
2012-03-07,14.1
2012-03-09,13.8
2012-03-12,13.2
2012-03-13,13.5
2012-03-14,13.2
2012-03-15,13.0
2012-03-16,13.15
2012-03-19,13.0
2012-03-20,12.8
2012-03-21,13.0
2012-03-22,12.45
2012-03-23,12.4
2012-03-26,12.15
2012-03-27,11.85
2012-03-28,11.85
2012-03-29,11.65
2012-03-30,11.55
2012-04-02,12.05
2012-04-03,12.2
2012-04-04,12.05
2012-04-09,12.3
2012-04-10,12.25
2012-04-11,12.65
2012-04-12,12.55
2012-04-13,12.05
2012-04-16,11.95
2012-04-17,12.05
2012-04-18,11.8
2012-04-19,12.0
2012-04-20,12.0
2012-04-23,11.7
2012-04-24,11.5
2012-04-25,11.4
2012-04-26,11.5
2012-04-27,11.2
2012-04-28,11.1
2012-04-30,11.3
2012-05-02,11.55
2012-05-03,11.35
2012-05-04,10.9
2012-05-07,10.85
2012-05-08,10.8
2012-05-09,10.9
2012-05-10,10.85
2012-05-11,10.35
2012-05-14,10.05
2012-05-15,9.85
2012-05-16,9.35
2012-05-17,9.35
2012-05-18,10.25
2012-05-21,12.3
2012-05-22,13.45
2012-05-23,12.75
2012-05-24,12.95
2012-05-25,12.55
2012-05-28,12.5
2012-05-29,12.5
2012-05-30,12.3
2012-05-31,11.65
2012-06-01,11.8
2012-06-04,12.1
2012-06-05,12.0
2012-06-06,12.15
2012-06-07,11.95
2012-06-08,12.05
2012-06-11,12.4
2012-06-12,13.0
2012-06-13,13.0
2012-06-14,12.75
2012-06-15,12.85
2012-06-18,12.05
2012-06-19,13.7
2012-06-20,14.7
2012-06-21,15.6
2012-06-22,18.0
2012-06-25,18.6
2012-06-26,18.1
2012-06-27,17.35
2012-06-28,16.2
2012-06-29,17.8
2012-07-02,18.7
2012-07-03,20.05
2012-07-04,20.5
2012-07-05,20.15
2012-07-06,20.35
2012-07-09,19.95
2012-07-10,20.55
2012-07-11,21.4
2012-07-12,21.95
2012-07-13,21.3
2012-07-16,21.3
2012-07-17,21.7
2012-07-18,20.9
2012-07-19,20.2
2012-07-20,20.55
2012-07-23,20.4
2012-07-24,20.15
2012-07-25,19.8
2012-07-26,18.4
2012-07-27,16.65
2012-07-30,18.15
2012-07-31,17.95
2012-08-01,18.2
2012-08-02,18.3
2012-08-03,18.95
2012-08-06,19.65
2012-08-07,18.45
2012-08-08,20.25
2012-08-09,19.95
2012-08-10,19.4
2012-08-13,19.3
2012-08-14,18.55
2012-08-16,18.45
2012-08-17,17.25
2012-08-21,17.4
2012-08-22,17.45
2012-08-23,16.95
2012-08-24,15.55
2012-08-27,16.85
2012-08-28,17.45
2012-08-29,17.4
2012-08-30,19.1
2012-08-31,20.6
2012-09-03,20.8
2012-09-04,19.9
2012-09-05,20.1
2012-09-06,20.15
2012-09-07,19.55
2012-09-08,20.05
2012-09-10,19.9
2012-09-11,19.75
2012-09-12,19.35
2012-09-13,20.3
2012-09-14,20.85
2012-09-17,21.75
2012-09-18,22.6
2012-09-20,23.55
2012-09-21,24.7
2012-09-24,23.95
2012-09-25,24.3
2012-09-26,23.8
2012-09-27,23.85
2012-09-28,22.8
2012-10-01,23.9
2012-10-03,24.05
2012-10-04,23.8
2012-10-05,23.1
2012-10-08,22.3
2012-10-09,22.5
2012-10-10,22.45
2012-10-11,21.6
2012-10-12,21.25
2012-10-15,20.7
2012-10-16,20.65
2012-10-17,21.1
2012-10-18,21.0
2012-10-19,21.2
2012-10-22,20.8
2012-10-23,20.3
2012-10-25,20.45
2012-10-26,20.5
2012-10-29,21.35
2012-10-30,22.0
2012-10-31,22.0
2012-11-01,21.3
2012-11-02,20.85
2012-11-05,20.4
2012-11-06,21.35
2012-11-07,21.4
2012-11-08,21.05
2012-11-09,21.55
2012-11-12,21.1
2012-11-13,21.4
2012-11-15,20.6
2012-11-16,19.8
2012-11-19,20.0
2012-11-20,19.65
2012-11-21,18.6
2012-11-22,18.5
2012-11-23,18.35
2012-11-26,20.15
2012-11-27,20.05
2012-11-29,20.1
2012-11-30,20.15
2012-12-03,20.35
2012-12-04,20.35
2012-12-05,20.45
2012-12-06,20.3
2012-12-07,20.0
2012-12-10,19.7
2012-12-11,19.5
2012-12-12,19.3
2012-12-13,19.55
2012-12-14,19.65
2012-12-17,19.4
2012-12-18,19.25
2012-12-19,19.75
2012-12-20,19.4
2012-12-21,18.2
2012-12-24,18.4
2012-12-26,18.25
2012-12-27,18.4
2012-12-28,18.05
2012-12-31,17.7
