Date,BATAINDIA
2012-01-02,529.95
2012-01-03,540.15
2012-01-04,555.4
2012-01-05,564.7
2012-01-06,560.2
2012-01-07,562.65
2012-01-09,551.7
2012-01-10,588.35
2012-01-11,585.65
2012-01-12,561.35
2012-01-13,580.55
2012-01-16,610.85
2012-01-17,604.3
2012-01-18,595.1
2012-01-19,600.5
2012-01-20,584.4
2012-01-23,599.9
2012-01-24,614.75
2012-01-25,627.45
2012-01-27,656.35
2012-01-30,642.95
2012-01-31,687.4
2012-02-01,685.45
2012-02-02,698.8
2012-02-03,702.55
2012-02-06,691.6
2012-02-07,677.6
2012-02-08,689.75
2012-02-09,697.75
2012-02-10,701.5
2012-02-13,702.95
2012-02-14,700.7
2012-02-15,709.2
2012-02-16,708.2
2012-02-17,706.85
2012-02-21,700.45
2012-02-22,668.0
2012-02-23,692.75
2012-02-24,673.95
2012-02-27,681.2
2012-02-28,710.6
2012-02-29,699.85
2012-03-01,694.8
2012-03-02,695.3
2012-03-03,693.85
2012-03-05,674.85
2012-03-06,671.95
2012-03-07,662.05
2012-03-09,688.35
2012-03-12,683.95
2012-03-13,697.75
2012-03-14,691.55
2012-03-15,683.95
2012-03-16,695.55
2012-03-19,688.4
2012-03-20,725.4
2012-03-21,773.05
2012-03-22,756.4
2012-03-23,784.35
2012-03-26,783.45
2012-03-27,781.85
2012-03-28,770.75
2012-03-29,763.75
2012-03-30,768.6
2012-04-02,808.1
2012-04-03,814.65
2012-04-04,809.4
2012-04-09,805.2
2012-04-10,822.75
2012-04-11,814.1
2012-04-12,813.25
2012-04-13,821.35
2012-04-16,845.4
2012-04-17,854.3
2012-04-18,856.25
2012-04-19,858.3
2012-04-20,843.75
2012-04-23,824.4
2012-04-24,858.3
2012-04-25,853.55
2012-04-26,839.1
2012-04-27,858.95
2012-04-28,855.5
2012-04-30,878.35
2012-05-02,876.5
2012-05-03,865.95
2012-05-04,845.05
2012-05-07,862.0
2012-05-08,851.65
2012-05-09,838.0
2012-05-10,829.4
2012-05-11,854.9
2012-05-14,856.15
2012-05-15,854.45
2012-05-16,833.4
2012-05-17,841.55
2012-05-18,870.3
2012-05-21,888.95
2012-05-22,880.05
2012-05-23,864.15
2012-05-24,873.75
2012-05-25,890.0
2012-05-28,915.1
2012-05-29,905.35
2012-05-30,888.6
2012-05-31,878.0
2012-06-01,859.8
2012-06-04,835.35
2012-06-05,814.7
2012-06-06,821.7
2012-06-07,840.65
2012-06-08,833.9
2012-06-11,833.75
2012-06-12,819.25
2012-06-13,826.15
2012-06-14,822.25
2012-06-15,817.7
2012-06-18,790.75
2012-06-19,803.2
2012-06-20,820.9
2012-06-21,847.25
2012-06-22,852.6
2012-06-25,851.15
2012-06-26,858.75
2012-06-27,856.5
2012-06-28,843.35
2012-06-29,866.3
2012-07-02,877.9
2012-07-03,887.5
2012-07-04,882.4
2012-07-05,886.05
2012-07-06,881.25
2012-07-09,872.1
2012-07-09,872.1
2012-07-10,877.1
2012-07-11,876.7
2012-07-12,870.7
2012-07-13,887.35
2012-07-16,880.3
2012-07-17,880.3
2012-07-18,885.45
2012-07-19,906.5
2012-07-20,909.65
2012-07-23,911.25
2012-07-24,900.7
2012-07-25,907.25
2012-07-26,895.7
2012-07-27,883.4
2012-07-30,877.05
2012-07-31,889.85
2012-08-01,898.65
2012-08-02,898.45
2012-08-03,917.9
2012-08-06,918.95
2012-08-07,919.7
2012-08-08,910.4
2012-08-09,912.25
2012-08-10,916.05
2012-08-13,913.65
2012-08-14,911.6
2012-08-16,901.8
2012-08-17,893.85
2012-08-21,888.35
2012-08-22,901.2
2012-08-23,899.0
2012-08-24,894.95
2012-08-27,885.35
2012-08-28,876.2
2012-08-29,872.5
2012-08-30,886.2
2012-08-31,888.5
2012-09-03,903.75
2012-09-04,896.3
2012-09-05,873.2
2012-09-06,874.85
2012-09-07,891.5
2012-09-08,894.7
2012-09-10,903.35
2012-09-11,920.9
2012-09-12,949.45
2012-09-13,944.7
2012-09-14,958.5
2012-09-17,959.15
2012-09-18,941.25
2012-09-20,946.2
2012-09-21,955.8
2012-09-24,939.3
2012-09-25,940.35
2012-09-26,935.15
2012-09-27,944.55
2012-09-28,977.3
2012-10-01,970.8
2012-10-03,982.8
2012-10-04,964.05
2012-10-05,942.4
2012-10-08,925.4
2012-10-09,933.8
2012-10-10,925.9
2012-10-11,935.7
2012-10-12,945.85
2012-10-15,950.95
2012-10-16,935.6
2012-10-17,936.95
2012-10-18,935.3
2012-10-19,930.75
2012-10-22,922.4
2012-10-23,914.0
2012-10-25,908.7
2012-10-26,900.15
2012-10-29,904.5
2012-10-30,887.55
2012-10-31,854.2
2012-11-01,852.35
2012-11-02,862.3
2012-11-05,861.4
2012-11-06,865.4
2012-11-07,865.55
2012-11-08,857.1
2012-11-09,856.4
2012-11-12,852.9
2012-11-13,857.35
2012-11-15,861.35
2012-11-16,865.25
2012-11-19,870.95
2012-11-20,873.85
2012-11-21,869.9
2012-11-22,876.1
2012-11-23,874.45
2012-11-26,905.85
2012-11-27,936.8
2012-11-29,932.55
2012-11-30,921.0
2012-12-03,923.25
2012-12-04,919.6
2012-12-05,915.7
2012-12-06,908.2
2012-12-07,905.9
2012-12-10,890.3
2012-12-11,885.0
2012-12-12,890.2
2012-12-13,877.05
2012-12-14,882.85
2012-12-17,892.1
2012-12-18,899.25
2012-12-19,889.3
2012-12-20,882.95
2012-12-21,873.3
2012-12-24,860.75
2012-12-26,859.75
2012-12-27,856.55
2012-12-28,865.7
2012-12-31,866.95
