Date,JINDALPHOT
2012-01-02,117.9
2012-01-03,121.8
2012-01-04,123.4
2012-01-05,127.95
2012-01-06,128.8
2012-01-07,128.95
2012-01-09,139.35
2012-01-10,140.0
2012-01-11,139.2
2012-01-12,143.85
2012-01-13,142.1
2012-01-16,141.7
2012-01-17,141.85
2012-01-18,139.2
2012-01-19,141.2
2012-01-20,154.1
2012-01-23,149.55
2012-01-24,147.25
2012-01-25,148.95
2012-01-27,151.4
2012-01-30,151.45
2012-01-31,153.5
2012-02-01,153.2
2012-02-02,152.9
2012-02-03,156.4
2012-02-06,160.55
2012-02-07,151.8
2012-02-08,151.7
2012-02-09,153.05
2012-02-10,153.65
2012-02-13,154.1
2012-02-14,153.15
2012-02-15,158.0
2012-02-16,163.1
2012-02-17,160.0
2012-02-21,160.15
2012-02-22,152.8
2012-02-23,150.2
2012-02-24,151.3
2012-02-27,143.95
2012-02-28,147.35
2012-02-29,147.95
2012-03-01,149.5
2012-03-02,151.35
2012-03-03,152.45
2012-03-05,155.25
2012-03-06,157.35
2012-03-07,154.4
2012-03-09,157.2
2012-03-12,161.85
2012-03-13,168.75
2012-03-14,170.25
2012-03-15,165.9
2012-03-16,161.1
2012-03-19,158.15
2012-03-20,156.7
2012-03-21,157.7
2012-03-22,152.35
2012-03-23,155.8
2012-03-26,148.9
2012-03-27,148.8
2012-03-28,142.55
2012-03-29,144.8
2012-03-30,148.45
2012-04-02,154.7
2012-04-03,156.05
2012-04-04,156.0
2012-04-09,151.85
2012-04-10,151.25
2012-04-11,151.35
2012-04-12,152.9
2012-04-13,153.6
2012-04-16,155.0
2012-04-17,155.85
2012-04-18,162.85
2012-04-19,158.05
2012-04-20,155.5
2012-04-23,152.85
2012-04-24,152.25
2012-04-25,149.4
2012-04-26,146.55
2012-04-27,145.15
2012-04-28,145.1
2012-04-30,146.85
2012-05-02,147.7
2012-05-03,144.95
2012-05-04,141.7
2012-05-07,142.35
2012-05-08,138.4
2012-05-09,144.3
2012-05-10,148.55
2012-05-11,145.5
2012-05-14,137.15
2012-05-15,133.15
2012-05-16,129.3
2012-05-17,130.2
2012-05-18,129.25
2012-05-21,130.2
2012-05-22,125.9
2012-05-23,124.95
2012-05-24,125.3
2012-05-25,131.65
2012-05-28,130.95
2012-05-29,131.7
2012-05-30,125.15
2012-05-31,123.05
2012-06-01,135.3
2012-06-04,132.75
2012-06-05,131.75
2012-06-06,137.3
2012-06-07,146.95
2012-06-08,142.45
2012-06-11,140.65
2012-06-12,143.2
2012-06-13,143.6
2012-06-14,136.9
2012-06-15,136.65
2012-06-18,133.9
2012-06-19,133.65
2012-06-20,135.65
2012-06-21,137.3
2012-06-22,135.25
2012-06-25,134.5
2012-06-26,135.1
2012-06-27,134.5
2012-06-28,134.55
2012-06-29,138.9
2012-07-02,139.5
2012-07-03,141.45
2012-07-04,143.9
2012-07-05,145.5
2012-07-06,143.7
2012-07-09,143.75
2012-07-09,143.75
2012-07-10,145.2
2012-07-11,143.2
2012-07-12,139.95
2012-07-13,140.3
2012-07-16,143.1
2012-07-17,142.65
2012-07-18,142.65
2012-07-19,142.95
2012-07-20,141.85
2012-07-23,138.25
2012-07-24,138.1
2012-07-25,141.2
2012-07-26,137.55
2012-07-27,132.65
2012-07-30,135.5
2012-07-31,132.8
2012-08-01,135.45
2012-08-02,135.05
2012-08-03,136.05
2012-08-06,138.15
2012-08-07,137.75
2012-08-08,139.55
2012-08-09,140.7
2012-08-10,137.35
2012-08-13,137.1
2012-08-14,135.55
2012-08-16,135.1
2012-08-17,134.8
2012-08-21,134.85
2012-08-22,132.8
2012-08-23,132.05
2012-08-24,130.35
2012-08-27,129.25
2012-08-28,126.15
2012-08-29,125.75
2012-08-30,124.3
2012-08-31,121.45
2012-09-03,133.0
2012-09-04,130.55
2012-09-05,130.6
2012-09-06,129.1
2012-09-07,130.95
2012-09-08,130.5
2012-09-10,131.45
2012-09-11,131.95
2012-09-12,129.3
2012-09-13,128.6
2012-09-14,130.05
2012-09-17,130.8
2012-09-18,132.2
2012-09-20,129.9
2012-09-21,130.05
2012-09-24,130.8
2012-09-25,131.65
2012-09-26,132.4
2012-09-27,130.9
2012-09-28,131.85
2012-10-01,150.25
2012-10-03,146.7
2012-10-04,145.35
2012-10-05,143.45
2012-10-08,145.8
2012-10-09,145.2
2012-10-10,140.95
2012-10-11,144.0
2012-10-12,142.05
2012-10-15,141.95
2012-10-16,140.05
2012-10-17,140.35
2012-10-18,141.45
2012-10-19,141.45
2012-10-22,142.65
2012-10-23,144.0
2012-10-25,145.4
2012-10-26,141.95
2012-10-29,140.75
2012-10-30,137.9
2012-10-31,137.65
2012-11-01,136.8
2012-11-02,137.7
2012-11-05,136.45
2012-11-06,135.55
2012-11-07,138.45
2012-11-08,137.3
2012-11-09,134.0
2012-11-12,129.85
2012-11-13,131.0
2012-11-15,131.15
2012-11-16,130.7
2012-11-19,129.2
2012-11-20,127.8
2012-11-21,131.05
2012-11-22,128.05
2012-11-23,129.05
2012-11-26,128.85
2012-11-27,130.55
2012-11-29,130.75
2012-11-30,131.65
2012-12-03,132.7
2012-12-04,132.6
2012-12-05,132.75
2012-12-06,131.3
2012-12-07,130.75
2012-12-10,130.45
2012-12-11,129.2
2012-12-12,128.5
2012-12-13,126.8
2012-12-14,125.35
2012-12-17,126.9
2012-12-18,126.95
2012-12-19,126.85
2012-12-20,125.25
2012-12-21,123.15
2012-12-24,122.3
2012-12-26,122.35
2012-12-27,121.2
2012-12-28,121.3
2012-12-31,121.5
