Date,GSKCONS
2012-01-02,2500.05
2012-01-03,2527.25
2012-01-04,2492.55
2012-01-05,2490.15
2012-01-06,2499.55
2012-01-07,2504.9
2012-01-09,2512.4
2012-01-10,2540.4
2012-01-11,2579.35
2012-01-12,2550.95
2012-01-13,2519.45
2012-01-16,2498.75
2012-01-17,2503.3
2012-01-18,2474.75
2012-01-19,2488.65
2012-01-20,2484.55
2012-01-23,2480.5
2012-01-24,2497.1
2012-01-25,2530.5
2012-01-27,2487.1
2012-01-30,2519.85
2012-01-31,2574.95
2012-02-01,2663.95
2012-02-02,2663.8
2012-02-03,2664.35
2012-02-06,2634.7
2012-02-07,2621.15
2012-02-08,2609.3
2012-02-09,2643.8
2012-02-10,2638.95
2012-02-13,2637.2
2012-02-14,2617.6
2012-02-15,2640.95
2012-02-16,2612.3
2012-02-17,2641.45
2012-02-21,2613.25
2012-02-22,2601.8
2012-02-23,2612.0
2012-02-24,2642.45
2012-02-27,2623.2
2012-02-28,2606.95
2012-02-29,2591.05
2012-03-01,2589.45
2012-03-02,2579.45
2012-03-03,2584.9
2012-03-05,2591.9
2012-03-06,2605.9
2012-03-07,2592.0
2012-03-09,2582.3
2012-03-12,2606.25
2012-03-13,2589.85
2012-03-14,2593.75
2012-03-15,2594.45
2012-03-16,2578.05
2012-03-19,2575.3
2012-03-20,2584.1
2012-03-21,2655.15
2012-03-22,2651.55
2012-03-23,2595.35
2012-03-26,2563.1
2012-03-27,2694.5
2012-03-28,2688.6
2012-03-29,2697.8
2012-03-30,2771.3
2012-04-02,2727.65
2012-04-03,2738.65
2012-04-04,2744.95
2012-04-09,2750.85
2012-04-10,2731.35
2012-04-11,2776.05
2012-04-12,2795.45
2012-04-13,2824.55
2012-04-16,2770.2
2012-04-17,2751.6
2012-04-18,2842.85
2012-04-19,2879.5
2012-04-20,2871.55
2012-04-23,2862.45
2012-04-24,2838.9
2012-04-25,2840.55
2012-04-26,2893.4
2012-04-27,2833.1
2012-04-28,2867.95
2012-04-30,2806.7
2012-05-02,2762.65
2012-05-03,2775.45
2012-05-04,2763.85
2012-05-07,2701.6
2012-05-08,2619.7
2012-05-09,2724.95
2012-05-10,2774.75
2012-05-11,2782.2
2012-05-14,2791.75
2012-05-15,2794.85
2012-05-16,2773.1
2012-05-17,2767.65
2012-05-18,2705.25
2012-05-21,2679.4
2012-05-22,2669.15
2012-05-23,2644.75
2012-05-24,2630.0
2012-05-25,2594.75
2012-05-28,2609.65
2012-05-29,2685.7
2012-05-30,2714.75
2012-05-31,2819.4
2012-06-01,2761.1
2012-06-04,2766.35
2012-06-05,2739.05
2012-06-06,2688.8
2012-06-07,2738.25
2012-06-08,2705.4
2012-06-11,2678.8
2012-06-12,2608.95
2012-06-13,2644.6
2012-06-14,2639.8
2012-06-15,2618.05
2012-06-18,2614.9
2012-06-19,2606.55
2012-06-20,2610.05
2012-06-21,2653.9
2012-06-22,2612.1
2012-06-25,2610.65
2012-06-26,2659.85
