Date,MONNETISPA
2012-01-02,365.2
2012-01-03,373.05
2012-01-04,373.5
2012-01-05,371.0
2012-01-06,380.45
2012-01-07,381.15
2012-01-09,392.65
2012-01-10,396.65
2012-01-11,400.95
2012-01-12,399.8
2012-01-13,397.1
2012-01-16,397.05
2012-01-17,411.4
2012-01-18,431.75
2012-01-19,436.25
2012-01-20,454.7
2012-01-23,469.85
2012-01-24,471.8
2012-01-25,477.8
2012-01-27,465.65
2012-01-30,474.45
2012-01-31,479.2
2012-02-01,477.0
2012-02-02,479.65
2012-02-03,485.45
2012-02-06,487.6
2012-02-07,490.75
2012-02-08,499.3
2012-02-09,497.7
2012-02-10,498.0
2012-02-13,497.0
2012-02-14,500.55
2012-02-15,497.25
2012-02-16,493.1
2012-02-17,491.3
2012-02-21,489.35
2012-02-22,484.25
2012-02-23,484.9
2012-02-24,483.55
2012-02-27,478.45
2012-02-28,480.35
2012-02-29,478.9
2012-03-01,477.0
2012-03-02,476.3
2012-03-03,475.45
2012-03-05,470.9
2012-03-06,468.45
2012-03-07,451.9
2012-03-09,463.25
2012-03-12,463.95
2012-03-13,461.5
2012-03-14,466.75
2012-03-15,469.1
2012-03-16,475.05
2012-03-19,467.25
2012-03-20,469.8
2012-03-21,468.95
2012-03-22,467.55
2012-03-23,473.45
2012-03-26,467.35
2012-03-27,467.25
2012-03-28,460.7
2012-03-29,465.15
2012-03-30,467.85
2012-04-02,465.1
2012-04-03,474.45
2012-04-04,472.05
2012-04-09,474.9
2012-04-10,473.95
2012-04-11,474.4
2012-04-12,473.15
2012-04-13,470.3
2012-04-16,468.5
2012-04-17,469.5
2012-04-18,470.05
2012-04-19,472.7
2012-04-20,468.5
2012-04-23,470.95
2012-04-24,469.2
2012-04-25,474.5
2012-04-26,473.05
2012-04-27,480.5
2012-04-28,482.05
2012-04-30,482.8
2012-05-02,477.8
2012-05-03,475.55
2012-05-04,472.3
2012-05-07,477.75
2012-05-08,469.7
2012-05-09,467.05
2012-05-10,469.15
2012-05-11,465.5
2012-05-14,457.45
2012-05-15,449.5
2012-05-16,431.3
2012-05-17,425.75
2012-05-18,419.95
2012-05-21,418.95
2012-05-22,417.5
2012-05-23,415.7
2012-05-24,421.25
2012-05-25,418.4
2012-05-28,415.6
2012-05-29,414.65
2012-05-30,413.8
2012-05-31,399.6
2012-06-01,399.05
2012-06-04,363.1
2012-06-05,359.45
2012-06-06,345.0
2012-06-07,341.0
2012-06-08,339.95
2012-06-11,325.85
2012-06-12,328.85
2012-06-13,340.55
2012-06-14,339.6
2012-06-15,343.15
2012-06-18,348.5
2012-06-19,354.95
2012-06-20,356.75
2012-06-21,358.65
2012-06-22,355.3
2012-06-25,359.5
2012-06-26,358.05
2012-06-27,364.0
2012-06-28,377.7
2012-06-29,383.05
2012-07-02,375.3
2012-07-03,376.5
2012-07-04,385.1
2012-07-05,392.6
2012-07-06,386.95
2012-07-09,392.35
2012-07-09,392.35
2012-07-10,391.25
2012-07-11,389.5
2012-07-12,387.35
2012-07-13,391.7
2012-07-16,391.25
2012-07-17,384.5
2012-07-18,389.8
2012-07-19,389.95
2012-07-20,389.65
2012-07-23,387.5
2012-07-24,386.15
2012-07-25,385.95
2012-07-26,327.05
2012-07-27,320.45
2012-07-30,303.4
2012-07-31,305.15
2012-08-01,306.05
2012-08-02,311.65
2012-08-03,310.25
2012-08-06,311.7
2012-08-07,312.75
2012-08-08,308.55
2012-08-09,312.9
2012-08-10,312.45
2012-08-13,310.5
2012-08-14,309.6
2012-08-16,306.1
2012-08-17,301.05
2012-08-21,295.05
2012-08-22,293.1
2012-08-23,296.1
2012-08-24,299.35
2012-08-27,292.2
2012-08-28,290.0
2012-08-29,289.05
2012-08-30,291.0
2012-08-31,288.05
2012-09-03,290.45
2012-09-04,294.45
2012-09-05,292.15
2012-09-06,290.65
2012-09-07,292.1
2012-09-08,292.85
2012-09-10,292.8
2012-09-11,291.15
2012-09-12,293.55
2012-09-13,293.9
2012-09-14,297.2
2012-09-17,301.75
2012-09-18,301.1
2012-09-20,295.65
2012-09-21,293.4
2012-09-24,304.15
2012-09-25,306.45
2012-09-26,305.45
2012-09-27,304.3
2012-09-28,305.45
2012-10-01,314.05
2012-10-03,317.85
2012-10-04,317.7
2012-10-05,316.0
2012-10-08,309.7
2012-10-09,308.0
2012-10-10,301.8
2012-10-11,300.05
2012-10-12,300.15
2012-10-15,293.25
2012-10-16,292.2
2012-10-17,296.35
2012-10-18,292.15
2012-10-19,292.2
2012-10-22,294.65
2012-10-23,293.3
2012-10-25,293.2
2012-10-26,293.05
2012-10-29,295.7
2012-10-30,294.2
2012-10-31,294.0
2012-11-01,292.8
2012-11-02,291.15
2012-11-05,289.35
2012-11-06,290.15
2012-11-07,293.45
2012-11-08,291.95
2012-11-09,292.15
2012-11-12,285.65
2012-11-13,285.0
2012-11-15,282.85
2012-11-16,286.1
2012-11-19,291.4
2012-11-20,287.5
2012-11-21,284.5
2012-11-22,283.2
2012-11-23,285.15
2012-11-26,279.1
2012-11-27,273.0
2012-11-29,256.9
2012-11-30,260.95
2012-12-03,265.5
2012-12-04,273.05
2012-12-05,280.85
2012-12-06,291.6
2012-12-07,294.85
2012-12-10,293.2
2012-12-11,303.0
2012-12-12,303.85
2012-12-13,301.55
2012-12-14,301.1
2012-12-17,298.8
2012-12-18,300.95
2012-12-19,298.2
2012-12-20,296.4
2012-12-21,291.95
2012-12-24,288.85
2012-12-26,282.15
2012-12-27,279.05
2012-12-28,280.15
2012-12-31,281.6
