Date,SANGHVIMOV
2012-01-02,84.25
2012-01-03,86.6
2012-01-04,87.65
2012-01-05,88.0
2012-01-06,88.0
2012-01-07,88.2
2012-01-09,89.0
2012-01-10,92.25
2012-01-11,89.55
2012-01-12,89.05
2012-01-13,91.95
2012-01-16,92.1
2012-01-17,90.45
2012-01-18,91.45
2012-01-19,91.25
2012-01-20,91.0
2012-01-23,89.75
2012-01-24,90.4
2012-01-25,90.6
2012-01-27,90.55
2012-01-30,90.25
2012-01-31,89.35
2012-02-01,91.8
2012-02-02,93.7
2012-02-03,96.05
2012-02-06,97.8
2012-02-07,94.3
2012-02-08,97.7
2012-02-09,99.85
2012-02-10,98.05
2012-02-13,99.7
2012-02-14,107.35
2012-02-15,112.7
2012-02-16,111.5
2012-02-17,115.0
2012-02-21,116.05
2012-02-22,114.05
2012-02-23,111.9
2012-02-24,107.6
2012-02-27,103.7
2012-02-28,106.55
2012-02-29,106.7
2012-03-01,107.25
2012-03-02,105.8
2012-03-03,106.1
2012-03-05,107.15
2012-03-06,100.9
2012-03-07,99.05
2012-03-09,98.95
2012-03-12,103.45
2012-03-13,104.1
2012-03-14,102.1
2012-03-15,101.95
2012-03-16,106.05
2012-03-19,104.5
2012-03-20,110.0
2012-03-21,110.4
2012-03-22,108.3
2012-03-23,107.75
2012-03-26,110.85
2012-03-27,110.05
2012-03-28,106.95
2012-03-29,105.35
2012-03-30,107.55
2012-04-02,109.5
2012-04-03,109.8
2012-04-04,111.15
2012-04-09,109.75
2012-04-10,107.8
2012-04-11,106.95
2012-04-12,106.65
2012-04-13,106.3
2012-04-16,107.6
2012-04-17,107.65
2012-04-18,107.95
2012-04-19,106.95
2012-04-20,108.35
2012-04-23,109.8
2012-04-24,108.7
2012-04-25,107.55
2012-04-26,106.7
2012-04-27,108.35
2012-04-28,107.05
2012-04-30,108.0
2012-05-02,109.05
2012-05-03,108.3
2012-05-04,106.1
2012-05-07,105.9
2012-05-08,103.25
2012-05-09,104.3
2012-05-10,104.05
2012-05-11,104.3
2012-05-14,104.05
2012-05-15,103.55
2012-05-16,102.65
2012-05-17,102.2
2012-05-18,100.6
2012-05-21,99.95
2012-05-22,102.2
2012-05-23,103.75
2012-05-24,104.7
2012-05-25,104.0
2012-05-28,102.55
2012-05-29,108.5
2012-05-30,104.2
2012-05-31,107.95
2012-06-01,106.6
2012-06-04,106.35
2012-06-05,104.85
2012-06-06,105.05
2012-06-07,105.25
2012-06-08,105.95
2012-06-11,104.25
2012-06-12,104.7
2012-06-13,103.15
2012-06-14,100.75
2012-06-15,101.65
2012-06-18,102.75
2012-06-19,101.7
2012-06-20,103.0
2012-06-21,106.0
2012-06-22,105.8
2012-06-25,103.95
2012-06-26,105.25
2012-06-27,105.95
2012-06-28,106.15
2012-06-29,104.65
2012-07-02,104.7
2012-07-03,104.6
2012-07-04,104.55
2012-07-05,108.2
2012-07-06,110.2
2012-07-09,103.5
2012-07-10,106.6
2012-07-11,104.05
2012-07-12,103.35
2012-07-13,102.8
2012-07-16,99.85
2012-07-17,96.75
2012-07-18,98.0
2012-07-19,99.7
2012-07-20,97.7
2012-07-23,96.25
2012-07-24,96.0
2012-07-25,95.55
2012-07-26,94.15
2012-07-27,95.65
2012-07-30,94.9
2012-07-31,94.1
2012-08-01,95.75
2012-08-02,98.8
2012-08-03,97.6
2012-08-06,98.25
2012-08-07,94.35
2012-08-08,93.4
2012-08-09,91.25
2012-08-10,88.45
2012-08-13,89.1
2012-08-14,88.8
2012-08-16,86.95
2012-08-17,85.25
2012-08-21,85.2
2012-08-22,88.1
2012-08-23,87.75
2012-08-24,86.95
2012-08-27,88.55
2012-08-28,87.5
2012-08-29,87.15
2012-08-30,87.1
2012-08-31,88.85
2012-09-03,87.45
2012-09-04,86.2
2012-09-05,87.25
2012-09-06,87.4
2012-09-07,87.1
2012-09-08,88.0
2012-09-10,87.1
2012-09-11,88.25
2012-09-12,88.75
2012-09-13,93.8
2012-09-14,92.1
2012-09-17,92.75
2012-09-18,92.6
2012-09-20,91.1
2012-09-21,92.1
2012-09-24,94.3
2012-09-25,96.25
2012-09-26,93.55
2012-09-27,94.3
2012-09-28,95.3
2012-10-01,97.05
2012-10-03,99.05
2012-10-04,101.8
2012-10-05,100.65
2012-10-08,98.95
2012-10-09,98.8
2012-10-10,97.05
2012-10-11,96.9
2012-10-12,95.05
2012-10-15,95.5
2012-10-16,95.95
2012-10-17,95.9
2012-10-18,93.1
2012-10-19,93.55
2012-10-22,93.0
2012-10-23,91.6
2012-10-25,91.85
2012-10-26,91.35
2012-10-29,92.0
2012-10-30,90.35
2012-10-31,90.15
2012-11-01,93.05
2012-11-02,92.8
2012-11-05,92.05
2012-11-06,92.0
2012-11-07,90.4
2012-11-08,89.75
2012-11-09,90.0
2012-11-12,85.25
2012-11-13,85.3
2012-11-15,86.0
2012-11-16,85.8
2012-11-19,86.95
2012-11-20,86.95
2012-11-21,90.55
2012-11-22,90.35
2012-11-23,89.0
2012-11-26,88.6
2012-11-27,90.25
2012-11-29,88.7
2012-11-30,88.8
2012-12-03,88.95
2012-12-04,89.35
2012-12-05,92.65
2012-12-06,94.15
2012-12-07,96.55
2012-12-10,95.75
2012-12-11,97.4
2012-12-12,96.1
2012-12-13,95.9
2012-12-14,95.5
2012-12-17,96.05
2012-12-18,95.85
2012-12-19,96.45
2012-12-20,94.05
2012-12-21,93.8
2012-12-24,93.9
2012-12-26,95.0
2012-12-27,95.65
2012-12-28,95.4
2012-12-31,95.75
