Date,GET&D
2012-01-02,162.15
2012-01-03,169.35
2012-01-04,165.55
2012-01-05,164.35
2012-01-06,162.75
2012-01-07,161.95
2012-01-09,164.45
2012-01-10,168.0
2012-01-11,167.3
2012-01-12,166.85
2012-01-13,176.55
2012-01-16,179.85
2012-01-17,179.9
2012-01-18,187.65
2012-01-19,186.85
2012-01-20,181.2
2012-01-23,178.4
2012-01-24,176.0
2012-01-25,178.1
2012-01-27,178.7
2012-01-30,172.3
2012-01-31,172.65
2012-02-01,171.95
2012-02-02,180.1
2012-02-03,183.35
2012-02-06,180.95
2012-02-07,177.2
2012-02-08,182.2
2012-02-09,184.65
2012-02-10,184.45
2012-02-13,186.4
2012-02-14,198.3
2012-02-15,198.8
2012-02-16,200.0
2012-02-17,200.2
2012-02-21,200.4
2012-02-22,189.75
2012-02-23,187.6
2012-02-24,188.25
2012-02-27,185.75
2012-02-28,193.5
2012-02-29,190.55
2012-03-01,184.6
2012-03-02,183.9
2012-03-03,184.0
2012-03-05,180.65
2012-03-06,181.8
2012-03-07,185.15
2012-03-09,184.8
2012-03-12,182.75
2012-03-13,184.4
2012-03-14,190.0
2012-03-15,191.85
2012-03-16,195.1
2012-03-19,185.3
2012-03-20,185.9
2012-03-21,190.35
2012-03-22,190.85
2012-03-23,192.05
2012-03-26,197.5
2012-03-27,193.65
2012-03-28,187.85
2012-03-29,185.4
2012-03-30,188.0
2012-04-02,188.1
2012-04-03,184.65
2012-04-04,181.8
2012-04-09,179.25
2012-04-10,179.8
2012-04-11,178.9
2012-04-12,179.5
2012-04-13,173.9
2012-04-16,174.75
2012-04-17,177.2
2012-04-18,171.6
2012-04-19,169.1
2012-04-20,162.85
2012-04-23,158.05
2012-04-24,156.2
2012-04-25,150.75
2012-04-26,160.25
2012-04-27,161.5
2012-04-28,160.0
2012-04-30,160.45
2012-05-02,157.65
2012-05-03,154.85
2012-05-04,153.9
2012-05-07,154.45
2012-05-08,151.1
2012-05-09,152.6
2012-05-10,149.3
2012-05-11,149.15
2012-05-14,144.7
2012-05-15,142.45
2012-05-16,140.4
2012-05-17,145.9
2012-05-18,148.6
2012-05-21,149.7
2012-05-22,149.65
2012-05-23,152.35
2012-05-24,155.05
2012-05-25,153.95
2012-05-28,158.35
2012-05-29,163.25
2012-05-30,167.25
2012-05-31,170.15
2012-06-01,166.85
2012-06-04,169.55
2012-06-05,168.0
2012-06-06,170.75
2012-06-07,176.3
2012-06-08,177.2
2012-06-11,178.8
2012-06-12,180.95
2012-06-13,183.45
2012-06-14,182.35
2012-06-15,181.5
2012-06-18,177.6
2012-06-19,173.8
2012-06-20,180.05
2012-06-21,178.15
2012-06-22,178.55
2012-06-25,176.55
2012-06-26,180.1
2012-06-27,180.05
2012-06-28,185.9
2012-06-29,195.2
2012-07-02,193.85
2012-07-03,191.25
2012-07-04,189.1
2012-07-05,194.5
2012-07-06,194.7
2012-07-09,192.95
2012-07-09,192.95
2012-07-10,196.55
2012-07-11,197.9
2012-07-12,196.9
2012-07-13,195.1
2012-07-16,189.55
2012-07-17,186.8
2012-07-18,185.15
2012-07-19,184.05
2012-07-20,185.95
2012-07-23,185.0
2012-07-24,179.95
2012-07-25,179.95
2012-07-26,180.05
2012-07-27,178.7
2012-07-30,181.55
2012-07-31,182.85
2012-08-01,181.9
2012-08-02,189.4
2012-08-03,191.5
2012-08-06,191.65
2012-08-07,194.1
2012-08-08,193.15
2012-08-09,193.35
2012-08-10,193.35
2012-08-13,188.55
2012-08-14,185.05
2012-08-16,185.0
2012-08-17,184.8
2012-08-21,187.45
2012-08-22,188.35
2012-08-23,190.0
2012-08-24,192.95
2012-08-27,187.25
2012-08-28,190.4
2012-08-29,188.0
2012-08-30,187.0
2012-08-31,184.6
2012-09-03,187.2
2012-09-04,182.5
2012-09-05,182.15
2012-09-06,179.75
2012-09-07,179.15
2012-09-08,182.0
2012-09-10,180.5
2012-09-11,181.8
2012-09-12,180.6
2012-09-13,179.35
2012-09-14,183.15
2012-09-17,181.0
2012-09-18,189.25
2012-09-20,192.95
2012-09-21,197.85
2012-09-24,210.2
2012-09-25,215.75
2012-09-26,211.25
2012-09-27,210.7
2012-09-28,213.6
2012-10-01,214.3
2012-10-03,215.35
2012-10-04,209.7
2012-10-05,207.65
2012-10-08,204.35
2012-10-09,209.7
2012-10-10,206.0
2012-10-11,206.15
2012-10-12,205.5
2012-10-15,200.95
2012-10-16,203.3
2012-10-17,203.55
2012-10-18,204.9
2012-10-19,204.9
2012-10-22,203.2
2012-10-23,202.55
2012-10-25,203.55
2012-10-26,204.7
2012-10-29,205.95
2012-10-30,205.5
2012-10-31,204.15
2012-11-01,206.25
2012-11-02,202.85
2012-11-05,202.3
2012-11-06,203.9
2012-11-07,203.55
2012-11-08,204.1
2012-11-09,202.3
2012-11-12,198.95
2012-11-13,196.25
2012-11-15,204.2
2012-11-16,201.0
2012-11-19,199.25
2012-11-20,196.75
2012-11-21,199.95
2012-11-22,201.55
2012-11-23,199.1
2012-11-26,196.85
2012-11-27,200.05
2012-11-29,197.1
2012-11-30,197.7
2012-12-03,198.1
2012-12-04,197.55
2012-12-05,198.75
2012-12-06,198.25
2012-12-07,196.75
2012-12-10,200.05
2012-12-11,201.1
2012-12-12,197.25
2012-12-13,199.7
2012-12-14,195.6
2012-12-17,199.8
2012-12-18,199.15
2012-12-19,197.9
2012-12-20,195.25
2012-12-21,188.2
2012-12-24,194.95
2012-12-26,190.25
2012-12-27,190.95
2012-12-28,188.2
2012-12-31,186.75
