Date,GUJAPOLLO
2012-01-02,138.65
2012-01-03,146.55
2012-01-04,142.15
2012-01-05,143.0
2012-01-06,139.4
2012-01-09,140.3
2012-01-10,143.5
2012-01-11,147.15
2012-01-12,147.5
2012-01-13,144.95
2012-01-16,146.0
2012-01-17,148.45
2012-01-18,148.95
2012-01-19,151.95
2012-01-20,151.75
2012-01-23,150.55
2012-01-24,149.95
2012-01-25,148.5
2012-01-27,143.95
2012-01-30,138.2
2012-01-31,138.3
2012-02-01,136.35
2012-02-02,136.05
2012-02-03,134.35
2012-02-06,138.8
2012-02-07,137.75
2012-02-08,137.45
2012-02-09,136.35
2012-02-10,135.45
2012-02-13,132.85
2012-02-14,134.05
2012-02-15,138.6
2012-02-16,139.2
2012-02-17,137.95
2012-02-21,137.15
2012-02-22,135.95
2012-02-23,136.8
2012-02-24,134.25
2012-02-27,137.4
2012-02-28,140.9
2012-02-29,140.85
2012-03-01,139.85
2012-03-02,139.05
2012-03-03,138.0
2012-03-05,138.1
2012-03-06,137.25
2012-03-07,136.6
2012-03-09,137.35
2012-03-12,136.6
2012-03-13,137.05
2012-03-14,135.85
2012-03-15,134.75
2012-03-16,135.5
2012-03-19,134.1
2012-03-20,133.55
2012-03-21,135.15
2012-03-22,135.05
2012-03-23,133.3
2012-03-26,131.7
2012-03-27,131.25
2012-03-28,131.75
2012-03-29,131.4
2012-03-30,129.9
2012-04-02,132.8
2012-04-03,131.95
2012-04-04,131.55
2012-04-09,132.15
2012-04-10,130.6
2012-04-11,130.75
2012-04-12,132.0
2012-04-13,129.5
2012-04-16,133.05
2012-04-17,131.45
2012-04-18,131.2
2012-04-19,131.5
2012-04-20,129.95
2012-04-23,133.85
2012-04-24,134.7
2012-04-25,130.3
2012-04-26,130.05
2012-04-27,130.9
2012-04-30,130.0
2012-05-02,131.75
2012-05-03,130.05
2012-05-04,128.35
2012-05-07,128.85
2012-05-08,128.2
2012-05-09,126.25
2012-05-10,125.05
2012-05-11,125.45
2012-05-14,123.25
2012-05-15,123.6
2012-05-16,122.3
2012-05-17,123.0
2012-05-18,124.05
2012-05-21,126.95
2012-05-22,125.65
2012-05-23,123.15
2012-05-24,123.5
2012-05-25,123.1
2012-05-28,125.0
2012-05-29,126.0
2012-05-30,126.8
2012-05-31,123.75
2012-06-01,126.15
2012-06-04,122.0
2012-06-05,124.25
2012-06-06,123.0
2012-06-07,126.3
2012-06-08,130.1
2012-06-11,129.55
2012-06-12,127.25
2012-06-13,125.55
2012-06-14,129.35
2012-06-15,129.0
2012-06-18,127.5
2012-06-19,128.75
2012-06-20,128.5
2012-06-21,130.25
2012-06-22,130.0
2012-06-25,130.0
2012-06-26,133.0
2012-06-27,135.6
2012-06-28,134.05
2012-06-29,135.6
2012-07-02,133.5
2012-07-03,132.05
2012-07-04,129.85
2012-07-05,131.05
2012-07-06,129.95
2012-07-09,129.15
2012-07-09,129.15
2012-07-10,129.3
2012-07-11,130.0
2012-07-12,130.0
2012-07-13,129.0
2012-07-16,129.15
2012-07-17,126.0
2012-07-18,125.5
2012-07-19,127.65
2012-07-20,125.5
2012-07-23,124.05
2012-07-24,123.05
2012-07-25,120.85
2012-07-26,119.25
2012-07-27,119.75
2012-07-30,118.0
2012-07-31,118.5
2012-08-01,117.0
2012-08-02,117.75
2012-08-03,118.0
2012-08-06,120.8
2012-08-07,120.0
2012-08-08,118.7
2012-08-09,119.95
2012-08-10,121.2
2012-08-13,117.05
2012-08-14,114.15
2012-08-16,115.0
2012-08-17,115.7
2012-08-21,116.5
2012-08-22,115.7
2012-08-23,116.0
2012-08-24,115.5
2012-08-27,115.2
2012-08-28,116.05
2012-08-29,118.9
2012-08-30,128.25
2012-08-31,146.55
2012-09-03,136.1
2012-09-04,134.85
2012-09-05,141.55
2012-09-06,139.0
2012-09-07,137.75
2012-09-08,136.85
2012-09-10,130.6
2012-09-11,132.15
2012-09-12,129.2
2012-09-13,132.35
2012-09-14,131.95
2012-09-17,131.45
2012-09-18,131.65
2012-09-20,133.2
2012-09-21,135.8
2012-09-24,140.9
2012-09-25,140.25
2012-09-26,143.15
2012-09-27,139.7
2012-09-28,137.75
2012-10-01,138.75
2012-10-03,140.95
2012-10-04,136.7
2012-10-05,136.05
2012-10-08,136.0
2012-10-09,136.25
2012-10-10,135.0
2012-10-11,133.25
2012-10-12,134.2
2012-10-15,134.65
2012-10-16,133.5
2012-10-17,133.65
2012-10-18,132.95
2012-10-19,132.6
2012-10-22,130.6
2012-10-23,130.7
2012-10-25,131.55
2012-10-26,132.05
2012-10-29,132.65
2012-10-30,132.2
2012-10-31,133.8
2012-11-01,134.9
2012-11-02,134.05
2012-11-05,136.8
2012-11-06,133.8
2012-11-07,133.0
2012-11-08,133.1
2012-11-09,129.95
2012-11-12,129.65
2012-11-13,130.85
2012-11-15,127.55
2012-11-16,126.15
2012-11-19,122.7
2012-11-20,122.45
2012-11-21,120.35
2012-11-22,120.0
2012-11-23,119.85
2012-11-26,121.55
2012-11-27,122.25
2012-11-29,121.95
2012-11-30,120.35
2012-12-03,120.1
2012-12-04,119.05
2012-12-05,117.25
2012-12-06,118.2
2012-12-07,118.0
2012-12-10,119.4
2012-12-11,118.45
2012-12-12,117.55
2012-12-13,117.5
2012-12-14,119.25
2012-12-17,125.0
2012-12-18,127.8
2012-12-19,135.25
2012-12-20,143.7
2012-12-21,134.2
2012-12-24,137.85
2012-12-26,129.55
2012-12-27,122.25
2012-12-28,119.35
2012-12-31,118.5
