Date,INDUSINDBK
2012-01-02,226.45
2012-01-03,242.6
2012-01-04,243.15
2012-01-05,247.15
2012-01-06,240.9
2012-01-07,243.7
2012-01-09,245.65
2012-01-10,260.9
2012-01-11,272.55
2012-01-12,285.4
2012-01-13,280.25
2012-01-16,275.1
2012-01-17,278.1
2012-01-18,272.7
2012-01-19,276.5
2012-01-20,280.6
2012-01-23,281.35
2012-01-24,284.4
2012-01-25,295.8
2012-01-27,287.85
2012-01-30,277.5
2012-01-31,291.9
2012-02-01,293.45
2012-02-02,299.15
2012-02-03,298.4
2012-02-06,300.35
2012-02-07,302.95
2012-02-08,306.55
2012-02-09,308.95
2012-02-10,319.05
2012-02-13,327.3
2012-02-14,321.95
2012-02-15,331.9
2012-02-16,316.1
2012-02-17,312.85
2012-02-21,315.05
2012-02-22,300.2
2012-02-23,313.55
2012-02-24,301.5
2012-02-27,292.5
2012-02-28,304.05
2012-02-29,312.25
2012-03-01,309.95
2012-03-02,316.2
2012-03-03,314.3
2012-03-05,306.7
2012-03-06,309.15
2012-03-07,310.3
2012-03-09,316.35
2012-03-12,316.1
2012-03-13,314.75
2012-03-14,319.65
2012-03-15,309.55
2012-03-16,306.45
2012-03-19,300.7
2012-03-20,313.7
2012-03-21,319.15
2012-03-22,310.3
2012-03-23,311.65
2012-03-26,306.85
2012-03-27,308.2
2012-03-28,297.95
2012-03-29,307.05
2012-03-30,321.65
2012-04-02,326.2
2012-04-03,328.3
2012-04-04,333.85
2012-04-09,329.4
2012-04-10,334.8
2012-04-11,330.85
2012-04-12,338.95
2012-04-13,330.6
2012-04-16,342.05
2012-04-17,343.1
2012-04-18,345.6
2012-04-19,345.3
2012-04-20,343.45
2012-04-23,334.15
2012-04-24,334.95
2012-04-25,330.85
2012-04-26,332.85
2012-04-27,320.85
2012-04-28,322.75
2012-04-30,331.7
2012-05-02,324.55
2012-05-03,322.35
2012-05-04,322.5
2012-05-07,326.55
2012-05-08,316.85
2012-05-09,306.65
2012-05-10,315.6
2012-05-11,312.45
2012-05-14,310.6
2012-05-15,305.5
2012-05-16,300.4
2012-05-17,305.1
2012-05-18,305.4
2012-05-21,307.95
2012-05-22,305.55
2012-05-23,302.85
2012-05-24,304.55
2012-05-25,308.45
2012-05-28,310.65
2012-05-29,310.35
2012-05-30,301.0
2012-05-31,298.4
2012-06-01,298.1
2012-06-04,295.55
2012-06-05,304.55
2012-06-06,309.7
2012-06-07,316.35
2012-06-08,327.55
2012-06-11,327.3
2012-06-12,327.05
2012-06-13,320.8
2012-06-14,314.4
2012-06-15,318.7
2012-06-18,310.85
2012-06-19,314.95
2012-06-20,316.3
2012-06-21,325.25
2012-06-22,324.5
2012-06-25,322.45
2012-06-26,326.8
2012-06-27,329.9
2012-06-28,328.2
2012-06-29,340.25
2012-07-02,338.5
2012-07-03,343.2
2012-07-04,345.85
2012-07-05,347.6
2012-07-06,344.8
2012-07-09,343.25
2012-07-09,343.25
2012-07-10,343.6
2012-07-11,341.55
2012-07-12,340.1
2012-07-13,337.05
2012-07-16,336.5
2012-07-17,336.3
2012-07-18,335.6
2012-07-19,338.05
2012-07-20,333.9
2012-07-23,328.05
2012-07-24,330.75
2012-07-25,330.9
2012-07-26,322.95
2012-07-27,327.45
2012-07-30,334.05
2012-07-31,334.15
2012-08-01,329.95
2012-08-02,326.35
2012-08-03,322.9
2012-08-06,322.6
2012-08-07,327.3
2012-08-08,323.95
2012-08-09,325.65
2012-08-10,322.5
2012-08-13,327.8
2012-08-14,333.0
2012-08-16,332.75
2012-08-17,333.25
2012-08-21,332.05
2012-08-22,337.2
2012-08-23,330.75
2012-08-24,328.45
2012-08-27,325.7
2012-08-28,319.05
2012-08-29,315.0
2012-08-30,314.0
2012-08-31,316.55
2012-09-03,314.95
2012-09-04,315.7
2012-09-05,312.5
2012-09-06,312.55
2012-09-07,316.4
2012-09-08,316.9
2012-09-10,313.3
2012-09-11,310.3
2012-09-12,311.45
2012-09-13,310.15
2012-09-14,318.75
2012-09-17,330.25
2012-09-18,332.55
2012-09-20,331.3
2012-09-21,337.85
2012-09-24,345.25
2012-09-25,344.7
2012-09-26,343.55
2012-09-27,343.3
2012-09-28,355.3
2012-10-01,363.0
2012-10-03,369.5
2012-10-04,371.1
2012-10-05,369.25
2012-10-08,368.85
2012-10-09,365.75
2012-10-10,357.7
2012-10-11,363.0
2012-10-12,365.7
2012-10-15,361.65
2012-10-16,354.3
2012-10-17,358.2
2012-10-18,364.25
2012-10-19,362.55
2012-10-22,361.85
2012-10-23,362.7
2012-10-25,365.45
2012-10-26,362.6
2012-10-29,365.6
2012-10-30,361.7
2012-10-31,364.1
2012-11-01,363.9
2012-11-02,365.85
2012-11-05,362.9
2012-11-06,363.05
2012-11-07,367.2
2012-11-08,362.8
2012-11-09,368.0
2012-11-12,376.8
2012-11-13,376.15
2012-11-15,377.5
2012-11-16,377.9
2012-11-19,373.35
2012-11-20,368.7
2012-11-21,368.05
2012-11-22,373.1
2012-11-23,374.1
2012-11-26,384.35
2012-11-27,394.1
2012-11-29,416.95
2012-11-30,416.75
2012-12-03,422.1
2012-12-04,417.7
2012-12-05,420.35
2012-12-06,426.25
2012-12-07,411.45
2012-12-10,417.6
2012-12-11,412.05
2012-12-12,405.05
2012-12-13,409.65
2012-12-14,422.0
2012-12-17,425.7
2012-12-18,429.6
2012-12-19,433.75
2012-12-20,432.7
2012-12-21,427.2
2012-12-24,424.9
2012-12-26,421.0
2012-12-27,414.2
2012-12-28,415.0
2012-12-31,417.05
