Date,MOTOGENFIN
2012-01-02,32.0
2012-01-03,33.7
2012-01-04,33.0
2012-01-05,32.8
2012-01-06,33.15
2012-01-07,32.15
2012-01-09,33.4
2012-01-10,33.75
2012-01-11,34.25
2012-01-12,34.5
2012-01-13,33.7
2012-01-16,34.5
2012-01-17,34.85
2012-01-18,34.85
2012-01-19,34.6
2012-01-20,35.8
2012-01-23,35.3
2012-01-24,34.6
2012-01-25,36.15
2012-01-27,35.45
2012-01-30,35.9
2012-01-31,34.75
2012-02-01,36.05
2012-02-02,35.5
2012-02-03,35.05
2012-02-06,34.95
2012-02-07,35.25
2012-02-08,35.6
2012-02-09,35.55
2012-02-10,36.45
2012-02-13,37.0
2012-02-14,35.85
2012-02-15,36.85
2012-02-16,36.4
2012-02-17,36.3
2012-02-21,37.8
2012-02-22,35.75
2012-02-23,36.0
2012-02-24,35.1
2012-02-27,34.1
2012-02-28,34.15
2012-02-29,34.15
2012-03-01,34.2
2012-03-02,34.65
2012-03-03,36.25
2012-03-05,36.4
2012-03-06,35.0
2012-03-07,34.35
2012-03-09,34.45
2012-03-12,34.6
2012-03-13,34.95
2012-03-14,35.9
2012-03-15,34.95
2012-03-16,33.8
2012-03-19,33.55
2012-03-20,35.0
2012-03-21,33.6
2012-03-22,33.95
2012-03-23,35.0
2012-03-26,35.85
2012-03-27,36.15
2012-03-28,36.0
2012-03-29,36.5
2012-03-30,35.6
2012-04-02,36.75
2012-04-03,35.75
2012-04-04,36.6
2012-04-09,37.5
2012-04-10,35.75
2012-04-11,35.25
2012-04-12,35.25
2012-04-13,34.75
2012-04-16,34.25
2012-04-17,35.1
2012-04-18,34.65
2012-04-19,36.9
2012-04-20,36.7
2012-04-23,36.0
2012-04-24,36.0
2012-04-25,35.65
2012-04-26,36.0
2012-04-27,36.0
2012-04-30,36.3
2012-05-02,36.0
2012-05-03,36.2
2012-05-04,36.65
2012-05-07,36.55
2012-05-08,36.95
2012-05-09,36.6
2012-05-10,35.55
2012-05-11,37.75
2012-05-14,36.25
2012-05-15,36.85
2012-05-16,36.0
2012-05-17,36.9
2012-05-18,36.0
2012-05-21,37.5
2012-05-22,36.5
2012-05-23,35.85
2012-05-24,39.75
2012-05-25,40.0
2012-05-28,40.0
2012-05-29,38.95
2012-05-30,40.05
2012-05-31,40.9
2012-06-01,38.45
2012-06-04,38.05
2012-06-05,38.0
2012-06-06,40.0
2012-06-07,40.0
2012-06-08,40.0
2012-06-11,40.65
2012-06-12,42.6
2012-06-13,43.85
2012-06-14,40.55
2012-06-15,39.5
2012-06-18,39.0
2012-06-19,38.15
2012-06-20,39.55
2012-06-21,39.8
2012-06-22,38.7
2012-06-25,39.65
2012-06-26,38.1
2012-06-27,40.45
2012-06-28,43.25
2012-06-29,39.9
2012-07-02,41.65
2012-07-03,39.5
2012-07-04,39.5
2012-07-05,40.05
2012-07-06,39.9
2012-07-09,39.65
2012-07-09,39.65
2012-07-10,40.0
2012-07-11,40.0
2012-07-12,41.45
2012-07-13,40.0
2012-07-16,41.2
2012-07-17,40.5
2012-07-18,41.0
2012-07-19,41.7
2012-07-20,41.85
2012-07-23,40.5
2012-07-24,43.05
2012-07-25,42.85
2012-07-26,40.7
2012-07-27,42.35
2012-07-30,40.5
2012-07-31,40.5
2012-08-01,42.25
2012-08-02,41.65
2012-08-03,41.0
2012-08-06,42.8
2012-08-07,41.95
2012-08-08,40.75
2012-08-09,40.75
2012-08-10,39.9
2012-08-13,43.95
2012-08-14,44.35
2012-08-16,42.1
2012-08-17,42.0
2012-08-21,41.7
2012-08-22,43.0
2012-08-23,42.25
2012-08-24,42.25
2012-08-27,41.0
2012-08-28,41.9
2012-08-29,41.9
2012-08-30,41.0
2012-08-31,41.3
2012-09-03,39.8
2012-09-04,40.15
2012-09-05,39.1
2012-09-06,39.75
2012-09-07,39.45
2012-09-08,39.7
2012-09-10,40.0
2012-09-11,40.4
2012-09-12,40.15
2012-09-13,40.95
2012-09-14,41.25
2012-09-17,40.95
2012-09-18,40.5
2012-09-20,42.1
2012-09-21,40.95
2012-09-24,42.0
2012-09-25,42.05
2012-09-26,42.65
2012-09-27,42.0
2012-09-28,42.3
2012-10-01,42.45
2012-10-03,41.5
2012-10-04,42.0
2012-10-05,41.65
2012-10-08,41.0
2012-10-09,42.0
2012-10-10,41.45
2012-10-11,44.0
2012-10-12,43.75
2012-10-15,42.0
2012-10-16,43.2
2012-10-17,44.3
2012-10-18,44.0
2012-10-19,44.2
2012-10-22,44.0
2012-10-23,44.0
2012-10-25,46.1
2012-10-26,45.0
2012-10-29,43.9
2012-10-30,44.8
2012-10-31,43.9
2012-11-01,45.25
2012-11-02,44.7
2012-11-05,46.8
2012-11-06,46.65
2012-11-07,46.55
2012-11-08,48.05
2012-11-09,46.8
2012-11-12,45.9
2012-11-13,46.0
2012-11-15,48.8
2012-11-16,48.0
2012-11-19,49.0
2012-11-20,49.0
2012-11-21,50.0
2012-11-22,49.35
2012-11-23,50.0
2012-11-26,50.7
2012-11-27,49.8
2012-11-29,50.4
2012-11-30,49.25
2012-12-03,50.0
2012-12-04,50.2
2012-12-05,50.0
2012-12-06,50.0
2012-12-07,49.5
2012-12-10,50.0
2012-12-11,50.0
2012-12-12,50.0
2012-12-13,50.0
2012-12-14,50.2
2012-12-17,50.0
2012-12-18,49.75
2012-12-19,50.0
2012-12-20,49.3
2012-12-21,49.0
2012-12-24,50.5
2012-12-26,50.0
2012-12-27,49.0
2012-12-28,49.1
2012-12-31,50.0
