Date,SRSLTD
2012-01-02,35.35
2012-01-03,35.2
2012-01-04,35.0
2012-01-05,34.55
2012-01-06,34.25
2012-01-07,34.15
2012-01-09,34.1
2012-01-10,34.45
2012-01-11,34.3
2012-01-12,34.5
2012-01-13,34.5
2012-01-16,34.35
2012-01-17,34.8
2012-01-18,34.65
2012-01-19,34.35
2012-01-20,34.0
2012-01-23,33.8
2012-01-24,33.75
2012-01-25,33.8
2012-01-27,33.8
2012-01-30,33.75
2012-01-31,34.25
2012-02-01,34.35
2012-02-02,34.45
2012-02-03,34.3
2012-02-06,34.4
2012-02-07,33.95
2012-02-08,33.75
2012-02-09,33.4
2012-02-10,33.7
2012-02-13,33.5
2012-02-14,33.8
2012-02-15,34.0
2012-02-16,33.8
2012-02-17,33.85
2012-02-21,34.0
2012-02-22,33.0
2012-02-23,32.3
2012-02-24,31.95
2012-02-27,30.75
2012-02-28,30.9
2012-02-29,31.0
2012-03-01,30.95
2012-03-02,30.9
2012-03-03,30.95
2012-03-05,30.85
2012-03-06,30.85
2012-03-07,30.5
2012-03-09,30.65
2012-03-12,30.95
2012-03-13,30.75
2012-03-14,30.7
2012-03-15,30.7
2012-03-16,30.45
2012-03-19,30.4
2012-03-20,30.9
2012-03-21,30.5
2012-03-22,30.35
2012-03-23,31.6
2012-03-26,31.05
2012-03-27,31.05
2012-03-28,28.95
2012-03-29,29.3
2012-03-30,30.25
2012-04-02,30.4
2012-04-03,29.7
2012-04-04,29.9
2012-04-09,29.55
2012-04-10,29.9
2012-04-11,30.15
2012-04-12,30.1
2012-04-13,30.0
2012-04-16,30.1
2012-04-17,30.15
2012-04-18,29.9
2012-04-19,29.95
2012-04-20,30.1
2012-04-23,29.8
2012-04-24,29.85
2012-04-25,29.8
2012-04-26,29.75
2012-04-27,29.9
2012-04-28,29.8
2012-04-30,29.75
2012-05-02,30.05
2012-05-03,31.6
2012-05-04,31.2
2012-05-07,31.75
2012-05-08,32.6
2012-05-09,30.35
2012-05-10,30.05
2012-05-11,29.75
2012-05-14,29.6
2012-05-15,29.05
2012-05-16,28.4
2012-05-17,28.25
2012-05-18,29.3
2012-05-21,29.95
2012-05-22,31.1
2012-05-23,32.65
2012-05-24,35.95
2012-05-25,36.6
2012-05-28,36.65
2012-05-29,35.35
2012-05-30,36.05
2012-05-31,35.85
2012-06-01,36.35
2012-06-04,35.95
2012-06-05,36.4
2012-06-06,36.05
2012-06-07,36.15
2012-06-08,37.3
2012-06-11,37.15
2012-06-12,37.25
2012-06-13,37.2
2012-06-14,37.65
2012-06-15,37.4
2012-06-18,37.85
2012-06-19,38.05
2012-06-20,37.8
2012-06-21,38.35
2012-06-22,38.35
2012-06-25,38.65
2012-06-26,38.75
2012-06-27,38.65
2012-06-28,38.8
2012-06-29,38.55
2012-07-02,38.05
2012-07-03,37.1
2012-07-04,36.15
2012-07-05,35.6
2012-07-06,36.8
2012-07-09,35.9
2012-07-10,35.95
2012-07-11,36.15
2012-07-12,37.9
2012-07-13,37.25
2012-07-16,38.4
2012-07-17,38.4
2012-07-18,38.35
2012-07-19,41.6
2012-07-20,41.9
2012-07-23,41.45
2012-07-24,41.15
2012-07-25,43.15
2012-07-26,39.15
2012-07-27,41.5
2012-07-30,41.6
2012-07-31,40.45
2012-08-01,42.0
2012-08-02,42.55
2012-08-03,42.1
2012-08-06,42.25
2012-08-07,41.95
2012-08-08,42.7
2012-08-09,41.4
2012-08-10,41.4
2012-08-13,41.7
2012-08-14,41.8
2012-08-16,41.7
2012-08-17,41.4
2012-08-21,41.5
2012-08-22,41.45
2012-08-23,41.45
2012-08-24,40.5
2012-08-27,40.55
2012-08-28,40.75
2012-08-29,40.4
2012-08-30,40.2
2012-08-31,40.25
2012-09-03,40.05
2012-09-04,40.05
2012-09-05,40.9
2012-09-06,40.15
2012-09-07,40.1
2012-09-08,40.15
2012-09-10,44.5
2012-09-11,46.1
2012-09-12,46.25
2012-09-13,46.45
2012-09-14,46.3
2012-09-17,45.6
2012-09-18,44.9
2012-09-20,44.35
2012-09-21,44.45
2012-09-24,42.75
2012-09-25,40.95
2012-09-26,41.0
2012-09-27,40.35
2012-09-28,39.8
2012-10-01,39.3
2012-10-03,38.9
2012-10-04,40.2
2012-10-05,40.0
2012-10-08,40.8
2012-10-09,39.75
2012-10-10,39.65
2012-10-11,39.45
2012-10-12,39.25
2012-10-15,40.3
2012-10-16,40.2
2012-10-17,39.75
2012-10-18,39.2
2012-10-19,39.55
2012-10-22,39.15
2012-10-23,38.85
2012-10-25,38.1
2012-10-26,37.55
2012-10-29,37.45
2012-10-30,37.35
2012-10-31,36.9
2012-11-01,36.95
2012-11-02,37.05
2012-11-05,36.85
2012-11-06,37.0
2012-11-07,37.05
2012-11-08,36.95
2012-11-09,36.75
2012-11-12,36.9
2012-11-13,37.85
2012-11-15,36.9
2012-11-16,38.35
2012-11-19,39.15
2012-11-20,39.1
2012-11-21,39.25
2012-11-22,39.1
2012-11-23,39.05
2012-11-26,39.95
2012-11-27,41.5
2012-11-29,41.8
2012-11-30,41.8
2012-12-03,42.35
2012-12-04,47.15
2012-12-05,48.2
2012-12-06,49.4
2012-12-07,49.35
2012-12-10,49.3
2012-12-11,48.7
2012-12-12,48.7
2012-12-13,48.45
2012-12-14,49.0
2012-12-17,48.6
2012-12-18,48.25
2012-12-19,49.2
2012-12-20,49.2
2012-12-21,48.5
2012-12-24,48.25
2012-12-26,48.3
2012-12-27,43.9
2012-12-28,44.05
2012-12-31,44.7
