Date,KOPRAN
2012-01-02,13.45
2012-01-03,13.75
2012-01-04,13.65
2012-01-05,13.8
2012-01-06,13.5
2012-01-07,13.7
2012-01-09,13.75
2012-01-10,14.85
2012-01-11,15.6
2012-01-12,15.5
2012-01-13,15.3
2012-01-16,15.4
2012-01-17,15.8
2012-01-18,16.0
2012-01-19,15.95
2012-01-20,16.25
2012-01-23,16.3
2012-01-24,18.6
2012-01-25,19.05
2012-01-27,20.15
2012-01-30,19.25
2012-01-31,19.8
2012-02-01,20.25
2012-02-02,19.85
2012-02-03,19.5
2012-02-06,19.8
2012-02-07,20.85
2012-02-08,21.05
2012-02-09,21.25
2012-02-10,21.0
2012-02-13,20.45
2012-02-14,20.25
2012-02-15,20.5
2012-02-16,20.45
2012-02-17,20.0
2012-02-21,20.05
2012-02-22,18.7
2012-02-23,18.75
2012-02-24,18.65
2012-02-27,17.65
2012-02-28,18.05
2012-02-29,17.95
2012-03-01,18.0
2012-03-02,18.05
2012-03-03,17.75
2012-03-05,17.5
2012-03-06,17.0
2012-03-07,16.85
2012-03-09,16.75
2012-03-12,16.75
2012-03-13,17.6
2012-03-14,17.15
2012-03-15,17.3
2012-03-16,16.65
2012-03-19,16.45
2012-03-20,16.55
2012-03-21,16.3
2012-03-22,15.65
2012-03-23,15.55
2012-03-26,15.4
2012-03-27,15.05
2012-03-28,14.15
2012-03-29,15.1
2012-03-30,15.35
2012-04-02,15.85
2012-04-03,16.15
2012-04-04,16.2
2012-04-09,16.05
2012-04-10,15.75
2012-04-11,16.1
2012-04-12,16.45
2012-04-13,17.75
2012-04-16,17.85
2012-04-17,17.8
2012-04-18,17.65
2012-04-19,17.4
2012-04-20,16.75
2012-04-23,16.65
2012-04-24,17.25
2012-04-25,17.1
2012-04-26,16.6
2012-04-27,16.85
2012-04-28,17.0
2012-04-30,16.7
2012-05-02,16.4
2012-05-03,16.15
2012-05-04,15.9
2012-05-07,15.6
2012-05-08,15.45
2012-05-09,14.65
2012-05-10,14.6
2012-05-11,14.25
2012-05-14,14.4
2012-05-15,15.0
2012-05-16,15.0
2012-05-17,15.05
2012-05-18,14.3
2012-05-21,14.5
2012-05-22,14.25
2012-05-23,14.05
2012-05-24,14.2
2012-05-25,14.45
2012-05-28,14.85
2012-05-29,15.0
2012-05-30,14.65
2012-05-31,14.25
2012-06-01,14.1
2012-06-04,14.0
2012-06-05,14.5
2012-06-06,15.6
2012-06-07,15.5
2012-06-08,14.95
2012-06-11,14.6
2012-06-12,14.25
2012-06-13,14.25
2012-06-14,14.05
2012-06-15,14.2
2012-06-18,13.9
2012-06-19,13.85
2012-06-20,14.1
2012-06-21,14.15
2012-06-22,14.45
2012-06-25,14.4
2012-06-26,15.45
2012-06-27,15.75
2012-06-28,15.55
2012-06-29,16.05
2012-07-02,15.9
2012-07-03,17.2
2012-07-04,16.7
2012-07-05,17.95
2012-07-06,19.6
2012-07-09,18.6
2012-07-09,18.6
2012-07-10,18.6
2012-07-11,18.35
2012-07-12,17.9
2012-07-13,17.4
2012-07-16,18.05
2012-07-17,17.75
2012-07-18,17.75
2012-07-19,17.9
2012-07-20,17.4
2012-07-23,17.45
2012-07-24,16.75
2012-07-25,16.7
2012-07-26,16.0
2012-07-27,15.95
2012-07-30,16.4
2012-07-31,16.35
2012-08-01,16.75
2012-08-02,17.1
2012-08-03,17.0
2012-08-06,17.55
2012-08-07,17.9
2012-08-08,18.0
2012-08-09,17.75
2012-08-10,17.55
2012-08-13,17.9
2012-08-14,17.65
2012-08-16,17.4
2012-08-17,17.25
2012-08-21,17.45
2012-08-22,17.1
2012-08-23,17.45
2012-08-24,17.9
2012-08-27,17.4
2012-08-28,17.45
2012-08-29,16.7
2012-08-30,16.85
2012-08-31,16.85
2012-09-03,16.5
2012-09-04,16.35
2012-09-05,16.3
2012-09-06,16.55
2012-09-07,16.75
2012-09-08,16.6
2012-09-10,17.6
2012-09-11,20.9
2012-09-12,20.65
2012-09-13,23.85
2012-09-14,22.45
2012-09-17,23.05
2012-09-18,22.4
2012-09-20,21.05
2012-09-21,20.45
2012-09-24,21.1
2012-09-25,20.5
2012-09-26,20.45
2012-09-27,20.35
2012-09-28,20.15
2012-10-01,20.25
2012-10-03,22.05
2012-10-04,21.65
2012-10-05,20.95
2012-10-08,21.05
2012-10-09,21.75
2012-10-10,21.9
2012-10-11,22.4
2012-10-12,22.0
2012-10-15,23.3
2012-10-16,22.55
2012-10-17,22.85
2012-10-18,22.65
2012-10-19,22.2
2012-10-22,22.1
2012-10-23,22.0
2012-10-25,21.7
2012-10-26,21.1
2012-10-29,20.85
2012-10-30,20.4
2012-10-31,20.45
2012-11-01,20.7
2012-11-02,20.7
2012-11-05,21.35
2012-11-06,21.35
2012-11-07,22.25
2012-11-08,22.1
2012-11-09,21.2
2012-11-12,21.95
2012-11-13,22.9
2012-11-15,22.6
2012-11-16,22.7
2012-11-19,21.9
2012-11-20,22.05
2012-11-21,21.6
2012-11-22,21.5
2012-11-23,21.2
2012-11-26,21.55
2012-11-27,21.6
2012-11-29,22.6
2012-11-30,22.55
2012-12-03,22.55
2012-12-04,23.25
2012-12-05,22.65
2012-12-06,23.4
2012-12-07,23.35
2012-12-10,22.4
2012-12-11,22.5
2012-12-12,22.35
2012-12-13,21.9
2012-12-14,21.6
2012-12-17,21.65
2012-12-18,21.45
2012-12-19,22.1
2012-12-20,22.7
2012-12-21,22.0
2012-12-24,21.6
2012-12-26,21.75
2012-12-27,21.3
2012-12-28,21.1
2012-12-31,21.05
