Date,NITCO
2012-01-02,32.3
2012-01-03,33.5
2012-01-04,34.05
2012-01-05,33.95
2012-01-06,33.65
2012-01-07,34.0
2012-01-09,37.8
2012-01-10,39.0
2012-01-11,39.0
2012-01-12,38.0
2012-01-13,38.85
2012-01-16,37.15
2012-01-17,37.85
2012-01-18,38.55
2012-01-19,38.55
2012-01-20,38.95
2012-01-23,40.25
2012-01-24,38.7
2012-01-25,39.6
2012-01-27,41.65
2012-01-30,39.4
2012-01-31,39.85
2012-02-01,41.05
2012-02-02,41.2
2012-02-03,42.1
2012-02-06,45.4
2012-02-07,44.1
2012-02-08,43.8
2012-02-09,44.85
2012-02-10,44.8
2012-02-13,46.3
2012-02-14,45.8
2012-02-15,48.05
2012-02-16,49.05
2012-02-17,48.0
2012-02-21,49.85
2012-02-22,49.95
2012-02-23,48.8
2012-02-24,47.4
2012-02-27,45.5
2012-02-28,46.95
2012-02-29,47.35
2012-03-01,46.2
2012-03-02,45.5
2012-03-03,45.4
2012-03-05,44.75
2012-03-06,43.85
2012-03-07,42.8
2012-03-09,43.95
2012-03-12,44.3
2012-03-13,45.0
2012-03-14,44.4
2012-03-15,43.9
2012-03-16,43.2
2012-03-19,42.55
2012-03-20,41.95
2012-03-21,42.05
2012-03-22,40.6
2012-03-23,40.8
2012-03-26,40.85
2012-03-27,39.45
2012-03-28,38.65
2012-03-29,36.1
2012-03-30,38.15
2012-04-02,40.4
2012-04-03,40.95
2012-04-04,42.3
2012-04-09,40.55
2012-04-10,40.55
2012-04-11,39.7
2012-04-12,40.8
2012-04-13,39.0
2012-04-16,39.8
2012-04-17,39.8
2012-04-18,41.05
2012-04-19,42.9
2012-04-20,41.35
2012-04-23,39.25
2012-04-24,39.3
2012-04-25,38.8
2012-04-26,38.6
2012-04-27,38.75
2012-04-28,42.3
2012-04-30,39.8
2012-05-02,38.45
2012-05-03,38.65
2012-05-04,33.25
2012-05-07,31.9
2012-05-08,32.0
2012-05-09,31.05
2012-05-10,30.35
2012-05-11,29.75
2012-05-14,29.5
2012-05-15,29.3
2012-05-16,27.5
2012-05-17,27.6
2012-05-18,28.2
2012-05-21,28.75
2012-05-22,27.7
2012-05-23,27.65
2012-05-24,27.45
2012-05-25,28.0
2012-05-28,28.5
2012-05-29,28.15
2012-05-30,27.8
2012-05-31,28.2
2012-06-01,27.65
2012-06-04,27.25
2012-06-05,27.25
2012-06-06,28.0
2012-06-07,26.35
2012-06-08,26.85
2012-06-11,25.85
2012-06-12,25.75
2012-06-13,25.9
2012-06-14,25.45
2012-06-15,25.9
2012-06-18,25.4
2012-06-19,24.65
2012-06-20,25.2
2012-06-21,25.45
2012-06-22,25.9
2012-06-25,26.75
2012-06-26,27.15
2012-06-27,26.5
2012-06-28,26.2
2012-06-29,26.65
2012-07-02,27.1
2012-07-03,27.4
2012-07-04,28.15
2012-07-05,30.35
2012-07-06,32.3
2012-07-09,30.7
2012-07-09,30.7
2012-07-10,31.1
2012-07-11,31.25
2012-07-12,30.35
2012-07-13,30.0
2012-07-16,29.0
2012-07-17,28.1
2012-07-18,27.9
2012-07-19,28.45
2012-07-20,28.1
2012-07-23,27.15
2012-07-24,27.4
2012-07-25,26.05
2012-07-26,25.5
2012-07-27,25.0
2012-07-30,25.45
2012-07-31,25.45
2012-08-01,25.8
2012-08-02,25.7
2012-08-03,25.55
2012-08-06,25.8
2012-08-07,25.45
2012-08-08,25.4
2012-08-09,25.0
2012-08-10,24.25
2012-08-13,24.7
2012-08-14,24.55
2012-08-16,23.5
2012-08-17,23.35
2012-08-21,23.3
2012-08-22,23.2
2012-08-23,22.95
2012-08-24,22.65
2012-08-27,22.9
2012-08-28,22.0
2012-08-29,20.6
2012-08-30,19.9
2012-08-31,19.05
2012-09-03,19.75
2012-09-04,19.95
2012-09-05,19.65
2012-09-06,19.55
2012-09-07,19.35
2012-09-08,19.4
2012-09-10,19.55
2012-09-11,19.85
2012-09-12,20.0
2012-09-13,19.75
2012-09-14,19.85
2012-09-17,21.6
2012-09-18,23.5
2012-09-20,22.75
2012-09-21,23.8
2012-09-24,24.4
2012-09-25,23.25
2012-09-26,22.6
2012-09-27,22.85
2012-09-28,23.2
2012-10-01,22.95
2012-10-03,24.2
2012-10-04,24.1
2012-10-05,23.8
2012-10-08,23.4
2012-10-09,23.55
2012-10-10,23.15
2012-10-11,22.75
2012-10-12,22.8
2012-10-15,21.95
2012-10-16,22.5
2012-10-17,22.7
2012-10-18,24.0
2012-10-19,23.5
2012-10-22,27.1
2012-10-23,25.9
2012-10-25,24.9
2012-10-26,24.35
2012-10-29,23.8
2012-10-30,23.25
2012-10-31,23.05
2012-11-01,25.05
2012-11-02,24.9
2012-11-05,25.4
2012-11-06,26.8
2012-11-07,26.4
2012-11-08,26.15
2012-11-09,25.25
2012-11-12,25.15
2012-11-13,25.6
2012-11-15,25.05
2012-11-16,25.95
2012-11-19,25.3
2012-11-20,24.6
2012-11-21,24.5
2012-11-22,24.65
2012-11-23,24.2
2012-11-26,24.3
2012-11-27,24.25
2012-11-29,24.75
2012-11-30,24.6
2012-12-03,24.85
2012-12-04,24.55
2012-12-05,24.25
2012-12-06,23.95
2012-12-07,23.85
2012-12-10,23.75
2012-12-11,23.5
2012-12-12,23.0
2012-12-13,23.3
2012-12-14,22.55
2012-12-17,22.6
2012-12-18,23.8
2012-12-19,25.15
2012-12-20,24.15
2012-12-21,23.3
2012-12-24,23.75
2012-12-26,23.95
2012-12-27,23.65
2012-12-28,24.5
2012-12-31,23.75
