Date,WSTCSTPAPR
2012-01-02,46.85
2012-01-03,49.75
2012-01-04,50.9
2012-01-05,50.65
2012-01-06,51.1
2012-01-07,52.75
2012-01-09,52.0
2012-01-10,52.2
2012-01-11,53.0
2012-01-12,53.35
2012-01-13,55.05
2012-01-16,55.3
2012-01-17,55.8
2012-01-18,55.8
2012-01-19,55.4
2012-01-20,55.5
2012-01-23,53.4
2012-01-24,54.45
2012-01-25,54.75
2012-01-27,55.75
2012-01-30,53.45
2012-01-31,54.3
2012-02-01,54.65
2012-02-02,56.0
2012-02-03,56.6
2012-02-06,57.4
2012-02-07,56.25
2012-02-08,56.35
2012-02-09,57.5
2012-02-10,58.6
2012-02-13,57.3
2012-02-14,57.85
2012-02-15,54.4
2012-02-16,55.6
2012-02-17,55.75
2012-02-21,56.0
2012-02-22,53.65
2012-02-23,53.65
2012-02-24,52.45
2012-02-27,50.8
2012-02-28,50.85
2012-02-29,54.25
2012-03-01,54.15
2012-03-02,53.6
2012-03-03,53.8
2012-03-05,54.1
2012-03-06,53.1
2012-03-07,53.35
2012-03-09,51.85
2012-03-12,51.3
2012-03-13,49.8
2012-03-14,50.05
2012-03-15,49.45
2012-03-16,48.8
2012-03-19,48.05
2012-03-20,48.2
2012-03-21,49.0
2012-03-22,49.3
2012-03-23,45.7
2012-03-26,46.65
2012-03-27,47.9
2012-03-28,47.35
2012-03-29,47.35
2012-03-30,48.3
2012-04-02,49.55
2012-04-03,49.75
2012-04-04,49.95
2012-04-09,48.95
2012-04-10,49.2
2012-04-11,49.6
2012-04-12,49.95
2012-04-13,48.65
2012-04-16,48.25
2012-04-17,49.6
2012-04-18,48.75
2012-04-19,49.05
2012-04-20,51.0
2012-04-23,59.8
2012-04-24,57.75
2012-04-25,55.65
2012-04-26,54.75
2012-04-27,53.4
2012-04-28,53.85
2012-04-30,56.5
2012-05-02,55.9
2012-05-03,55.65
2012-05-04,54.6
2012-05-07,54.35
2012-05-08,53.95
2012-05-09,53.4
2012-05-10,53.5
2012-05-11,52.8
2012-05-14,52.95
2012-05-15,51.0
2012-05-16,50.9
2012-05-17,50.9
2012-05-18,52.25
2012-05-21,51.4
2012-05-22,51.5
2012-05-23,51.0
2012-05-24,51.3
2012-05-25,51.25
2012-05-28,51.95
2012-05-29,50.85
2012-05-30,48.3
2012-05-31,48.3
2012-06-01,47.9
2012-06-04,48.45
2012-06-05,48.6
2012-06-06,48.4
2012-06-07,49.4
2012-06-08,50.15
2012-06-11,49.15
2012-06-12,48.35
2012-06-13,48.45
2012-06-14,48.1
2012-06-15,48.15
2012-06-18,47.7
2012-06-19,47.95
2012-06-20,47.4
2012-06-21,48.1
2012-06-22,48.95
2012-06-25,48.75
2012-06-26,47.7
2012-06-27,47.8
2012-06-28,48.85
2012-06-29,49.85
2012-07-02,49.55
2012-07-03,50.25
2012-07-04,49.85
2012-07-05,51.3
2012-07-06,52.2
2012-07-09,52.4
2012-07-10,52.65
2012-07-11,55.65
2012-07-12,55.1
2012-07-13,54.5
2012-07-16,53.6
2012-07-17,52.6
2012-07-18,52.55
2012-07-19,52.05
2012-07-20,52.85
2012-07-23,51.7
2012-07-24,51.35
2012-07-25,50.85
2012-07-26,50.35
2012-07-27,48.5
2012-07-30,49.3
2012-07-31,49.8
2012-08-01,50.2
2012-08-02,51.55
2012-08-03,52.65
2012-08-06,52.05
2012-08-07,50.95
2012-08-08,50.5
2012-08-09,51.1
2012-08-10,51.25
2012-08-13,50.7
2012-08-14,51.1
2012-08-16,50.4
2012-08-17,51.05
2012-08-21,51.2
2012-08-22,53.0
2012-08-23,56.25
2012-08-24,57.3
2012-08-27,55.4
2012-08-28,53.25
2012-08-29,53.25
2012-08-30,52.4
2012-08-31,52.5
2012-09-03,57.0
2012-09-04,67.25
2012-09-05,70.8
2012-09-06,65.05
2012-09-07,65.6
2012-09-08,65.1
2012-09-10,66.1
2012-09-11,65.6
2012-09-12,64.4
2012-09-13,64.0
2012-09-14,62.35
2012-09-17,60.15
2012-09-18,59.1
2012-09-20,61.15
2012-09-21,60.6
2012-09-24,61.1
2012-09-25,63.15
2012-09-26,64.15
2012-09-27,64.6
2012-09-28,65.45
2012-10-01,70.25
2012-10-03,84.3
2012-10-04,85.05
2012-10-05,81.55
2012-10-08,92.85
2012-10-09,93.45
2012-10-10,90.35
2012-10-11,92.1
2012-10-12,96.55
2012-10-15,102.35
2012-10-16,112.55
2012-10-17,116.95
2012-10-18,111.15
2012-10-19,105.6
2012-10-22,100.35
2012-10-23,96.45
2012-10-25,92.05
2012-10-26,92.4
2012-10-29,91.05
2012-10-30,87.25
2012-10-31,91.6
2012-11-01,91.0
2012-11-02,91.65
2012-11-05,91.05
2012-11-06,91.4
2012-11-07,95.2
2012-11-08,99.95
2012-11-09,104.9
2012-11-12,105.15
2012-11-13,106.8
2012-11-15,111.75
2012-11-16,106.95
2012-11-19,101.65
2012-11-20,102.1
2012-11-21,106.6
2012-11-22,111.9
2012-11-23,117.45
2012-11-26,123.3
2012-11-27,117.15
2012-11-29,118.3
2012-11-30,118.1
2012-12-03,113.05
2012-12-04,118.7
2012-12-05,124.6
2012-12-06,130.8
2012-12-07,127.4
2012-12-10,125.55
2012-12-11,126.55
2012-12-12,125.15
2012-12-13,121.25
2012-12-14,122.4
2012-12-17,120.95
2012-12-18,118.3
2012-12-19,116.05
2012-12-20,110.35
2012-12-21,104.85
2012-12-24,99.65
2012-12-26,104.6
2012-12-27,107.0
2012-12-28,104.45
2012-12-31,107.5
