Date,HMT
2012-01-02,30.35
2012-01-03,32.9
2012-01-04,36.55
2012-01-05,37.7
2012-01-06,37.15
2012-01-07,41.7
2012-01-09,46.35
2012-01-10,44.85
2012-01-11,42.9
2012-01-12,43.6
2012-01-13,43.4
2012-01-16,43.15
2012-01-17,42.85
2012-01-18,41.35
2012-01-19,42.25
2012-01-20,41.3
2012-01-23,41.15
2012-01-24,41.1
2012-01-25,41.15
2012-01-27,41.25
2012-01-30,43.65
2012-01-31,43.9
2012-02-01,47.0
2012-02-02,46.4
2012-02-03,45.25
2012-02-06,45.35
2012-02-07,46.0
2012-02-08,49.7
2012-02-09,51.7
2012-02-10,49.5
2012-02-13,50.45
2012-02-14,50.25
2012-02-15,50.4
2012-02-16,49.4
2012-02-17,50.25
2012-02-21,50.35
2012-02-22,46.95
2012-02-23,46.3
2012-02-24,44.35
2012-02-27,41.05
2012-02-28,45.15
2012-02-29,45.6
2012-03-01,47.7
2012-03-02,45.95
2012-03-03,48.85
2012-03-05,46.15
2012-03-06,44.95
2012-03-07,44.7
2012-03-09,45.4
2012-03-12,44.85
2012-03-13,45.2
2012-03-14,46.0
2012-03-15,46.95
2012-03-16,45.25
2012-03-19,44.2
2012-03-20,43.5
2012-03-21,43.7
2012-03-22,44.05
2012-03-23,44.0
2012-03-26,42.45
2012-03-27,41.2
2012-03-28,40.1
2012-03-29,39.5
2012-03-30,40.9
2012-04-02,42.05
2012-04-03,42.35
2012-04-04,41.85
2012-04-09,46.9
2012-04-10,44.8
2012-04-11,44.1
2012-04-12,44.45
2012-04-13,42.6
2012-04-16,43.55
2012-04-17,43.1
2012-04-18,43.25
2012-04-19,42.85
2012-04-20,42.4
2012-04-23,40.95
2012-04-24,40.9
2012-04-25,39.7
2012-04-26,39.6
2012-04-27,39.55
2012-04-28,43.15
2012-04-30,41.75
2012-05-02,41.8
2012-05-03,41.2
2012-05-04,39.65
2012-05-07,39.65
2012-05-08,39.4
2012-05-09,38.5
2012-05-10,37.55
2012-05-11,36.35
2012-05-14,35.7
2012-05-15,36.35
2012-05-16,35.45
2012-05-17,35.5
2012-05-18,34.6
2012-05-21,35.2
2012-05-22,35.35
2012-05-23,34.75
2012-05-24,35.3
2012-05-25,35.25
2012-05-28,36.3
2012-05-29,36.25
2012-05-30,35.4
2012-05-31,35.0
2012-06-01,34.35
2012-06-04,34.2
2012-06-05,34.15
2012-06-06,35.15
2012-06-07,35.35
2012-06-08,35.0
2012-06-11,35.65
2012-06-12,35.7
2012-06-13,35.65
2012-06-14,38.25
2012-06-15,40.9
2012-06-18,38.5
2012-06-19,38.35
2012-06-20,38.3
2012-06-21,38.5
2012-06-22,37.55
2012-06-25,38.0
2012-06-26,37.4
2012-06-27,37.35
2012-06-28,42.35
2012-06-29,42.75
2012-07-02,42.25
2012-07-03,43.3
2012-07-04,43.25
2012-07-05,44.05
2012-07-06,43.05
2012-07-09,41.25
2012-07-09,41.25
2012-07-10,47.1
2012-07-11,45.7
2012-07-12,44.2
2012-07-13,44.3
2012-07-16,43.55
2012-07-17,42.55
2012-07-18,42.1
2012-07-19,42.65
2012-07-20,42.4
2012-07-23,43.35
2012-07-24,42.65
2012-07-25,42.05
2012-07-26,40.3
2012-07-27,39.45
2012-07-30,40.05
2012-07-31,40.4
2012-08-01,41.05
2012-08-02,41.6
2012-08-03,40.8
2012-08-06,41.35
2012-08-07,41.65
2012-08-08,43.9
2012-08-09,42.35
2012-08-10,41.75
2012-08-13,41.95
2012-08-14,41.95
2012-08-16,42.1
2012-08-17,41.1
2012-08-21,41.45
2012-08-22,41.65
2012-08-23,43.25
2012-08-24,41.35
2012-08-27,41.0
2012-08-28,39.15
2012-08-29,38.6
2012-08-30,38.7
2012-08-31,38.85
2012-09-03,39.0
2012-09-04,38.8
2012-09-05,38.6
2012-09-06,39.15
2012-09-07,40.4
2012-09-08,41.8
2012-09-10,41.0
2012-09-11,40.65
2012-09-12,40.95
2012-09-13,41.2
2012-09-14,41.05
2012-09-17,40.9
2012-09-18,42.45
2012-09-20,41.4
2012-09-21,41.8
2012-09-24,42.65
2012-09-25,44.25
2012-09-26,46.1
2012-09-27,44.3
2012-09-28,43.5
2012-10-01,43.45
2012-10-03,44.3
2012-10-04,44.9
2012-10-05,44.15
2012-10-08,43.85
2012-10-09,43.5
2012-10-10,42.4
2012-10-11,42.55
2012-10-12,42.3
2012-10-15,42.25
2012-10-16,42.3
2012-10-17,46.25
2012-10-18,48.0
2012-10-19,45.65
2012-10-22,44.15
2012-10-23,45.55
2012-10-25,43.8
2012-10-26,43.6
2012-10-29,42.8
2012-10-30,42.55
2012-10-31,42.25
2012-11-01,43.1
2012-11-02,44.25
2012-11-05,43.3
2012-11-06,43.35
2012-11-07,43.4
2012-11-08,42.8
2012-11-09,42.35
2012-11-12,42.5
2012-11-13,42.6
2012-11-15,42.3
2012-11-16,42.25
2012-11-19,41.8
2012-11-20,40.8
2012-11-21,40.8
2012-11-22,41.75
2012-11-23,40.75
2012-11-26,40.7
2012-11-27,41.05
2012-11-29,41.15
2012-11-30,41.5
2012-12-03,42.35
2012-12-04,42.2
2012-12-05,42.4
2012-12-06,42.55
2012-12-07,42.5
2012-12-10,42.2
2012-12-11,41.95
2012-12-12,41.8
2012-12-13,40.95
2012-12-14,40.9
2012-12-17,41.15
2012-12-18,41.25
2012-12-19,41.3
2012-12-20,41.3
2012-12-21,40.6
2012-12-24,40.8
2012-12-26,40.75
2012-12-27,40.45
2012-12-28,40.3
2012-12-31,40.65
