Date,EDELWEISS
2012-01-02,26.8
2012-01-03,26.8
2012-01-04,26.65
2012-01-05,27.25
2012-01-06,26.5
2012-01-07,26.4
2012-01-09,27.05
2012-01-10,27.2
2012-01-11,27.65
2012-01-12,27.5
2012-01-13,27.85
2012-01-16,27.8
2012-01-17,28.15
2012-01-18,28.55
2012-01-19,28.95
2012-01-20,29.5
2012-01-23,30.3
2012-01-24,30.95
2012-01-25,30.95
2012-01-27,31.55
2012-01-30,32.25
2012-01-31,33.05
2012-02-01,33.4
2012-02-02,33.25
2012-02-03,33.5
2012-02-06,34.9
2012-02-07,33.3
2012-02-08,33.05
2012-02-09,33.0
2012-02-10,33.8
2012-02-13,34.05
2012-02-14,34.45
2012-02-15,35.15
2012-02-16,35.6
2012-02-17,34.65
2012-02-21,34.8
2012-02-22,32.7
2012-02-23,32.35
2012-02-24,33.05
2012-02-27,31.0
2012-02-28,31.85
2012-02-29,33.25
2012-03-01,32.0
2012-03-02,32.0
2012-03-03,31.8
2012-03-05,31.6
2012-03-06,30.05
2012-03-07,29.5
2012-03-09,29.7
2012-03-12,30.1
2012-03-13,30.35
2012-03-14,30.35
2012-03-15,30.25
2012-03-16,29.65
2012-03-19,29.0
2012-03-20,28.65
2012-03-21,28.55
2012-03-22,27.55
2012-03-23,27.05
2012-03-26,27.95
2012-03-27,27.15
2012-03-28,26.7
2012-03-29,27.3
2012-03-30,27.45
2012-04-02,28.8
2012-04-03,30.95
2012-04-04,29.35
2012-04-09,28.5
2012-04-10,31.65
2012-04-11,30.15
2012-04-12,30.6
2012-04-13,29.35
2012-04-16,30.75
2012-04-17,30.7
2012-04-18,29.95
2012-04-19,29.25
2012-04-20,29.55
2012-04-23,29.6
2012-04-24,29.55
2012-04-25,28.85
2012-04-26,28.7
2012-04-27,30.1
2012-04-28,30.0
2012-04-30,29.95
2012-05-02,29.25
2012-05-03,28.6
2012-05-04,27.5
2012-05-07,27.75
2012-05-08,27.45
2012-05-09,27.55
2012-05-10,27.75
2012-05-11,27.3
2012-05-14,27.8
2012-05-15,27.75
2012-05-16,27.6
2012-05-17,27.35
2012-05-18,27.55
2012-05-21,27.3
2012-05-22,27.2
2012-05-23,27.75
2012-05-24,27.6
2012-05-25,30.45
2012-05-28,31.55
2012-05-29,32.25
2012-05-30,32.9
2012-05-31,32.85
2012-06-01,32.55
2012-06-04,33.9
2012-06-05,33.35
2012-06-06,34.0
2012-06-07,33.65
2012-06-08,33.8
2012-06-11,34.1
2012-06-12,33.9
2012-06-13,33.55
2012-06-14,33.7
2012-06-15,35.05
2012-06-18,35.0
2012-06-19,34.35
2012-06-20,34.3
2012-06-21,34.2
2012-06-22,33.75
2012-06-25,33.5
2012-06-26,32.95
2012-06-27,32.45
2012-06-28,30.75
2012-06-29,31.45
2012-07-02,31.8
2012-07-03,32.9
2012-07-04,35.35
2012-07-05,35.7
2012-07-06,34.5
2012-07-09,33.3
2012-07-09,33.3
2012-07-10,33.55
2012-07-11,32.65
2012-07-12,32.2
2012-07-13,32.2
2012-07-16,31.15
2012-07-17,30.3
2012-07-18,29.3
2012-07-19,29.65
2012-07-20,30.8
2012-07-23,30.05
2012-07-24,30.9
2012-07-25,30.2
2012-07-26,30.05
2012-07-27,28.4
2012-07-30,29.15
2012-07-31,30.1
2012-08-01,29.7
2012-08-02,30.0
2012-08-03,30.15
2012-08-06,29.95
2012-08-07,30.0
2012-08-08,30.3
2012-08-09,31.0
2012-08-10,31.0
2012-08-13,31.0
2012-08-14,31.0
2012-08-16,31.2
2012-08-17,31.0
2012-08-21,31.1
2012-08-22,31.0
2012-08-23,31.0
2012-08-24,31.0
2012-08-27,31.0
2012-08-28,30.95
2012-08-29,31.0
2012-08-30,30.55
2012-08-31,29.1
2012-09-03,29.2
2012-09-04,29.65
2012-09-05,31.4
2012-09-06,30.0
2012-09-07,29.75
2012-09-08,29.8
2012-09-10,29.45
2012-09-11,29.2
2012-09-12,30.85
2012-09-13,29.9
2012-09-14,30.0
2012-09-17,30.05
2012-09-18,31.05
2012-09-20,29.9
2012-09-21,31.25
2012-09-24,31.85
2012-09-25,32.9
2012-09-26,32.85
2012-09-27,32.25
2012-09-28,33.75
2012-10-01,34.75
2012-10-03,36.9
2012-10-04,40.7
2012-10-05,42.3
2012-10-08,43.3
2012-10-09,45.2
2012-10-10,42.95
2012-10-11,42.55
2012-10-12,42.0
2012-10-15,41.55
2012-10-16,38.8
2012-10-17,38.0
2012-10-18,37.0
2012-10-19,36.45
2012-10-22,35.75
2012-10-23,36.5
2012-10-25,37.0
2012-10-26,36.2
2012-10-29,35.9
2012-10-30,34.95
2012-10-31,33.95
2012-11-01,34.95
2012-11-02,35.4
2012-11-05,35.95
2012-11-06,35.7
2012-11-07,35.2
2012-11-08,35.15
2012-11-09,34.7
2012-11-12,34.55
2012-11-13,34.6
2012-11-15,35.05
2012-11-16,35.6
2012-11-19,34.9
2012-11-20,34.1
2012-11-21,33.7
2012-11-22,34.55
2012-11-23,36.45
2012-11-26,35.65
2012-11-27,36.35
2012-11-29,35.75
2012-11-30,36.35
2012-12-03,34.95
2012-12-04,34.95
2012-12-05,34.0
2012-12-06,35.35
2012-12-07,34.5
2012-12-10,34.75
2012-12-11,34.05
2012-12-12,33.95
2012-12-13,33.5
2012-12-14,33.15
2012-12-17,34.2
2012-12-18,35.25
2012-12-19,36.0
2012-12-20,35.25
2012-12-21,36.1
2012-12-24,36.1
2012-12-26,35.65
2012-12-27,35.65
2012-12-28,36.85
2012-12-31,35.5
