Date,PETRONENGG
2012-01-02,238.75
2012-01-03,239.95
2012-01-04,239.05
2012-01-05,248.25
2012-01-06,249.65
2012-01-07,254.0
2012-01-09,253.6
2012-01-10,256.95
2012-01-11,260.0
2012-01-12,262.65
2012-01-13,266.8
2012-01-16,258.15
2012-01-17,256.1
2012-01-18,262.5
2012-01-19,259.85
2012-01-20,256.85
2012-01-23,259.35
2012-01-24,258.15
2012-01-25,261.65
2012-01-27,264.45
2012-01-30,270.5
2012-01-31,272.65
2012-02-01,272.75
2012-02-02,270.35
2012-02-03,270.7
2012-02-06,267.85
2012-02-07,265.3
2012-02-08,266.9
2012-02-09,267.4
2012-02-10,262.15
2012-02-13,265.4
2012-02-14,261.65
2012-02-15,275.0
2012-02-16,270.85
2012-02-17,240.4
2012-02-21,250.0
2012-02-22,241.0
2012-02-23,245.85
2012-02-24,247.8
2012-02-27,239.95
2012-02-28,240.45
2012-02-29,240.25
2012-03-01,245.8
2012-03-02,259.45
2012-03-03,263.3
2012-03-05,268.3
2012-03-06,260.6
2012-03-07,259.4
2012-03-09,260.35
2012-03-12,268.2
2012-03-13,268.5
2012-03-14,267.35
2012-03-15,264.65
2012-03-16,260.0
2012-03-19,260.7
2012-03-20,253.85
2012-03-21,256.8
2012-03-22,254.0
2012-03-23,252.2
2012-03-26,252.95
2012-03-27,252.5
2012-03-28,246.0
2012-03-29,239.95
2012-03-30,241.5
2012-04-02,242.95
2012-04-03,249.7
2012-04-04,251.2
2012-04-09,252.45
2012-04-10,254.25
2012-04-11,245.0
2012-04-12,250.4
2012-04-13,245.55
2012-04-16,250.5
2012-04-17,250.7
2012-04-18,252.0
2012-04-19,253.5
2012-04-20,253.55
2012-04-23,253.05
2012-04-24,254.35
2012-04-25,249.75
2012-04-26,247.35
2012-04-27,242.15
2012-04-30,234.8
2012-05-02,239.15
2012-05-03,232.45
2012-05-04,227.1
2012-05-07,236.15
2012-05-08,232.9
2012-05-09,228.55
2012-05-10,234.0
2012-05-11,229.8
2012-05-14,216.35
2012-05-15,217.25
2012-05-16,218.0
2012-05-17,220.05
2012-05-18,214.5
2012-05-21,203.35
2012-05-22,198.85
2012-05-23,195.25
2012-05-24,196.55
2012-05-25,194.4
2012-05-28,198.05
2012-05-29,203.55
2012-05-30,192.95
2012-05-31,189.4
2012-06-01,188.95
2012-06-04,187.15
2012-06-05,187.65
2012-06-06,187.0
2012-06-07,188.0
2012-06-08,192.15
2012-06-11,196.85
2012-06-12,197.7
2012-06-13,196.8
2012-06-14,189.85
2012-06-15,189.9
2012-06-18,186.1
2012-06-19,187.75
2012-06-20,188.4
2012-06-21,190.8
2012-06-22,187.7
2012-06-25,192.5
2012-06-26,194.4
2012-06-27,192.65
2012-06-28,193.45
2012-06-29,193.7
2012-07-02,199.9
2012-07-03,198.5
2012-07-04,199.2
2012-07-05,199.5
2012-07-06,198.0
2012-07-09,199.95
2012-07-09,199.95
2012-07-10,200.7
2012-07-11,198.3
2012-07-12,196.4
2012-07-13,200.3
2012-07-16,197.75
2012-07-17,197.0
2012-07-18,197.05
2012-07-19,193.4
2012-07-20,195.9
2012-07-23,185.8
2012-07-24,180.7
2012-07-25,181.95
2012-07-26,186.6
2012-07-27,187.55
2012-07-30,180.05
2012-07-31,177.05
2012-08-01,183.3
2012-08-02,180.85
2012-08-03,177.2
2012-08-06,176.5
2012-08-07,173.95
2012-08-08,172.15
2012-08-09,171.8
2012-08-10,171.55
2012-08-13,168.15
2012-08-14,170.6
2012-08-16,160.8
2012-08-17,158.95
2012-08-21,158.05
2012-08-22,157.9
2012-08-23,156.7
2012-08-24,155.5
2012-08-27,150.4
2012-08-28,146.2
2012-08-29,144.25
2012-08-30,140.85
2012-08-31,132.75
2012-09-03,133.6
2012-09-04,137.95
2012-09-05,141.65
2012-09-06,142.35
2012-09-07,144.75
2012-09-08,146.75
2012-09-10,146.05
2012-09-11,146.45
2012-09-12,148.55
2012-09-13,146.35
2012-09-14,144.45
2012-09-17,145.15
2012-09-18,146.95
2012-09-20,150.95
2012-09-21,154.85
2012-09-24,160.55
2012-09-25,163.8
2012-09-26,170.9
2012-09-27,173.5
2012-09-28,167.1
2012-10-01,163.8
2012-10-03,162.7
2012-10-04,164.95
2012-10-05,165.35
2012-10-08,163.1
2012-10-09,166.15
2012-10-10,158.3
2012-10-11,157.45
2012-10-12,159.5
2012-10-15,158.65
2012-10-16,160.75
2012-10-17,161.3
2012-10-18,164.75
2012-10-19,161.3
2012-10-22,156.9
2012-10-23,159.1
2012-10-25,158.9
2012-10-26,156.95
2012-10-29,159.15
2012-10-30,156.2
2012-10-31,139.85
2012-11-01,137.7
2012-11-02,136.9
2012-11-05,138.25
2012-11-06,136.3
2012-11-07,138.4
2012-11-08,140.3
2012-11-09,136.95
2012-11-12,137.95
2012-11-13,139.8
2012-11-15,139.05
2012-11-16,132.85
2012-11-19,132.0
2012-11-20,128.8
2012-11-21,129.6
2012-11-22,127.3
2012-11-23,125.3
2012-11-26,128.35
2012-11-27,139.25
2012-11-29,135.05
2012-11-30,136.95
2012-12-03,131.4
2012-12-04,132.05
2012-12-05,135.75
2012-12-06,138.8
2012-12-07,140.05
2012-12-10,137.0
2012-12-11,136.9
2012-12-12,133.5
2012-12-13,133.75
2012-12-14,134.9
2012-12-17,135.45
2012-12-18,130.85
2012-12-19,132.45
2012-12-20,133.0
2012-12-21,131.5
2012-12-24,132.05
2012-12-26,131.65
2012-12-27,133.9
2012-12-28,128.65
2012-12-31,131.5
