Date,DPSCLTD
2012-01-02,16.4
2012-01-03,15.6
2012-01-04,14.85
2012-01-05,14.15
2012-01-06,13.45
2012-01-07,12.8
2012-01-09,12.4
2012-01-10,13.0
2012-01-11,13.65
2012-01-12,13.15
2012-01-13,13.75
2012-01-16,13.65
2012-01-17,14.05
2012-01-18,14.3
2012-01-19,14.45
2012-01-20,14.3
2012-01-23,14.25
2012-01-24,14.6
2012-01-25,15.0
2012-01-27,15.75
2012-01-30,16.05
2012-01-31,16.5
2012-02-01,17.25
2012-02-02,18.1
2012-02-03,18.55
2012-02-06,19.2
2012-02-07,18.25
2012-02-08,17.8
2012-02-09,18.3
2012-02-10,18.45
2012-02-13,18.3
2012-02-14,18.4
2012-02-15,18.15
2012-02-16,18.2
2012-02-17,17.95
2012-02-21,17.9
2012-02-22,17.2
2012-02-23,17.2
2012-02-24,17.0
2012-02-27,17.05
2012-02-28,17.7
2012-02-29,17.2
2012-03-01,17.2
2012-03-02,17.15
2012-03-03,17.25
2012-03-05,17.05
2012-03-06,17.25
2012-03-07,16.9
2012-03-09,17.05
2012-03-12,17.1
2012-03-13,17.9
2012-03-14,17.7
2012-03-15,17.5
2012-03-16,17.4
2012-03-19,17.5
2012-03-20,17.55
2012-03-21,17.4
2012-03-22,16.95
2012-03-23,16.95
2012-03-26,16.65
2012-03-27,15.95
2012-03-28,15.6
2012-03-29,15.6
2012-03-30,16.2
2012-04-02,15.9
2012-04-03,16.0
2012-04-04,16.95
2012-04-09,16.7
2012-04-10,17.5
2012-04-11,17.3
2012-04-12,16.75
2012-04-13,16.85
2012-04-16,17.0
2012-04-17,16.95
2012-04-18,16.75
2012-04-19,16.6
2012-04-20,16.6
2012-04-23,16.3
2012-04-24,16.95
2012-04-25,17.3
2012-04-26,17.05
2012-04-27,16.4
2012-04-28,16.25
2012-04-30,16.2
2012-05-02,16.0
2012-05-03,15.65
2012-05-04,15.55
2012-05-07,15.75
2012-05-08,15.5
2012-05-09,15.7
2012-05-10,15.5
2012-05-11,15.15
2012-05-14,15.0
2012-05-15,15.4
2012-05-16,15.3
2012-05-17,15.1
2012-05-18,15.0
2012-05-21,15.0
2012-05-22,15.1
2012-05-23,14.9
2012-05-24,15.0
2012-05-25,14.95
2012-05-28,15.45
2012-05-29,15.1
2012-05-30,15.0
2012-05-31,14.55
2012-06-01,14.35
2012-06-04,14.3
2012-06-05,13.9
2012-06-06,14.4
2012-06-07,14.5
2012-06-08,14.25
2012-06-11,14.65
2012-06-12,15.05
2012-06-13,15.2
2012-06-14,15.1
2012-06-15,14.8
2012-06-18,14.8
2012-06-19,14.6
2012-06-20,14.45
2012-06-21,14.65
2012-06-22,14.6
2012-06-25,14.75
2012-06-26,14.6
2012-06-27,14.8
2012-06-28,14.9
2012-06-29,14.4
2012-07-02,14.75
2012-07-03,14.9
2012-07-04,15.05
2012-07-05,15.4
2012-07-06,15.15
2012-07-09,15.05
2012-07-09,15.05
2012-07-10,15.05
2012-07-11,15.1
2012-07-12,14.95
2012-07-13,14.95
2012-07-16,14.9
2012-07-17,14.85
2012-07-18,14.6
2012-07-19,14.7
2012-07-20,15.05
2012-07-23,14.95
2012-07-24,14.95
2012-07-25,14.7
2012-07-26,14.5
2012-07-27,14.5
2012-07-30,14.6
2012-07-31,14.45
2012-08-01,14.4
2012-08-02,14.8
2012-08-03,14.8
2012-08-06,14.7
2012-08-07,14.6
2012-08-08,14.5
2012-08-09,14.5
2012-08-10,14.3
2012-08-13,14.1
2012-08-14,14.0
2012-08-16,13.7
2012-08-17,13.95
2012-08-21,13.95
2012-08-22,14.15
2012-08-23,14.15
2012-08-24,13.95
2012-08-27,13.45
2012-08-28,13.45
2012-08-29,13.95
2012-08-30,13.6
2012-08-31,14.05
2012-09-03,14.15
2012-09-04,14.0
2012-09-05,14.05
2012-09-06,14.45
2012-09-07,13.95
2012-09-08,13.55
2012-09-10,14.05
2012-09-11,14.3
2012-09-12,14.1
2012-09-13,13.5
2012-09-14,14.0
2012-09-17,14.05
2012-09-18,13.9
2012-09-20,14.0
2012-09-21,13.9
2012-09-24,13.85
2012-09-25,13.55
2012-09-26,13.35
2012-09-27,13.35
2012-09-28,13.4
2012-10-01,13.5
2012-10-03,13.45
2012-10-04,13.5
2012-10-05,13.05
2012-10-08,13.35
2012-10-09,13.5
2012-10-10,13.35
2012-10-11,13.15
2012-10-12,13.2
2012-10-15,13.25
2012-10-16,13.0
2012-10-17,13.1
2012-10-18,13.1
2012-10-19,13.05
2012-10-22,12.55
2012-10-23,13.0
2012-10-25,13.45
2012-10-26,13.45
2012-10-29,12.9
2012-10-30,13.45
2012-10-31,13.45
2012-11-01,13.9
2012-11-02,14.0
2012-11-05,14.35
2012-11-06,14.0
2012-11-07,14.25
2012-11-08,16.8
2012-11-09,15.7
2012-11-12,16.7
2012-11-13,16.95
2012-11-15,17.35
2012-11-16,18.25
2012-11-19,18.0
2012-11-20,18.0
2012-11-21,18.2
2012-11-22,17.95
2012-11-23,17.5
2012-11-26,17.9
2012-11-27,17.55
2012-11-29,17.45
2012-11-30,17.2
2012-12-03,17.3
2012-12-04,17.2
2012-12-05,17.25
2012-12-06,17.15
2012-12-07,17.05
2012-12-10,17.35
2012-12-11,17.1
2012-12-12,17.05
2012-12-13,16.9
2012-12-14,16.75
2012-12-17,16.5
2012-12-18,16.55
2012-12-19,16.45
2012-12-20,16.65
2012-12-21,17.25
2012-12-24,17.15
2012-12-26,17.25
2012-12-27,18.25
2012-12-28,17.5
2012-12-31,17.55
