Date,PFS
2012-01-02,10.5
2012-01-03,10.65
2012-01-04,10.75
2012-01-05,10.95
2012-01-06,10.55
2012-01-07,11.0
2012-01-09,11.0
2012-01-10,11.35
2012-01-11,11.15
2012-01-12,11.3
2012-01-13,11.5
2012-01-16,10.9
2012-01-17,11.0
2012-01-18,11.0
2012-01-19,11.2
2012-01-20,11.15
2012-01-23,12.9
2012-01-24,13.25
2012-01-25,13.85
2012-01-27,16.6
2012-01-30,15.45
2012-01-31,14.95
2012-02-01,15.35
2012-02-02,14.5
2012-02-03,14.85
2012-02-06,14.55
2012-02-07,14.4
2012-02-08,14.1
2012-02-09,14.2
2012-02-10,14.0
2012-02-13,14.0
2012-02-14,14.05
2012-02-15,15.05
2012-02-16,16.55
2012-02-17,15.8
2012-02-21,16.0
2012-02-22,15.25
2012-02-23,15.45
2012-02-24,15.15
2012-02-27,14.5
2012-02-28,15.15
2012-02-29,16.6
2012-03-01,16.2
2012-03-02,16.25
2012-03-03,16.45
2012-03-05,16.1
2012-03-06,15.75
2012-03-07,15.65
2012-03-09,15.95
2012-03-12,16.0
2012-03-13,16.15
2012-03-14,16.15
2012-03-15,15.75
2012-03-16,15.5
2012-03-19,15.1
2012-03-20,15.2
2012-03-21,15.55
2012-03-22,15.1
2012-03-23,15.15
2012-03-26,15.25
2012-03-27,15.35
2012-03-28,14.9
2012-03-29,14.85
2012-03-30,15.85
2012-04-02,16.25
2012-04-03,16.65
2012-04-04,16.45
2012-04-09,16.5
2012-04-10,16.4
2012-04-11,16.25
2012-04-12,16.25
2012-04-13,15.85
2012-04-16,16.1
2012-04-17,16.1
2012-04-18,16.65
2012-04-19,17.5
2012-04-20,17.0
2012-04-23,16.45
2012-04-24,16.75
2012-04-25,16.1
2012-04-26,15.95
2012-04-27,15.9
2012-04-28,16.0
2012-04-30,16.0
2012-05-02,16.0
2012-05-03,15.6
2012-05-04,15.3
2012-05-07,15.85
2012-05-08,15.35
2012-05-09,15.15
2012-05-10,15.35
2012-05-11,15.1
2012-05-14,14.85
2012-05-15,14.95
2012-05-16,14.7
2012-05-17,14.9
2012-05-18,15.1
2012-05-21,15.1
2012-05-22,14.95
2012-05-23,14.8
2012-05-24,14.8
2012-05-25,14.8
2012-05-28,14.9
2012-05-29,14.8
2012-05-30,14.45
2012-05-31,13.85
2012-06-01,13.7
2012-06-04,13.6
2012-06-05,13.75
2012-06-06,14.05
2012-06-07,14.1
2012-06-08,13.95
2012-06-11,14.6
2012-06-12,14.45
2012-06-13,14.45
2012-06-14,14.2
2012-06-15,14.15
2012-06-18,13.95
2012-06-19,14.0
2012-06-20,14.0
2012-06-21,13.9
2012-06-22,13.85
2012-06-25,14.05
2012-06-26,14.0
2012-06-27,13.95
2012-06-28,14.0
2012-06-29,14.7
2012-07-02,14.75
2012-07-03,14.6
2012-07-04,14.75
2012-07-05,15.0
2012-07-06,15.0
2012-07-09,14.7
2012-07-09,14.7
2012-07-10,14.75
2012-07-11,14.55
2012-07-12,14.25
2012-07-13,14.35
2012-07-16,14.15
2012-07-17,14.0
2012-07-18,14.4
2012-07-19,14.3
2012-07-20,14.15
2012-07-23,13.95
2012-07-24,13.9
2012-07-25,13.9
2012-07-26,13.5
2012-07-27,13.45
2012-07-30,13.65
2012-07-31,14.05
2012-08-01,14.2
2012-08-02,14.35
2012-08-03,13.95
2012-08-06,14.05
2012-08-07,14.1
2012-08-08,13.9
2012-08-09,13.75
2012-08-10,13.5
2012-08-13,13.45
2012-08-14,13.3
2012-08-16,13.35
2012-08-17,13.6
2012-08-21,13.6
2012-08-22,13.55
2012-08-23,14.2
2012-08-24,13.95
2012-08-27,13.65
2012-08-28,13.45
2012-08-29,13.45
2012-08-30,13.35
2012-08-31,13.5
2012-09-03,13.3
2012-09-04,13.4
2012-09-05,13.35
2012-09-06,13.35
2012-09-07,13.5
2012-09-08,13.6
2012-09-10,13.6
2012-09-11,13.8
2012-09-12,14.1
2012-09-13,13.85
2012-09-14,13.95
2012-09-17,14.15
2012-09-18,14.75
2012-09-20,14.55
2012-09-21,15.35
2012-09-24,15.75
2012-09-25,15.3
2012-09-26,15.25
2012-09-27,15.25
2012-09-28,15.45
2012-10-01,15.85
2012-10-03,15.95
2012-10-04,15.8
2012-10-05,15.65
2012-10-08,15.6
2012-10-09,16.1
2012-10-10,15.75
2012-10-11,15.9
2012-10-12,15.75
2012-10-15,15.75
2012-10-16,15.55
2012-10-17,15.55
2012-10-18,15.75
2012-10-19,15.7
2012-10-22,15.75
2012-10-23,15.75
2012-10-25,15.75
2012-10-26,15.6
2012-10-29,15.5
2012-10-30,14.95
2012-10-31,14.95
2012-11-01,14.9
2012-11-02,16.3
2012-11-05,15.95
2012-11-06,16.05
2012-11-07,16.2
2012-11-08,15.95
2012-11-09,16.1
2012-11-12,17.3
2012-11-13,18.85
2012-11-15,18.65
2012-11-16,17.85
2012-11-19,17.9
2012-11-20,17.45
2012-11-21,17.95
2012-11-22,17.85
2012-11-23,18.0
2012-11-26,18.7
2012-11-27,19.45
2012-11-29,19.15
2012-11-30,18.7
2012-12-03,18.55
2012-12-04,18.5
2012-12-05,18.55
2012-12-06,18.65
2012-12-07,18.5
2012-12-10,18.6
2012-12-11,18.65
2012-12-12,18.05
2012-12-13,17.65
2012-12-14,18.05
2012-12-17,18.1
2012-12-18,18.05
2012-12-19,17.9
2012-12-20,18.0
2012-12-21,17.75
2012-12-24,17.95
2012-12-26,17.75
2012-12-27,17.85
2012-12-28,17.75
2012-12-31,17.95
