Date,SYNCOM
2012-01-02,10.9
2012-01-03,11.35
2012-01-04,11.35
2012-01-05,11.5
2012-01-06,11.2
2012-01-07,11.15
2012-01-09,11.65
2012-01-10,12.1
2012-01-11,13.75
2012-01-12,13.7
2012-01-13,13.4
2012-01-16,12.9
2012-01-17,13.35
2012-01-18,12.9
2012-01-19,13.35
2012-01-20,13.0
2012-01-23,13.6
2012-01-24,13.4
2012-01-25,13.35
2012-01-27,13.6
2012-01-30,13.15
2012-01-31,13.6
2012-02-01,13.7
2012-02-02,14.05
2012-02-03,16.85
2012-02-06,16.95
2012-02-07,16.05
2012-02-08,15.75
2012-02-09,15.9
2012-02-10,16.05
2012-02-13,15.8
2012-02-14,15.7
2012-02-15,16.1
2012-02-16,16.1
2012-02-17,15.8
2012-02-21,16.0
2012-02-22,15.4
2012-02-23,14.2
2012-02-24,14.85
2012-02-27,13.8
2012-02-28,16.55
2012-02-29,15.4
2012-03-01,15.85
2012-03-02,15.7
2012-03-03,15.95
2012-03-05,15.4
2012-03-06,15.1
2012-03-07,14.45
2012-03-09,14.8
2012-03-12,14.95
2012-03-13,15.1
2012-03-14,15.1
2012-03-15,15.1
2012-03-16,15.05
2012-03-19,14.85
2012-03-20,15.05
2012-03-21,15.5
2012-03-22,14.75
2012-03-23,14.9
2012-03-26,14.25
2012-03-27,14.25
2012-03-28,13.25
2012-03-29,13.65
2012-03-30,13.65
2012-04-02,14.4
2012-04-03,14.05
2012-04-04,13.85
2012-04-09,13.7
2012-04-10,13.65
2012-04-11,13.6
2012-04-12,13.55
2012-04-13,13.3
2012-04-16,13.2
2012-04-17,13.0
2012-04-18,13.0
2012-04-19,14.95
2012-04-20,13.85
2012-04-23,13.25
2012-04-24,13.35
2012-04-25,13.0
2012-04-26,12.95
2012-04-27,12.75
2012-04-28,13.0
2012-04-30,12.85
2012-05-02,12.8
2012-05-03,12.85
2012-05-04,12.15
2012-05-07,12.2
2012-05-08,12.5
2012-05-09,12.15
2012-05-10,12.1
2012-05-11,11.7
2012-05-14,11.75
2012-05-15,11.25
2012-05-16,11.3
2012-05-17,11.05
2012-05-18,10.95
2012-05-21,10.95
2012-05-22,10.8
2012-05-23,10.3
2012-05-24,10.3
2012-05-25,10.9
2012-05-28,10.7
2012-05-29,10.75
2012-05-30,10.55
2012-05-31,10.5
2012-06-01,10.1
2012-06-04,10.25
2012-06-05,10.15
2012-06-06,10.2
2012-06-07,10.4
2012-06-08,10.15
2012-06-11,9.95
2012-06-12,9.85
2012-06-13,10.05
2012-06-14,10.0
2012-06-15,9.8
2012-06-18,9.7
2012-06-19,9.5
2012-06-20,9.4
2012-06-21,9.55
2012-06-22,9.65
2012-06-25,9.75
2012-06-26,9.8
2012-06-27,9.65
2012-06-28,10.4
2012-06-29,10.25
2012-07-02,11.1
2012-07-03,11.0
2012-07-04,11.25
2012-07-05,11.55
2012-07-06,11.15
2012-07-09,10.55
2012-07-10,10.75
2012-07-11,10.9
2012-07-12,10.4
2012-07-13,10.65
2012-07-16,10.75
2012-07-17,10.6
2012-07-18,10.3
2012-07-19,10.3
2012-07-20,10.35
2012-07-23,10.0
2012-07-24,10.4
2012-07-25,10.15
2012-07-26,9.9
2012-07-27,9.85
2012-07-30,10.3
2012-07-31,10.2
2012-08-01,10.45
2012-08-02,11.2
2012-08-03,10.8
2012-08-06,10.75
2012-08-07,10.75
2012-08-08,10.75
2012-08-09,10.55
2012-08-10,10.6
2012-08-13,10.35
2012-08-14,10.3
2012-08-16,10.2
2012-08-17,9.9
2012-08-21,9.95
2012-08-22,9.85
2012-08-23,9.9
2012-08-24,9.55
2012-08-27,9.6
2012-08-28,9.5
2012-08-29,9.2
2012-08-30,9.1
2012-08-31,9.0
2012-09-03,9.2
2012-09-04,9.1
2012-09-05,9.25
2012-09-06,9.4
2012-09-07,9.4
2012-09-08,9.95
2012-09-10,10.0
2012-09-11,10.0
2012-09-12,10.8
2012-09-13,10.5
2012-09-14,10.0
2012-09-17,12.0
2012-09-18,11.9
2012-09-20,11.15
2012-09-21,10.85
2012-09-24,11.25
2012-09-25,11.05
2012-09-26,10.9
2012-09-27,11.35
2012-09-28,11.15
2012-10-01,13.35
2012-10-03,12.75
2012-10-04,12.65
2012-10-05,12.15
2012-10-08,12.1
2012-10-09,13.05
2012-10-10,12.85
2012-10-11,12.8
2012-10-12,12.55
2012-10-15,12.35
2012-10-16,12.2
2012-10-17,11.85
2012-10-18,12.3
2012-10-19,12.05
2012-10-22,12.25
2012-10-23,12.05
2012-10-25,11.85
2012-10-26,12.0
2012-10-29,11.85
2012-10-30,11.7
2012-10-31,11.25
2012-11-01,11.25
2012-11-02,12.4
2012-11-05,13.9
2012-11-06,14.0
2012-11-07,14.2
2012-11-08,15.0
2012-11-09,14.5
2012-11-12,14.65
2012-11-13,14.6
2012-11-15,14.5
2012-11-16,13.9
2012-11-19,14.65
2012-11-20,14.25
2012-11-21,14.2
2012-11-22,17.0
2012-11-23,17.2
2012-11-26,16.9
2012-11-27,17.3
2012-11-29,16.45
2012-11-30,16.5
2012-12-03,19.8
2012-12-04,20.85
2012-12-05,20.9
2012-12-06,20.5
2012-12-07,20.05
2012-12-10,19.8
2012-12-11,18.85
2012-12-12,19.2
2012-12-13,20.05
2012-12-14,19.4
2012-12-17,21.5
2012-12-18,20.5
2012-12-19,21.05
2012-12-20,21.65
2012-12-21,20.4
2012-12-24,21.4
2012-12-26,21.25
2012-12-27,23.05
2012-12-28,22.95
2012-12-31,27.5
