Date,SUNILHITEC
2012-01-02,57.5
2012-01-03,61.85
2012-01-04,60.8
2012-01-05,68.55
2012-01-06,66.65
2012-01-07,67.15
2012-01-09,67.6
2012-01-10,69.15
2012-01-11,68.55
2012-01-12,68.5
2012-01-13,69.9
2012-01-16,69.95
2012-01-17,74.4
2012-01-18,71.8
2012-01-19,71.35
2012-01-20,69.95
2012-01-23,70.3
2012-01-24,70.2
2012-01-25,74.2
2012-01-27,79.35
2012-01-30,75.8
2012-01-31,76.55
2012-02-01,77.0
2012-02-02,78.0
2012-02-03,78.7
2012-02-06,79.9
2012-02-07,76.65
2012-02-08,76.9
2012-02-09,78.25
2012-02-10,78.5
2012-02-13,76.1
2012-02-14,73.8
2012-02-15,75.85
2012-02-16,81.25
2012-02-17,80.7
2012-02-21,81.85
2012-02-22,76.9
2012-02-23,75.45
2012-02-24,73.25
2012-02-27,69.0
2012-02-28,71.55
2012-02-29,71.4
2012-03-01,71.15
2012-03-02,71.1
2012-03-03,71.75
2012-03-05,69.65
2012-03-06,68.25
2012-03-07,67.85
2012-03-09,68.4
2012-03-12,68.95
2012-03-13,70.0
2012-03-14,70.25
2012-03-15,69.8
2012-03-16,68.65
2012-03-19,67.65
2012-03-20,69.45
2012-03-21,69.7
2012-03-22,67.3
2012-03-23,67.35
2012-03-26,65.05
2012-03-27,65.4
2012-03-28,62.6
2012-03-29,62.55
2012-03-30,63.75
2012-04-02,65.1
2012-04-03,68.65
2012-04-04,68.6
2012-04-09,67.2
2012-04-10,66.95
2012-04-11,66.15
2012-04-12,66.9
2012-04-13,67.25
2012-04-16,67.1
2012-04-17,67.35
2012-04-18,67.25
2012-04-19,66.65
2012-04-20,65.85
2012-04-23,64.25
2012-04-24,63.8
2012-04-25,62.7
2012-04-26,61.8
2012-04-27,61.25
2012-04-28,59.55
2012-04-30,61.35
2012-05-02,61.7
2012-05-03,60.8
2012-05-04,58.6
2012-05-07,58.95
2012-05-08,58.75
2012-05-09,56.5
2012-05-10,57.2
2012-05-11,55.95
2012-05-14,55.9
2012-05-15,57.5
2012-05-16,56.15
2012-05-17,57.05
2012-05-18,58.55
2012-05-21,58.95
2012-05-22,58.9
2012-05-23,57.85
2012-05-24,57.55
2012-05-25,57.8
2012-05-28,58.95
2012-05-29,58.3
2012-05-30,58.55
2012-05-31,58.2
2012-06-01,56.9
2012-06-04,56.6
2012-06-05,56.3
2012-06-06,58.05
2012-06-07,58.25
2012-06-08,58.35
2012-06-11,58.6
2012-06-12,58.25
2012-06-13,58.15
2012-06-14,57.25
2012-06-15,60.25
2012-06-18,58.0
2012-06-19,57.85
2012-06-20,58.6
2012-06-21,58.75
2012-06-22,57.3
2012-06-25,57.85
2012-06-26,57.0
2012-06-27,57.05
2012-06-28,58.6
2012-06-29,67.55
2012-07-02,69.75
2012-07-03,68.65
2012-07-04,67.5
2012-07-05,68.85
2012-07-06,69.8
2012-07-09,73.15
2012-07-10,72.15
2012-07-11,71.25
2012-07-12,69.05
2012-07-13,68.8
2012-07-16,68.05
2012-07-17,66.3
2012-07-18,72.45
2012-07-19,72.15
2012-07-20,70.25
2012-07-23,67.7
2012-07-24,67.65
2012-07-25,66.45
2012-07-26,64.05
2012-07-27,63.2
2012-07-30,64.1
2012-07-31,63.65
2012-08-01,64.55
2012-08-02,64.5
2012-08-03,64.75
2012-08-06,65.5
2012-08-07,66.25
2012-08-08,66.3
2012-08-09,65.2
2012-08-10,64.4
2012-08-13,64.8
2012-08-14,65.6
2012-08-16,63.55
2012-08-17,63.4
2012-08-21,63.5
2012-08-22,63.2
2012-08-23,61.5
2012-08-24,61.6
2012-08-27,60.65
2012-08-28,58.95
2012-08-29,58.3
2012-08-30,58.05
2012-08-31,57.0
2012-09-03,57.65
2012-09-04,59.95
2012-09-05,58.85
2012-09-06,57.65
2012-09-07,57.95
2012-09-08,57.4
2012-09-10,58.1
2012-09-11,67.45
2012-09-12,63.85
2012-09-13,62.5
2012-09-14,62.15
2012-09-17,63.05
2012-09-18,63.2
2012-09-20,67.0
2012-09-21,67.0
2012-09-24,70.2
2012-09-25,70.25
2012-09-26,69.85
2012-09-27,69.7
2012-09-28,72.3
2012-10-01,71.15
2012-10-03,71.2
2012-10-04,71.9
2012-10-05,68.95
2012-10-08,67.65
2012-10-09,66.75
2012-10-10,66.1
2012-10-11,67.0
2012-10-12,66.1
2012-10-15,66.15
2012-10-16,67.05
2012-10-17,66.35
2012-10-18,66.4
2012-10-19,66.4
2012-10-22,65.45
2012-10-23,65.35
2012-10-25,65.05
2012-10-26,64.35
2012-10-29,63.05
2012-10-30,62.15
2012-10-31,60.0
2012-11-01,60.75
2012-11-02,60.6
2012-11-05,59.45
2012-11-06,59.95
2012-11-07,62.6
2012-11-08,60.45
2012-11-09,65.6
2012-11-12,63.55
2012-11-13,67.7
2012-11-15,70.5
2012-11-16,68.6
2012-11-19,66.5
2012-11-20,65.0
2012-11-21,64.95
2012-11-22,64.5
2012-11-23,68.05
2012-11-26,71.45
2012-11-27,70.15
2012-11-29,69.8
2012-11-30,71.45
2012-12-03,71.15
2012-12-04,71.15
2012-12-05,74.65
2012-12-06,73.9
2012-12-07,72.85
2012-12-10,74.45
2012-12-11,72.25
2012-12-12,72.8
2012-12-13,71.45
2012-12-14,70.9
2012-12-17,70.85
2012-12-18,70.35
2012-12-19,74.9
2012-12-20,76.95
2012-12-21,73.35
2012-12-24,73.35
2012-12-26,72.75
2012-12-27,71.65
2012-12-28,71.25
2012-12-31,73.45
