Date,GLOBUSSPR
2012-01-02,97.35
2012-01-03,97.45
2012-01-04,97.4
2012-01-05,95.6
2012-01-06,95.0
2012-01-07,93.95
2012-01-09,91.5
2012-01-10,93.85
2012-01-11,97.4
2012-01-12,100.5
2012-01-13,105.4
2012-01-16,104.55
2012-01-17,104.9
2012-01-18,104.05
2012-01-19,105.1
2012-01-20,105.05
2012-01-23,105.0
2012-01-24,108.65
2012-01-25,109.8
2012-01-27,111.15
2012-01-30,110.0
2012-01-31,111.85
2012-02-01,114.85
2012-02-02,114.9
2012-02-03,115.9
2012-02-06,118.9
2012-02-07,121.1
2012-02-08,119.75
2012-02-09,124.75
2012-02-10,122.1
2012-02-13,124.65
2012-02-14,122.5
2012-02-15,124.35
2012-02-16,121.85
2012-02-17,119.4
2012-02-21,121.15
2012-02-22,115.65
2012-02-23,113.7
2012-02-24,117.9
2012-02-27,112.9
2012-02-28,117.2
2012-02-29,115.7
2012-03-01,118.75
2012-03-02,115.45
2012-03-03,117.6
2012-03-05,115.4
2012-03-06,113.15
2012-03-07,112.5
2012-03-09,113.95
2012-03-12,114.1
2012-03-13,116.2
2012-03-14,114.1
2012-03-15,111.75
2012-03-16,109.8
2012-03-19,105.8
2012-03-20,106.6
2012-03-21,109.3
2012-03-22,105.45
2012-03-23,104.6
2012-03-26,103.3
2012-03-27,102.3
2012-03-28,100.4
2012-03-29,101.05
2012-03-30,101.75
2012-04-02,102.6
2012-04-03,105.25
2012-04-04,109.1
2012-04-09,110.8
2012-04-10,110.0
2012-04-11,107.0
2012-04-12,104.45
2012-04-13,102.55
2012-04-16,101.35
2012-04-17,101.65
2012-04-18,103.5
2012-04-19,104.3
2012-04-20,107.8
2012-04-23,107.3
2012-04-24,108.0
2012-04-25,108.0
2012-04-26,106.6
2012-04-27,105.1
2012-04-30,105.45
2012-05-02,108.45
2012-05-03,104.75
2012-05-04,102.6
2012-05-07,103.0
2012-05-08,103.8
2012-05-09,104.4
2012-05-10,104.5
2012-05-11,102.15
2012-05-14,103.8
2012-05-15,108.2
2012-05-16,107.1
2012-05-17,106.35
2012-05-18,104.35
2012-05-21,105.85
2012-05-22,104.4
2012-05-23,102.1
2012-05-24,102.9
2012-05-25,103.0
2012-05-28,98.6
2012-05-29,98.25
2012-05-30,97.05
2012-05-31,92.4
2012-06-01,89.2
2012-06-04,92.7
2012-06-05,92.4
2012-06-06,91.85
2012-06-07,93.3
2012-06-08,91.95
2012-06-11,92.05
2012-06-12,92.6
2012-06-13,93.45
2012-06-14,90.7
2012-06-15,90.05
2012-06-18,90.9
2012-06-19,90.5
2012-06-20,91.1
2012-06-21,90.85
2012-06-22,90.75
2012-06-25,92.2
2012-06-26,91.35
2012-06-27,92.5
2012-06-28,94.7
2012-06-29,94.3
2012-07-02,95.0
2012-07-03,95.0
2012-07-04,94.95
2012-07-05,94.7
2012-07-06,97.6
2012-07-09,117.1
2012-07-09,117.1
2012-07-10,121.6
2012-07-11,119.85
2012-07-12,116.45
2012-07-13,112.1
2012-07-16,113.85
2012-07-17,114.5
2012-07-18,113.45
2012-07-19,112.15
2012-07-20,109.65
2012-07-23,105.3
2012-07-24,104.9
2012-07-25,104.25
2012-07-26,99.85
2012-07-27,98.0
2012-07-30,98.25
2012-07-31,99.25
2012-08-01,100.9
2012-08-02,105.75
2012-08-03,111.9
2012-08-06,112.8
2012-08-07,114.6
2012-08-08,113.35
2012-08-09,113.8
2012-08-10,112.4
2012-08-13,105.8
2012-08-14,103.95
2012-08-16,107.4
2012-08-17,109.25
2012-08-21,108.05
2012-08-22,108.25
2012-08-23,107.4
2012-08-24,107.7
2012-08-27,107.35
2012-08-28,105.95
2012-08-29,103.65
2012-08-30,103.65
2012-08-31,106.15
2012-09-03,108.85
2012-09-04,110.2
2012-09-05,109.15
2012-09-06,113.4
2012-09-07,112.3
2012-09-08,114.85
2012-09-10,113.7
2012-09-11,113.6
2012-09-12,118.2
2012-09-13,114.2
2012-09-14,114.95
2012-09-17,113.4
2012-09-18,115.0
2012-09-20,110.8
2012-09-21,113.0
2012-09-24,114.2
2012-09-25,116.75
2012-09-26,113.9
2012-09-27,113.8
2012-09-28,111.4
2012-10-01,112.1
2012-10-03,115.55
2012-10-04,114.5
2012-10-05,115.15
2012-10-08,117.1
2012-10-09,121.4
2012-10-10,120.3
2012-10-11,118.95
2012-10-12,121.2
2012-10-15,121.6
2012-10-16,118.45
2012-10-17,123.85
2012-10-18,127.45
2012-10-19,123.65
2012-10-22,123.1
2012-10-23,118.75
2012-10-25,122.65
2012-10-26,118.6
2012-10-29,118.35
2012-10-30,116.3
2012-10-31,118.85
2012-11-01,117.0
2012-11-02,118.2
2012-11-05,117.1
2012-11-06,121.35
2012-11-07,123.4
2012-11-08,123.3
2012-11-09,121.6
2012-11-12,129.15
2012-11-13,130.0
2012-11-15,133.05
2012-11-16,126.5
2012-11-19,123.2
2012-11-20,120.1
2012-11-21,118.0
2012-11-22,119.35
2012-11-23,122.2
2012-11-26,123.35
2012-11-27,123.4
2012-11-29,122.75
2012-11-30,122.85
2012-12-03,122.85
2012-12-04,132.45
2012-12-05,135.85
2012-12-06,133.6
2012-12-07,131.2
2012-12-10,131.2
2012-12-11,129.65
2012-12-12,129.35
2012-12-13,129.75
2012-12-14,129.9
2012-12-17,129.2
2012-12-18,129.95
2012-12-19,129.65
2012-12-20,129.8
2012-12-21,132.2
2012-12-24,132.0
2012-12-26,135.45
2012-12-27,132.0
2012-12-28,137.75
2012-12-31,146.0
