Date,PRAJIND
2012-01-02,75.35
2012-01-03,78.05
2012-01-04,77.65
2012-01-05,77.2
2012-01-06,77.45
2012-01-07,77.85
2012-01-09,79.05
2012-01-10,81.9
2012-01-11,82.9
2012-01-12,84.45
2012-01-13,82.7
2012-01-16,83.15
2012-01-17,84.15
2012-01-18,81.7
2012-01-19,84.85
2012-01-20,81.6
2012-01-23,80.4
2012-01-24,81.65
2012-01-25,84.1
2012-01-27,90.9
2012-01-30,87.0
2012-01-31,88.0
2012-02-01,87.9
2012-02-02,86.95
2012-02-03,87.3
2012-02-06,87.95
2012-02-07,83.4
2012-02-08,84.7
2012-02-09,85.9
2012-02-10,85.05
2012-02-13,84.7
2012-02-14,85.6
2012-02-15,87.6
2012-02-16,86.45
2012-02-17,88.35
2012-02-21,90.55
2012-02-22,84.25
2012-02-23,83.65
2012-02-24,82.05
2012-02-27,77.95
2012-02-28,81.25
2012-02-29,81.0
2012-03-01,80.1
2012-03-02,79.9
2012-03-03,80.0
2012-03-05,78.55
2012-03-06,76.0
2012-03-07,75.8
2012-03-09,78.85
2012-03-12,78.75
2012-03-13,81.05
2012-03-14,80.9
2012-03-15,78.35
2012-03-16,77.2
2012-03-19,75.5
2012-03-20,76.5
2012-03-21,79.0
2012-03-22,78.7
2012-03-23,80.35
2012-03-26,79.05
2012-03-27,79.2
2012-03-28,79.0
2012-03-29,79.55
2012-03-30,80.2
2012-04-02,80.45
2012-04-03,81.25
2012-04-04,80.75
2012-04-09,77.7
2012-04-10,72.95
2012-04-11,73.0
2012-04-12,74.9
2012-04-13,73.65
2012-04-16,74.15
2012-04-17,74.2
2012-04-18,74.15
2012-04-19,73.75
2012-04-20,73.5
2012-04-23,72.75
2012-04-24,70.4
2012-04-25,69.75
2012-04-26,67.45
2012-04-27,70.25
2012-04-28,70.15
2012-04-30,70.15
2012-05-02,69.1
2012-05-03,67.55
2012-05-04,65.2
2012-05-07,64.95
2012-05-08,62.2
2012-05-09,61.5
2012-05-10,61.45
2012-05-11,61.2
2012-05-14,55.35
2012-05-15,57.7
2012-05-16,54.8
2012-05-17,53.6
2012-05-18,55.05
2012-05-21,53.95
2012-05-22,52.15
2012-05-23,50.55
2012-05-24,50.8
2012-05-25,55.2
2012-05-28,56.6
2012-05-29,57.65
2012-05-30,55.8
2012-05-31,56.45
2012-06-01,54.2
2012-06-04,55.2
2012-06-05,55.25
2012-06-06,56.25
2012-06-07,56.75
2012-06-08,56.45
2012-06-11,56.55
2012-06-12,56.4
2012-06-13,56.35
2012-06-14,53.5
2012-06-15,53.75
2012-06-18,53.0
2012-06-19,53.55
2012-06-20,54.1
2012-06-21,55.25
2012-06-22,55.5
2012-06-25,55.05
2012-06-26,56.1
2012-06-27,56.55
2012-06-28,56.55
2012-06-29,58.65
2012-07-02,60.15
2012-07-03,61.15
2012-07-04,63.05
2012-07-05,64.5
2012-07-06,63.2
2012-07-09,61.35
2012-07-10,62.85
2012-07-11,62.3
2012-07-12,60.05
2012-07-13,60.8
2012-07-16,60.5
2012-07-17,60.35
2012-07-18,60.1
2012-07-19,59.9
2012-07-20,57.35
2012-07-23,56.35
2012-07-24,55.75
2012-07-25,52.9
2012-07-26,51.9
2012-07-27,50.35
2012-07-30,52.35
2012-07-31,52.2
2012-08-01,53.95
2012-08-02,53.55
2012-08-03,52.3
2012-08-06,53.45
2012-08-07,52.95
2012-08-08,53.0
2012-08-09,53.05
2012-08-10,52.9
2012-08-13,53.25
2012-08-14,53.15
2012-08-16,52.95
2012-08-17,52.15
2012-08-21,51.65
2012-08-22,50.8
2012-08-23,49.45
2012-08-24,47.95
2012-08-27,47.7
2012-08-28,47.4
2012-08-29,47.2
2012-08-30,46.75
2012-08-31,45.95
2012-09-03,44.6
2012-09-04,45.15
2012-09-05,43.75
2012-09-06,42.85
2012-09-07,43.35
2012-09-08,43.95
2012-09-10,43.75
2012-09-11,43.35
2012-09-12,42.15
2012-09-13,40.6
2012-09-14,41.4
2012-09-17,43.2
2012-09-18,48.4
2012-09-20,46.65
2012-09-21,47.95
2012-09-24,48.85
2012-09-25,47.25
2012-09-26,46.7
2012-09-27,45.8
2012-09-28,47.85
2012-10-01,49.3
2012-10-03,50.4
2012-10-04,51.85
2012-10-05,52.35
2012-10-08,52.85
2012-10-09,51.8
2012-10-10,49.7
2012-10-11,50.2
2012-10-12,50.4
2012-10-15,50.15
2012-10-16,49.25
2012-10-17,49.0
2012-10-18,49.6
2012-10-19,48.1
2012-10-22,46.65
2012-10-23,46.9
2012-10-25,47.2
2012-10-26,45.95
2012-10-29,45.5
2012-10-30,44.55
2012-10-31,45.15
2012-11-01,45.9
2012-11-02,46.2
2012-11-05,45.7
2012-11-06,45.1
2012-11-07,47.0
2012-11-08,46.05
2012-11-09,45.65
2012-11-12,45.65
2012-11-13,46.75
2012-11-15,48.4
2012-11-16,47.75
2012-11-19,46.45
2012-11-20,45.35
2012-11-21,45.8
2012-11-22,45.85
2012-11-23,50.25
2012-11-26,49.4
2012-11-27,49.95
2012-11-29,49.55
2012-11-30,47.65
2012-12-03,49.8
2012-12-04,51.5
2012-12-05,51.9
2012-12-06,51.5
2012-12-07,51.0
2012-12-10,50.8
2012-12-11,49.7
2012-12-12,49.5
2012-12-13,49.0
2012-12-14,49.05
2012-12-17,48.7
2012-12-18,48.8
2012-12-19,49.0
2012-12-20,48.5
2012-12-21,48.25
2012-12-24,48.55
2012-12-26,48.45
2012-12-27,48.15
2012-12-28,48.2
2012-12-31,48.15
