Date,SELMCL
2012-01-02,10.05
2012-01-03,10.35
2012-01-04,11.05
2012-01-05,10.95
2012-01-06,10.65
2012-01-07,10.85
2012-01-09,11.1
2012-01-10,11.6
2012-01-11,12.05
2012-01-12,12.05
2012-01-13,12.7
2012-01-16,12.5
2012-01-17,12.8
2012-01-18,12.3
2012-01-19,12.35
2012-01-20,12.0
2012-01-23,12.15
2012-01-24,12.1
2012-01-25,12.15
2012-01-27,12.7
2012-01-30,12.2
2012-01-31,12.35
2012-02-01,12.7
2012-02-02,13.0
2012-02-03,13.25
2012-02-06,13.55
2012-02-07,13.2
2012-02-08,13.2
2012-02-09,13.55
2012-02-10,13.5
2012-02-13,14.05
2012-02-14,14.3
2012-02-15,14.35
2012-02-16,14.1
2012-02-17,14.3
2012-02-21,14.5
2012-02-22,13.6
2012-02-23,13.15
2012-02-24,12.9
2012-02-27,11.8
2012-02-28,12.4
2012-02-29,12.35
2012-03-01,12.3
2012-03-02,12.15
2012-03-03,12.35
2012-03-05,12.15
2012-03-06,11.9
2012-03-07,11.5
2012-03-09,11.75
2012-03-12,11.65
2012-03-13,12.15
2012-03-14,12.0
2012-03-15,11.7
2012-03-16,11.3
2012-03-19,10.95
2012-03-20,11.1
2012-03-21,11.2
2012-03-22,10.95
2012-03-23,11.15
2012-03-26,11.0
2012-03-27,11.2
2012-03-28,10.7
2012-03-29,10.95
2012-03-30,11.15
2012-04-02,12.05
2012-04-03,11.9
2012-04-04,12.0
2012-04-09,11.65
2012-04-10,11.85
2012-04-11,11.9
2012-04-12,11.9
2012-04-13,11.6
2012-04-16,11.75
2012-04-17,11.9
2012-04-18,11.85
2012-04-19,11.95
2012-04-20,11.7
2012-04-23,11.6
2012-04-24,11.5
2012-04-25,11.15
2012-04-26,11.0
2012-04-27,10.75
2012-04-28,10.85
2012-04-30,10.7
2012-05-02,10.7
2012-05-03,10.8
2012-05-04,10.4
2012-05-07,10.35
2012-05-08,10.3
2012-05-09,10.0
2012-05-10,9.9
2012-05-11,9.95
2012-05-14,9.6
2012-05-15,9.4
2012-05-16,9.3
2012-05-17,9.3
2012-05-18,9.1
2012-05-21,9.35
2012-05-22,9.25
2012-05-23,9.3
2012-05-24,9.55
2012-05-25,9.6
2012-05-28,9.7
2012-05-29,10.3
2012-05-30,11.1
2012-05-31,10.85
2012-06-01,10.45
2012-06-04,10.0
2012-06-05,10.1
2012-06-06,10.3
2012-06-07,10.4
2012-06-08,10.3
2012-06-11,10.35
2012-06-12,10.35
2012-06-13,10.3
2012-06-14,10.15
2012-06-15,10.2
2012-06-18,10.0
2012-06-19,10.0
2012-06-20,10.0
2012-06-21,10.55
2012-06-22,11.3
2012-06-25,12.8
2012-06-26,12.85
2012-06-27,12.5
2012-06-28,11.95
2012-06-29,12.05
2012-07-02,12.0
2012-07-03,14.1
2012-07-04,14.7
2012-07-05,13.9
2012-07-06,14.1
2012-07-09,11.3
2012-07-10,9.8
2012-07-11,8.95
2012-07-12,9.25
2012-07-13,8.75
2012-07-16,8.65
2012-07-17,8.65
2012-07-18,8.8
2012-07-19,8.0
2012-07-20,7.65
2012-07-23,7.6
2012-07-24,7.7
2012-07-25,7.25
2012-07-26,6.65
2012-07-27,6.9
2012-07-30,7.05
2012-07-31,6.7
2012-08-01,6.7
2012-08-02,6.75
2012-08-03,6.7
2012-08-06,6.65
2012-08-07,6.6
2012-08-08,6.5
2012-08-09,6.4
2012-08-10,6.4
2012-08-13,6.45
2012-08-14,6.75
2012-08-16,7.05
2012-08-17,6.7
2012-08-21,6.75
2012-08-22,6.45
2012-08-23,6.15
2012-08-24,5.95
2012-08-27,5.9
2012-08-28,5.8
2012-08-29,5.65
2012-08-30,5.9
2012-08-31,5.65
2012-09-03,5.4
2012-09-04,5.5
2012-09-05,5.5
2012-09-06,5.45
2012-09-07,5.85
2012-09-08,6.2
2012-09-10,6.0
2012-09-11,5.7
2012-09-12,5.7
2012-09-13,5.45
2012-09-14,5.4
2012-09-17,5.3
2012-09-18,5.5
2012-09-20,5.3
2012-09-21,5.35
2012-09-24,5.25
2012-09-25,5.7
2012-09-26,5.2
2012-09-27,5.25
2012-09-28,5.3
2012-10-01,5.4
2012-10-03,5.15
2012-10-04,5.1
2012-10-05,5.0
2012-10-08,5.1
2012-10-09,5.1
2012-10-10,5.15
2012-10-11,5.05
2012-10-12,5.05
2012-10-15,5.05
2012-10-16,5.05
2012-10-17,5.05
2012-10-18,5.55
2012-10-19,5.0
2012-10-22,5.05
2012-10-23,5.05
2012-10-25,5.05
2012-10-26,5.0
2012-10-29,5.0
2012-10-30,4.95
2012-10-31,4.8
2012-11-01,4.85
2012-11-02,5.3
2012-11-05,5.25
2012-11-06,5.35
2012-11-07,5.6
2012-11-08,5.6
2012-11-09,5.6
2012-11-12,5.2
2012-11-13,5.25
2012-11-15,5.05
2012-11-16,5.0
2012-11-19,5.05
2012-11-20,4.9
2012-11-21,5.45
2012-11-22,4.4
2012-11-23,4.4
2012-11-26,4.3
2012-11-27,4.4
2012-11-29,4.65
2012-11-30,4.25
2012-12-03,4.55
2012-12-04,4.75
2012-12-05,4.35
2012-12-06,4.55
2012-12-07,4.4
2012-12-10,4.25
2012-12-11,4.2
2012-12-12,4.1
2012-12-13,4.15
2012-12-14,4.05
2012-12-17,4.05
2012-12-18,4.3
2012-12-19,4.45
2012-12-20,4.6
2012-12-21,4.7
2012-12-24,4.75
2012-12-26,4.4
2012-12-27,4.2
2012-12-28,4.25
2012-12-31,4.2
