Date,ANIKINDS
2012-01-02,29.15
2012-01-03,29.15
2012-01-04,29.0
2012-01-05,29.2
2012-01-06,27.05
2012-01-07,27.5
2012-01-09,27.3
2012-01-10,29.65
2012-01-11,30.0
2012-01-12,27.8
2012-01-13,29.5
2012-01-16,29.8
2012-01-17,29.9
2012-01-18,29.25
2012-01-20,29.85
2012-01-23,29.0
2012-01-24,29.95
2012-01-25,30.0
2012-01-27,30.05
2012-01-30,29.45
2012-01-31,29.05
2012-02-01,30.0
2012-02-02,29.95
2012-02-03,30.5
2012-02-06,30.7
2012-02-07,31.35
2012-02-08,31.0
2012-02-09,30.45
2012-02-10,29.8
2012-02-13,28.25
2012-02-14,28.3
2012-02-15,29.25
2012-02-16,28.25
2012-02-17,29.75
2012-02-21,29.95
2012-02-22,28.85
2012-02-23,28.75
2012-02-24,27.55
2012-02-27,26.85
2012-02-28,27.3
2012-02-29,27.9
2012-03-01,28.05
2012-03-02,27.95
2012-03-03,27.55
2012-03-05,27.45
2012-03-06,27.95
2012-03-07,25.4
2012-03-09,26.85
2012-03-12,26.5
2012-03-13,26.65
2012-03-14,26.6
2012-03-15,26.2
2012-03-16,27.45
2012-03-19,25.05
2012-03-20,26.5
2012-03-21,27.3
2012-03-22,26.95
2012-03-23,26.5
2012-03-26,29.0
2012-03-27,29.2
2012-03-28,28.0
2012-03-29,29.55
2012-03-30,27.75
2012-04-02,28.0
2012-04-03,27.75
2012-04-04,27.2
2012-04-09,27.6
2012-04-10,27.0
2012-04-11,27.6
2012-04-12,26.9
2012-04-13,27.0
2012-04-16,26.7
2012-04-17,27.2
2012-04-18,28.6
2012-04-19,34.3
2012-04-20,34.5
2012-04-23,34.3
2012-04-24,32.75
2012-04-25,30.05
2012-04-26,29.85
2012-04-27,29.7
2012-04-28,28.4
2012-04-30,29.2
2012-05-02,30.1
2012-05-03,29.3
2012-05-04,28.7
2012-05-07,27.65
2012-05-08,28.0
2012-05-09,27.3
2012-05-10,28.5
2012-05-11,27.8
2012-05-14,26.95
2012-05-15,26.2
2012-05-16,26.05
2012-05-17,25.5
2012-05-18,25.5
2012-05-21,27.0
2012-05-22,26.45
2012-05-23,28.05
2012-05-24,29.3
2012-05-25,29.1
2012-05-28,30.05
2012-05-29,30.0
2012-05-30,29.25
2012-05-31,28.45
2012-06-01,28.55
2012-06-04,29.2
2012-06-05,27.75
2012-06-06,28.4
2012-06-07,28.5
2012-06-08,27.95
2012-06-11,27.5
2012-06-12,29.45
2012-06-13,30.95
2012-06-14,30.95
2012-06-15,30.3
2012-06-18,30.9
2012-06-19,31.3
2012-06-20,31.5
2012-06-21,31.4
2012-06-22,34.15
2012-06-25,33.95
2012-06-26,34.75
2012-06-27,33.4
2012-06-28,33.7
2012-06-29,33.65
2012-07-02,33.6
2012-07-03,33.1
2012-07-04,33.2
2012-07-05,33.0
2012-07-06,35.2
2012-07-09,36.9
2012-07-09,36.9
2012-07-10,37.7
2012-07-11,35.5
2012-07-12,35.1
2012-07-13,34.55
2012-07-16,34.7
2012-07-17,34.8
2012-07-18,34.95
2012-07-19,35.45
2012-07-20,35.1
2012-07-23,35.15
2012-07-24,37.05
2012-07-25,36.55
2012-07-26,34.85
2012-07-27,33.25
2012-07-30,32.85
2012-07-31,33.9
2012-08-01,34.25
2012-08-02,33.4
2012-08-03,33.5
2012-08-06,32.95
2012-08-07,32.5
2012-08-08,33.1
2012-08-09,32.9
2012-08-10,34.05
2012-08-13,34.65
2012-08-14,34.7
2012-08-16,33.4
2012-08-17,34.05
2012-08-21,33.85
2012-08-22,34.0
2012-08-23,36.25
2012-08-24,35.0
2012-08-27,34.1
2012-08-28,33.4
2012-08-29,32.7
2012-08-30,33.1
2012-08-31,33.1
2012-09-03,32.9
2012-09-04,32.75
2012-09-05,31.55
2012-09-06,31.9
2012-09-07,32.1
2012-09-08,34.25
2012-09-10,35.65
2012-09-11,35.0
2012-09-12,33.3
2012-09-13,32.75
2012-09-14,33.15
2012-09-17,33.2
2012-09-18,32.6
2012-09-20,32.5
2012-09-21,32.5
2012-09-24,32.95
2012-09-25,32.45
2012-09-26,32.85
2012-09-27,32.3
2012-09-28,32.05
2012-10-01,32.0
2012-10-03,33.1
2012-10-04,32.6
2012-10-05,31.6
2012-10-08,31.6
2012-10-09,32.1
2012-10-10,32.75
2012-10-11,34.2
2012-10-12,33.5
2012-10-15,33.35
2012-10-16,33.4
2012-10-17,33.25
2012-10-18,33.05
2012-10-19,32.45
2012-10-22,33.25
2012-10-23,32.8
2012-10-25,33.1
2012-10-26,32.0
2012-10-29,31.9
2012-10-30,31.85
2012-10-31,32.0
2012-11-01,33.25
2012-11-02,34.95
2012-11-05,33.25
2012-11-06,33.7
2012-11-07,34.1
2012-11-08,35.0
2012-11-09,34.75
2012-11-12,36.45
2012-11-13,36.45
2012-11-15,36.9
2012-11-16,36.1
2012-11-19,36.1
2012-11-20,35.5
2012-11-21,36.0
2012-11-22,35.1
2012-11-23,35.0
2012-11-26,35.85
2012-11-27,36.75
2012-11-29,37.05
2012-11-30,36.35
2012-12-03,35.6
2012-12-04,36.15
2012-12-05,36.4
2012-12-06,36.7
2012-12-07,35.55
2012-12-10,35.55
2012-12-11,35.8
2012-12-12,35.5
2012-12-13,35.0
2012-12-14,34.0
2012-12-17,35.05
2012-12-18,35.0
2012-12-19,34.7
2012-12-20,35.65
2012-12-21,35.0
2012-12-24,34.55
2012-12-26,36.05
2012-12-27,36.75
2012-12-28,36.05
2012-12-31,36.45
