Date,ORCHIDPHAR
2012-01-02,134.45
2012-01-03,139.6
2012-01-04,138.1
2012-01-05,141.55
2012-01-06,141.15
2012-01-07,141.15
2012-01-09,140.6
2012-01-10,149.0
2012-01-11,149.9
2012-01-12,149.9
2012-01-13,152.45
2012-01-16,152.15
2012-01-17,155.55
2012-01-18,151.1
2012-01-19,153.45
2012-01-20,162.95
2012-01-23,167.6
2012-01-24,168.05
2012-01-25,167.4
2012-01-27,171.35
2012-01-30,163.25
2012-01-31,168.6
2012-02-01,174.5
2012-02-02,174.2
2012-02-03,192.05
2012-02-06,190.0
2012-02-07,189.65
2012-02-08,172.4
2012-02-09,169.75
2012-02-10,170.9
2012-02-13,175.7
2012-02-14,174.3
2012-02-15,175.15
2012-02-16,182.05
2012-02-17,176.3
2012-02-21,186.55
2012-02-22,173.75
2012-02-23,179.0
2012-02-24,179.1
2012-02-27,178.8
2012-02-28,187.75
2012-02-29,189.45
2012-03-01,185.65
2012-03-02,185.6
2012-03-03,185.9
2012-03-05,182.7
2012-03-06,172.5
2012-03-07,172.5
2012-03-09,177.7
2012-03-12,177.0
2012-03-13,178.9
2012-03-14,176.65
2012-03-15,174.85
2012-03-16,168.3
2012-03-19,171.3
2012-03-20,172.9
2012-03-21,180.5
2012-03-22,172.5
2012-03-23,178.25
2012-03-26,175.1
2012-03-27,183.8
2012-03-28,177.4
2012-03-29,179.9
2012-03-30,184.8
2012-04-02,191.85
2012-04-03,188.65
2012-04-04,189.1
2012-04-09,182.6
2012-04-10,188.25
2012-04-11,184.75
2012-04-12,188.2
2012-04-13,182.9
2012-04-16,185.55
2012-04-17,186.85
2012-04-18,189.7
2012-04-19,188.3
2012-04-20,188.1
2012-04-23,180.3
2012-04-24,182.7
2012-04-25,181.8
2012-04-26,182.45
2012-04-27,178.55
2012-04-28,177.7
2012-04-30,179.55
2012-05-02,181.05
2012-05-03,179.3
2012-05-04,171.9
2012-05-07,174.7
2012-05-08,172.35
2012-05-09,172.2
2012-05-10,167.7
2012-05-11,160.3
2012-05-14,138.9
2012-05-15,128.45
2012-05-16,127.05
2012-05-17,125.85
2012-05-18,127.35
2012-05-21,127.9
2012-05-22,123.7
2012-05-23,119.4
2012-05-24,122.65
2012-05-25,122.55
2012-05-28,124.3
2012-05-29,122.3
2012-05-30,120.4
2012-05-31,120.9
2012-06-01,117.9
2012-06-04,119.75
2012-06-05,118.45
2012-06-06,120.75
2012-06-07,122.5
2012-06-08,121.35
2012-06-11,120.15
2012-06-12,119.25
2012-06-13,119.0
2012-06-14,116.65
2012-06-15,117.9
2012-06-18,114.1
2012-06-19,111.55
2012-06-20,112.95
2012-06-21,113.0
2012-06-22,110.75
2012-06-25,110.8
2012-06-26,112.3
2012-06-27,114.7
2012-06-28,115.7
2012-06-29,118.1
2012-07-02,120.3
2012-07-03,121.6
2012-07-04,122.15
2012-07-05,126.05
2012-07-06,125.35
2012-07-09,118.8
2012-07-09,118.8
2012-07-10,121.05
2012-07-11,120.9
2012-07-12,118.5
2012-07-13,121.15
2012-07-16,122.1
2012-07-17,119.45
2012-07-18,123.25
2012-07-19,122.15
2012-07-20,127.8
2012-07-23,123.4
2012-07-24,124.9
2012-07-25,118.95
2012-07-26,109.85
2012-07-27,107.55
2012-07-30,110.15
2012-07-31,109.4
2012-08-01,112.2
2012-08-02,113.5
2012-08-03,113.4
2012-08-06,113.95
2012-08-07,113.85
2012-08-08,108.9
2012-08-09,107.95
2012-08-10,107.5
2012-08-13,106.0
2012-08-14,106.0
2012-08-16,104.05
2012-08-17,104.05
2012-08-21,109.25
2012-08-22,111.8
2012-08-23,117.1
2012-08-24,119.75
2012-08-27,113.05
2012-08-28,112.8
2012-08-29,111.8
2012-08-30,111.0
2012-08-31,109.05
2012-09-03,111.3
2012-09-04,110.5
2012-09-05,109.3
2012-09-06,109.35
2012-09-07,110.95
2012-09-08,111.45
2012-09-10,115.8
2012-09-11,117.75
2012-09-12,115.75
2012-09-13,112.5
2012-09-14,112.7
2012-09-17,112.85
2012-09-18,114.3
2012-09-20,113.1
2012-09-21,113.0
2012-09-24,112.75
2012-09-25,113.1
2012-09-26,115.1
2012-09-27,111.7
2012-09-28,112.35
2012-10-01,114.4
2012-10-03,116.0
2012-10-04,116.4
2012-10-05,113.85
2012-10-08,114.7
2012-10-09,115.45
2012-10-10,112.4
2012-10-11,113.75
2012-10-12,113.35
2012-10-15,113.45
2012-10-16,111.9
2012-10-17,110.9
2012-10-18,111.35
2012-10-19,108.95
2012-10-22,107.3
2012-10-23,107.9
2012-10-25,107.35
2012-10-26,105.05
2012-10-29,105.9
2012-10-30,104.25
2012-10-31,104.3
2012-11-01,104.85
2012-11-02,105.1
2012-11-05,104.35
2012-11-06,104.25
2012-11-07,106.15
2012-11-08,105.3
2012-11-09,107.2
2012-11-12,102.7
2012-11-13,103.45
2012-11-15,100.95
2012-11-16,99.8
2012-11-19,101.8
2012-11-20,99.85
2012-11-21,98.7
2012-11-22,98.35
2012-11-23,96.6
2012-11-26,97.15
2012-11-27,98.15
2012-11-29,99.2
2012-11-30,101.45
2012-12-03,102.85
2012-12-04,103.45
2012-12-05,102.65
2012-12-06,107.05
2012-12-07,105.7
2012-12-10,104.85
2012-12-11,104.35
2012-12-12,104.85
2012-12-13,102.65
2012-12-14,102.75
2012-12-17,101.2
2012-12-18,101.85
2012-12-19,102.1
2012-12-20,103.7
2012-12-21,101.7
2012-12-24,100.7
2012-12-26,102.0
2012-12-27,101.1
2012-12-28,100.9
2012-12-31,100.75
