Date,PANORAMUNI
2012-01-02,7.5
2012-01-03,7.5
2012-01-04,7.7
2012-01-05,7.8
2012-01-06,7.9
2012-01-07,8.0
2012-01-09,8.4
2012-01-10,8.5
2012-01-11,9.1
2012-01-12,9.15
2012-01-13,9.9
2012-01-16,9.55
2012-01-17,9.6
2012-01-18,9.3
2012-01-19,8.55
2012-01-20,8.8
2012-01-23,8.9
2012-01-24,9.05
2012-01-25,9.2
2012-01-27,9.15
2012-01-30,9.15
2012-01-31,9.15
2012-02-01,9.15
2012-02-02,9.35
2012-02-03,9.4
2012-02-06,9.95
2012-02-07,10.45
2012-02-08,10.3
2012-02-09,10.7
2012-02-10,10.85
2012-02-13,10.4
2012-02-14,10.15
2012-02-15,10.4
2012-02-16,10.35
2012-02-17,10.7
2012-02-21,10.8
2012-02-22,10.15
2012-02-23,9.9
2012-02-24,9.25
2012-02-27,8.95
2012-02-28,9.15
2012-02-29,9.4
2012-03-01,9.35
2012-03-02,9.25
2012-03-03,9.45
2012-03-05,9.2
2012-03-06,8.95
2012-03-07,8.95
2012-03-09,9.15
2012-03-12,8.85
2012-03-13,8.25
2012-03-14,9.15
2012-03-15,9.05
2012-03-16,9.0
2012-03-19,8.95
2012-03-20,9.0
2012-03-21,8.75
2012-03-22,8.55
2012-03-23,8.55
2012-03-26,8.35
2012-03-27,8.15
2012-03-28,8.1
2012-03-29,8.35
2012-03-30,8.35
2012-04-02,8.7
2012-04-03,8.25
2012-04-04,8.2
2012-04-09,8.4
2012-04-10,8.55
2012-04-11,8.4
2012-04-12,9.15
2012-04-13,8.8
2012-04-16,8.55
2012-04-17,8.75
2012-04-18,8.65
2012-04-19,8.6
2012-04-20,8.2
2012-04-23,8.45
2012-04-24,8.45
2012-04-25,8.15
2012-04-26,7.75
2012-04-27,7.7
2012-04-30,7.45
2012-05-02,7.5
2012-05-03,7.0
2012-05-04,7.35
2012-05-07,7.7
2012-05-08,7.65
2012-05-09,7.4
2012-05-10,7.05
2012-05-11,7.1
2012-05-14,7.3
2012-05-15,7.05
2012-05-16,7.0
2012-05-17,6.95
2012-05-18,7.0
2012-05-21,7.15
2012-05-22,6.85
2012-05-23,6.95
2012-05-24,6.95
2012-05-25,6.9
2012-05-28,7.0
2012-05-29,7.15
2012-05-30,7.2
2012-05-31,7.15
2012-06-01,7.05
2012-06-04,7.3
2012-06-05,7.25
2012-06-06,7.5
2012-06-07,7.45
2012-06-08,7.4
2012-06-11,7.6
2012-06-12,7.4
2012-06-13,7.25
2012-06-14,7.2
2012-06-15,7.05
2012-06-18,7.15
2012-06-19,7.1
2012-06-20,7.05
2012-06-21,7.15
2012-06-22,6.95
2012-06-25,7.0
2012-06-26,7.1
2012-06-27,7.25
2012-06-28,7.35
2012-06-29,7.25
2012-07-02,7.6
2012-07-03,7.5
2012-07-04,7.8
2012-07-05,7.7
2012-07-06,7.85
2012-07-09,7.6
2012-07-09,7.6
2012-07-10,7.7
2012-07-11,7.5
2012-07-12,7.45
2012-07-13,7.8
2012-07-16,7.45
2012-07-17,7.5
2012-07-18,7.55
2012-07-19,7.75
2012-07-20,7.6
2012-07-23,7.85
2012-07-24,7.6
2012-07-26,7.45
2012-07-27,7.2
2012-07-30,7.15
2012-07-31,7.25
2012-08-01,7.15
2012-08-02,7.15
2012-08-03,7.2
2012-08-06,7.45
2012-08-07,7.5
2012-08-08,7.6
2012-08-09,7.6
2012-08-10,7.55
2012-08-13,7.5
2012-08-14,7.85
2012-08-16,7.95
2012-08-17,8.6
2012-08-21,9.9
2012-08-22,9.75
2012-08-23,9.0
2012-08-24,9.0
2012-08-27,9.3
2012-08-28,8.95
2012-08-29,8.85
2012-08-30,8.55
2012-08-31,8.25
2012-09-03,8.5
2012-09-04,8.8
2012-09-05,8.7
2012-09-06,8.9
2012-09-07,8.75
2012-09-08,8.55
2012-09-10,9.15
2012-09-11,9.2
2012-09-12,9.2
2012-09-13,8.95
2012-09-14,9.0
2012-09-17,9.25
2012-09-18,9.1
2012-09-20,8.95
2012-09-21,9.15
2012-09-24,9.25
2012-09-25,9.2
2012-09-26,9.15
2012-09-27,9.0
2012-09-28,9.1
2012-10-01,9.05
2012-10-03,8.95
2012-10-04,9.05
2012-10-05,9.05
2012-10-08,8.8
2012-10-09,8.9
2012-10-10,9.05
2012-10-11,8.95
2012-10-12,9.05
2012-10-15,8.6
2012-10-16,8.7
2012-10-17,8.95
2012-10-18,8.7
2012-10-19,8.85
2012-10-22,8.85
2012-10-23,8.8
2012-10-25,8.9
2012-10-26,8.65
2012-10-29,8.65
2012-10-30,8.85
2012-10-31,9.05
2012-11-01,9.0
2012-11-02,8.6
2012-11-05,8.85
2012-11-06,8.9
2012-11-07,8.8
2012-11-08,8.65
2012-11-09,8.75
2012-11-12,8.75
2012-11-13,9.6
2012-11-15,8.8
2012-11-16,8.75
2012-11-19,8.55
2012-11-20,8.2
2012-11-21,8.3
2012-11-22,8.3
2012-11-23,8.6
2012-11-26,8.45
2012-11-27,8.65
2012-11-29,8.4
2012-11-30,8.65
2012-12-03,8.6
2012-12-04,8.6
2012-12-05,8.45
2012-12-06,8.5
2012-12-07,8.5
2012-12-10,8.5
2012-12-11,8.45
2012-12-12,8.3
2012-12-13,8.35
2012-12-14,8.35
2012-12-17,8.25
2012-12-18,8.4
2012-12-19,8.45
2012-12-20,8.55
2012-12-21,8.45
2012-12-24,8.55
2012-12-26,8.35
2012-12-27,8.3
2012-12-28,8.5
2012-12-31,8.5
